"rownum","HideoutArea","HASH16","HideoutFile","SpawnAreas","ClaimSideArea","HideoutImage","IsEnabled","Weight","Rarity","NotActsArea","[i32]_88","bool_104","bool_105","bool_106","UnlockMtx","ErrorMessage","ErrorMessage (French)","ErrorMessage (German)","ErrorMessage (Japanese)","ErrorMessage (Korean)","ErrorMessage (Portuguese)","ErrorMessage (Russian)","ErrorMessage (Spanish)","ErrorMessage (Thai)","ErrorMessage (Traditional Chinese)"
17,1587,55414,"Metadata/Terrain/Missions/Hideouts/TemplarLab/decoration.hideout",[160],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CartographyHideout",1,0,0,1,[],"",1,1,"","","","","","","","","","",""
18,1577,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout",1,0,0,1,[],"",1,1,7885,"","","","","","","","","",""
19,1578,34352,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout",1,0,0,1,[],"",1,1,7886,"","","","","","","","","",""
20,1579,45610,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout",1,0,0,1,[],"",1,1,7887,"","","","","","","","","",""
21,1580,41490,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,[],"",1,1,7888,"","","","","","","","","",""
22,1581,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout",1,0,0,1,[],"",1,1,7889,"","","","","","","","","",""
23,1582,49908,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout",1,0,0,1,[],"",1,1,7890,"","","","","","","","","",""
24,1583,52081,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout",1,0,0,1,[],"",1,1,7891,"","","","","","","","","",""
25,1584,41981,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout",1,0,0,1,[],"",1,1,7892,"","","","","","","","","",""
26,1585,37028,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout",1,0,0,1,"[8,9]","",1,1,7893,"","","","","","","","","",""
27,1586,36378,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout",1,0,0,1,[],"",1,1,7894,"","","","","","","","","",""
28,1560,18782,"Metadata/Terrain/Missions/Hideouts/Causeway/decoration.hideout",[1248],1561,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunkenCityHideout",1,33,3,1,[],"",1,1,"","","","","","","","","","",""
29,1550,34604,"Metadata/Terrain/Missions/Hideouts/Shaper/decoration.hideout",[1255],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShapersRealmHideout",1,0,0,1,[],"",1,1,"","","","","","","","","","",""
30,1606,50158,"Metadata/Terrain/Missions/Hideouts/TwilightTemple/decoration.hideout",[1181],1607,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TwilightTempleHideout",1,2500,1,1,[],"",1,1,"","","","","","","","","","",""
31,1562,61074,"Metadata/Terrain/Missions/Hideouts/HighGardens/decoration.hideout",[1234],1563,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HighGardensHideout",1,33,3,1,[],"",1,1,"","","","","","","","","","",""
32,1610,23230,"Metadata/Terrain/Missions/Hideouts/HauntedMansion/decoration.hideout",[1129],1611,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HauntedHideout",1,33,3,1,[],"",1,1,"","","","","","","","","","",""
33,1552,38628,"Metadata/Terrain/Missions/Hideouts/PrisonTower/decoration.hideout",[1183],1553,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PrisonTowerHideout",1,100,2,1,[],"",1,1,"","","","","","","","","","",""
34,1604,39182,"Metadata/Terrain/Missions/Hideouts/CrimsonTemple/decoration.hideout",[1242],1605,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrimsonTempleHideout",1,33,3,1,[],"",1,1,"","","","","","","","","","",""
35,1602,64285,"Metadata/Terrain/Missions/Hideouts/Glacier/decoration.hideout",[1105],1603,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IcebergHideout",1,100,2,1,[],"",1,1,"","","","","","","","","","",""
36,1608,9587,"Metadata/Terrain/Missions/Hideouts/Mountain/decoration.hideout",[1219],1609,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MountainHideout",1,100,2,1,[],"",1,1,"","","","","","","","","","",""
37,1616,54370,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout",1,0,0,1,[],"",1,1,7895,"","","","","","","","","",""
38,1617,37893,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout",1,0,0,1,[],"",1,1,7896,"","","","","","","","","",""
39,1618,1739,"Metadata/Terrain/Missions/Hideouts/Darkwood/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkwoodHideout",1,0,0,1,[],"",1,1,7897,"","","","","","","","","",""
40,1569,35022,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout",1,0,0,1,[],"",1,1,7898,"","","","","","","","","",""
41,1570,30781,"Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EntombedHideout",1,0,0,1,[],"",1,1,7899,"","","","","","","","","",""
42,1619,26046,"Metadata/Terrain/Missions/Hideouts/ArenaElder/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VoidHideout",1,0,0,1,[],"",1,1,7900,"","","","","","","","","",""
43,1620,63882,"Metadata/Terrain/Missions/Hideouts/Chiyou/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChiyouHideout",1,0,0,1,[],1,1,1,7901,"","","","","","","","","",""
44,1621,32865,"Metadata/Terrain/Missions/Hideouts/BlankAbyss/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankAbyss",1,0,0,1,[],"",1,1,7902,"","","","","","","","","",""
45,1622,26652,"Metadata/Terrain/Missions/Hideouts/BlankCity/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankCity",1,0,0,1,[],"",1,1,7903,"","","","","","","","","",""
46,1623,61767,"Metadata/Terrain/Missions/Hideouts/BlankClouds/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankClouds",1,0,0,1,[],"",1,1,7904,"","","","","","","","","",""
47,1624,29167,"Metadata/Terrain/Missions/Hideouts/BlankDesert/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDesert",1,0,0,1,[],"",1,1,7905,"","","","","","","","","",""
48,1625,34522,"Metadata/Terrain/Missions/Hideouts/BlankDirt/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDirt",1,0,0,1,[],"",1,1,7906,"","","","","","","","","",""
49,1626,5889,"Metadata/Terrain/Missions/Hideouts/BlankGrass/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankGrass",1,0,0,1,[],"",1,1,7907,"","","","","","","","","",""
50,1627,58314,"Metadata/Terrain/Missions/Hideouts/BlankSea/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSea",1,0,0,1,[],"",1,1,7908,"","","","","","","","","",""
51,1628,3594,"Metadata/Terrain/Missions/Hideouts/BlankSnow/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSnow",1,0,0,1,[],"",1,1,7909,"","","","","","","","","",""
52,1629,5469,"Metadata/Terrain/Missions/Hideouts/Thaumaturgy/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ThaumaturgicalHideout",1,0,0,1,[],"",1,1,7910,"","","","","","","","","",""
53,1630,53842,"Metadata/Terrain/Missions/Hideouts/Yaochi/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/YaochiHideout",1,0,0,1,[],1,1,1,7911,"","","","","","","","","",""
54,1631,65094,"Metadata/Terrain/Missions/Hideouts/HumanoidPet/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HumanoidPetHideout",1,0,0,1,[],1,1,1,7912,"","","","","","","","","",""
55,1612,51846,"Metadata/Terrain/Missions/Hideouts/LunarisWater/decoration.hideout",[1180],1613,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MoonTempleHideout",1,33,3,1,[],"",1,1,"","","","","","","","","","",""
56,1614,61278,"Metadata/Terrain/Missions/Hideouts/Primeval/decoration.hideout",[1225],1615,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PrimevalRuinsHideout",1,33,3,1,[20],"",1,1,"","","","","","","","","","",""
57,1632,22310,"Metadata/Terrain/Missions/Hideouts/RitualLeague/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RitualHideout",1,0,0,1,[],1,1,1,7913,"","","","","","","","","",""
58,1633,12991,"Metadata/Terrain/Missions/Hideouts/ArenaMaven/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleHideout",1,0,0,1,[],"",1,1,7914,"","","","","","","","","",""
59,1634,28095,"Metadata/Terrain/Missions/Hideouts/Hasina/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TavernHideout",1,0,0,1,[],"",1,1,7915,"","","","","","","","","",""
60,1635,24939,"Metadata/Terrain/Missions/Hideouts/AzuriteCave/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AzuriteCavernHideout",1,0,0,1,[],"",1,1,7916,"","","","","","","","","",""
61,1636,6681,"Metadata/Terrain/Missions/Hideouts/SynthesisHub/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SynthesisHideout",1,0,0,1,[],"",1,1,7917,"","","","","","","","","",""
62,1637,51550,"Metadata/Terrain/Missions/Hideouts/ArenaVeritania/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RedeemersHideout",1,0,0,1,[],"",1,1,7918,"","","","","","","","","",""
63,1639,15139,"Metadata/Terrain/Missions/Hideouts/TencentApocalypse/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CataclysmicHideout",1,0,0,1,[],1,1,1,"","","","","","","","","","",""
64,1638,14166,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout",1,0,0,1,[],"",1,1,"","","","","","","","","","",""
65,1640,20743,"Metadata/Terrain/Missions/Hideouts/ArenaOlroth/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AncestralHideout",1,0,0,1,[],"",1,1,7919,"","","","","","","","","",""
66,1641,64865,"Metadata/Terrain/Missions/Hideouts/Light/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LightThemedHideout",1,0,0,1,"[31,32]","",1,1,7920,"","","","","","","","","",""
67,1642,11848,"Metadata/Terrain/Missions/Hideouts/Dark/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkThemedHideout",1,0,0,1,"[29,30]","",1,1,7921,"","","","","","","","","",""
68,1643,2056,"Metadata/Terrain/Missions/Hideouts/ArenaBlackStar/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlackStarHideout",1,0,0,1,[33],"",1,1,7922,"","","","","","","","","",""
69,1644,51467,"Metadata/Terrain/Missions/Hideouts/ArenaInfiniteHunger/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InfiniteHungerHideout",1,0,0,1,[],"",1,1,7923,"","","","","","","","","",""
70,1645,8758,"Metadata/Terrain/Missions/Hideouts/AtlasHideout/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtlasHideout",1,0,0,1,"[36,37]","",1,1,7924,"","","","","","","","","",""
71,1646,61877,"Metadata/Terrain/Missions/Hideouts/ArenaEaterOfWorlds/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EaterOfWorldsHideout",1,0,0,1,[],"",1,1,7925,"","","","","","","","","",""
72,1647,95,"Metadata/Terrain/Missions/Hideouts/ArenaSearingExarch/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout",1,0,0,1,[],"",1,1,7926,"","","","","","","","","",""
73,1909,48660,"Metadata/Terrain/Missions/Hideouts/Exilecon23/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/Exilecon23Hideout",1,0,0,1,[],"",1,1,7927,"You own this Hideout, but it is currently unsupported in this version of the game. It will be enabled in an upcoming patch. We apologise for the delay.","Vous possédez ce Repaire, mais il n'est pour le moment pas pris en charge par la version actuelle du jeu. Il sera activé lors d'un patch à venir. Nous nous excusons pour le délai.","Du besitzt dieses Versteck, jedoch wird es in dieser Version des Spiels noch nicht unterstützt. Es wird erst in einem zukünftigen Patch aktiviert. Wir entschuldigen uns für die Verzögerung.","この隠れ家を所持していますが、現行バージョンのゲームはサポートしていません。次期パッチにより有効化される予定です。ご迷惑をおかけします。","귀하가 소유하는 이 은신처는 이번 게임 버전에서는 지원하고 있지 않습니다. 추후 패치를 진행하여 수정하도록 하겠습니다. 불편을 드려 정말 죄송합니다.","Você possui este Refúgio, mas ele não é suportado nesta versão do jogo. Ele será reativado em um patch futuro. Pedimos desculpas pelo atraso.","Вы являетесь владельцем этого убежища, но в настоящее время оно не поддерживается в этой версии игры. Оно будет доступно в следующем обновлении. Приносим извинения за задержку.","Tienes esta guarida, pero todavía no es compatible con esta versión del juego. La activaremos en un próximo parche. Pedimos disculpas por la demora.","คุณ​เป็น​เจ้าของ​ที่​ซ่อน​นี้ แต่​ปัจจุบัน​ตัว​เกม​เวอร์ชั่น​ปัจจุบัน​ยัง​ไม่​สามารถ​รองรับ​ที่​ซ่อน​นี้​ได้ ที่​ซ่อน​นี้​จะ​เปิด​ให้​ใช้​งาน​ใน​แพทช์​ใหม่​ใน​ภาย​หลัง เรา​ขออภัย​ใน​ความ​ล่าช้า","你擁有此藏身處，但目前不符合此遊戲版本。會在未來的版本啟用。很抱歉造成你的不便。"
74,1649,4741,"Metadata/Terrain/Missions/Hideouts/Crucible/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleLeagueHideout",1,0,0,1,[],"",1,1,7928,"","","","","","","","","",""
75,1650,52201,"Metadata/Terrain/Missions/Hideouts/AncestralTrial/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrialoftheAncestorsHideout",1,0,0,1,[],"",1,1,7929,"","","","","","","","","",""
76,1651,47535,"Metadata/Terrain/Missions/Hideouts/Escher/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnigmaHideout",1,0,0,1,[],"",1,1,7930,"","","","","","","","","",""
77,1653,18470,"Metadata/Terrain/Missions/Hideouts/WorldTurtle/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/WorldTurtleHideout",1,0,0,1,[],"",1,1,7931,"","","","","","","","","",""
78,1654,23507,"Metadata/Terrain/Missions/Hideouts/Lake/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,[],"",1,1,7932,"","","","","","","","","",""
79,1652,19160,"Metadata/Terrain/Missions/Hideouts/MistWoods/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/WildwoodHideout",1,0,0,1,[],"",1,1,7933,"","","","","","","","","",""
80,1655,64352,"Metadata/Terrain/Missions/Hideouts/LakeEvil/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,[],"",1,1,7934,"","","","","","","","","",""
81,1656,382,"Metadata/Terrain/Missions/Hideouts/Racetrack/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VastiriRacetrackHideout",1,0,0,1,[],"",1,1,7935,"","","","","","","","","",""
82,1657,30315,"Metadata/Terrain/Hideouts/Dreadnought/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DreadnoughtHideout",1,0,0,1,[],"",1,1,7936,"","","","","","","","","",""
83,1648,15656,"Metadata/Terrain/Hideouts/BeaconOfSalvation/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BeaconOfSalvationHideout",1,0,0,1,[],1,1,1,7937,"","","","","","","","","",""
84,1658,59052,"Metadata/Terrain/Hideouts/Summit/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/JusticeSummitHideout",1,0,0,1,[],1,1,1,7944,"","","","","","","","","",""
85,1659,23536,"Metadata/Terrain/Hideouts/ArcaneIsle/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ArcaneIsleHideout",1,0,0,1,[],"",1,1,7946,"","","","","","","","","",""
86,1660,8363,"Metadata/Terrain/Hideouts/Shipwreck/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShipwreckHideout",1,0,0,1,[],"",1,1,7945,"","","","","","","","","",""
87,1663,1248,"Metadata/Terrain/Hideouts/BlankUrban/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutUrban",1,0,0,1,[],"",1,1,7950,"","","","","","","","","",""
88,1664,60854,"Metadata/Terrain/Hideouts/BlankMountain/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutIce",1,0,0,1,[],"",1,1,7951,"","","","","","","","","",""
89,1665,2292,"Metadata/Terrain/Hideouts/BlankDesert2/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutDesert",1,0,0,1,[],"",1,1,7952,"","","","","","","","","",""
90,1666,1368,"Metadata/Terrain/Hideouts/BlankCrypt/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutCrypt",1,0,0,1,[],"",1,1,7953,"","","","","","","","","",""
91,1668,6697,"Metadata/Terrain/Hideouts/ColossalTitan/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TitanApexHideout",1,0,0,1,[],"",1,1,7955,"","","","","","","","","",""
92,1661,61152,"Metadata/Terrain/Hideouts/Sacrifice/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SacrificeHideout",1,0,0,1,[],"",1,1,7948,"","","","","","","","","",""
93,1662,31541,"Metadata/Terrain/Hideouts/Verdant/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VerdantHideout",1,0,0,1,[],"",1,1,7949,"","","","","","","","","",""
94,1667,64598,"Metadata/Terrain/Hideouts/SunkenPalace/decoration.hideout",[],"","",1,0,0,1,[],"",1,1,7954,"","","","","","","","","",""
95,1669,53580,"Metadata/Terrain/Hideouts/BlankJungle/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankJungleHideout",1,0,0,1,[],"",1,1,7956,"","","","","","","","","",""
96,1670,42390,"Metadata/Terrain/Hideouts/BlankVolcanicCave/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankVolcanicCaveHideout",1,0,0,1,[],"",1,1,7957,"","","","","","","","","",""
97,1671,3422,"Metadata/Terrain/Hideouts/VampireManor/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VampireInterludeHideout",1,0,0,1,[],"",1,1,7958,"","","","","","","","","",""
98,1672,42641,"Metadata/Terrain/Hideouts/ArenaIncursion/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtzirisArenaHideout",1,0,0,1,[],"",1,1,8242,"","","","","","","","","",""
99,1673,56571,"Metadata/Terrain/Hideouts/RemidusMonastery/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RemidusHideout",1,0,0,1,[],"",1,1,7959,"","","","","","","","","",""
100,1674,47588,"Metadata/Terrain/Hideouts/Ship/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShipHideout",1,0,0,1,[],"",1,1,7962,"","","","","","","","","",""
101,1675,49015,"Metadata/Terrain/Hideouts/BlankIce/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FrozenLakeHideout",1,0,0,1,[],"",1,1,7960,"","","","","","","","","",""
102,1676,5496,"Metadata/Terrain/Hideouts/BlankFire/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FireHideout",1,0,0,1,[],"",1,1,7961,"","","","","","","","","",""
