"rownum","MTX","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DDSFile","i32_36","string_40"
21,4195,4,"Shifting","Changeant","Wechsel","変化","변화","Mutável","Переменный","Cambiante","สับเปลี่ยนธาตุ","移動","",65,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
22,4232,1,"Base","Basique","Basis","基本","기본","Base","Базовый","Base","พื้นฐาน","基礎","",65,""
23,4232,2,"Flair","Élégance","Flair","フレア","멋부림","Esperto","Особый вид","Estilo","ประดับประดา","風格","",65,""
24,4232,3,"Lotus Blood","Sang du Lotus","Lotusblut","睡蓮の血","연꽃 피","Sangue de Lotus","Кровь лотоса","Sangre de loto","เลือดบัวราตรี","蓮花之血","",65,""
25,4232,4,"Body Flowers","Fleurs d'armure","Körperblumen","ボディフラワー","몸의 꽃","Flores Corporais","Нательные цветы","Flores corporales","ดอกขึ้นร่าง","身體花朵","",65,""
26,4232,5,"Shadows","Ombres","Schatten","影","그림자","Sombras","Тени","Sombras","เงา","陰影","",65,""
27,4230,1,"Base","Basique","Basis","基本","기본","Base","Базовый","Base","พื้นฐาน","基礎","",65,""
28,4230,2,"Footprints","Empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效","",65,""
29,4231,1,"Base","Basique","Basis","基本","기본","Base","Базовый","Base","พื้นฐาน","基礎","",65,""
30,4231,2,"Flair","Élégance","Flair","フレア","멋부림","Esperto","Особый вид","Estilo","ประดับประดา","風格","",65,""
31,4231,3,"Lotus on Kill","Lotus en Tuant","Lotus bei Tötung","キル時睡蓮","처치 시 연꽃","Lotus ao Matar","Лотус при убийстве","Lotus al matar","บัวราตรีเมื่อสังหาร","擊殺時蓮花","",65,""
32,4229,1,"Flower","Fleur","Blume","花","꽃","Flor","Цветок","Flor","ดอกไม้","花朵","",65,""
33,4229,2,"Hat","Chapeau","Helm","帽子","모자","Chapéu","Шляпа","Sombrero","หมวก","帽子","",65,""
34,4229,3,"Full Head","Tête complète","Vollständiger Helm","頭全体","머리 전체","Toda Cabeça","Полный головной убор","Cabeza entera","ปิดศีรษะ","整顆頭","",65,""
35,4229,4,"Lotus Life","Vie du Lotus","Lotusleben","睡蓮ライフ","연꽃 생명","Vida de Lotus","Здоровье лотоса","Vida de loto","ชีวิตบัวราตรี","蓮花生命","",65,""
36,4208,1,"No on Kill","Non en Tuant","Keiner bei Tötung","キル時でない","처치 시 없음","Não ao Matar","Не использовать при убийстве","No al matar","ไม่มีเอฟเฟคเมื่อสังหาร","非擊殺時","",65,""
37,4208,2,"On Kill","en Tuant","Bei Tötung","キル時","처치 시","Ao Matar","Использовать при убийстве","Al matar","มีเอฟเฟคเมื่อสังหาร","擊殺時","",65,""
38,4453,1,"Metal","Métal","Metall","金属","금속","Metal","Металл","Metal","เหล็ก","金屬","",65,""
39,4453,2,"Cloth","Tissu","Stoff","布地","천","Pano","Ткань","Tela","ผ้า","布料","",65,""
40,7435,1,"Blue","Bleu","Blau","青","파란색","Azul","Голубой","Azul","ฟ้า","藍","",65,""
41,7435,2,"Purple","Violet","Violett","紫","노란색","Púrpura","Фиолетовый","Morado","ม่วง","紫","",65,""
42,7435,3,"Orange","Orange","Orange","オレンジ","보라색","Laranja","Оранжевый","Naranja","ส้ม","橘","",65,""
43,7435,4,"Dynamic","Dynamique","Dynamisch","ダイナミック","주황색","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",65,""
44,7435,5,"Dynamic","Dynamique","Dynamisch","ダイナミック","동적","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",65,""
45,7553,1,"Primal","Primitive","Urzeitlich","プライマル","Primal","Primal","Первобытный","Primitivo","เก่าแก่","原始","",65,""
46,7553,2,"Vivid","Vivace","Lebhaft","ビビッド","Vivid","Vivaz","Буйный","Vívido","สดใส","靈現","",65,""
47,7553,3,"Wild","Sauvage","Wild","ワイルド","Wild","Selvagem","Дикий","Salvaje","เกรี้ยวกราด","荒野","",65,""
48,7553,4,"Sacred","Sacré","Heilig","神聖","Sacred","Sagrado","Священный","Sagrado","ศักดิ์สิทธิ์","聖潔","",65,""
49,7571,1,"Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","",65,""
50,7571,2,"Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","",65,""
51,7565,1,"Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","Ground Effects Disabled","",65,""
52,7565,2,"Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","Ground Effects Enabled","",65,""
