"rownum","BaseItemTypesKey","i32_16","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","HASH16","AchievementItemsKeys"
53,3545,501,"high level Corrupted Gem or Valuable Gem","Gemme corrompue de haut niveau, ou Gemme de valeur","Hochstufige verderbte Gemme oder wertvolle Gemme","高レベルコラプトジェムまたは高価値なジェム","고레벨 타락한 젬 혹은 귀중한 젬","Gema de nível alto Corrompida ou Gema Valiosa","Осквернённый камень умения высокого уровня или ценный камень умения","Gema corrupta de nivel alto o gema valiosa","หินเลเวลสูงที่มีมลทิน หรือ หินล้ำค่า","高等已汙染寶石或有價值寶石",41974,[]
54,3546,301,"Item","Objet","Gegenstand","アイテム","아이템","Item","Предмет","Objeto","ไอเทม","物品",55071,[]
55,3547,121,"Quality Gem","Gemme de qualité","Gemme mit Qualität","高品質ジェム","퀄리티 젬","Gema com Qualidade","Качественный камень умения","Gema con calidad","หินที่มีค่าคุณภาพ","品質寶石",43471,[]
56,3548,151,"Bestiary Item","Objet de Bestiary","Bestiary-Gegenstand","ベスティアリーアイテム","야수 도감 아이템","Item Bestiary","Предмет Бестиария","Objeto de Bestiary","ไอเทม สมุดรวมสัตว์","獸獵之物",58563,[]
57,3549,221,"Blight Item","Objet de l'Infestation","Blight-Gegenstand","ブライトアイテム","역병 아이템","Item Blight","Предмет Скверны","Objeto de Blight","ไอเทม ไบล์ท","凋落之物",24651,[]
58,3550,221,"Ultimatum Item","Objet d'Ultimatum","Ultimatum-Gegenstand","アルティメイタムアイテム","결전 아이템","Item Ultimatum","Предмет Ультиматума","Objeto de Ultimatum","ไอเทม คำขาด","通牒之物",65346,[]
59,3551,431,"Delirium Item","Objet du Délire","Delirium-Gegenstand","デリリウムアイテム","환영 아이템","Item Delirium","Предмет Делириума","Objeto de Delirium","ไอเทม เดลิเรียม","譫妄之物",12740,[]
60,3552,351,"Djinn Coin or Gold","Pièce de Djinn","Djinn-Münze","ジンのコイン","진 주화","Moeda Djinn","Монета джинна","Moneda de genio","เหรียญจินน์","巨靈硬幣",74,[]
61,3553,789,"Valuable Djinn Coin","Pièce de Djinn précieuse","Wertvolle Djinn-Münze","貴重なジンのコイン","귀중한 진 주화","Moeda Djinn Valiosa","Ценная монета джинна","Moneda de genio valiosa","เหรียญจินน์ล้ำค่า","有價值的巨靈硬幣",8640,[]
62,3554,444,"Empowered Mirage Map","Carte Mirage Améliorée","Ermächtigte Trugbild-Karte","強化ミラージュマップ","강화된 허상 지도","Mapa de Miragem Fortalecida","Усиленная карта миража","Mapa de espejismo potenciado","แผนที่มิราจเสริมฤทธิ์","強化的蜃景地圖",29174,[]
