"rownum","Id","DisplayedName","DisplayedName (French)","DisplayedName (German)","DisplayedName (Japanese)","DisplayedName (Korean)","DisplayedName (Portuguese)","DisplayedName (Russian)","DisplayedName (Spanish)","DisplayedName (Thai)","DisplayedName (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ActionType","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool_112","string_113","bool_121","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool_175","bool_176","[rid]_177","i32_193","AlternateSkillTargetingBehavioursKey","bool_213","AIFile","[rid]_222","bool_238","bool_239","bool_240","TransfigureBase"
40,"vaal_immortal_call","Vaal Immortal Call","Clameur d'immortalité vaal","Vaal-Schrei der Unsterblichkeit","ヴァ―ルイモータルコール","바알 불멸의 외침","Chamado Imortal Vaal","Призыв к бессмертию ваал","Llamado inmortal vaal","วาล์ เรียกความอมตะ (Vaal Immortal Call)","瓦爾．不朽怒嚎","Discharges Endurance Charges, making the character unable to die or gain Vaal souls for a short time, proportional to how many endurance charges were expended.","Un sort qui consomme toutes les charges d'endurance et empêche l'utilisateur de mourir pour une courte durée, proportionnelle au nombre de charges d'endurances ainsi dépensées.","Entlädt Widerstands-Ladungen und lässt den Charakter für eine kurze Zeit unsterblich werden und diesen keine Vaal-Seelen erhalten. Die Dauer ist proportional zur Anzahl von Widerstands-Ladungen, die verbraucht werden.","エンデュランスチャージを開放し、短い時間プレイヤーは死ななくなり、ヴァールソウルを得られなくなる。効果時間は消費したエンデュランスチャージの数に比例する。","인내 충전을 방출하여 짧은 시간 동안 캐릭터가 죽지 않으며 바알 영혼을 획득하도록 해줍니다. 지속시간은 소모된 인내 충전에 비례합니다.","Consome Cargas de Tolerância, tornando o personagem incapaz de morrer ou ganhar almas Vaal por um curto período, proporcional a quantas cargas de tolerância foram gastas.","Герой лишается всех накопленных зарядов выносливости и ненадолго становится бессмертным. Длительность защиты зависит от количества потраченных зарядов. Во время действия нельзя получать души ваал.","Consume cargas de aguante y hace que el personaje no pueda morir ni obtener almas vaal durante un corto período de tiempo, proporcional a la cantidad de cargas de aguante consumidas.","ใช้ Endurance Charge ทำให้ตัวละครไม่สามารถตายได้และไม่ได้รับ วิญญาณวาล์ เป็นเวลาสั้นๆ โดยมีระยะเวลาขึ้นอยู่กับจำนวน Endurance Charge ที่ใช้ไป","消耗耐力球，根據消耗的耐力球，使你的角色在一段時間無法死亡或無法獲得瓦爾靈魂。",18,"Art/2DArt/SkillIcons/immortalcall.dds",[4],"[1,4,8,14,37,85,89]",[],"","",1,"","",22,1,"[4351,9915]","[217,361]",[],1,1,[],8,"","","",[],"","",1,""
41,"dual_strike","Dual Strike","Frappes simultanées","Zweifachschlag","デュアルストライク","쌍수 타격","Ataque Combinado","Парный удар","Golpe dual","ฟาดคู่ (Dual Strike)","雙持打擊","Attacks with both weapons, dealing the damage of both in one strike. Dual wield only. Does not work with wands.","Une attaque simultanée avec l'arme principale et secondaire, qui inflige les dégâts des deux armes en un seul coup. Fonctionne uniquement avec une arme dans chaque main, et ne fonctionne pas avec les baguettes.","Greift mit beiden Waffen an, um mit einem Schlag den Schaden beider Waffen zuzufügen. Kann nur mit zwei Waffen verwendet werden. Funktioniert nicht mit Zauberstäben.","両方の武器で攻撃し、両武器のダメージを強力な一撃として与える。二刀流でのみ使用可能で、ワンドでは使用できない。","양손의 무기로 한번에 공격하여 피해를 줍니다. 쌍수를 사용해야 하며 마법봉은 해당되지 않습니다.","Ataca com ambas as armas, causando o dano de ambas em um ataque. Dupla empunhadura apenas. Não funciona com varinhas.","Герой атакует двумя оружиями сразу, нанося парный удар. Умение требует два одноручных оружия. Не работает с жезлами.","Ataca con las dos armas e inflige el daño de ambas en un solo golpe. Solo funciona si empuñas dos armas y no funciona con varitas.","โจมตีด้วยอาวุธทั้งสอง สร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการฟาดครั้งเดียว ต้องถือ อาวุธคู่ เท่านั้น ไม่สามารถใช้กับ ไม้กายสิทธิ์ ได้","使用兩把武器對目標同時進行攻擊並造成傷害。限定雙持（不包含法杖）。",19,"Art/2DArt/SkillIcons/icondualswing.dds","[1,2]","[0,3,20,23,19,43]","[6,7,9,10,11,12,32,16,56]","Double Strike was not the only attack Fammal mastered during his years in the arenas. He also perfected the technique of the Dual Strike, and used it to decimate countless opponents. Those who follow in his footsteps seek to duplicate the art, and at high levels of skill, a few manage. Dual Strike lashes out at a single target with tremendous force, slicing or smashing it with both weapons simultaneously. When executed by a master swordsman, just one Dual Strike is often enough to end the battle.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/dual_strike.jpg","","DualStrike","",22,1,"[4004,4226,4262,5432,12007,12010,12013,12016,12019,5864,18110]","[24,70,556,5461,12008,12011,12014,12017,12020,18203,21479]",[],1,1,[18110],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
42,"dual_strike_alt_x","Dual Strike of Ambidexterity","Frappes simultanées de l'Ambidextrie","Zweifachschlag der Beidhändigkeit","両利きのデュアルストライク","양손잡이의 쌍수 타격","Golpe Duplo da Ambidestria","Парный удар амбидекстрии","Golpe dual de ambidestreza","ฟาดคู่แห่งความถนัดสองมือ (Dual Strike of Ambidexterity)","雙持打擊．靈活","Attacks with both weapons, dealing the damage of both in one strike. Requires dual-wielding two different melee weapon types to use.","Une attaque simultanée avec l'arme principale et secondaire, qui inflige les dégâts des deux armes en un seul coup. Nécessite d'utiliser deux types différents d'armes de mêlée.","Greift mit beiden Waffen an, um mit einem Schlag den Schaden beider Waffen zuzufügen. Kann nur mit zwei verschiedenen Einhand-Waffentypen verwendet werden.","両方の武器で攻撃し、両武器のダメージを一つの強打で与える。異なった近接武器2種による二刀流でのみ使える。","양손의 무기로 한번에 공격하여 피해를 줍니다. 두 가지 유형의 근접 무기를 쌍수로 장착하고 있어야 사용할 수 있습니다.","Ataca com ambas as armas, causando o dano de ambas em um ataque. Dupla empunhadura apenas. Não funciona com varinhas.","Герой атакует двумя оружиями сразу, нанося парный удар. Умение требует два разных одноручных оружия ближнего боя.","Ataca con las dos armas e inflige el daño de ambas en un solo golpe. Solo funciona si empuñas dos tipos de armas cuerpo a cuerpo diferentes.","โจมตีด้วยอาวุธทั้งสอง สร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการฟาดครั้งเดียว ต้องถือ อาวุธคู่สองชนิดต่างกัน เท่านั้น จึงจะใช้สกิลนี้ได้","使用兩把武器對目標同時進行攻擊並造成傷害。限定雙持不同近戰武器來使用。",19,"Art/2DArt/SkillIcons/icondualswing.dds","[1,2]","[0,3,118,20,23,19,43]","[6,7,9,10,11,12,32,16,56]","Double Strike was not the only attack Fammal mastered during his years in the arenas. He also perfected the technique of the Dual Strike, and used it to decimate countless opponents. Those who follow in his footsteps seek to duplicate the art, and at high levels of skill, a few manage. Dual Strike lashes out at a single target with tremendous force, slicing or smashing it with both weapons simultaneously. When executed by a master swordsman, just one Dual Strike is often enough to end the battle.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/dual_strike.jpg","","DualStrike","",22,1,"[4004,4226,4262,5432,12007,12010,12013,12016,12019,5864,18110]","[24,70,556,5461,12008,12011,12014,12017,12020,18203,21479]",[],1,1,[18110],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,41
43,"dual_strike_alt_y","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","Attacks with both weapons, dealing the damage of both in one strike. Dual wield only. Does not work with wands.","Une attaque simultanée avec l'arme principale et secondaire, qui inflige les dégâts des deux armes en un seul coup. Fonctionne uniquement avec une arme dans chaque main, et ne fonctionne pas avec les baguettes.","Greift mit beiden Waffen an, um mit einem Schlag den Schaden beider Waffen zuzufügen. Kann nur mit zwei Waffen verwendet werden. Funktioniert nicht mit Zauberstäben.","両方の武器で攻撃し、両武器のダメージを一つの強打で与える。二刀流でのみ使える。ワンドでは使えない。","양손의 무기로 한번에 공격하여 피해를 줍니다. 쌍수를 사용해야 하며 마법봉은 해당되지 않습니다.","Ataca com ambas as armas, causando o dano de ambas em um ataque. Dupla empunhadura apenas. Não funciona com varinhas.","Герой атакует двумя оружиями сразу, нанося парный удар. Умение требует два одноручных оружия. Не работает с жезлами.","Ataca con las dos armas e inflige el daño de ambas en un solo golpe. Solo funciona si empuñas dos armas y no funciona con varitas.","โจมตีด้วยอาวุธทั้งสอง สร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการฟาดครั้งเดียว ต้องถือ อาวุธคู่ เท่านั้น ไม่สามารถใช้กับ ไม้กายสิทธิ์ ได้","使用兩把武器對目標同時進行攻擊並造成傷害。限定雙持（不包含法杖）。",19,"Art/2DArt/SkillIcons/icondualswing.dds","[1,2]","[0,3,20,23,19,43]","[6,7,9,10,11,12,32,16,56]","Double Strike was not the only attack Fammal mastered during his years in the arenas. He also perfected the technique of the Dual Strike, and used it to decimate countless opponents. Those who follow in his footsteps seek to duplicate the art, and at high levels of skill, a few manage. Dual Strike lashes out at a single target with tremendous force, slicing or smashing it with both weapons simultaneously. When executed by a master swordsman, just one Dual Strike is often enough to end the battle.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/dual_strike.jpg","","DualStrike","",22,1,"[4004,4226,4262,5432,12007,12010,12013,12016,12019,5864,18110]","[24,70,556,5461,12008,12011,12014,12017,12020,18203,21479]",[],1,1,[18110],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,41
44,"whirling_blades","Whirling Blades","Lames tourbillonnantes","Wirbelnde Klingen","ワーリングブレード","칼날 선회","Lâminas Giratórias","Шквал клинков","Filos giratorios","รำมีดพุ่ง (Whirling Blades)","迴旋之刃","Dive through enemies, dealing weapon damage. If dual wielding attacks with both weapons, dealing the damage of both in one hit. Only works with Daggers, Claws, and One-Handed Swords.","Un plongeon à travers les ennemis, qui inflige des dégâts d'arme. Si vous maniez deux armes, vous attaquerez avec vos deux armes simultanément pour n'infliger qu'un seul coup. Fonctionne uniquement avec les dagues, épées à une main ou griffes.","Ihr bewegt Euch durch Gegner hindurch und verursacht Waffenschaden. Beim Tragen zweier Waffen wird mit beiden Waffen angegriffen und der Schaden von beiden in einem einzigen Treffer verursacht. Funktioniert nur mit Dolchen, Klauen oder Einhandschwertern.","敵に向かって飛び込み、武器ダメージを与える。二刀流状態で両方の武器を使って攻撃した場合、両方のダメージを1回の攻撃で与える。使用するには短剣、鉤爪または片手剣を装備する必要がある。","나선형으로 돌진하여 무기 피해를 줍니다. 쌍수 사용 시 두 무기로 공격하여 한 번 명중으로 두 무기의 피해를 모두 줍니다. 단검과 클로, 한손 검으로만 사용할 수 있습니다.","Mergulha nos inimigos, causando dano da arma. Enquanto em empunhadura dupla, ataca com ambas as armas, causando o dano das duas em um único acerto. Só funciona com Adagas, Garras e Espadas de Uma Mão.","Герой устремляется вперёд сквозь врагов, по пути нанося урон от оружия. При ношении оружия в каждой руке атакует обеими руками сразу. Умение требует кинжал, когти или одноручный меч.","Te lanzas entre los enemigos e infliges daño de arma. Si empuñas dos armas, atacarás con ambas e infligirás el daño de las dos en un solo golpe. Solo funciona con dagas, garras y espadas a una mano.","พุ่งผ่านศัตรู สร้างความเสียหายด้วยอาวุธ หากถือ อาวุธคู่ จะโจมตีด้วยอาวุธทั้งสองแล้วสร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการปะทะครั้งเดียว ใช้ได้กับมีด, กรงเล็บ, ดาบมือเดียว เท่านั้น","迅速穿越敵人並同時造成武器傷害。如果雙持武器攻擊，會使用兩把武器打出一次性傷害。限定匕首、爪以及單手劍。",20,"Art/2DArt/SkillIcons/iconbladeflurry.dds","[1,2,9]","[0,19,33,78]","[7,9,10,6,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/blade_flurry.jpg","","WhirlingBlades","",22,1,"[4411,4073]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
45,"whirling_blades_alt_x","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","Dive through enemies, dealing weapon damage. If dual wielding attacks with both weapons, dealing the damage of both in one hit. Only works with Daggers, Claws, and One-Handed Swords.","Un plongeon à travers les ennemis, qui inflige des dégâts d'arme. Si vous maniez deux armes, vous attaquerez avec vos deux armes simultanément pour n'infliger qu'un seul coup. Fonctionne uniquement avec les dagues, épées à une main ou griffes.","Ihr bewegt Euch durch Gegner hindurch und verursacht Waffenschaden. Beim Tragen zweier Waffen wird mit beiden Waffen angegriffen und der Schaden von beiden in einem einzigen Treffer verursacht. Funktioniert nur mit Dolchen, Klauen oder Einhandschwertern.","敵に向かって飛び込み、武器ダメージを与える。二刀流状態で両方の武器を使って攻撃した場合、両方のダメージを1回の攻撃で与える。使用するには短剣、鉤爪または片手剣を装備する必要がある。","나선형으로 돌진하여 무기 피해를 줍니다. 쌍수 사용 시 두 무기로 공격하여 한 번 명중으로 두 무기의 피해를 모두 줍니다. 단검과 클로, 한손 검으로만 사용할 수 있습니다.","Mergulha nos inimigos, causando dano da arma. Enquanto em empunhadura dupla, ataca com ambas as armas, causando o dano das duas em um único acerto. Só funciona com Adagas, Garras e Espadas de Uma Mão.","Герой устремляется вперёд сквозь врагов, по пути нанося урон от оружия. При ношении оружия в каждой руке атакует обеими руками сразу. Умение требует кинжал, когти или одноручный меч.","Te lanzas entre los enemigos e infliges daño de arma. Si empuñas dos armas, atacarás con ambas e infligirás el daño de las dos en un solo golpe. Solo funciona con dagas, garras y espadas a una mano.","พุ่งผ่านศัตรู สร้างความเสียหายด้วยอาวุธ หากถือ อาวุธคู่ จะโจมตีด้วยอาวุธทั้งสองแล้วสร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการปะทะครั้งเดียว ใช้ได้กับมีด, กรงเล็บ, ดาบมือเดียว เท่านั้น","迅速穿越敵人並同時造成武器傷害。如果雙持武器攻擊，會使用兩把武器打出一次性傷害。限定匕首、爪以及單手劍。",20,"Art/2DArt/SkillIcons/iconbladeflurry.dds","[1,2,9]","[0,19,33,78]","[7,9,10,6,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/blade_flurry.jpg","","WhirlingBlades","",22,1,"[4411,4073]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,44
46,"whirling_blades_alt_y","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","Dive through enemies, dealing weapon damage. If dual wielding attacks with both weapons, dealing the damage of both in one hit. Only works with Daggers, Claws, and One-Handed Swords.","Un plongeon à travers les ennemis, qui inflige des dégâts d'arme. Si vous maniez deux armes, vous attaquerez avec vos deux armes simultanément pour n'infliger qu'un seul coup. Fonctionne uniquement avec les dagues, épées à une main ou griffes.","Ihr bewegt Euch durch Gegner hindurch und verursacht Waffenschaden. Beim Tragen zweier Waffen wird mit beiden Waffen angegriffen und der Schaden von beiden in einem einzigen Treffer verursacht. Funktioniert nur mit Dolchen, Klauen oder Einhandschwertern.","敵に向かって飛び込み、武器ダメージを与える。二刀流状態で両方の武器を使って攻撃した場合、両方のダメージを1回の攻撃で与える。使用するには短剣、鉤爪または片手剣を装備する必要がある。","나선형으로 돌진하여 무기 피해를 줍니다. 쌍수 사용 시 두 무기로 공격하여 한 번 명중으로 두 무기의 피해를 모두 줍니다. 단검과 클로, 한손 검으로만 사용할 수 있습니다.","Mergulha nos inimigos, causando dano da arma. Enquanto em empunhadura dupla, ataca com ambas as armas, causando o dano das duas em um único acerto. Só funciona com Adagas, Garras e Espadas de Uma Mão.","Герой устремляется вперёд сквозь врагов, по пути нанося урон от оружия. При ношении оружия в каждой руке атакует обеими руками сразу. Умение требует кинжал, когти или одноручный меч.","Te lanzas entre los enemigos e infliges daño de arma. Si empuñas dos armas, atacarás con ambas e infligirás el daño de las dos en un solo golpe. Solo funciona con dagas, garras y espadas a una mano.","พุ่งผ่านศัตรู สร้างความเสียหายด้วยอาวุธ หากถือ อาวุธคู่ จะโจมตีด้วยอาวุธทั้งสองแล้วสร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการปะทะครั้งเดียว ใช้ได้กับมีด, กรงเล็บ, ดาบมือเดียว เท่านั้น","迅速穿越敵人並同時造成武器傷害。如果雙持武器攻擊，會使用兩把武器打出一次性傷害。限定匕首、爪以及單手劍。",20,"Art/2DArt/SkillIcons/iconbladeflurry.dds","[1,2,9]","[0,19,33,78]","[7,9,10,6,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/blade_flurry.jpg","","WhirlingBlades","",22,1,"[4411,4073]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,44
47,"whirling_blades_cooldown","Whirling Blades","Lames tourbillonnantes","Wirbelnde Klingen","ワーリングブレード","칼날 선회","Lâminas Giratórias","Шквал клинков","Filos giratorios","รำมีดพุ่ง (Whirling Blades)","迴旋之刃","Dive through enemies, dealing weapon damage. If dual wielding attacks with both weapons, dealing the damage of both in one hit. Only works with Daggers, Claws, and One-Handed Swords.","Un plongeon à travers les ennemis, qui inflige des dégâts d'arme. Si vous maniez deux armes, vous attaquerez avec vos deux armes simultanément pour n'infliger qu'un seul coup. Fonctionne uniquement avec les dagues, épées à une main ou griffes.","Ihr bewegt Euch durch Gegner hindurch und verursacht Waffenschaden. Beim Tragen zweier Waffen wird mit beiden Waffen angegriffen und der Schaden von beiden in einem einzigen Treffer verursacht. Funktioniert nur mit Dolchen, Klauen oder Einhandschwertern.","敵に向かって飛び込み、武器ダメージを与える。二刀流状態で両方の武器を使って攻撃した場合、両方のダメージを1回の攻撃で与える。使用するには短剣、鉤爪または片手剣を装備する必要がある。","나선형으로 돌진하여 무기 피해를 줍니다. 쌍수 사용 시 두 무기로 공격하여 한 번 명중으로 두 무기의 피해를 모두 줍니다. 단검과 클로, 한손 검으로만 사용할 수 있습니다.","Mergulha nos inimigos, causando dano da arma. Enquanto em empunhadura dupla, ataca com ambas as armas, causando o dano das duas em um único acerto. Só funciona com Adagas, Garras e Espadas de Uma Mão.","Герой устремляется вперёд сквозь врагов, по пути нанося урон от оружия. При ношении оружия в каждой руке атакует обеими руками сразу. Умение требует кинжал, когти или одноручный меч.","Te lanzas entre los enemigos e infliges daño de arma. Si empuñas dos armas, atacarás con ambas e infligirás el daño de las dos en un solo golpe. Solo funciona con dagas, garras y espadas a una mano.","พุ่งผ่านศัตรู สร้างความเสียหายด้วยอาวุธ หากถือ อาวุธคู่ จะโจมตีด้วยอาวุธทั้งสองแล้วสร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการปะทะครั้งเดียว ใช้ได้กับมีด, กรงเล็บ, ดาบมือเดียว เท่านั้น","迅速穿越敵人並同時造成武器傷害。如果雙持武器攻擊，會使用兩把武器打出一次性傷害。限定匕首、爪以及單手劍。",20,"Art/2DArt/SkillIcons/iconbladeflurry.dds","[1,2,9,23]","[0,19,33,78,89]","[7,9,10,6,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/blade_flurry.jpg","","WhirlingBlades","",22,1,"[4411,4073]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
48,"frenzy","Frenzy","Frénésie","Raserei","フレンジー","격분","Frenesi","Бешенство","Frenesí","ระห่ำ (Frenzy)","狂怒","Performs an attack with a ranged weapon that gives the character a frenzy charge if it hits. Frenzy charges increase your attack speed.","Une attaque avec une arme à distance qui octroie au personnage une charge de frénésie au toucher. Les charges de frénésie augmentent votre vitesse d'attaque.","Führt einen Angriff mit einer Fernkampfwaffe aus, der dem Charakter bei Treffer eine Raserei-Ladung gewährt. Raserei-Ladungen erhöhen Eure Angriffsgeschwindigkeit.","敵に命中すれば使用者にフレンジーチャージを付与する遠距離武器によるアタックを行う。フレンジーチャージはアタックスピードを増加させる。","원거리 무기로 공격하여, 명중 시 격분 충전 효과를 획득합니다. 격분 충전 효과는 공격 속도를 증가시킵니다.","Executa um ataque com uma arma à distância que dá uma carga de frenesi ao personagem se ele acertar. Cargas de frenesi aumentam sua velocidade de ataque.","Герой атакует врага оружием дальнего боя и в случае попадания получает заряд ярости. Такие заряды повышают скорость атаки героя.","Ejecuta un ataque con un arma a distancia que otorga una carga de frenesí al personaje si golpea. Las cargas de frenesí aumentan tu velocidad de ataque.","ทำการโจมตีด้วยอาวุธระยะไกลที่มอบ Frenzy Charge 1 ลูกให้กับตัวละครหากปะทะสำเร็จ ซึ่ง Frenzy Charge จะเพิ่มความเร็วในการโจมตีของคุณ","使用遠程武器進行一次攻擊，若是命中敵人則累積一顆狂怒球。帶著狂怒球的狀態下將會增加你的攻擊速度。",21,"Art/2DArt/SkillIcons/iconfrenzy.dds","[1,2]","[0,40,57,2,56,14,13,15,31,126]","[13,8]","The bread and butter of any effective combat skill set, Frenzy is used by many and feared by all. With Frenzy active, every successful attack dealt accelerates the next attack, transforming the player into an offensive dervish. Once the Frenzy is at full intensity, it can be maintained indefinitely as long as the player strikes a new target in time. Several skills consume Frenzy charges when they are activated, enabling new ways to decimate foes.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/frenzy.jpg","","Frenzy","",22,1,"[4046,4296,18104]","[24,1660,8289]",[],1,1,[],8,3,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
49,"frenzy_alt_x","Frenzy of Onslaught","Frénésie de l'Assaut","Raserei des Ansturms","猛攻のフレンジー","맹공의 격분","Frenesi da Agressividade","Бешенство боевого ража","Frenesí de fervor","ระห่ำแห่งการเร่งราวี (Frenzy of Onslaught)","狂怒．猛攻","Perform a strike with a melee weapon that gives the character a frenzy charge if it hits. Frenzy charges increase your attack speed.","Une frappe à l'arme de mêlée qui octroie au personnage une charge de frénésie au toucher. Les charges de frénésie augmentent votre vitesse d'attaque.","Führt einen Angriff mit einer Nahkampfwaffe aus, der dem Charakter bei Treffer eine Raserei-Ladung gewährt. Raserei-Ladungen erhöhen Eure Angriffsgeschwindigkeit.","敵に命中すれば使用者にフレンジーチャージを付与する近接武器によるストライクを行う。フレンジーチャージはアタックスピードを増加させる。","근접 무기로 타격하여, 명중 시 격분 충전 효과를 획득합니다. 격분 충전 효과는 공격 속도를 증가시킵니다.","Executa um ataque com uma arma corpo a corpo que dá uma carga de frenesi ao personagem se ele acertar. Cargas de frenesi aumentam sua velocidade de ataque.","Герой атакует врага оружием ближнего боя и в случае попадания получает заряд ярости. Такие заряды повышают скорость атаки героя.","Ejecuta un ataque con un arma cuerpo a cuerpo que otorga una carga de frenesí al personaje si golpea. Las cargas de frenesí aumentan tu velocidad de ataque.","ทำการฟาดด้วยอาวุธประชิดที่มอบ Frenzy Charge 1 ลูกให้กับตัวละครหากปะทะสำเร็จ ซึ่ง Frenzy Charge จะเพิ่มความเร็วในการโจมตีของคุณ","使用近戰武器進行一次攻擊，若是命中敵人則累積一顆狂怒球。帶著狂怒球的狀態下將會增加你的攻擊速度。",21,"Art/2DArt/SkillIcons/iconfrenzy.dds","[1,2]","[0,20,23,19]","[9,10,15,11,16,12,32,17,14,36,57,7,56,6]","The bread and butter of any effective combat skill set, Frenzy is used by many and feared by all. With Frenzy active, every successful attack dealt accelerates the next attack, transforming the player into an offensive dervish. Once the Frenzy is at full intensity, it can be maintained indefinitely as long as the player strikes a new target in time. Several skills consume Frenzy charges when they are activated, enabling new ways to decimate foes.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/frenzy.jpg","","Frenzy","",22,1,"[4046,4296,18104]","[24,1660,8289]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,48
50,"frenzy_alt_y","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","Performs an attack with a ranged weapon that gives the character a frenzy charge if it hits. Frenzy charges increase your attack speed.","Une attaque avec une arme à distance qui octroie au personnage une charge de frénésie au toucher. Les charges de frénésie augmentent votre vitesse d'attaque.","Führt einen Angriff mit einer Fernkampfwaffe aus, der dem Charakter bei Treffer eine Raserei-Ladung gewährt. Raserei-Ladungen erhöhen Eure Angriffsgeschwindigkeit.","敵に命中すれば使用者にフレンジーチャージを付与する遠距離武器によるアタックを行う。フレンジーチャージはアタックスピードを増加させる。","원거리 무기로 공격하여, 명중 시 격분 충전 효과를 획득합니다. 격분 충전 효과는 공격 속도를 증가시킵니다.","Executa um ataque com uma arma à distância que dá uma carga de frenesi ao personagem se ele acertar. Cargas de frenesi aumentam sua velocidade de ataque.","Герой атакует врага оружием дальнего боя и в случае попадания получает заряд ярости. Такие заряды повышают скорость атаки героя.","Ejecuta un ataque con un arma a distancia que otorga una carga de frenesí al personaje si golpea. Las cargas de frenesí aumentan tu velocidad de ataque.","ทำการโจมตีด้วยอาวุธระยะไกลที่มอบ Frenzy Charge 1 ลูกให้กับตัวละครหากปะทะสำเร็จ ซึ่ง Frenzy Charge จะเพิ่มความเร็วในการโจมตีของคุณ","使用遠程武器進行一次攻擊，若是命中敵人則累積一顆狂怒球。帶著狂怒球的狀態下將會增加你的攻擊速度。",21,"Art/2DArt/SkillIcons/iconfrenzy.dds","[1,2]","[0,40,57,2,56,14,13,15,31,126]","[13,8]","The bread and butter of any effective combat skill set, Frenzy is used by many and feared by all. With Frenzy active, every successful attack dealt accelerates the next attack, transforming the player into an offensive dervish. Once the Frenzy is at full intensity, it can be maintained indefinitely as long as the player strikes a new target in time. Several skills consume Frenzy charges when they are activated, enabling new ways to decimate foes.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/frenzy.jpg","","Frenzy","",22,1,"[4046,4296,18104]","[24,1660,8289]",[],1,1,[],8,3,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,48
