"rownum","RecipeId","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription","UnlockDescription (French)","UnlockDescription (German)","UnlockDescription (Japanese)","UnlockDescription (Korean)","UnlockDescription (Portuguese)","UnlockDescription (Russian)","UnlockDescription (Spanish)","UnlockDescription (Thai)","UnlockDescription (Traditional Chinese)","Rank","UnlockArea"
30,181,"Chaos Damage - Rank 2","Dégâts de chaos - Rang 2","Chaosschaden - Rang 2","混沌ダメージ - ランク 2","카오스 피해 - 2단계","Dano de Caos - Rank 2","Урон хаосом - уровень 2","Daño de caos - Nivel 2","ความเสียหาย เคออส - ระดับ 2","混沌傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,158
31,188,"Defences - Rank 2","Défenses - Rang 2","Defensiven - Rang 2","防御力 - ランク 2","방어력 - 2단계","Defesas - Rank 2","Защита - уровень 2","Defensas - Nivel 2","ค่าป้องกัน - ระดับ 2","防禦－階級 2","[4,5,6,7,8]","","","","","","","","","","",2,90
32,148,"Movement Speed and Flask Enchantments - Rank 3","Vitesse de déplacement et Enchantements des Flacons - Rang 3","Bewegungsgeschwindigkeit und Fläschchenverzauberung - Rang 3","移動スピードおよびフラスコエンチャント - ランク 3","이동 속도 및 플라스크 인챈트 - 3단계","Velocidade de Movimento e Encantamento de Frasco - Rank 3","Скорость передвижения и зачарования флаконов - уровень 3","Velocidad de movimiento y encantamientos de frascos - Nivel 3","ความเร็ว​ใน​การ​เคลื่อนที่ และ เอนแชนท์​ขวดยา - ระดับ 3","移動速度和藥劑附魔－階級 3","[8,12]","Epilogue","L'Épilogue","Epilog","エピローグ","에필로그","Epílogo","Эпилог","Epílogo","บทส่งท้าย","終章",3,167
33,139,"All Resistances - Rank 1","Toutes les Résistances - Rang 1","Alle Widerstände - Rang 1","全耐性 - ランク 1","모든 저항 - 1단계","Todas as Resistências - Rank 1","Все сопротивления - уровень 1","Todas las resistencias - Nivel 1","ค่าต้านทาน ทุกชนิด - ระดับ 1","全部抗性－階級 1","[4,5,6,7,8,9,10,11,13]","Aspirant's Trial","L'Ordalie du Prétendant","Prüfung des Anwärters","志す者への試練","지망자의 시험","Provação do Aspirante","Испытание Претендента в обычном лабиринте","La Prueba del Aspirante","บททดสอบของผู้ใฝ่สูง","昇華試煉",1,535
34,137,"Double Resistances - Rank 2","Deux Résistances - Rang 2","Doppelte Widerstände - Rang 2","二重耐性 - ランク 2","이중 저항 - 2단계","Resistências Dobradas - Rank 2","Двойные сопротивления - уровень 2","Resistencias dobles - Nivel 2","ค่าต้านทาน สองชนิด - ระดับ 2","2 倍抗性－階級 2","[4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial","L'Ordalie cruelle du Prétendant","Grausame Prüfung des Anwärters","残酷な志す者への試練","잔혹한 지망자의 시험","Provação Cruel do Aspirante","Испытание Претендента в жестоком лабиринте","La Prueba del Aspirante Cruel","บททดสอบโหดร้ายของผู้ใฝ่สูง","殘酷昇華試煉",2,607
35,138,"Double Resistances - Rank 3","Deux Résistances - Rang 3","Doppelte Widerstände - Rang 3","二重耐性 - ランク 3","이중 저항 - 3단계","Resistências Dobradas - Rank 3","Двойные сопротивления - уровень 3","Resistencias dobles - Nivel 3","ค่าต้านทาน สองชนิด - ระดับ 3","2 倍抗性－階級 3","[4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial","L'Ordalie impitoyable du Prétendant","Gnadenlose Prüfung des Anwärters","無慈悲な志す者への試練","무자비한 지망자의 시험","Provação Impiedosa do Aspirante","Испытание Претендента в безжалостном лабиринте","La Prueba del Aspirante Despiadada","บททดสอบไร้ปรานีของผู้ใฝ่สูง","無情昇華試煉",3,679
36,140,"All Resistances - Rank 2","Toutes les Résistances - Rang 2","Alle Widerstände - Rang 2","全耐性 - ランク 2","모든 저항 - 2단계","Todas as Resistências - Rank 2","Все сопротивления - уровень 2","Todas las resistencias - Nivel 2","ค่าต้านทาน ทุกชนิด - ระดับ 3","全部抗性－階級 2","[4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial","L'Ordalie éternelle du Prétendant","Ewige Prüfung des Anwärters","永遠の志す者への試練","영원한 지망자의 시험","Provação Eterna do Aspirante","Испытание Претендента в Вечном Лабиринте","La Prueba del Aspirante Eterna","บททดสอบชั่วนิรันดร์ของผู้ใฝ่สูง","永恆昇華試煉",2,751
37,166,"Elemental Damage with Attacks - Rank 1","Dégâts élémentaires avec les Attaques - Rang 1","Elementarschaden mit Angriffen - Rang 1","アタック元素ダメージ - ランク 1","공격 시 원소 피해 - 1단계","Dano Elemental com Ataques - Rank 1","Урон от стихий атаками - уровень 1","Daño elemental con ataques - Nivel 1","ความเสียหาย ธาตุ ด้วยการโจมตี - ระดับ 1","元素攻擊傷害－階級 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs","L'Épreuve du Labyrinthe dans Les Catacombes","Labyrinth-Prüfung: Die Katakomben","地下墓地のラビリンスの試練","지하 묘지의 미궁 도전","Provação do Labirinto nas Catacumbas","Испытание Восхождения в Катакомбах","Prueba del Laberinto en las catacumbas","บททดสอบเขาวงกต ใน สุสานใต้ดิน","黑石陵墓的試煉迷宮",1,46
38,144,"All Attributes - Rank 1","Tous les Attributs - Rang 1","Alle Attribute - Rang 1","全能力値 - ランク 1","전체 능력치 - 1단계","Todos os Atributos - Rank 1","Все характеристики - уровень 1","Todos los atributos - Nivel 1","ค่าคุณสมบัติ ทุกชนิด - ระดับ 1","全能力值－階級 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens","L'Épreuve du Labyrinthe dans Les Jardins impériaux","Labyrinth-Prüfung: Die kaiserlichen Gärten","帝国の庭園のラビリンスの試練","황실 정원의 미궁 도전","Provação do Labirinto nos Jardins Imperiais","Испытание Восхождения в Имперских садах","Prueba del Laberinto en los jardines imperiales","บททดสอบเขาวงกต ใน สวนจักรพรรดิ","皇家花園的試煉迷宮",1,55
39,136,"Double Resistances - Rank 1","Deux Résistances - Rang 1","Doppelte Widerstände - Rang 1","二重耐性 - ランク 1","이중 저항 - 1단계","Resistências Dobradas - Rank 1","Двойные сопротивления - уровень 1","Resistencias dobles - Nivel 1","ค่าต้านทานสองชนิด - ระดับ 1","2 倍抗性－階級 1","[4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison","L'Épreuve du Labyrinthe dans La Prison, niv. inférieur","Labyrinth-Prüfung: Das untere Gefängnis","牢獄 -下層-のラビリンスの試練","수용소 하층의 미궁 도전","Provação do Labirinto no Andar de Baixo da Prisão","Испытание Восхождения в Тюремном подземелье","Prueba del Laberinto en la prisión inferior","บททดสอบเขาวงกต ใน เรือนจำชั้นล่าง","禁靈之獄下層的試煉迷宮",1,92
40,164,"Damage over Time - Rank 1","Dégâts sur la durée - Rang 1","Schaden über Zeit - Rang 1","継続ダメージ - ランク 1","지속 피해 - 1단계","Dano Degenerativo - Rank 1","Постепенный урон - уровень 1","Daño degenerativo - Nivel 1","ความเสียหายต่อเนื่อง - ระดับ 1","持續傷害－階級 1","[0,1,2,3]","Labyrinth Trial in The Crypt","L'Épreuve du Labyrinthe dans La Crypte","Labyrinth-Prüfung: Die Krypta","地下聖堂のラビリンスの試練","지하실의 미궁 도전","Provação do Labirinto na Cripta","Испытание Восхождения в Склепе","Prueba del Laberinto en la cripta","บททดสอบเขาวงกต ใน สุสาน","靜謐陵墓的試煉迷宮",1,106
41,156,"Mana Regen - Rank 1","Régénération de Mana - Rang 1","Manaregeneration - Rang 1","マナ自動回復 - ランク 1","마나 재생 -1단계","Regeneração de Mana - Rank 1","Регенерация маны - уровень 1","Regeneración de maná - Nivel 1","ฟื้นฟูมานา - ระดับ 1","魔力回復－階級 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2","L'Épreuve du Labyrinthe dans La Chambre des péchés, niv. 2","Labyrinth-Prüfung: Die Kammer der Sünden - Ebene 2","罪の間 -第二層-のラビリンスの試練","죄악의 방 2층의 미궁 도전","Provação do Labirinto na Câmara dos Pecados Nível 2","Испытание Восхождения в Обители грехов — уровень 2","Prueba del Laberinto en el aposento de los pecados nivel 2","บททดสอบเขาวงกต ใน โถงแห่งบาป ชั้นที่ 2","罪孽之殿：第 2 層的試煉迷宮",1,108
42,192,"Flask Duration - Rank 1","Durée des Flacons - Rang 1","Fläschchendauer - Rang 1","フラスコ効果時間 - ランク 1","플라스크 지속시간 - 1단계","Duração de Frasco - Rank 1","Длительность флакона - уровень 1","Duración de frascos - Nivel 1","ระยะเวลาของขวดยา - ระดับ 1","藥劑持續時間－階級 1",[11],"Labyrinth Trial in The Bath House","L'Épreuve du Labyrinthe dans Les Thermes","Labyrinth-Prüfung: Das Badehaus","浴場のラビリンスの試練","목욕탕의 미궁 도전","Provação do Labirinto na Casa de Banho","Испытание Восхождения в Купальнях","Prueba del Laberinto en el baño público","บททดสอบเขาวงกต ใน โรงอาบน้ำ","大浴堂的試煉迷宮",1,124
43,145,"All Attributes - Rank 2","Tous les Attributs - Rang 2","Alle Attribute - Rang 2","全能力値 - ランク 2","전체 능력치 - 2단계","Todos os Atributos - Rank 2","Все характеристики - уровень 2","Todos los atributos - Nivel 2","ค่าคุณสมบัติ ทุกชนิด - ระดับ 2","全能力值－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel","L'Épreuve du Labyrinthe dans Le Tunnel","Labyrinth-Prüfung: Der Tunnel","坑道のラビリンスの試練","터널의 미궁 도전","Provação do Labirinto no Túnel","Испытание Восхождения в Туннеле","Prueba del Laberinto en el túnel","บททดสอบเขาวงกต ใน อุโมงค์","隧道遺跡的試煉迷宮",2,143
44,234,"Socket Numbers - 2 to 4 Sockets","Nombre de Châsses - 2 à 4 Châsses","Fassungsanzahl - 2 bis 4 Fassungen","ソケット数 - 2から4ソケット","홈 개수 - 홈 2~4개","Número de Encaixes - 2 a 4 Encaixes","Количество гнёзд - от 2 до 4 гнёзд","Número de engarces: 2 a 4 engarces","จำนวนรู - 2 ถึง 4 รู","插槽數量 - 2 至 4 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,69
45,237,"Socket Numbers - 5 Sockets","Nombre de Châsses - 5 Châsses","Fassungsanzahl - 5 Fassungen","ソケット数 - 5ソケット","홈 개수 - 홈 5개","Número de Encaixes - 5 Encaixes","Количество гнёзд - 5 гнёзд","Número de engarces: 5 engarces","จำนวนรู - 5 รู","插槽數量 - 5 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1216
46,238,"Socket Numbers - 6 Sockets","Nombre de Châsses - 6 Châsses","Fassungsanzahl - 6 Fassungen","ソケット数 - 6ソケット","홈 개수 - 홈 6개","Número de Encaixes - 6 Encaixes","Количество гнёзд - 6 гнёзд","Número de engarces: 6 engarces","จำนวนรู - 6 รู","插槽數量 - 6 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1102
47,239,"Socket Links - 2 to 4 Linked Sockets","Liens des Châsses - 2 à 4 Châsses reliées","Fassungsverbindungen - 2 bis 4 verbundene Fassungen","ソケットリンク - 2から4リンクソケット","홈 연결부 - 연결된 홈 2~4개","Conexões de Encaixes - 2 a 4 Encaixes Conectados","Количество связей - от 2 до 4 связанных гнёзд","Vínculos entre engarces: 2 a 4 engarces vinculados","เชื่อมรู - 2 ถึง 4 เชื่อม","插槽數量 - 2 至 4 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,67
48,242,"Socket Links - 5 Linked Sockets","Liens des Châsses - 5 Châsses reliées","Fassungsverbindungen - 5 verbundene Fassungen","ソケットリンク - 5リンクソケット","홈 연결부 - 연결된 홈 5개","Conexões de Encaixes - 5 Encaixes Conectados","Количество связей - 5 связанных гнёзд","Vínculos entre engarces: 5 engarces vinculados","เชื่อมรู - 5 เชื่อม","插槽連結 - 5 個相連插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1243
49,243,"Socket Links - 6 Linked Sockets","Liens des Châsses - 6 Châsses reliées","Fassungsverbindungen - 6 verbundene Fassungen","ソケットリンク - 6リンクソケット","홈 연결부 - 연결된 홈 6개","Conexões de Encaixes - 6 Encaixes Conectados","Количество связей - 6 связанных гнёзд","Vínculos entre engarces: 6 engarces vinculados","เชื่อมรู - 6 เชื่อม","插槽連結 - 6 個相連插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1122
50,244,"Socket Colours","Couleur des Châsses","Fassungsfarben","ソケット - 色","홈 색상","Cores do Encaixe","Цвета гнёзд","Colores de engarces","สีรู","插槽顏色","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,63
51,151,"Life and Mana - Rank 4","Vie et Mana - Rang 4","Leben und Mana - Rang 4","ライフおよびマナ - ランク 4","생명력 및 마나 - 4단계","Vida e Mana - Rank 4","Здоровье и мана - уровень 4","Vida y maná - Nivel 4","พลังชีวิตและมานา - ระดับ 4","生命和魔力－階級 4","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",4,1266
52,196,"Attack and Spell Block - Rank 1","Blocage des attaques et des sorts - Rang 1","Blocken und Entgehen von Angriffen - Rang 1","アタックおよびスペルブロック - ランク 1","공격 및 주문 막기 - 1단계","Ataque e Bloqueio Mágico - Rank 1","Блок атак и чар - уровень 1","Bloqueo de ataques y hechizos - Nivel 1","การบล็อคโจมตีและเวท - ระดับ 1","攻擊和法術格擋－階級 1","[4,6,1]","","","","","","","","","","",1,1116
53,193,"Flask Duration - Rank 2","Durée des Flacons - Rang 2","Fläschchendauer - Rang 2","フラスコ効果時間 - ランク 2","플라스크 지속시간 - 2단계","Duração de Frasco - Rank 2","Длительность флакона - уровень 2","Duración de frascos - Nivel 2","ระยะเวลาของขวดยา - ระดับ 2","藥劑持續時間－階級 2",[11],"","","","","","","","","","",2,1104
54,195,"Ailment, Stun and Curse Mitigation - Rank 2","Atténuation des Altérations, des Étourdissements et des Malédictions - Rang 2","Minderung von Beeinträchtigungen, Betäuben und Flüchen - Rang 2","状態異常、スタンおよび呪い緩和 - ランク 2","상태 이상, 기절 및 저주 완화 - 2단계","Afecções, Atordoamentos e Mitigação de Maldições - Rank 2","Облегчение состояний, оглушения и проклятий - уровень 2","Mitigación de estados alterados, aturdimiento y maldiciones - Nivel 2","การบรรเทา สถานะเจ็บป่วย, สตัน, คำสาป - ระดับ 2","異常狀態、暈眩和詛咒減免－階級 2","[5,7,8,9]","","","","","","","","","","",2,1238
55,191,"Criticals - Rank 2","Critiques - Rang 2","Kritische Chance - Rang 2","クリティカル - ランク 2","치명타 - 2단계","Críticos - Rank 2","Критические - уровень 2","Críticos - Nivel 2","คริติคอล - ระดับ 2","暴擊－階級 2","[0,1,2,3,10,13]","","","","","","","","","","",2,1246
56,199,"Special Defences - Rank 2","Défenses spéciales - Rang 2","Besondere Defensiven - Rang 2","特殊防御力 - ランク 2","특수 방어력 - 2단계","Defesas Especiais - Rank 2","Особые виды защиты - уровень 2","Defensas especiales - Nivel 2","ค่าป้องกันแบบพิเศษ - ระดับ 2","特殊防禦－階級 2","[6,4,5,7,8]","","","","","","","","","","",2,1208
57,197,"Attack and Spell Block - Rank 2","Blocage des attaques et des sorts - Rang 2","Blocken und Entgehen von Angriffen - Rang 2","アタックおよびスペルブロック - ランク 2","공격 및 주문 막기 - 2단계","Ataque e Bloqueio Mágico - Rank 1","Блок атак и чар - уровень 2","Bloqueo de ataques y hechizos - Nivel 2","การบล็อคโจมตีและเวท - ระดับ 2","攻擊和法術格擋－階級 2","[4,6,1]","","","","","","","","","","",2,1115
