"rownum","BaseItemTypesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","rid_144","rid_160","rid_176","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]_424","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]_957","Level2"
24,122,"","","","","","","","","","","","","",801,801,800,5081,818,5081,5081,5081,5081,3551268933,[48],"[13336,13352]",3,4,[931],"","",1420,1431,"",5081,"",5081,5081,5081,818,1431,1420,1431,1431,1431,1431,1420,1420,1420,1420,1420,1420,1420,13247,75,5081,801,800,"",5081,"","",[13344],[841],[48]
25,123,"","","","","","","","","","","","","",803,803,815,5083,819,5083,5083,5083,5083,4088977980,[68],"[13337,13251,13353]",3,5,[1024],"","",1422,1433,"",5083,"",5083,5083,5083,819,1433,1422,1433,1433,1433,1433,1422,1422,1422,1422,1422,1422,1422,13248,0,5083,803,815,"",5083,"",1,"[13345,13251]",[56],[68]
26,124,"","","","","","","","","","","","","",804,804,816,5084,820,5084,5084,5084,5084,2556951635,"[73,77]","[13338,13251,13354]",3,6,"[205,410]","","",1423,1434,"",5084,"",5084,5084,5084,820,1434,1423,1434,1434,1434,1434,1423,1423,1423,1423,1423,1423,1423,13249,0,5084,804,816,"",5084,"","","[13346,13251]",[0],[]
27,125,"","","","","","","","","","","","","",814,814,817,5085,821,5085,5085,5085,5085,1330507188,[],"[13339,13251,13355]",3,7,[0],"","",1427,1438,"",5085,"",5085,5085,5085,821,1438,1427,1438,1438,1438,1438,1427,1427,1427,1427,1427,1427,1427,13250,0,5085,814,817,"",5085,"","","[13347,13251]",[0],[]
28,126,"","","","","","","","","","","","","",92,"","","","","","","","",535092733,[12],"[13334,13357,13350]",4,2,[669],"","",9444,9450,"",92,"",92,92,92,92,9450,9444,9450,9450,9450,9450,9444,9444,9444,9444,9444,9444,9444,13238,45,92,92,92,92,92,92,"","[13342,13357]",[1657],[12]
29,127,"","","","","","","","","","","","","",93,"","","","","","","","",4027130977,[30],"[13335,13357,13351]",4,3,[736],"","",9445,9451,"",93,"",93,93,93,93,9451,9445,9451,9451,9451,9451,9445,9445,9445,9445,9445,9445,9445,13239,60,93,93,93,93,93,93,"","[13343,13357]",[1657],[30]
30,128,"","","","","","","","","","","","","",95,"","","","","","","","",3414847144,[48],"[13336,13357,13352]",4,4,[810],"","",9446,9452,"",95,"",95,95,95,95,9452,9446,9452,9452,9452,9452,9446,9446,9446,9446,9446,9446,9446,13240,75,95,95,95,95,95,95,"","[13344,13357]",[731],[48]
31,129,"","","","","","","","","","","","","",96,"","","","","","","","",1066624914,[68],"[13337,13357,13353]",4,5,[891],"","",9447,9453,"",96,"",96,96,96,96,9453,9447,9453,9453,9453,9453,9447,9447,9447,9447,9447,9447,9447,13241,0,96,96,96,96,96,96,1,"[13345,13357]",[49],[68]
32,130,"","","","","","","","","","","","","",98,"","","","","","","","",993214565,"[73,77]","[13338,13357,13354]",4,6,"[178,356]","","",9448,9454,"",98,"",98,98,98,98,9454,9448,9454,9454,9454,9454,9448,9448,9448,9448,9448,9448,9448,13242,0,98,98,98,98,98,98,"","[13346,13357]",[0],[]
33,131,"","","","","","","","","","","","","",101,"","","","","","","","",3736546759,[],"[13339,13357,13355]",4,7,[0],"","",9449,9455,"",101,"",101,101,101,101,9455,9449,9455,9455,9455,9455,9449,9449,9449,9449,9449,9449,9449,13243,0,101,101,101,101,101,101,"","[13347,13357]",[0],[]
34,132,"","","","","","","","","","","","",1932,3275,"","",3275,"","","","","",4258876072,[12],"[13334,13359,13350]",5,2,[669],1919,"","","",1932,3275,"",3275,3275,3275,3275,1932,1919,1932,1932,1932,1932,1919,1919,1919,1919,1919,1919,1919,13178,45,3275,3877,3877,3877,3275,"","","[13342,13359]",[1657],[12]
35,133,"","","","","","","","","","","","",1934,3276,"","",3276,"","","","","",2967538681,[30],"[13335,13359,13351]",5,3,[736],1921,"","","",1934,3276,"",3276,3276,3276,3276,1934,1921,1934,1934,1934,1934,1921,1921,1921,1921,1921,1921,1921,13179,60,3276,3878,3878,3878,3276,"","","[13343,13359]",[1657],[30]
36,134,"","","","","","","","","","","","",1936,3277,"","",3277,"","","","","",891153638,[48],"[13336,13359,13352]",5,4,[810],1923,"","","",1936,3277,"",3277,3277,3277,3277,1936,1923,1936,1936,1936,1936,1923,1923,1923,1923,1923,1923,1923,13180,75,3277,3879,3879,3879,3277,"","","[13344,13359]",[731],[48]
37,135,"","","","","","","","","","","","",1938,3279,"","",3279,"","","","","",128783824,[68],"[13337,13359,13353]",5,5,[891],1925,"","","",1938,3279,"",3279,3279,3279,3279,1938,1925,1938,1938,1938,1938,1925,1925,1925,1925,1925,1925,1925,13181,0,3279,3880,3880,3880,3279,"",1,"[13345,13359]",[49],[68]
38,136,"","","","","","","","","","","","",1939,3280,"","",3280,"","","","","",3842849709,"[73,77]","[13338,13359,13354]",5,6,"[178,356]",1926,"","","",1939,3280,"",3280,3280,3280,3280,1939,1926,1939,1939,1939,1939,1926,1926,1926,1926,1926,1926,1926,13182,0,3280,3881,3881,3881,3280,"","","[13346,13359]",[0],[]
39,137,"","","","","","","","","","","","",1951,3281,"","",3281,"","","","","",1536872438,[],"[13339,13359,13355]",5,7,[0],1929,"","","",1951,3281,"",3281,3281,3281,3281,1951,1929,1951,1951,1951,1951,1929,1929,1929,1929,1929,1929,1929,13183,0,3281,3882,3882,3882,3281,"","","[13347,13359]",[0],[]
40,138,"","","","","","","","","","","","","",1029,"","",5072,1019,5072,12784,5072,12784,3819655802,[12],"[13334,13358,13350]",6,2,[669],"","",10444,10482,"",5072,"",5072,12784,5072,1019,10482,10444,10482,10482,10482,10482,10444,10444,10444,10444,10444,10444,10444,13202,45,5072,1020,1020,1020,12784,"","","[13342,13358]",[1657],[12]
41,139,"","","","","","","","","","","","","",1031,"","",5073,1020,5073,12785,5073,12785,1008794806,[30],"[13335,13358,13351]",6,3,[736],"","",10446,10484,"",5073,"",5073,12785,5073,1020,10484,10446,10484,10484,10484,10484,10446,10446,10446,10446,10446,10446,10446,13203,60,5073,1022,1022,1022,12785,"","","[13343,13358]",[1657],[30]
42,140,"","","","","","","","","","","","","",1033,"","",5074,1021,5074,12786,5074,12786,3115613141,[48],"[13336,13358,13352]",6,4,[810],"","",10448,10486,"",5074,"",5074,12786,5074,1021,10486,10448,10486,10486,10486,10486,10448,10448,10448,10448,10448,10448,10448,13204,75,5074,1024,1024,1024,12786,"","","[13344,13358]",[731],[48]
43,141,"","","","","","","","","","","","","",1035,"","",5075,1022,5075,12787,5075,12787,747230036,[68],"[13337,13358,13353]",6,5,[891],"","",10449,10487,"",5075,"",5075,12787,5075,1022,10487,10449,10487,10487,10487,10487,10449,10449,10449,10449,10449,10449,10449,13205,0,5075,1026,1026,1026,12787,"",1,"[13345,13358]",[49],[68]
44,142,"","","","","","","","","","","","","",1036,"","",5076,1023,5076,12788,5076,12788,3468960644,"[73,77]","[13338,13358,13354]",6,6,"[178,356]","","",10450,10488,"",5076,"",5076,12788,5076,1023,10488,10450,10488,10488,10488,10488,10450,10450,10450,10450,10450,10450,10450,13206,0,5076,1027,1027,1027,12788,"","","[13346,13358]",[0],[]
45,143,"","","","","","","","","","","","","",1037,"","",5077,1024,5077,12789,5077,12789,2743348445,[],"[13339,13358,13355]",6,7,[0],"","",10451,10489,"",5077,"",5077,12789,5077,1024,10489,10451,10489,10489,10489,10489,10451,10451,10451,10451,10451,10451,10451,13207,0,5077,1038,1038,1038,12789,"","","[13347,13358]",[0],[]
46,144,"","","","","","","","","","","","","",4869,"","",4886,4921,"","",4921,"",697488794,[12],"[13334,13350]",7,2,[669],"","",21314,21325,"",4886,"",4921,4886,4886,4921,21325,21314,21325,21325,21325,21325,21314,21314,21314,21314,21314,21314,21314,13210,45,4886,4869,4869,4869,4886,"","",[13342],[1657],[12]
47,145,"","","","","","","","","","","","","",4870,"","",4887,4922,"","",4922,"",4108975477,[30],"[13335,13351]",7,3,[736],"","",21315,21326,"",4887,"",4922,4887,4887,4922,21326,21315,21326,21326,21326,21326,21315,21315,21315,21315,21315,21315,21315,13211,60,4887,4870,4870,4870,4887,"","",[13343],[1657],[30]
48,146,"","","","","","","","","","","","","",4871,"","",4888,4923,"","",4923,"",2034631909,[48],"[13336,13352]",7,4,[810],"","",21316,21327,"",4888,"",4923,4888,4888,4923,21327,21316,21327,21327,21327,21327,21316,21316,21316,21316,21316,21316,21316,13212,75,4888,4871,4871,4871,4888,"","",[13344],[731],[48]
49,147,"","","","","","","","","","","","","",4872,"","",4889,4924,"","",4924,"",3719129450,[68],"[13337,13353]",7,5,[891],"","",21321,21328,"",4889,"",4924,4889,4889,4924,21328,21321,21328,21328,21328,21328,21321,21321,21321,21321,21321,21321,21321,13213,0,4889,4872,4872,4872,4889,"",1,[13345],[49],[68]
50,148,"","","","","","","","","","","","","",4873,"","",4890,4925,"","",4925,"",117284401,"[73,77]","[13338,13354]",7,6,"[178,356]","","",21322,21329,"",4890,"",4925,4890,4890,4925,21329,21322,21329,21329,21329,21329,21322,21322,21322,21322,21322,21322,21322,13214,0,4890,4873,4873,4873,4890,"","",[13346],[0],[]
51,149,"","","","","","","","","","","","","",4874,"","",4891,4926,"","",4926,"",3515923088,[],"[13339,13355]",7,7,[0],"","",21323,21330,"",4891,"",4926,4891,4891,4926,21330,21323,21330,21330,21330,21330,21323,21323,21323,21323,21323,21323,21323,13215,0,4891,4874,4874,4874,4891,"","",[13347],[0],[]
52,150,"","","","","","","","","","","","","",984,"","",5120,973,5120,12779,5120,12779,836789809,[30],"[13335,13357,13351]",8,3,[640],"","",10428,10474,"",5120,"",5120,12779,5120,973,10474,10428,10474,10474,10474,10474,10428,10428,10428,10428,10428,10428,10428,13216,60,5120,975,975,975,12779,"","","[13343,13357]",[1441],[30]
53,151,"","","","","","","","","","","","","",986,"","",5121,974,5121,12780,5121,12780,3027798082,[48],"[13336,13357,13352]",8,4,[704],"","",10430,10476,"",5121,"",5121,12780,5121,974,10476,10430,10476,10476,10476,10476,10430,10430,10430,10430,10430,10430,10430,13217,75,5121,977,977,977,12780,"","","[13344,13357]",[636],[48]
54,152,"","","","","","","","","","","","","",987,"","",5122,975,5122,12781,5122,12781,2461908401,[68],"[13337,13357,13353]",8,5,[775],"","",10431,10477,"",5122,"",5122,12781,5122,975,10477,10431,10477,10477,10477,10477,10431,10431,10431,10431,10431,10431,10431,13218,0,5122,978,978,978,12781,"",1,"[13345,13357]",[42],[68]
55,153,"","","","","","","","","","","","","",989,"","",5123,976,5123,12782,5123,12782,864068417,"[73,77]","[13338,13357,13354]",8,6,"[155,310]","","",10432,10478,"",5123,"",5123,12782,5123,976,10478,10432,10478,10478,10478,10478,10432,10432,10432,10432,10432,10432,10432,13219,0,5123,980,980,980,12782,"","","[13346,13357]",[0],[]
56,154,"","","","","","","","","","","","","",990,"","",5124,977,5124,12783,5124,12783,222024053,[],"[13339,13357,13355]",8,7,[0],"","",10433,10479,"",5124,"",5124,12783,5124,977,10479,10433,10479,10479,10479,10479,10433,10433,10433,10433,10433,10433,10433,13220,0,5124,991,991,991,12783,"","","[13347,13357]",[0],[]
57,155,"","","","","","","","","","","","","",2,"","","","","","","","",2711257323,[30],"[13335,13359,8784,13351]",9,3,[640],"","",9433,9438,"",2,"",2,2,2,2,9438,9433,9438,9438,9438,9438,9433,9433,9433,9433,9433,9433,9433,13261,60,2,2,2,2,2,2,"","[13343,13359,8784]",[1441],[30]
58,156,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,[48],"[13336,13359,8784,13352]",9,4,[704],"","",9434,9439,"",4,"",4,4,4,4,9439,9434,9439,9439,9439,9439,9434,9434,9434,9434,9434,9434,9434,13262,75,4,4,4,4,4,4,"","[13344,13359,8784]",[636],[48]
59,157,"","","","","","","","","","","","","",5,"","","","","","","","",3649242909,[68],"[13337,13359,8784,13353]",9,5,[775],"","",9435,9440,"",5,"",5,5,5,5,9440,9435,9440,9440,9440,9440,9435,9435,9435,9435,9435,9435,9435,13263,0,5,5,5,5,5,5,1,"[13345,13359,8784]",[42],[68]
60,158,"","","","","","","","","","","","","",7,"","","","","","","","",4101794040,"[73,77]","[13338,13359,8784,13354]",9,6,"[155,310]","","",9436,9441,"",7,"",7,7,7,7,9441,9436,9441,9441,9441,9441,9436,9436,9436,9436,9436,9436,9436,13264,0,7,7,7,7,7,7,"","[13346,13359,8784]",[0],[]
61,159,"","","","","","","","","","","","","",10,"","","","","","","","",3340557996,[],"[13339,13359,8784,13355]",9,7,[0],"","",9437,9442,"",10,"",10,10,10,10,9442,9437,9442,9442,9442,9442,9437,9437,9437,9437,9437,9437,9437,13265,0,10,10,10,10,10,10,"","[13347,13359,8784]",[0],[]
62,160,"","","","","","","","","","","","",2042,3442,"","",3442,"","","","","",1046769873,[30],"[13335,13358,13351]",10,3,[640],2030,"",2030,"",2042,3442,"",3442,3442,3442,3442,2042,2030,2042,2042,2042,2042,2030,2030,2030,2030,2030,2030,2030,13191,60,3442,3948,3948,3948,3442,"","","[13343,13358]",[1441],[30]
63,161,"","","","","","","","","","","","",2044,3443,"","",3443,"","","","","",3911786024,[48],"[13336,13358,13352]",10,4,[704],2032,"",2032,"",2044,3443,"",3443,3443,3443,3443,2044,2032,2044,2044,2044,2044,2032,2032,2032,2032,2032,2032,2032,13192,75,3443,3949,3949,3949,3443,"","","[13344,13358]",[636],[48]
64,162,"","","","","","","","","","","","",2046,3445,"","",3445,"","","","","",491155825,[68],"[13337,13358,13353]",10,5,[775],2034,"",2034,"",2046,3445,"",3445,3445,3445,3445,2046,2034,2046,2046,2046,2046,2034,2034,2034,2034,2034,2034,2034,13193,0,3445,3951,3951,3951,3445,"",1,"[13345,13358]",[42],[68]
65,163,"","","","","","","","","","","","",2047,3446,"","",3446,"","","","","",4144605434,"[73,77]","[13338,13358,13354]",10,6,"[155,310]",2035,"",2035,"",2047,3446,"",3446,3446,3446,3446,2047,2035,2047,2047,2047,2047,2035,2035,2035,2035,2035,2035,2035,13194,0,3446,3952,3952,3952,3446,"","","[13346,13358]",[0],[]
66,164,"","","","","","","","","","","","",2059,3447,"","",3447,"","","","","",1926779813,[],"[13339,13358,13355]",10,7,[0],2037,"",2037,"",2059,3447,"",3447,3447,3447,3447,2059,2037,2059,2059,2059,2059,2037,2037,2037,2037,2037,2037,2037,13195,0,3447,3959,3959,3959,3447,"","","[13347,13358]",[0],[]
67,165,"","","","","","","","","","","","","",3025,2087,"","","","","","","",3737639519,[30],"[13335,13351]",11,3,[640],4655,"","","","",2144,"",2144,2144,2144,2144,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,13283,60,2120,2087,2120,2120,2144,"","",[13343],[1441],[30]
68,166,"","","","","","","","","","","","","",3026,2088,"","",2158,2158,"","",2147,3220528207,[48],"[13336,13352]",11,4,[704],4656,"","","","",2146,"",2146,2146,2158,2158,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,4656,13284,75,2121,2088,2121,2121,2147,"","",[13344],[636],[48]
69,167,"","","","","","","","","","","","","",3027,2089,"","",2159,2159,2148,2154,2162,1419643846,[68],"[13337,13353]",11,5,[775],4657,"","","","",2159,"",2154,2148,2159,2159,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,13285,0,2122,2089,2122,2122,2162,"",1,[13345],[42],[68]
70,168,"","","","","","","","","","","","","",3028,2092,"","",2160,2160,2150,2155,2163,2044538361,"[73,77]","[13338,13354]",11,6,"[155,310]",4658,"","","","",2160,"",2155,2150,2160,2160,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,13286,0,2123,2092,2123,2123,2163,"","",[13346],[0],[]
71,169,"","","","","","","","","","","","","",3029,2093,"","",2161,2161,2152,2156,2164,3850627476,[],"[13339,13355]",11,7,[0],4659,"","","","",2161,"",2156,2152,2161,2161,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,13287,0,2125,2093,2125,2125,2164,"","",[13347],[0],[]
72,170,"","","","","","","","","","","","","",939,"","",6750,927,6750,12775,6750,12775,3330189914,[48],"[13336,13359,13420,13352]",12,4,[612],"","",10412,10466,"",6750,"",6750,12775,6750,927,10466,10412,10466,10466,10466,10466,10412,10412,10412,10412,10412,10412,10412,13253,75,6750,930,930,930,12775,"","","[13344,13359,13420]",[553],[48]
73,171,"","","","","","","","","","","","","",941,"","",6751,928,6751,12776,6751,12776,1027011185,[68],"[13337,13359,13420,13353]",12,5,[673],"","",10413,10467,"",6751,"",6751,12776,6751,928,10467,10413,10467,10467,10467,10467,10413,10413,10413,10413,10413,10413,10413,13254,0,6751,932,932,932,12776,"",1,"[13345,13359,13420]",[37],[68]
74,172,"","","","","","","","","","","","","",942,"","",6752,929,6752,12777,6752,12777,2455913298,"[73,77]","[13338,13359,13420,13354]",12,6,"[135,269]","","",10414,10468,"",6752,"",6752,12777,6752,929,10468,10414,10468,10468,10468,10468,10414,10414,10414,10414,10414,10414,10414,13255,0,6752,933,933,933,12777,"","","[13346,13359,13420]",[0],[]
75,173,"","","","","","","","","","","","","",943,"","",6753,930,6753,12778,6753,12778,1845632009,[],"[13339,13359,13420,13355]",12,7,[0],"","",10415,10469,"",6753,"",6753,12778,6753,930,10469,10415,10469,10469,10469,10469,10415,10415,10415,10415,10415,10415,10415,13256,0,6753,944,944,944,12778,"","","[13347,13359,13420]",[0],[]
