"rownum","Id","GamepadButton","i32_24","GamepadIcon"
26,"MicrotransactionMarakethSlaveDriverMapDeviceKillBoardDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/MapDeviceLeaderboard/MapKillLeaderboardIconDefault"
27,"MicrotransactionNumMapsCompletedGreenTreeMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/TreeMapDevice/TreeMapDeviceIconDefault"
28,"MicrotransactionNumMapsCompletedBloodTreeMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/TreeMapDevice/BloodTreeMapDeviceIconDefault"
29,"MicrotransactionNumMapsCompletedNightLotusTreeMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/TreeMapDevice/NightLotusTreeMapDeviceIconDefault"
30,"MicrotransactionCauldronMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/CauldronMapDevice/CauldronMapDeviceIconDefault"
31,"MicrotransactionPuzzleCubeMapDeviceOpenSettings",2,0,"Art/2DArt/UIImages/InGame/MTX/PuzzleCubeMapDevice/PuzzleCubeMapDeviceButtonHover"
32,"NecropolisLaternInteract",12,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadNecropolisOpenLantern"
33,"NecropolisGraveBury",10,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadNecropolisBuryCorpse"
34,"NecropolisGraveExhume",11,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadNecropolisExhumeCorpse"
35,"NecropolisGraveCraft",10,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadNecropolisOpenGraveCraft"
36,"NecropolisCorpseCollect",10,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadNecropolisExhumeCorpse"
37,"NecropolisCorpseItemise",12,50,"Art/2DArt/UIImages/InGame/Necropolis/ItemiseCorpseButtonDefault"
38,"KalguurOpenTownMap",1,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadSettlersMap"
39,"MicrotransactionSacredArchivesMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/SacredArchivesMapDevice/HallowedLibraryTrackerIconDefault"
40,"MercenaryOpenCurrentMercLoadout",0,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadOpenMerc"
41,"MercenaryReviveCurrentMerc",11,100,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadReviveMerc"
42,"ToggleMtxTorGulMapDeviceDisplay",2,0,"Art/2DArt/UIImages/InGame/MTX/MapDeviceLeaderboard/DefilerMapKillLeaderboardIconDefault"
43,"MicrotransactionMercilessTrarthanMapDeviceKillLeaderboardToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/MapDeviceLeaderboard/MercilessTrarthanMapKillLeaderboardIconDefault"
44,"BrequelActivateEncounterSkill",10,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/TriggerBreachSkill"
45,"MicrotransactionSanctumHourglassMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/HourglassMapDevice/HourglassMapDeviceIconHover"
46,"MicrotransactionPinkSanctumHourglassMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/HourglassMapDevice/PinkHourglassMapDeviceIconHover"
47,"MicrotransactionBlackSanctumHourglassMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/HourglassMapDevice/BlackHourglassMapDeviceIconHover"
48,"MicrotransactionPrecursorMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/PrecursorMapDeviceTracker/PrecursorMapDeviceIconHover"
49,"MicrotransactionEditSanctumHourglassLeaderboard",3,0,"Art/2DArt/UIImages/InGame/MTX/HourglassMapDevice/EditLeaderboardIcon"
50,"MicrotransactionEditPinkSanctumHourglassLeaderboard",3,0,"Art/2DArt/UIImages/InGame/MTX/HourglassMapDevice/PinkEditLeaderboardIcon"
51,"MicrotransactionEditBlackSanctumHourglassLeaderboard",3,0,"Art/2DArt/UIImages/InGame/MTX/HourglassMapDevice/BlackEditLeaderboardIcon"
52,"MiragePortalReturnId",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadKalandraMap"
53,"MicrotransactionPrisonerAltarMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/IncarceratorMapDeviceTracker/PrisonMapDeviceIconHover"
54,"MicrotransactionEditPrisonerAltarMapDeviceLeaderboard",3,0,"Art/2DArt/UIImages/InGame/MTX/IncarceratorMapDeviceTracker/PrisonEditLeaderboardIcon"
55,"MicrotransactionArbiterofDivinityMapDeviceDisplayToggle",2,0,"Art/2DArt/UIImages/InGame/MTX/ArbiterofDivinityMapDeviceTracker/ArbiterofDivinityMapDeviceIconHover"
