"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool_40","PlayerConditionsKeys","MonsterDeathConditionsKeys","Area","i32_89","i32_93","bool_97","bool_98","Stats","MultiPartAchievement1","MapAchievement","MultiPartAchievement2","MultiPartAchievement3","i32_179","NearbyMonsterConditionsKeys","bool_199","MultiPartAchievementConditionsKeys","[i32]_216","bool_232","LeagueArea","Stat","bool_265"
31,"KillAnyPossessedEssenceMonster",[0],[11343],"",[],"[13,21]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
32,"KillAnyTripleEssenceTalismanMonsterWithTempest",[0],[],"",[],"[22,25]",[],1,1,"","",[3172],[],[],[],"",0,[],"",[],[],"",[],[],""
33,"KillAnyQuintessenceMonsterLevel80",[0],[7160],"",[],[23],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
34,"KillAnyOctessenceMonsterLevel83",[0],[9567],"",[],[24],[],83,83,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
35,"KillDroughtMaddenedRhoaFullyEnraged",[2422],[],"",[],[8],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
36,"KillWitchOfTheCauldronWithSoulEater",[2451],[],"",[],[9],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
37,"KillElderInRedMaps","[6369,6374]",[],"",[],[],[],78,83,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
38,"KillElderInYellowMaps","[6369,6374]",[],"",[],[],[],73,77,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
39,"KillElderInWhiteMaps","[6369,6374]",[],"",[],[],[],68,72,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
40,"KillAmalgamOfNightmaresWithEffluentX10",[6186],[],"",[18],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
41,"KillPortentiaWithEffluentX10",[5531],[],"",[18],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
42,"KillStoneOfCurrentsWithoutShield",[4482],[],"",[],[10],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
43,"KillAulenWith4Totems",[2525],[],"",[],[11],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
44,"KillUulNetolWithCorruptedBloodX5",[5433],[],"",[8],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
45,"KillGnarWhileEnraged",[4275],[],"",[],[12],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
46,"KillStonebeakWhileEnraged",[4288],[],"",[],[12],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
47,"KillBelcerPossessedByTwoPirates",[2445],[],"",[],"[18,19]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
48,"KillLitaniusWhileBothCursed",[2402],[],"",[21],[20],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
49,"KillBeastOfThePitsWhileIncapacitated",[2432],[],"",[],[26],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
50,"KillTulWith4Totems",[5427],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[0],"",[],[],"",[],[],""
51,"KillFragmentOfWinterWith10Minions",[4421],[],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[1],"",[],[],"",[],[],""
52,"KillSanguineSirenWith3BloodRavens",[6018],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[2],"",[],[],"",[],[],""
53,"KillShockAndHorrorAfter2BeamsWhileInBeam",[2459],[],"",[24],[],[],1,1,"","",[],[14],[],[],"",0,[],"",[],[],"",[],[],""
54,"KillRektarsMinibossesBeforeHeArrives","[254,255,256,257,258,259,260,261]",[],"",[],[],[],1,1,"","",[],[],[],[15],"",0,[],"",[],[],"",[],[],""
55,"KillHephaestusWhileEnraged",[4720],[],"",[],[31],[],1,1,"","",[],[32],[],[],"",0,[],"",[],[],"",[],[],""
56,"KillMegaeraWithFireSkelliesX10",[2429],[],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[3],"",[],[],"",[],[],""
57,"KillOmnitectAfterGuards",[4477],[],"",[],[],[],1,1,"","",[],[],[],[25],"",0,[],"",[],[],"",[],[],""
58,"KillGuardianOfTheVaultAfterKillingTreasureGolems",[3114],[],"",[],[],[],1,1,"","",[],[],[],[60],"",0,[],"",[],[],"",[],[],""
59,"KillDoedreDefilerWhileScreeching",[6152],[],"",[],[32],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
60,"KillTitanTotemWith3Totems",[5227],[],"",[],[],[],1,1,"","",[],[],[],[],8,-1,[],"",[],[],"",[],[],""
61,"KillXophWithHotdogsX10",[5424],[],"",[],[33],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
62,"KillWoadWithNoUnmovedStatues",[5465],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[4],"",[],[],"",[],[],""
63,"KillCleansingLightWithNoUnmovedStatues",[5470],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[5],"",[],[],"",[],[],""
64,"KillSyntheteNightmareWithVoidPitsX12",[7591],[9709],"",[],[],[],1,1,"","",[],[],[],[],"",0,[6],"",[],[],"",[],[],""
65,"KillSyntheteNightmareWithPylonsX12",[7591],[9709],"",[],[],[],1,1,"","",[],[],[],[],"",0,[7],"",[],[],"",[],[],""
66,"KillSyntheteNightmareWithoutVoidPitsOrPylonsX7",[7591],[],"",[],[],[],1,1,1,"",[],[],[],[72],"",0,"[8,9]","",[],[],"",[],[],""
67,"KillHeraldOfThunderWithHeraldOfAshOverHalfHealth",[2555],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[10],"",[],[],"",[],[],""
68,"KillVaalOmnitectAfterExperimentedHatchling",[7017],[],"",[],[],[],1,1,"","",[],[],[],[],24,-1,[],"",[],[],"",[],[],""
69,"KillGuardianOfTheVaultAfterKillingTreasureGolemsCheck",[4753],[],"",[],[],[],1,1,"","",[],[61],[],[],"",0,[],"",[0],[],"",[],[],""
70,"KillAhuatotliAllPyramidsActiveWithoutDamage",[7063],[],"",[],[],[],1,1,"","",[],[36],[],[],"",0,[],"",[1],[],"",[],[],""
71,"KillKurgalWithoutDamageFromObelisks",[6354],[],"",[],[],[],1,1,"","",[],[46],[],[],"",0,[],"",[2],[],"",[],[],""
72,"KillRigwaldLevel80",[4895],[],"",[],[],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
73,"KillAbyssLichLevel81","[6350,6352]",[11241],"",[],[],[],81,81,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
74,"KillAbyssLichLevel80","[6350,6352]","[10993,11278]","",[],[],[],81,81,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
75,"KillMapBreachBossLevel80","[5424,5427,5430,5433,5436]",[9576],"",[],[],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
76,"KillArgusLevel75",[4719],[11124],"",[],[],[],75,75,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
77,"KillHarbingerFinalBossLevel75",[6252],[],"",[],[],[],75,75,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
78,"KillVaalOmnitectLevel80",[6705],"[10994,11279]","",[],[],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
79,"KillIzaroLevel75","[4796,4797,4798]",[7671],"",[],[],[],75,75,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
80,"KillVaalPyramidBossesInReverse1",[1476],[],"",[],[],[],1,1,"","",[],[],[],[],21,0,[],"",[3],[],"",[],[],""
81,"KillVaalPyramidBossesInReverse2",[1531],[],"",[],[],[],1,1,"","",[],[],[],[],21,1,[],"","[4,5]",[],"",[],[],""
82,"KillVaalPyramidBossesInReverse3",[1514],[],"",[],[],[],1,1,"","",[],[],[],[],21,2,[],1,[],[],"",[],[],""
83,"KillPossessedBeyondBoss",[0],[],"",[],"[15,13]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
84,"KillVaalOmnitectWhileAffectedByTempestAndExposure",[6705],[9658],"","[25,26]",[],[],83,83,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
85,"KillBartholTheCorruptorWhileAffectedByHereticalFlare",[1449],[],"",[27],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
86,"KillShavronneTheSickeningWhileSheHasFullEnergyShield",[6162],[],"",[],[34],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
87,"KillBazurWithoutTakingDamageFromLiantraAndAfterKilling8ThunderTomes",[5477],[],"",[],[],[],1,1,"","",[],[76],[],[],"",0,[],"",[7],[],"",[],[],""
88,"KillBazurAfterKilling8TomesOfThunder",[5485],[],"",[],[],[],1,1,"","",[],[],[],[77],"",0,[],"",[],[],"",[],[],""
89,"KillErythrophagiaWhileNotCursed",[4388],[],"",[22],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
90,"KillSebbertCrescentsPointWhileAffectedByDarkVortex",[5652],[],"",[28],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
91,"KillTheCleansingLightAtAwakeningLevel8",[5470],[],"",[],[],[],1,1,"","",[10839],[],[],[],"",0,[],"",[],[8],"",[],[],""
92,"KillMephodTheEarthScorcherAtAwakeningLevel8",[6006],[],"",[],[],[],1,1,"","",[10839],[],[],[],"",0,[],"",[],[8],"",[],[],""
93,"KillEaterOfSoulsAtAwakeningLevel8",[4410],[],"",[],[],[],1,1,"","",[10839],[],[],[],"",0,[],"",[],[8],"",[],[],""
94,"KillPortentiaTheFoulAtAwakeningLevel8",[5531],[],"",[],[],[],1,1,"","",[10839],[],[],[],"",0,[],"",[],[8],"",[],[],""
95,"KillBazurAtAwakeningLevel8",[5477],[],"",[],[],[],1,1,"","",[10839],[],[],[],"",0,[],"",[],[8],"",[],[],""
96,"KillTheCursedKingAtAwakeningLevel8",[4896],[],"",[],[],[],1,1,"","",[10839],[],[],[],"",0,[],"",[],[8],"",[],[],""
97,"KillBaronConditionally","[8221,8222]",[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"","[8,9]",[],"",[],[],""
98,"KillSirusWithoutBeingAffectedByDeatomizationStorm",[8365],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[10],[],"",[],[],""
99,"KillSirusWithoutBeingAffectedByDesolationOfTheAwakener",[8365],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[11],[],"",[],[],""
100,"KillSirusWithoutBeingHitByCorridorBlastOrInterruptSkill",[8365],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"","[12,13]",[],"",[],[],""
101,"KillSirusWithoutBeingHitBySpinningNegationBeam",[8365],[9706],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[14],[],"",[],[],""
102,"KillVeritaniaConditionally","[8247,8248]",[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"","[16,15]",[],"",[],[],""
103,"KillAlHezminConditionally","[8273,8274]",[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[17],[],"",[],[],""
104,"KillDroxConditionally","[8303,8304]",[],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[18],[],"",[],[],""
105,"KillDeliriumMonstersNormal","[8440,8441,8442,8443,8444,8445]",[],1,[],[0],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
106,"KillDeliriumMonstersMagic","[8440,8441,8442,8443,8444,8445]",[],1,[],[1],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
107,"KillDeliriumMonstersRare","[8440,8441,8442,8443,8444,8445]",[],1,[],[2],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
108,"KillIncursionArchitectWhileInDeliriumMist","[6860,6861,6862,6863,6864,6865,6866,6867,6868,6869,6870,6871,6872,6873,6874,6875,6876,6877,6878,6879,6880,6881,6882,6883,6884]",[],"",[],[35],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
109,"KillBlightBossWhileInDeliriumMist","[7942,7950,7952,7958,7962,7972,7984,8005,8014,8023,8029,8040,8045,8058,8065,8071,8077,8084,8093,8102,8108,8120,8130,8142]",[10481],"",[],[35],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
110,"KillPossessedExile","[2675,2677,2680,2682,2685,2688,2691,2693,2696,2699,2701,2707,2709,2711,2714,2716,2718,2721,2723,2724,2728,2731,2733,2735,2738,2742,2744,2746,2749,2751,2753,2755,2757,2760,2763,2765,2767,2769,2772,2774,2776,2778,2780,2781,2782,2783,2784,2785,2704,2740]",[9913],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
111,"KillPossessedExileAilentiaRac",[2688],[8724],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
112,"KillPossessedExileAinsleyVarich",[2704],[8756],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
113,"KillPossessedExileAntaliaNapora",[2685],[8725],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
114,"KillPossessedExileArmiosBell",[2696],[8726],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
115,"KillPossessedExileAshLessard",[2760],[8727],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
116,"KillPossessedExileAugustinaSolaris","[2772,2774]",[8728],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
117,"KillPossessedExileAurelioVoidsinger",[2751],[8729],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
118,"KillPossessedExileBaracusPhraxis",[2753],[8730],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
119,"KillPossessedExileBoltBrownfur","[2733,2735]",[8731],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
120,"KillPossessedExileDamoiTui","[2723,2724]",[8732],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
121,"KillPossessedExileDenaLorenni",[2714],[8733],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
122,"KillPossessedExileEoinGreyfur","[2742,2744,2784]",[8734],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
123,"KillPossessedExileIgnaPhoenix","[2709,2711]",[8735],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
124,"KillPossessedExileIonDarkshroud","[2755,2783,2757]",[8736],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
125,"KillPossessedExileJonahUnchained","[2721,2781]",[8737],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
126,"KillPossessedExileKirmesOlli",[2718],[8738],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
127,"KillPossessedExileLaelFuria",[2776],[8739],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
128,"KillPossessedExileMagnusStonethorn",[2749],[8740],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
129,"KillPossessedExileMinaraAnemina","[2707,2785]",[8741],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
130,"KillPossessedExileOhneTrix",[2738],[8742],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
131,"KillPossessedExileOrraGreengate","[2675,2677,2782]",[8743],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
132,"KillPossessedExileOyraOna",[2701],[8744],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
133,"KillPossessedExileSevetTetherein",[2740],[8757],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
134,"KillPossessedExileThenaMoga","[2680,2682]",[8745],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
135,"KillPossessedExileThomImperial",[2769],[8746],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
136,"KillPossessedExileTinevinHighdove",[2746],[8747],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
137,"KillPossessedExileTorrOlgosso","[2691,2693,2780]",[8748],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
138,"KillPossessedExileUltimaThule",[2716],[8749],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
139,"KillPossessedExileUlyssesMorvant",[2767],[8750],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
140,"KillPossessedExileVanthAgiel",[2778],[8751],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
141,"KillPossessedExileVickasGiantbone",[2731],[8752],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
142,"KillPossessedExileWilorinDemontamer","[2763,2765]",[8753],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
143,"KillPossessedExileXandoBlooddrinker",[2728],[8754],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
144,"KillPossessedExileZacharieDesmarais",[2699],[8755],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
145,"KillMapBossWhileInDeliriumMist",[0],[8780],"",[],"[7,35]",[],1,1,"",1,[],[],[],[],"",0,[],"",[],[],"",[],[],""
146,"KillKitavaInBelfryMapWithoutBeingAffectedByDevouringDarkness",[5745],[],"",[],[],[1197],1,1,1,"",[],[],[],[],"",0,[],"",[19],[],"",[],[],""
147,"DefeatBrittleEmperorInWastelandMapWhileInHisConsecratedGround",[4090],[],"",[29],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
148,"DefeatNightmareOmenInPrimordialPoolWithoutDamageFromBloodProjectilesAfter2Submerges",[4407],[],"",[],[],[1210],1,1,"","",[],[],[],[],"",0,[],"","[20,21]",[],"",[],[],""
149,"KillShaperGuardianMaxDelirium","[5175,5162,5169,5180]",[],"",[],[],[],1,1,"","",[11651],[],[],[],"",0,[],"",[],[100],"",[],[],""
150,"KillVarheshInTerraceWithoutBecomingFearful",[6054],[],"",[],[],[1234],1,1,1,"",[],[],[],[],"",0,[],"",[22],[],"",[],[],""
151,"KillLadyStormflayInGhettoWhileVulnerable",[2581],[],"",[23],[],[1231],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
152,"DefeatPietyTheEmpyreanInShrineWhileAffectedByPietysRage",[2594],[],"",[9],[],[1235],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
153,"Rampage300InSimulacrum",[0],[],"",[30],[],"[1686,1687,1688,1689,1690]",1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
154,"KillRogueExile","[2691,2696,2699,2721,2723,2728,2731,2675,2680,2685,2772,2776,2778,2755,2760,2763,2742,2746,2749,2707,2709,2714,2688,2701,2733,2767,2751,2716,2738,2718,2753,2769,2704,2740,2780,2781,2782,2783,2784,2785,2674,2706,2720]",[11200],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
155,"KillTormentedSpriit","[3841,3842,3843,3844,3845,3846,3847,3848,3849,3850,3851,3852,3853,3854,3855,3856,3857,3858,3859,3860,3861,3862,3863,3864,3866,3867,3868,3869,3870,3871,3872,3873]",[6971],1,[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
156,"KillTormentedSpiritInMonster",[0],[11199],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
157,"KillPossessedDeliriumBoss","[8431,8433,8434,8435]",[10752],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
158,"KillBestiaryBoss","[6548,6501,6583,6556,6549,6502,6585,6557]",[10760],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
159,"KillUberAtziri",[3593],"[10991,11276]","",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
160,"KillChayulaInDomain",[5436],[8216],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
161,"KillPreethiEyePeckerWhileYouAndHerAreBleeding",[6114],[7016],"",[31],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
162,"KillFallenQueenAfterBrokenPrinceAndHollowLady",[1514],[7017],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[25],[],"",[],[],""
163,"KillStalkerOfEndlessDunesWithoutBeingAffectedBySandstorm",[6096],[7018],"",[],[],[1244],1,1,"","",[],[],[],[],"",0,[],"",[23],[],"",[],[],""
164,"KillSallazzangWithoutSuppressingFire",[1565],[7019],"",[],[],[1162],1,1,1,"",[],[],[],[],"",0,[],"",[24],[],"",[],[],""
165,"KillIzaroLabOfFortune","[4796,4797,4798]","[9700,9027]","",[],[],[],75,75,"","",[12289],[],[],[],"",0,[],"",[],[5],"",[],[],""
166,"KillIzaroLabOfOpportunity","[4796,4797,4798]","[9700,9028]","",[],[],[],75,75,"","",[12301],[],[],[],"",0,[],"",[],[6],"",[],[],""
167,"KillIzaroLabOfPotential","[4796,4797,4798]","[9700,9029]","",[],[],[],75,75,"","",[12302],[],[],[],"",0,[],"",[],[8],"",[],[],""
168,"KillPortentiaTheFoulAfter3TransformsAndWithoutBeingAffectedByEffluents",[5531],[7137],"",[],[],[1184],1,1,1,"",[],[],[],[],"",0,[],"","[26,27]",[],"",[],[],""
169,"KillTerrorOfInfiniteDriftsWith10StacksQuicksand",[6271],[7138],"",[32],[],[1237],1,1,1,"",[],[],[],[],"",0,[],"",[],[],"",[],[],""
170,"KillChimeraAfterSearching25Clouds",[5180],[7139],"",[],[],[1251],1,1,1,"",[],[],[],[],"",0,[],"",[28],[],"",[],[],""
171,"KillShaperWithoutDamageFromNonMelee",[5269],[9708],"",[],[],[1255],1,1,"","",[],[],[],[],"",0,[],"",[29],[],"",[],[],""
172,"KillOshabiWithoutBeingAffectedBySacredSuffering",[8647],[7191],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[30],[],"",[],[],""
173,"KillOshabiWithoutBeingHitByOrbOfThorns",[8647],[7192],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[31],[],"",[],[],""
174,"KillOshabiWithoutBeingHitByVineHammer",[8647],[7193],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[32],[],"",[],[],""
