"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
14,"FragmentsMaven","Maven","Prodige","Seherin","メイヴェン","메이븐","Maven","Мейвен","La Especialista","เมเวน","釋界"
15,"FragmentsRitual","Ritual Fragments","Fragments de Rituel","Ritualfragmente","リチュアルフラグメント","의식 조각","Fragmentos da Ritual","Ритуальные фрагменты","Fragmentos de ritual","ชิ้นส่วนพิธีกรรม","祭祀碎片"
16,"FragmentsUber","Uber Fragments","Fragments Uber","Über-Fragmente","ウーバーフラグメント","우버 조각","Fragmentos Uber","Убер-фрагменты","Fragmentos uber","ชิ้นส่วนอูเบอร์","終極碎片"
17,"FragmentsBetrayal","Immortal Syndicate","Syndicat immortel","Unsterbliches Syndikat","イモータルシンジケート","불멸자 연합","Sindicato Imortal","Бессмертный Синдикат","Sindicato inmortal","องค์กรอิมมอร์ทัล","永生密教"
18,"FragmentsHarvest","Harvest","Harvest","Ernte","ハーベスト","수확","Colheita","Жатва","Harvest","ฮาร์เวสต์","豐收忌劫"
19,"FragmentsOriginator","Originator","Instigateur","Erschafferin","オリジネーター","태초자","Originadora","Источник","Originadora","ผู้รังสรรค์","開創者"
20,"FragmentsBrequel","Breach","Brèche","Riss","ブリーチ","균열","Fenda","Разлом","Breach","บรีช","裂痕"
21,"FragmentsFaridun","Mirage","Mirage","Trugbild","ミラージュ","허상","Miragem","Мираж","Mirage","มิราจ","蜃景"
22,"FragmentsAbyss","Abyss","Abysse","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵"
23,"DeliriumOrbs","Delirium Orbs","Orbes de Délire","Delirium-Sphären","デリリウムオーブ","환영의 오브","Orbes Delirantes","Сферы Делириума","Orbes de delirio","ลูกแก้วเดลิเรียม","譫妄玉"
24,"Essences","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓"
25,"EssencesHatred","Hatred Essences","Essences de Haine","Essenzen des Hasses","エッセンス（憎悪）","증오의 에센스","Essências do Ódio","Сущности ненависти","Esencias de odio","เอสเซนส์ Hatred","憎恨精髓"
26,"EssencesWoe","Woe Essences","Essences d'Affliction","Essenzen des Kummers","エッセンス（悲痛）","비애의 에센스","Essências da Angústia","Сущности скорби","Esencias de aflicción","เอสเซนส์ Woe","災禍精髓"
27,"EssencesGreed","Greed Essences","Essences d'Avarice","Essenzen der Gier","エッセンス（貪欲）","탐욕의 에센스","Essências da Ganância","Сущности жадности","Esencias de avaricia","เอสเซนส์ Green","貪婪精髓"
28,"EssencesContempt","Contempt Essences","Essences de Dédain","Essenzen der Verachtung","エッセンス（侮蔑）","경멸의 에센스","Essências da Desgraça","Сущности презрения","Esencias de desprecio","เอสเซนส์ Gontempt","輕蔑精髓"
29,"EssencesSorrow","Sorrow Essences","Essences de Chagrin","Essenzen der Trauer","エッセンス（悲哀）","슬픔의 에센스","Essências da Mágoa","Сущности печали","Esencias de pena","เอสเซนส์ Sorrow","憂傷精髓"
30,"EssencesAnger","Anger Essences","Essences de Colère","Essenzen der Wut","エッセンス（怒り）","분노의 에센스","Essências da Cólera","Сущности злобы","Esencias de rabia","เอสเซนส์ Anger","憤怒精髓"
31,"EssencesTorment","Torment Essences","Essences de Tourment","Essenzen der Folter","エッセンス（苦悩）","고뇌의 에센스","Essências do Tormento","Сущности мучения","Esencias de tormento","เอสเซนส์ Torment","苦難精髓"
32,"EssencesFear","Fear Essences","Essences de Peur","Essenzen der Angst","エッセンス（不安）","두려움의 에센스","Essências do Medo","Сущности страха","Esencias de miedo","เอสเซนส์ Fear","恐懼精髓"
33,"EssencesSuffering","Suffering Essences","Essences de Souffrance","Essenzen des Leids","エッセンス（苦痛）","고통의 에센스","Essências do Sofrimento","Сущности страдания","Esencias de sufrimiento","เอสเซนส์ Suffering","痛苦精髓"
34,"EssencesRage","Rage Essences","Essences de Rage","Essenzen der Rage","エッセンス（激怒）","격노의 에센스","Essências da Raiva","Сущности ярости","Esencias de furia","เอสเซนส์ Rage","盛怒精髓"
35,"EssencesWrath","Wrath Essences","Essences de Fureur","Essenzen des Zorns","エッセンス（憤怒）","진노의 에센스","Essências da Ira","Сущности гнева","Esencias de ira","เอสเซนส์ Wrath","狂怒精髓"
36,"EssencesDoubt","Doubt Essences","Essences d'Incertitude","Essenzen des Zweifels","エッセンス（疑心）","의심의 에센스","Essências da Dúvida","Сущности сомнения","Esencias de duda","เอสเซนส์ Doubt","疑惑精髓"
37,"EssencesAnguish","Anguish Essences","Essences d'Angoisse","Essenzen der Qual","エッセンス（苦悶）","비통의 에센스","Essências da Agonia","Сущности горя","Esencias de angustia","เอสเซนส์ Anguish","悲痛精髓"
38,"EssencesLoathing","Loathing Essences","Essences d'Aversion","Essenzen der Abscheu","エッセンス（嫌悪）","혐오의 에센스","Essências da Repugnância","Сущности отвращения","Esencias de aversión","เอสเซนส์ Loathing","厭惡精髓"
39,"EssencesSpite","Spite Essences","Essences d'Acrimonie","Essenzen der Bosheit","エッセンス（悪意）","악의의 에센스","Essências do Rancor","Сущности неприязни","Esencias de rencor","เอสเซนส์ Spite","怨恨精髓"
40,"EssenceZeal","Zeal Essences","Essences de Zèle","Essenzen des Eifers","エッセンス（熱狂）","열의의 에센스","Essências do Zelo","Сущности усердия","Esencias de fervor","เอสเซนส์ Zeal","狂熱精髓"
41,"EssencesMisery","Misery Essences","Essences de Détresse","Essenzen des Elends","エッセンス（悲惨）","비참의 에센스","Essências da Miséria","Сущности тоски","Esencias de miseria","เอสเซนส์ Misery","悲慘精髓"
42,"EssencesDread","Dread Essences","Essences d'Effroi","Essenzen der Furcht","エッセンス（恐怖）","불안의 에센스","Essências do Pavor","Сущности жути","Esencias de terror","เอสเซนส์ Dread","恐慌精髓"
43,"EssencesScorn","Scorn Essences","Essences de Mépris","Essenzen des Gespötts","エッセンス（軽蔑）","멸시의 에센스","Essências do Desprezo","Сущности насмешки","Esencias de desdén","เอสเซนส์ Scorn","蔑視精髓"
44,"EssencesEnvy","Envy Essences","Essences de Convoitise","Essenzen des Neids","エッセンス（嫉妬）","선망의 에센스","Essências da Inveja","Сущности зависти","Esencias de envidia","เอสเซนส์ Envy","忌妒精髓"
45,"EssencesSpecial","Special Essences","Essences spéciales","Besondere Essenzen","特殊エッセンス","특별한 에센스","Essências Especiais","Особые Сущности","Esencias especiales","เอสเซนส์พิเศษ","特殊精髓"
46,"Breach","Breach","Brèche","Riss","ブリーチ","균열","Breach","Разлом","Fisura","บรีช","裂痕聯盟"
47,"BreachSplinters","Breach Splinters","Esquilles de Brèche","Riss-Splitter","ブリーチスプリンター","균열 파편","Fragmentos da Breach","Осколки Разлома","Astillas de fisura","สะเก็ดบรีช","裂痕裂片"
48,"BreachFragmentXoph","Xoph Breachstones","Pierres de Brèche de Xoph","Xoph-Riss-Steine","ゾフのブリーチストーン","조프 균열석","Pedras de Fenda de Xoph","Камни Разлома Ксофа","Piedras de fisura de Xoph","ศิลาบรีชซอปห์","索伏裂痕石"
49,"BreachFragmentTul","Tul Breachstones","Pierres de Brèche de Tul","Tul-Riss-Steine","トゥルのブリーチストーン","툴 균열석","Pedras de Fenda de Tul","Камни Разлома Тул","Piedras de fisura de Tul","ศิลาบรีชทุล","托沃裂痕石"
50,"BreachFragmentEsh","Esh Breachstones","Pierres de Brèche d'Esh","Esh-Riss-Steine","エシュのブリーチストーン","에쉬 균열석","Pedras de Fenda de Esh","Камни Разлома Иш","Piedras de fisura de Esh","ศิลาบรีชเอ็ช","艾許裂痕石"
51,"BreachFragmentUulNetol","Uul-Netol Breachstones","Pierres de Brèche d'Uul-Netol","Uul-Netol-Riss-Steine","ウール・ネトルのブリーチストーン","울네톨 균열석","Pedras de Fenda de Uul-Netol","Камни Разлома Уул-Нетол","Piedras de fisura de Uul-Netol","ศิลาบรีชอูล-เนโทล","烏爾尼多裂痕石"
52,"BreachFragmentChayula","Chayula Breachstones","Pierres de Brèche de Chayula","Chayula-Riss-Steine","チャユラのブリーチストーン","차율라 균열석","Pedras de Fenda de Chayula","Камни Разлома Чаюлы","Piedras de fisura de Chayula","ศิลาบรีชชายูล่า","夏烏拉裂痕石"
53,"BreachBlessings","Breach Blessings","Bénédictions de Brèche","Riss-Segnungen","ブリーチの祝福","균열 축복","Bênçãos de Fendas","Благословения Разлома","Bendiciones de fisura","พรบรีช","裂痕祝福"
54,"Legion","Legion","Légion","Legion","リージョン","군단","Legião","Легион","Legión","กองพัน","戰亂之殤"
55,"LegionKarui","Karui Legion Fragments","Fragments de la Légion des Karuis","Legionfragmente der Karui","カルイのリージョンフラグメント","카루이 군단 조각","Fragmentos da Legião Karui","Фрагменты легиона каруи","Fragmentos de legión karui","ชิ้นส่วนกองพันคารุย","卡魯戰亂碎片"
56,"LegionEternal","Eternal Empire Legion Fragments","Fragments de la Légion de l'Empire éternel","Legionfragmente des Ewigen Kaiserreichs","エターナルのリージョンフラグメント","영원한 제국 군단 조각","Fragmentos da Legião do Império Eterno","Фрагменты легиона Вечной Империи","Fragmentos de legión del imperio eterno","ชิ้นส่วนกองพันจักรวรรดินิรันดร์","不朽帝國戰亂碎片"
57,"LegionMaraketh","Maraketh Legion Fragments","Fragments de la Légion des Marakeths","Legionfragmente der Maraketh","マラケスのリージョンフラグメント","마라케스 군단 조각","Fragmentos da Legião Maraketh","Фрагменты легиона маракетов","Fragmentos de legión maraketh","ชิ้นส่วนกองพันมาราเค็ท","馬拉克斯戰亂碎片"
58,"LegionTemplar","Templar Legion Fragments","Fragments de la Légion des Templiers","Legionfragmente der Templer","テンプラーのリージョンフラグメント","템플러 군단 조각","Fragmentos da Legião Templária","Фрагменты легиона храмовников","Fragmentos de legión templaria","ชิ้นส่วนกองพันเทมพลาร์","聖殿騎士戰亂碎片"
59,"LegionVaal","Vaal Legion Fragments","Fragments de la Légion des Vaals","Legionfragmente der Vaal","ヴァールのリージョンフラグメント","바알 군단 조각","Fragmentos da Legião Vaal","Фрагменты легиона ваал","Fragmentos de legión vaal","ชิ้นส่วนกองพันวาล์","瓦爾戰亂碎片"
60,"LegionSplinters","Legion Splinters","Esquilles de Légion","Legion-Splitter","リージョンスプリンター","군단 파편","Fragmentos Legionários","Осколки Легиона","Fragmentos de legión","สะเก็ดกองพัน","戰亂碎片"
61,"LegionFragments","Legion Emblems","Emblèmes de Légion","Legion-Embleme","リージョンエンブレム","군단 상징","Emplemas Legionários","Знаки Легиона","Emblemas de legión","ตราสัญลักษณ์กองพัน","戰亂徽印"
62,"LegionCocoon","Enshrouding Crystals","Cristaux enveloppants","Ummantelnde Kristalle","エンシュラウドクリスタル","휩싸는 수정","Cristais Envolventes","Затуманивающие кристаллы","Cristales envolventes","คริสตัลอำพราง","壟罩水晶"
63,"Delirium","Delirium","Délire","Delirium","デリリウムオーブ","환영","Delirium","Делириум","Delirio","เดลิเรียม","譫妄異域"
64,"DeliriumSplinters","Simulacrum","Simulacre","Simulakrum","シミュラクラム","복제된 영토","Simulacro","Симулякр","Simulacro","เมืองจำแลง","幻像異界"
65,"Delve","Delve","Delve","Azuritmine","デルブ","탐광","Delve","Спуск","Mina de azurita","เหมืองลึก","掘獄聯盟"
66,"DelveFossils","Fossils","Fossiles","Fossilien","化石","화석","Fósseis","Ископаемые","Fósiles","ฟอสซิล","化石"
67,"DelveResonators","Resonators","Résonateurs","Resonatoren","レゾネーター","공명기","Ressonadores","Резонаторы","Resonadores","ตัวสั่นพ้อง","鑄新儀"
68,"DivinationCards","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas","ไพ่พยากรณ์","命運卡"
69,"DivinationCardsWeaponsArmour","Divination Cards Rewarding Weapons or Armour","Cartes divinatoires octroyant des Armes ou Armures","Weissagungskarten für Waffen oder Rüstungen","武器または防具を報酬とする占いカード","무기 또는 방어구를 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Armas ou Armaduras","Гадальные карты оружия и доспехов","Cartas de adivinación que otorgan armas o armadura","ไพ่พยากรณ์ที่ให้ อาวุธหรือเกราะ","命運卡獎勵武器或護甲"
70,"DivinationCardsJewelleryJewels","Divination Cards Rewarding Jewellery or Jewels","Cartes divinatoires octroyant des Accessoires ou Joyaux","Weissagungskarten für Schmuck oder Juwelen","宝飾品またはジュエルを報酬とする占いカード","장신구 또는 주얼을 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Joias ou Joalheria","Гадальные карты бижутерии и самоцветов","Cartas de adivinación que otorgan joyería o joyas","ไพ่พยากรณ์ที่ให้ เครื่องประดับหรือจิวเวล","命運卡獎勵飾品或珠寶"
71,"DivinationCardsCurrency","Divination Cards Rewarding Currency","Cartes divinatoires octroyant des Objets monétaires","Weissagungskarten für Währung","カレンシーを報酬とする占いカード","화폐를 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Moedas","Гадальные карты валюты","Cartas de adivinación que otorgan objetos monetarios","ไพ่พยากรณ์ที่ให้ เงินตรา","命運卡獎勵通貨"
72,"DivinationCardsGems","Divination Cards Rewarding Gems","Cartes divinatoires octroyant des Gemmes","Weissagungskarten für Gemmen","ジェムを報酬とする占いカード","젬을 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Gemas","Гадальные карты камней","Cartas de adivinación que otorgan gemas","ไพ่พยากรณ์ที่ให้ หิน","命運卡獎勵寶石"
73,"DivinationCardsMapsFragments","Divination Cards Rewarding Maps or Fragments","Cartes divinatoires octroyant des Cartes ou Fragments","Weissagungskarten für Karten oder Fragmente","マップまたは断片を報酬とする占いカード","지도 또는 조각을 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Mapas ou Fragmentos","Гадальные карты фрагментов и карт","Cartas de adivinación que otorgan mapas o fragmentos","ไพ่พยากรณ์ที่ให้ แผนที่หรือชิ้นส่วน","命運卡獎勵地圖或碎片"
74,"DivinationCardsFlasks","Divination Cards Rewarding Flasks","Cartes divinatoires octroyant des Flacons","Weissagungskarten für Fläschchen","フラスコを報酬とする占いカード","플라스크를 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Frascos","Гадальные карты флаконов","Cartas de adivinación que otorgan frascos","ไพ่พยากรณ์ที่ให้ ขวดยา","命運卡獎勵藥劑"
75,"DivinationCardsMisc","Other Divination Cards","Autres Cartes divinatoires","Andere Weissagungskarten","その他占いカード","기타 점술 카드","Outras Cartas de Adivinhação","Другие гадальные карты","Otras cartas de adivinación","ไพ่พยากรณ์อื่นๆ","其他命運卡"
76,"Scarabs","Scarabs","Scarabées","Skarabäen","スカラベ","갑충석","Escaravelhos","Скарабеи","Escarabajos","สคารับ","聖甲蟲"
77,"ScarabsBreach","Breach Scarabs","Scarabées de Brèche","Riss-Skarabäen","ブリーチスカラベ","균열 갑충석","Escaravelhos de Fenda","Скарабеи Разлома","Escarabajos de fisura","สคารับบรีช","裂痕聖甲蟲"
78,"ScarabsSettlers","Kalguuran Scarabs","Scarabées kalguuriens","Kalguurische Skarabäen","カルグールスカラベ","칼구르 갑충석","Escaravelhos Kalguuran","Калгууранские скарабеи","Escarabajos kalguranos","สคารับคาลเกอร์","卡爾葛聖甲蟲"
79,"ScarabsMercenaries","Mercenary Scarabs","Scarabées de Mercenaires","Söldner-Skarabäen","マーセナリースカラベ","용병 갑충석","Escaravelhos de Mercenário","Скарабеи наёмников","Escarabajos de mercenarios","สคารับทหารรับจ้าง","傭兵聖甲蟲"
80,"ScarabsMaps","Cartography Scarabs","Scarabées de Cartographie","Kartographie-Skarabäen","地図製作のスカラベ","지도 제작 갑충석","Escaravelhos Cartográficos","Скарабеи картографии","Escarabajos de cartografía","สคารับแผนที่","製圖聖甲蟲"
81,"ScarabsUniques","Titanic Scarabs","Scarabées titanesques","Titanische Skarabäen","タイタンのスカラベ","거대한 갑충석","Escaravelhos Titânicos","Титанические скарабеи","Escarabajos titánicos","สคารับมหึมา","泰坦聖甲蟲"
82,"ScarabsBeasts","Bestiary Scarabs","Scarabées du Bestiaire","Bestien-Skarabäen","ベスティアリースカラベ","야수 도감 갑충석","Escaravelhos do Bestiário","Скарабеи Бестиария","Escarabajos de bestiario","สคารับรวมสัตว์","獸獵聖甲蟲"
83,"ScarabsInfluence","Influence Scarabs","Scarabées d'Influence","Beeinflussende Skarabäen","インフルエンススカラベ","영향력 갑충석","Escaravelhos Influenciados","Влиятельные скарабеи","Escarabajo de influencia","สคารับอิทธิพล","勢力聖甲蟲"
84,"ScarabsSulphite","Sulphite Scarabs","Scarabées de Sulfite","Sulfit-Skarabäen","サルファイトスカラベ","아황산염 갑충석","Escaravelhos de Sulfito","Сульфитовые скарабеи","Escarabajos de sulfito","สคารับซัลไฟต์","硫酸聖甲蟲"
85,"ScarabsDivination","Divination Scarabs","Scarabées de Divination","Weissagungs-Skarabäen","占いのスカラベ","점술 갑충석","Escaravelhos de Adivinhação","Скарабеи предсказания","Escarabajos de adivinación","สคารับไพ่พยากรณ์","命運聖甲蟲"
86,"ScarabsTorment","Torment Scarabs","Scarabées de Tourment","Gequälte Skarabäen","トーメントスカラベ","고통 갑충석","Escaravelhos do Tormento","Скарабеи Мучения","Escarabajos de tormento","สคารับผีตายโหง","苦痛聖甲蟲"
87,"ScarabsStrongbox","Ambush Scarabs","Scarabées de l'Embuscage","Hinterhalt-Skarabäen","アンブッシュスカラベ","매복 갑충석","Escaravelhos da Emboscada","Скарабеи Засады","Escarabajos de emboscada","สคารับกล่องนิรภัย","伏擊聖甲蟲"
88,"ScarabsExpedition","Expedition Scarabs","Scarabées d'Expédition","Expedition-Skarabäen","エクスペディションスカラベ","탐험 갑충석","Escaravelhos da Expedição","Скарабеи Экспедиции","Escarabajos de expedición","สคารับกองสำรวจ","探險聖甲蟲"
89,"ScarabsLegion","Legion Scarabs","Scarabées de Légion","Legion-Skarabäen","リージョンスカラベ","군단 갑충석","Escaravelhos Legionários","Скарабеи Легиона","Escarabajos de legión","สคารับกองพัน","戰亂聖甲蟲"
90,"ScarabsAbyss","Abyss Scarabs","Scarabées de l'Abysse","Abgrund-Skarabäen","アビススカラベ","심연 갑충석","Escaravelhos Abissais","Скарабеи Бездны","Escarabajos de abismo","สคารับอะบิส","深淵聖甲蟲"
91,"ScarabsAnarchy","Anarchy Scarabs","Scarabées d'Anarchie","Anarchie-Skarabäen","アナーキースカラベ","혼란 갑충석","Escaravelhos da Anarquia","Скарабеи Анархии","Escarabajos de anarquía","สคารับเอ็กไซล์อันธพาล","混亂聖甲蟲"
92,"ScarabsEssence","Essence Scarabs","Scarabées d'Essence","Essenz-Skarabäen","エッセンススカラベ","에센스 갑충석","Escaravelhos de Essências","Скарабеи Сущности","Escarabajos de esencia","สคารับเอสเซนส์","精髓聖甲蟲"
93,"ScarabsDomination","Domination Scarabs","Scarabées de Domination","Schrein-Skarabäen","ドミネーションスカラベ","지배 갑충석","Escaravelhos do Domínio","Скарабеи Господства","Escarabajos de dominación","สคารับแท่นบูชา","支配聖甲蟲"
94,"ScarabsRitual","Ritual Scarabs","Scarabées de Rituel","Ritual-Skarabäen","リチュアルスカラベ","의식 갑충석","Escaravelhos Ritualísticos","Ритуальные скарабеи","Escarabajos de ritual","สคารับพิธีกรรม","祭祀聖甲蟲"
95,"ScarabsHarvest","Harvest Scarabs","Scarabées du Bosquet","Ernte-Skarabäen","ハーベストスカラベ","수확 갑충석","Escaravelhos da Colheita","Скарабеи Жатвы","Escarabajos de cosecha","สคารับฮาร์เวสต์","豐收聖甲蟲"
96,"ScarabsIncursion","Incursion Scarabs","Scarabées d'Incursion","Inkursion-Skarabäen","インカージョンスカラベ","기습 갑충석","Escaravelhos de Incursões","Скарабеи Вмешательства","Escarabajos de incursión","สคารับย้อนเวลา","穿越聖甲蟲"
97,"ScarabsBetrayal","Betrayal Scarabs","Scarabées du Syndicat","Syndikat-Skarabäen","ビトレイアルスカラベ","배신 갑충석","Escaravelhos da Traição","Скарабеи Предательства","Escarabajos de traición","สคารับองค์กรทรยศ","反叛聖甲蟲"
98,"ScarabsBeyond","Beyond Scarabs","Scarabées d'Ailleurs","Jenseits-Skarabäen","ビヨンドスカラベ","이계 갑충석","Escaravelhos do Além","Скарабеи Иномирья","Escarabajos del más allá","สคารับต่างมิติ","超越聖甲蟲"
99,"ScarabsUltimatum","Ultimatum Scarabs","Scarabées d'Ultimatum","Ultimatum-Skarabäen","アルティメイタムスカラベ","결전 갑충석","Escaravelhos do Ultimato","Скарабеи Ультиматума","Escarabajos de ultimátum","สคารับคำขาด","通牒聖甲蟲"
100,"ScarabsDelirium","Delirium Scarabs","Scarabées du Délire","Delirium-Skarabäen","デリリウムスカラベ","환영 갑충석","Escaravelhos Delirantes","Скарабеи Делириума","Escarabajos de delirio","สคารับเดลิเรียม","譫妄聖甲蟲"
101,"ScarabsBlight","Blight Scarabs","Scarabées de l'Infestation","Befall-Skarabäen","ブライトスカラベ","역병 갑충석","Escaravelhos Infestados","Скарабеи Скверны","Escarabajos de plaga","สคารับไบลท์","凋落聖甲蟲"
102,"ScarabsMisc","Misc. Scarabs","Scarabées divers","Versch. Skarabäen","その他スカラベ","기타 갑충석","Escaravelhos Gerais","Прочие скарабеи","Escarabajos misceláneos","สคารับอื่นๆ","雜項聖甲蟲"
103,"ScarabsUber","Horned Scarabs","Scarabées cornus","Gehörnte Skarabäen","角スカラベ","뿔 달린 갑충석","Escaravelhos Chifrudos","Рогатые скарабеи","Escarabajos cornudos","สคารับมีเขา","犄角聖甲蟲"
104,"Blight","Oils","Huiles","Öle","オイル","성유","Óleos","Масла","Aceites","น้ำมัน","油瓶"
105,"Ultimatum","Catalysts","Catalyseurs","Katalysatoren","カタリスト","기폭제","Catalisadores","Катализаторы","Catalizadores","ตัวเร่งปฏิกิริยา","催化劑"
106,"Expedition","Expedition","Expédition","Expedition","エクスペディション","탐험","Expedition","Экспедиция","Expedición","กองสำรวจ","探險聯盟"
107,"Harvest","Harvest","Harvest","Ernte","ハーベスト","수확","Colheita","Жатва","Harvest","ฮาร์เวสต์","生靈之力"
108,"Omens","Omens","Présages","Omen","お告げ","징조","Presságios","Предсказания","Augurios","ลางบอกเหตุ","預兆"
109,"Tattoos","Tattoos","Tatouages","Tätowierungen","タトゥー","문신","Tatuagens","Татуировки","Tatuajes","ลายสัก","紋身"
110,"TattoosDex","Dexterity Tattoos","Tatouages de Dextérité","Geschick-Tätowierungen","器用さタトゥー","민첩 문신","Tatuagens de Destreza","Татуировки ловкости","Tatuajes de destreza","ลายสัก Dexterity","敏捷紋身"
111,"TattoosStr","Strength Tattoos","Tatouages de Force","Stärke-Tätowierungen","筋力タトゥー","힘 문신","Tatuagens de Força","Татуировки силы","Tatuajes de fuerza","ลายสัก Strength","力量紋身"
112,"TattoosInt","Intelligence Tattoos","Tatouages d'Intelligence","Intelligenz-Tätowierungen","知性タトゥー","지능 문신","Tatuagens de Inteligência","Татуировки интеллекта","Tatuajes de inteligencia","ลายสัก Intelligence","智慧紋身"
113,"TattoosSpecial","Special Tattoos","Tatouages spéciaux","Besondere Tätowierungen","特別なタトゥー","특별 문신","Tatuagens Especiais","Особые татуировки","Tatuajes especiales","ลายสักพิเศษ","特殊紋身"
114,"Ancestors","Ancestors","Ancestors","Ahnen","アンセスター","선조들","Ancestrais","Предки","Ancestros","บรรพชน","祖靈"
115,"Kalguur","Runecrafting","Artisanat runique","Runenanfertigung","ルーンクラフト","룬 제작","Runologia","Рунное дело","Runas","ศาสตร์อักขระ","符文製作"
116,"Runegrafts","Runegrafts","Marques runiques","Runengravuren","ルーングラフト","룬 접목","Enxertos de Runa","Рунограммы","Símbolos rúnicos","ตรานาบอักขระ","符文之結"
117,"Popular","Popular","Populaire","Beliebt","人気","인기","Popular","Популярное","Popular","ยอดนิยม","熱門"
118,"Owned","Owned","En votre possession","Im Besitz","所持","보유 중","Possuído","В наличии","Poseo","ที่มีอยู่","已擁有"
119,"Favourites","Favourites","Favoris","Favoriten","お気に入り","즐겨찾기","Favoritos","Избранное","Favoritos","รายการโปรด","最愛"
120,"AllflameEmbers","Allflame Embers","Braises d'Omniflamme","Allflamme-Gluten","オールフレイムの残り火","올플레임 잉걸불","Brasas da Omnichama","Уголья Всепламени","Brasas de la llama eterna","ถ่านไฟออลเฟลม","不滅之火餘燼"
121,"Wishes","Djinn Coins","Pièces de Djinn","Djinn-Münzen","ジンのコイン","진 주화","Moedas Djinn","Монеты джинна","Monedas de genio","เหรียญจินน์","巨靈硬幣"
122,"DeepwaterDucats","Ducats","Ducats","Dukaten","ダカット","두카트","Ducados","Дукаты","Ducados","ดูคัต","達克特"
