"rownum","Id","Cost1Currencies","Cost1Values","Cost2Currencies","Cost2Values","Cost3Currencies","Cost3Values","Cost4Currencies","Cost4Values","RuthlessWithGold"
94,"Metadata/Items/Maps/Map2Tier9_1",[7],[3],"[7,8]","[3,1]",[7],[4],[2],[10],[]
95,"Metadata/Items/Maps/Map2Tier10_1",[7],[4],"[7,8]","[4,1]",[7],[5],[2],[10],[]
96,"Metadata/Items/Maps/Map2Tier11_1",[7],[5],"[7,8]","[5,1]",[7],[6],[2],[10],[]
97,"Metadata/Items/Maps/MapWorldsVaalTemple",[39],[30],"[39,8]","[30,1]","[39,7]","[30,1]",[2],[10],[]
98,"Metadata/Items/DivinationCards/DivinationCardLostWorlds",[8],[1],[],[],[],[],[],[],[]
99,"Metadata/Items/DivinationCards/DivinationCardGuardiansChallenge",[8],[5],[],[],[],[],[],[],[]
100,"HeistContractLowLevel",[11],[1],[12],[1],[7],[1],[],[],"[5000,10000,20000,20000]"
101,"HeistContractHighLevel",[8],[1],[7],[1],[2],[1],[],[],"[10000,20000,40000,40000]"
102,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_1",[4172],[1],[],[],[],[],[],[],[]
103,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_2",[4173],[1],[],[],[],[],[],[],[]
104,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_3",[4174],[1],[],[],[],[],[],[],[]
105,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_4",[4175],[1],[],[],[],[],[],[],[]
106,"MapTier12",[2],[4],"[2,8]","[4,1]","[2,7]","[4,1]",[2],[10],[]
107,"MapTier13",[2],[5],"[2,8]","[5,1]","[2,7]","[5,1]",[2],[10],[]
108,"MapTier14",[2],[7],"[2,8]","[7,1]","[2,7]","[7,1]",[2],[10],[]
109,"MapTier15",[2],[11],"[2,8]","[11,1]","[2,7]","[11,1]",[2],[10],[]
110,"MapTier16",[2],[25],"[2,8]","[25,1]","[2,7]","[25,1]",[2],[10],[]
111,"Metadata/Items/MapFragments/Maven/MavenMapAtlas5",[2],[8],[2],[8],[2],[8],[2],[8],[]
112,"HardModeRingCost",[12],[3],[7],[1],[7],[3],[2],[8],[1500]
113,"HardModeAmuletCost",[12],[5],[7],[2],[7],[5],[2],[12],[3000]
114,"HardModeBeltCost",[12],[3],[7],[1],[7],[3],[2],[8],[1500]
115,"HardModeEquipmentLowCost",[11],[1],[12],[1],[7],[1],[2],[5],[100]
116,"HardModeEquipmentMediumCost",[11],[2],[12],[2],[7],[2],[2],[5],[200]
117,"HardModeEquipmentHighCost",[11],[3],[12],[3],[7],[3],[2],[8],[300]
118,"HardModeFlaskLowCost",[1],[3],[11],[3],[2],[1],[2],[5],[50]
119,"HardModeFlaskHighCost",[11],[3],[12],[4],[2],[3],[2],[8],[500]
120,"HardModeUtilityFlaskCost",[7],[1],"[7,11]","[1,1]",[],[],[],[],[]
121,"HardModeSkillGemCost",[339],[1],[],[],[],[],[],[],[]
122,"HardModeItemiseCost",[8],[1],[],[],[],[],[],[],[]
123,"HardModeUnmakingOrbCost",[8],[1],[],[],[],[],[],[],[50000]
124,"HardModeMapTier1",[11],[2],[11],[3],[11],[5],[2],[10],"[5000,10000,20000,1000000]"
125,"HardModeMapTier2",[11],[2],[11],[3],[11],[5],[2],[10],"[5000,10000,20000,1000000]"
126,"HardModeMapTier3",[11],[3],[11],[4],[11],[6],[2],[10],"[6000,12000,24000,1000000]"
127,"HardModeMapTier4",[11],[3],[11],[4],[11],[6],[2],[10],"[6000,12000,24000,1000000]"
128,"HardModeMapTier5",[11],[4],[11],[5],[11],[7],[2],[10],"[7000,14000,28000,1000000]"
129,"HardModeMapTier6",[8],[2],"[8,11]","[2,1]","[8,7]","[2,1]",[2],[10],"[10000,20000,40000,1000000]"
130,"HardModeMapTier7",[8],[2],"[8,11]","[2,1]","[8,7]","[2,1]",[2],[10],"[10000,20000,40000,1000000]"
131,"HardModeMapTier8",[8],[3],"[8,11]","[3,1]","[8,7]","[3,1]",[2],[10],"[15000,30000,60000,1000000]"
132,"HardModeMapTier9",[8],[3],"[8,11]","[3,1]","[8,7]","[3,1]",[2],[10],"[15000,30000,60000,1000000]"
133,"HardModeMapTier10",[8],[4],"[8,11]","[4,1]","[8,7]","[4,1]",[2],[10],"[20000,40000,80000,1000000]"
134,"HardModeMapTier11",[7],[3],[7],[4],[7],[5],[2],[10],"[50000,100000,200000,1000000]"
135,"HardModeMapTier12",[7],[4],[7],[5],[7],[6],[2],[10],"[60000,120000,240000,1000000]"
136,"HardModeMapTier13",[7],[5],[7],[6],[7],[7],[2],[10],"[70000,140000,280000,1000000]"
137,"HardModeMapTier14",[7],[6],[7],[7],[7],[8],[2],[10],"[80000,160000,320000,1000000]"
138,"HardModeMapTier15",[7],[7],[7],[8],[7],[9],[2],[10],"[90000,180000,360000,1000000]"
139,"HardModeMapTier16",[7],[8],[7],[9],[7],[10],[2],[10],"[100000,200000,400000,1000000]"
140,"CurrencyIdentification",[1],[1],[],[],[],[],[],[],[50]
141,"Metadata/Items/Chayula/TutorialGraft",[17],[1],[],[],[],[],[],[],[]
142,"MapKeyTier1",[4746],[1000],"[4746,8]","[1000,1]","[4746,8]","[1000,3]",[4746],[1000],[]
143,"MapKeyTier2",[4746],[1250],"[4746,8]","[1250,1]","[4746,8]","[1250,3]",[4746],[1250],[]
144,"MapKeyTier3",[4746],[1500],"[4746,8]","[1500,1]","[4746,8]","[1500,3]",[4746],[1500],[]
145,"MapKeyTier4",[4746],[1750],"[4746,8]","[1750,1]","[4746,8]","[1750,3]",[4746],[1750],[]
146,"MapKeyTier5",[4746],[2000],"[4746,8]","[2000,1]","[4746,8]","[2000,3]",[4746],[2000],[]
147,"MapKeyTier6",[4746],[3000],"[4746,8]","[3000,1]","[4746,8]","[3000,3]",[4746],[3000],[]
148,"MapKeyTier7",[4746],[3250],"[4746,8]","[3250,1]","[4746,8]","[3250,3]",[4746],[3250],[]
149,"MapKeyTier8",[4746],[3500],"[4746,8]","[3500,1]","[4746,8]","[3500,3]",[4746],[3500],[]
150,"MapKeyTier9",[4746],[3750],"[4746,8]","[3750,1]","[4746,8]","[3750,3]",[4746],[3750],[]
151,"MapKeyTier10",[4746],[4000],"[4746,8]","[4000,1]","[4746,8]","[4000,3]",[4746],[4000],[]
152,"MapKeyTier11",[4746],[6000],"[4746,8]","[6000,1]","[4746,8]","[6000,3]",[4746],[6000],[]
153,"MapKeyTier12",[4746],[6500],"[4746,8]","[6500,1]","[4746,8]","[6500,3]",[4746],[6500],[]
154,"MapKeyTier13",[4746],[7000],"[4746,8]","[7000,1]","[4746,8]","[7000,3]",[4746],[7000],[]
155,"MapKeyTier14",[4746],[7500],"[4746,8]","[7500,1]","[4746,8]","[7500,3]",[4746],[7500],[]
156,"MapKeyTier15",[4746],[8000],"[4746,8]","[8000,1]","[4746,8]","[8000,3]",[4746],[8000],[]
157,"MapKeyTier16",[4746],[9000],"[4746,8]","[9000,1]","[4746,8]","[9000,3]",[4746],[9000],[]
158,"HardModeMapKeyTier1",[4746],[1000],"[4746,8]","[1000,1]","[4746,8]","[1000,3]",[4746],[1000],[]
159,"HardModeMapKeyTier2",[4746],[1250],"[4746,8]","[1250,1]","[4746,8]","[1250,3]",[4746],[1250],[]
160,"HardModeMapKeyTier3",[4746],[1500],"[4746,8]","[1500,1]","[4746,8]","[1500,3]",[4746],[1500],[]
161,"HardModeMapKeyTier4",[4746],[1750],"[4746,8]","[1750,1]","[4746,8]","[1750,3]",[4746],[1750],[]
162,"HardModeMapKeyTier5",[4746],[2000],"[4746,8]","[2000,1]","[4746,8]","[2000,3]",[4746],[2000],[]
163,"HardModeMapKeyTier6",[4746],[3000],"[4746,8]","[3000,1]","[4746,8]","[3000,3]",[4746],[3000],[]
164,"HardModeMapKeyTier7",[4746],[3250],"[4746,8]","[3250,1]","[4746,8]","[3250,3]",[4746],[3250],[]
165,"HardModeMapKeyTier8",[4746],[3500],"[4746,8]","[3500,1]","[4746,8]","[3500,3]",[4746],[3500],[]
166,"HardModeMapKeyTier9",[4746],[3750],"[4746,8]","[3750,1]","[4746,8]","[3750,3]",[4746],[3750],[]
167,"HardModeMapKeyTier10",[4746],[4000],"[4746,8]","[4000,1]","[4746,8]","[4000,3]",[4746],[4000],[]
168,"HardModeMapKeyTier11",[4746],[6000],"[4746,8]","[6000,1]","[4746,8]","[6000,3]",[4746],[6000],[]
169,"HardModeMapKeyTier12",[4746],[6500],"[4746,8]","[6500,1]","[4746,8]","[6500,3]",[4746],[6500],[]
170,"HardModeMapKeyTier13",[4746],[7000],"[4746,8]","[7000,1]","[4746,8]","[7000,3]",[4746],[7000],[]
171,"HardModeMapKeyTier14",[4746],[7500],"[4746,8]","[7500,1]","[4746,8]","[7500,3]",[4746],[7500],[]
172,"HardModeMapKeyTier15",[4746],[8000],"[4746,8]","[8000,1]","[4746,8]","[8000,3]",[4746],[8000],[]
173,"HardModeMapKeyTier16",[4746],[9000],"[4746,8]","[9000,1]","[4746,8]","[9000,3]",[4746],[9000],[]
