"rownum","Id","QuestKey","QuestFlag","i32_40","RewardWindowTake","bool_60","bool_61","RewardWindowTitle","bool_78","bool_79","bool_80","bool_81","rid_82"
51,"a7q8",84,1376,1470,"","","","","","","","",""
52,"a7q8_offer",84,"",1470,3695,"",1,3700,"","","","",""
53,"a7q9",85,"",1470,"","",1,"","","","","",""
54,"a8q1",86,1421,1470,"","","","","","","","",""
55,"a8q4",89,"",1470,"","",1,"","","","","",""
56,"a8q5",90,1441,1470,"","","","","","","","",""
57,"a8q6",91,"",1470,"","",1,"","","","","",""
58,"a8q7",92,"",1470,"","",1,"","","","","",""
59,"a9q2",94,"",1470,"","",1,"","","","","",""
60,"a9q3",95,1627,1470,"","","","","","","","",""
61,"a9q4",96,"",1470,"","",1,"","","","","",""
62,"a9q5",97,"",1470,"","",1,"","","","","",""
63,"a9q5_offer",97,"",1470,3695,"",1,3700,"","","","",""
64,"a10q1",98,1645,1470,"","","","","","","","",""
65,"a10q2",99,1652,1470,"","","","","","","","",""
66,"a10q3",100,"",1470,"","",1,"","","","","",""
67,"a10q4",101,"",1470,"","",1,"","","","","",""
68,"a10q5",102,1680,1470,"","","","","","","","",""
69,"a10q6",103,"",1470,"","",1,"","","","","",""
70,"atlas",175,"",216,"","","","","","","","",""
71,"heist_tutorial",127,"",1470,3695,"",1,3700,"","","","",""
72,"heist_quest_karst2",129,"",1470,3695,"",1,3700,"","","","",""
73,"heist_quest_karst3",130,"",1470,3695,"",1,3700,"","","","",""
74,"heist_quest_tibbs2",132,"",1470,3695,"",1,3700,"","","","",""
75,"heist_quest_tullina2",140,"",1470,3695,"",1,3700,"","","","",""
76,"heist_quest_faustus2",155,"",1470,3695,"",1,3700,"","","","",""
77,"heist_quest_kurai4",160,"",871,"","","","","","","","",""
78,"heist_quest_karst1",128,"",942,"","","","","","","","",""
79,"heist_quest_karst2_2",129,"",943,"","","","","","","","",""
80,"heist_quest_karst3_2",130,"",944,"","","","","","","","",""
81,"heist_quest_tibbs1",131,"",945,"","","","","","","","",""
82,"heist_quest_tibbs2_2",132,"",946,"","","","","","","","",""
83,"heist_quest_huck1",133,"",947,"","","","","","","","",""
84,"heist_quest_huck2",134,"",948,"","","","","","","","",""
85,"heist_quest_vinderi1",135,"",949,"","","","","","","","",""
86,"heist_quest_vinderi2",136,"",950,"","","","","","","","",""
87,"heist_quest_gianna1",137,"",951,"","","","","","","","",""
88,"heist_quest_gianna2",138,"",952,"","","","","","","","",""
89,"heist_quest_tullina1",139,"",953,"","","","","","","","",""
90,"heist_quest_tullina2_2",140,"",954,"","","","","","","","",""
91,"heist_quest_niles1",141,"",955,"","","","","","","","",""
92,"heist_quest_niles2",142,"",956,"","","","","","","","",""
93,"heist_quest_nenet1",143,"",957,"","","","","","","","",""
94,"heist_quest_nenet2",144,"",958,"","","","","","","","",""
95,"heist_quest_isla1",145,"",959,"","","","","","","","",""
96,"heist_quest_isla2",146,"",960,"","","","","","","","",""
97,"heist_quest_isla3",147,"",961,"","","","","","","","",""
98,"heist_quest_adiyah1",148,"",962,"","","","","","","","",""
99,"heist_quest_adiyah2",149,"",963,"","","","","","","","",""
100,"heist_quest_adiyah3",150,"",964,"","","","","","","","",""
101,"heist_quest_whakano1",151,"",965,"","","","","","","","",""
102,"heist_quest_whakano2",152,"",966,"","","","","","","","",""
103,"heist_quest_whakano3",153,"",967,"","","","","","","","",""
104,"heist_quest_faustus1",154,"",968,"","","","","","","","",""
105,"heist_quest_faustus2_2",155,"",969,"","","","","","","","",""
106,"heist_quest_faustus3",156,"",970,"","","","","","","","",""
107,"heist_quest_kurai1",157,"",971,"","","","","","","","",""
108,"heist_quest_kurai2",158,"",972,"","","","","","","","",""
109,"heist_quest_kurai3",159,"",973,"","","","","","","","",""
110,"hellscape_tutorial1",171,"",1470,3695,"",1,3700,"","","","",""
111,"voidstones",107,"",1470,3697,1,1,3700,"","","","",""
112,"maven",162,"",1470,"","",1,"","","","","",""
113,"uberelder",163,"",1470,"","",1,"","","","","",""
114,"tangle",164,"",1470,"","",1,"","","","","",""
115,"cleansing_fire",165,"",1470,"","",1,"","","","","",""
116,"tangle_infinite_hunger",164,"",1470,"","",1,"","","","","",""
117,"cleansing_fire_black_star",165,"",1470,"","",1,"","","","","",""
118,"sanctum_free_relic",184,"",1032,"","","","","","","","",""
119,"VillageMiningTutorialReward",196,"",717,"","","","","","","","",""
120,"VillageShippingTutorialReward",198,"",732,"","","","","","","","",""
121,"VillageSmeltingTutorialReward",199,"",876,"","","","","","","","",""
122,"VillageFarmingTutorialReward",200,"",878,"","","","","","","","",""
123,"VillageDisenchantingTutorialReward",201,"",368,"","","","","","","","",""
124,"VillageMapRunningTutorialReward",202,"",345,"","","","","","","","",""
125,"VillageRecruitmentTutorialReward",196,"",733,"","","","","","","","",""
