"rownum","string_0","i32_8","i32_12","i32_16","[rid]_20","[i32]_36","string_52","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_60","i32_76","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_80","i32_84","u16_88"
26,"AddedChaosLow",0,0,0,"[64,65]","[10,16]","Lesser Added Chaos","Dégâts de chaos supplémentaires mineurs","Geringerer Zusätzlicher Chaosschaden","混沌追加（小）","하위 카오스 추가","Dano Adicional de Caos Menor","Малый урон хаосом","Caos agregado menor","Lesser Added Chaos","低階附加混沌",10,264548580,281194724,279490788,223916260,227848420,273068260,282374372,281719012,264548580,216838372,0,65536,0
27,"AddedChaosMid",0,0,0,"[64,65]","[33,49]","Added Chaos","Dégâts de chaos supplémentaires","Zusätzlicher Chaosschaden","混沌追加","카오스 추가","Dano Adicional de Caos","Урон хаосом","Caos agregado","Added Chaos","附加混沌",10,264534726,281180870,279476934,223902406,227834566,273054406,282360518,281705158,264534726,216824518,0,131072,0
28,"AddedChaosHigh",0,0,0,"[64,65]","[73,109]","Greater Added Chaos","Dégâts de chaos supplémentaires majeurs","Größerer Zusätzlicher Chaosschaden","混沌追加（大）","상위 카오스 추가","Dano Adicional de Caos Maior","Большой урон хаосом","Caos agregado mayor","Greater Added Chaos","高階附加混沌",10,264515210,281161354,279457418,223882890,227815050,273034890,282341002,281685642,264515210,216805002,0,196608,0
29,"EnduringCrySpecificOnslaughtGainHigh",0,0,0,[12082],[1],"Gilded Onslaught on Cry","Assaut en Criant doré","Goldener Ansturm bei Kriegsschrei","金色のクライ時猛攻","도금된 함성 시 맹공","Agressividade Áurea no Clamor","Позолоченный: Боевой раж при кличе","Fervor dorado con grito de guerra","Gilded Onslaught on Cry","鍍金戰吼時猛攻","",41995472,42519760,42126544,35179728,35179728,41209040,42257616,42519760,41995472,34131152,0,196608,0
30,"WarcryRageLow",0,0,0,[7458],[10],"Lesser Raging Cry","Cri de rage mineur","Geringerer Rauschender Schrei","レイジングクライ（小）","하위 격노하는 함성","Clamor Tempestuoso Menor","Слабый свирепый клич","Grito enfurecedor menor","Lesser Raging Cry","低階憤怒戰吼",6,299548757,321306709,321175637,253804629,258392149,312393813,319209557,319078485,299548757,245678165,0,65536,0
31,"WarcryRageMid",0,0,0,[7458],[15],"Raging Cry","Cri de rage","Rauschender Schrei","レイジングクライ","격노하는 함성","Clamor Tempestuoso","Свирепый клич","Grito enfurecedor","Raging Cry","憤怒戰吼",6,299536016,321293968,321162896,253791888,258379408,312381072,319196816,319065744,299536016,245665424,0,131072,0
32,"WarcryRageHigh",0,0,0,[7458],[20],"Greater Raging Cry","Cri de rage majeur","Größerer Rauschender Schrei","レイジングクライ（大）","상위 격노하는 함성","Clamor Tempestuoso Maior","Сильный свирепый клич","Grito enfurecedor mayor","Greater Raging Cry","高階憤怒戰吼",6,299513304,321271256,321140184,253769176,258356696,312358360,319174104,319043032,299513304,245642712,0,196608,0
33,"PoisonChanceLow",0,0,0,[3364],[20],"Lesser Chance to Poison","Chances d'Empoisonnement mineures","Geringere Chance auf Vergiften","毒付与（小）","하위 중독 확률","Chance de Envenenar Menor","Малый шанс отравить","Probabilidad de envenenar menor","Lesser Chance to Poison","低階中毒機率",4,324011848,347211592,348784456,274859848,279447368,338954056,343934792,346163016,324011848,265553736,0,65536,0
34,"PoisonChanceMid",0,0,0,[3364],[35],"Chance to Poison","Chances d'Empoisonnement","Chance auf Vergiften","毒付与","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","Chance to Poison","中毒機率",4,324068368,347268112,348840976,274916368,279503888,339010576,343991312,346219536,324068368,265610256,0,131072,0
35,"PoisonChanceHigh",0,0,0,[3364],[50],"Greater Chance to Poison","Chances d'Empoisonnement majeures","Größere Chance auf Vergiften","毒付与（大）","상위 중독 확률","Chance de Envenenar Maior","Большой шанс отравить","Probabilidad de envenenar mayor","Greater Chance to Poison","高階中毒機率",4,324019569,347219313,348792177,274867569,279455089,338961777,343942513,346170737,324019569,265561457,0,196608,0
36,"DarkPactSpecificMaledictionOnHitHigh",0,0,0,[12139],[1],"Gilded Malediction","Malédiction dorée","Goldene Malediktion","金色の呪詛","도금된 악담","Esconjuro Áureo","Позолоченный: Злословие","Maldición dorada","Gilded Malediction","鍍金惡語術","",41991989,42516277,42123061,35176245,35176245,41205557,42254133,42516277,41991989,34127669,0,196608,0
37,"CastSpeedLow",0,0,0,[216],[15],"Lesser Faster Casting","Vitesse d'incantation mineure","Geringeres schnelleres Zaubern","キャストスピード（小）","하위 시전 속도 증가","Conjuração Acelerada Menor","Малое ускорение сотворения чар","Lanzamiento rápido de hechizos menor","Lesser Faster Casting","低階快速施放",3,355903949,382249421,383035853,299674061,304916941,371632589,376875469,381856205,355903949,289843661,0,65536,0
38,"CastSpeedMid",0,0,0,[216],[25],"Faster Casting","Vitesse d'incantation","Schnelleres Zaubern","キャストスピード","시전 속도 증가","Conjuração Acelerada","Ускорение сотворения чар","Lanzamiento rápido de hechizos","Faster Casting","快速施放",3,355899331,382244803,383031235,299669443,304912323,371627971,376870851,381851587,355899331,289839043,0,131072,0
39,"CastSpeedHigh",0,0,0,[216],[35],"Greater Faster Casting","Vitesse d'incantation majeure","Größeres schnelleres Zaubern","キャストスピード（大）","상위 시전 속도 증가","Conjuração Acelerada Maior","Большое ускорение сотворения чар","Lanzamiento rápido de hechizos mayor","Greater Faster Casting","高階快速施放",3,355869087,382214559,383000991,299639199,304882079,371597727,376840607,381821343,355869087,289808799,0,196608,0
40,"KnockbackLow",0,0,0,"[110,401]","[1,40]","Knockback","Repoussement","Rückstoß","ノックバック","밀어내기","Empurrar","Отбрасывание","Empuje","Knockback","擊退","",378600938,407174634,407043562,319749610,324730346,395509226,402587114,408092138,378600938,308215274,0,65536,0
41,"StormRainSpecificNumberOfBurstsHigh",0,0,0,[14373],[2],"Gilded Additional Pulses","Décharges supplémentaires dorées","Goldene zusätzliche Impulse","金色のパルス追加","도금된 추가 파동","Pulsos Adicionais Áureos","Позолоченный: Дополнительные разряды","Pulsos dorados adicionales","Gilded Additional Pulses","鍍金額外脈衝","",41973762,42498050,42104834,35158018,35158018,41187330,42235906,42498050,41973762,34109442,0,196608,0
42,"LightningDamageLuckyHigh",0,0,0,[11414],[1],"Greater Lucky Lightning Damage","Dégâts de foudre favorables majeurs","Größerer Günstiger Blitzschaden","雷ダメージ幸運（大）","상위 번개 피해에 행운 적용","Dano Adicional de Raio Sortudo Maior","Большой удачливый урон от молнии","Daño de rayo afortunado mayor","Greater Lucky Lightning Damage","高階幸運閃電傷害","",401760023,432037655,430726935,338190103,343957271,419454743,427581207,431382295,401760023,326131479,0,196608,0
43,"GenerosityLow",0,0,0,"[2409,3834]","[1,10]","Lesser Generosity","Générosité mineure","Geringere Großzügigkeit","寛大（小）","하위 관대함","Generosidade Menor","Малая щедрость","Generosidad menor","Lesser Generosity","低階和善",7,415950805,446359509,445704149,350808021,356706261,433776597,441378773,445573077,415950805,338618325,0,65536,0
44,"GenerosityMid",0,0,0,"[2409,3834]","[1,20]","Generosity","Générosité","Großzügigkeit","寛大","관대함","Generosidade","Щедрость","Generosidad","Generosity","和善",7,415926891,446335595,445680235,350784107,356682347,433752683,441354859,445549163,415926891,338594411,0,131072,0
45,"GenerosityHigh",0,0,0,"[2409,3834]","[1,30]","Greater Generosity","Générosité majeure","Größere Großzügigkeit","寛大（大）","상위 관대함","Generosidade Maior","Большая щедрость","Generosidad mayor","Greater Generosity","高階和善",7,415944823,446353527,445698167,350802039,356700279,433770615,441372791,445567095,415944823,338612343,0,196608,0
46,"FortifyHigh",0,0,0,[5406],[1],"Greater Fortify","Renforcement majeur","Goldenes Verstärken","堅牢化（大）","상위 방어 상승","Fortificar Maior","Большое укрепление","Fortificar mayor","Greater Fortify","高階護體","",440695728,471628720,471759792,371620784,378043312,458914736,465992624,470449072,440695728,359037872,0,196608,0
47,"FlameLinkSpecificAddedFlatHigh",0,0,0,"[14813,14814]","[38,56]","Gilded Empowered Link","Lien de flammes dorée","Goldene Flammenverbindung","金色のフレイムリンク","도금된 화염의 연결","Elo de Fogo Áureo","Позолоченный: Пламенная связь","Vínculo de llamas dorado","Gilded Flame Link","鍍金烈焰連結","",41979390,42503678,42110462,35163646,35163646,41192958,42241534,42503678,41979390,34115070,0,196608,0
48,"IceCrashSpecificTertiaryRadiusHigh",0,0,0,[18301],[5],"Gilded Icecrash Radius","Rayon de Fracas de glace doré","Goldener Eishiebradius","金色のアイスクラッシュ半径","도금된 얼음충격 반경","Alcance da Colisão Gélida Áurea","Позолоченный: Радиус ледяного сокрушения","Radio de Choque de hielo dorado","Gilded Icecrash Radius","鍍金寒冰衝擊範圍","",41972206,42496494,42103278,35156462,35156462,41185774,42234350,42496494,41972206,34107886,0,196608,0
49,"IncreaseDurationLow",0,0,0,[20687],[15],"Lesser More Duration","Davantage de Durée mineure","Geringere mehr Dauer","持続時間上昇（小）","하위 지속시간 증폭","Mais Duração Menor","Малое продление","Más duración menor","Lesser More Duration","低階更多持續時間",8,471730730,504367658,503319082,398592554,404884010,490342954,499780138,502794794,471206442,384698922,0,65536,0
50,"IncreaseDurationMid",0,0,0,[20687],[25],"More Duration","Davantage de Durée","Mehr Dauer","持続時間上昇","지속시간 증폭","Mais Duração","Продление","Más duración","More Duration","更多持續時間",8,471778350,504415278,503366702,398640174,404931630,490390574,499827758,502842414,471254062,384746542,0,131072,0
51,"IncreaseDurationHigh",0,0,0,[20687],[40],"Greater More Duration","Davantage de Durée majeure","Größere mehr Dauer","持続時間上昇（大）","상위 지속시간 증폭","Mais Duração Maior","Большое продление","Más duración mayor","Greater More Duration","高階更多持續時間",8,471754696,504391624,503343048,398616520,404907976,490366920,499804104,502818760,471230408,384722888,0,196608,0
52,"ReduceDurationLow",0,0,0,[20687],[-15],"Lesser Less Duration","Perte de Durée mineure","Geringere verkürzte Dauer","持続時間低下（小）","하위 지속시간 감폭","Menos Duração Menor","Малое сокращение","Menos duración menor","Lesser Less Duration","低階更少持續時間",8,497473008,531682800,528930288,420402672,427087344,515429872,523949552,528012784,496948720,406246896,0,65536,0
53,"ReduceDurationMid",0,0,0,[20687],[-25],"Less Duration","Perte de Durée","Verkürzte Dauer","持続時間低下","지속시간 감폭","Menos Duração","Сокращение","Menos duración","Less Duration","更少持續時間",8,497483354,531693146,528940634,420413018,427097690,515440218,523959898,528023130,496959066,406257242,0,131072,0
54,"ReduceDurationHigh",0,0,0,[20687],[-40],"Greater Less Duration","Perte de Durée majeure","Größere verkürzte Dauer","持続時間低下（大）","상위 지속시간 감폭","Menos Duração Maior","Большое сокращение","Menos duración mayor","Greater Less Duration","高階更少持續時間",8,497480187,531689979,528937467,420409851,427094523,515437051,523956731,528019963,496955899,406254075,0,196608,0
55,"DamageOverTimeReduceDurationLow",0,0,0,"[3458,14543]","[15,-20]","Lesser Swift Affliction","Affliction fulgurante mineure","Geringerer schneller Verfall","スウィフトアフリクション（小）","하위 고통 격화","Aflição Rápida Menor","Слабый стремительный недуг","Aflicción veloz menor","Lesser Swift Affliction","低階極速苦痛",12,526254914,561513282,558891842,445645634,451674946,543556418,552338242,556532546,525730626,430179138,0,65536,0
56,"DamageOverTimeReduceDurationMid",0,0,0,"[3458,14543]","[20,-20]","Swift Affliction","Affliction fulgurante","Schneller Verfall","スウィフトアフリクション","고통 격화","Aflição Rápida","Стремительный недуг","Aflicción veloz","Swift Affliction","極速苦痛",12,526318361,561576729,558955289,445709081,451738393,543619865,552401689,556595993,525794073,430242585,0,131072,0
57,"DamageOverTimeReduceDurationHigh",0,0,0,"[3458,14543]","[30,-20]","Greater Swift Affliction","Affliction fulgurante majeure","Größerer schneller Verfall","スウィフトアフリクション（大）","상위 고통 격화","Aflição Rápida Maior","Сильный стремительный недуг","Aflicción veloz mayor","Greater Swift Affliction","高階極速苦痛",12,526319320,561577688,558956248,445710040,451739352,543620824,552402648,556596952,525795032,430243544,0,196608,0
58,"CurseEffectHigh",0,0,0,[1385],[20],"Greater Curse Effect","Effet des Malédictions majeur","Größere Fluchwirkung","呪い効果（大）","상위 저주 효과","Efeito de Maldição Maior","Сильный эффект проклятий","Efecto de maldición mayor","Greater Curse Effect","高階詛咒效果","",401738943,432016575,430705855,338169023,343936191,419433663,427560127,431361215,401738943,326110399,0,196608,0
59,"HypothermiaLow",0,0,0,"[2911,7924]","[15,15]","Lesser Hypothermia","Hypothermie mineure","Geringere Hypothermie","低体温化（小）","하위 체온저하","Hipotermia Menor","Слабое переохлаждение","Hipotermia menor","Lesser Hypothermia","低階急凍",13,566257186,604136994,599680546,480798242,485123618,583034402,594044450,596403746,565732898,462579234,0,65536,0
60,"HypothermiaMid",0,0,0,"[2911,7924]","[20,20]","Hypothermia","Hypothermie","Hypothermie","低体温化","체온저하","Hipotermia","Переохлаждение","Hipotermia","Hypothermia","急凍",13,566269611,604149419,599692971,480810667,485136043,583046827,594056875,596416171,565745323,462591659,0,131072,0
61,"HypothermiaHigh",0,0,0,"[2911,7924]","[30,30]","Greater Hypothermia","Hypothermie majeure","Größere Hypothermie","低体温化（大）","상위 체온저하","Hipotermia Maior","Сильное переохлаждение","Hipotermia mayor","Greater Hypothermia","高階急凍",13,566284185,604163993,599707545,480825241,485150617,583061401,594071449,596430745,565759897,462606233,0,196608,0
62,"StrikeRangeLow",0,0,0,[1229],[2],"Lesser Strike Distance","Distance de frappe mineure","Geringere Schlagdistanz","ストライク距離（小）","하위 타격 거리","Alcance do Ataque Menor","Малая дистанция удара","Distancia de golpe menor","Lesser Strike Distance","低階打擊距離",14,299529909,321287861,321156789,253785781,258373301,312374965,319190709,319059637,299529909,245659317,0,65536,0
63,"StrikeRangeMid",0,0,0,[1229],[4],"Strike Distance","Distance de frappe","Schlagdistanz","ストライク距離","타격 거리","Alcance do Ataque","Дистанция удара","Distancia de golpe","Strike Distance","打擊距離",14,299559304,321317256,321186184,253815176,258402696,312404360,319220104,319089032,299559304,245688712,0,131072,0
64,"StrikeRangeHigh",0,0,0,[1229],[6],"Greater Strike Distance","Distance de frappe majeure","Größere Schlagdistanz","ストライク距離（大）","상위 타격 거리","Alcance do Ataque Maior","Большая дистанция удара","Distancia de golpe mayor","Greater Strike Distance","高階打擊距離",14,299500332,321258284,321127212,253756204,258343724,312345388,319161132,319030060,299500332,245629740,0,196608,0
65,"CooldownSpeedLow",0,0,0,[3335],[20],"Lesser Cooldown Recovery","Vitesse de recharge mineure","Geringere Abklingzeit","クールダウン解消（小）","하위 재사용 대기시간 회복","Recuperação de Tempo de Recarga Menor","Малое ускорение перезарядки","Recuperación de tiempo de recarga menor","Lesser Cooldown Recovery","低階冷卻時間恢復",15,401766561,432044193,430733473,338196641,343963809,419461281,427587745,431388833,401766561,326138017,0,65536,0
66,"CooldownSpeedMid",0,0,0,[3335],[30],"Cooldown Recovery","Vitesse de recharge","Abklingzeit","クールダウン解消","재사용 대기시간 회복","Recuperação de Tempo de Recarga","Ускорение перезарядки","Recuperación de tiempo de recarga","Cooldown Recovery","冷卻時間恢復",15,401784555,432062187,430751467,338214635,343981803,419479275,427605739,431406827,401784555,326156011,0,131072,0
67,"CooldownSpeedHigh",0,0,0,[3335],[40],"Greater Cooldown Recovery","Vitesse de recharge majeure","Größere Abklingzeit","クールダウン解消（大）","상위 재사용 대기시간 회복","Recuperação de Tempo de Recarga Maior","Большое ускорение перезарядки","Recuperación de tiempo de recarga mayor","Greater Cooldown Recovery","高階冷卻時間恢復",15,401746288,432023920,430713200,338176368,343943536,419441008,427567472,431368560,401746288,326117744,0,196608,0
68,"ColdPenetrationLow",0,0,0,[593],[8],"Lesser Cold Penetration","Pénétration du froid mineure","Geringere durchdringende Kälte","冷気耐性突破（小）","하위 냉기 관통","Penetração de Gelo Menor","Слабый пронизывающий холод","Penetración de hielo menor","Lesser Cold Penetration","低階冰冷穿透",16,631938677,672702069,663920245,533110389,537697909,653827701,662216309,668638837,631414389,511352437,0,65536,0
69,"ColdPenetrationMid",0,0,0,[593],[10],"Cold Penetration","Pénétration du froid","Durchdringende Kälte","冷気耐性突破","냉기 관통","Penetração de Gelo","Пронизывающий холод","Penetración de hielo","Cold Penetration","冰冷穿透",16,631952740,672716132,663934308,533124452,537711972,653841764,662230372,668652900,631428452,511366500,0,131072,0
70,"ColdPenetrationHigh",0,0,0,[593],[12],"Greater Cold Penetration","Pénétration du froid majeure","Größere durchdringende Kälte","冷気耐性突破（大）","상위 냉기 관통","Penetração de Gelo Maior","Сильный пронизывающий холод","Penetración de hielo mayor","Greater Cold Penetration","高階冰冷穿透",16,631924206,672687598,663905774,533095918,537683438,653813230,662201838,668624366,631399918,511337966,0,196608,0
71,"LightningPenetrationLow",0,0,0,[594],[8],"Lesser Lightning Penetration","Pénétration de la foudre mineure","Geringerer durchdringender Blitz","雷耐性突破（小）","하위 번개 관통","Penetração de Raio Menor","Слабые пронизывающие молнии","Penetración de rayo menor","Lesser Lightning Penetration","低階閃電穿透",17,659723115,702059371,693277547,554996587,559321963,681349995,690656107,696816491,659198827,532321131,0,65536,0
