"rownum","Id","ClassNo","Character","CoordinateRect","RGBFlavourTextColour","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","OGGFile","PassiveTreeImage","i32_76","i32_80","BackgroundImage","LeagueName","LeagueName (French)","LeagueName (German)","LeagueName (Japanese)","LeagueName (Korean)","LeagueName (Portuguese)","LeagueName (Russian)","LeagueName (Spanish)","LeagueName (Thai)","LeagueName (Traditional Chinese)","LeagueFlavourText","LeagueFlavourText (French)","LeagueFlavourText (German)","LeagueFlavourText (Japanese)","LeagueFlavourText (Korean)","LeagueFlavourText (Portuguese)","LeagueFlavourText (Russian)","LeagueFlavourText (Spanish)","LeagueFlavourText (Thai)","LeagueFlavourText (Traditional Chinese)","LeagueBackgroundImage","LeaguePassiveTreeImage","i32_124","i32_128","LeagueIcon"
10,"Gladiator",2,4,"670,395,976,429","150,175,200","Gladiator","Gladiateur","Gladiator","グラディエーター","글래디에이터","Gladiador","Гладиатор","Gladiador","Gladiator","衛士","Raise your hand to the \r\nroaring crowd and pledge \r\nyour allegiance to glory.","Levez les bras sous les \r\nacclamations de la foule et \r\nprêtez allégeance à la gloire.","<size:45>{Hebt Euren Arm empor, der\r\ngrölenden Menge entgegen\r\nund gelobet Eure Treue dem\r\nRuhm.}","狂騒の群衆に向けて手を挙げ、\r\n栄光への忠誠を誓え。","포효하는 군중들에게 \r\n손을 들어 찬란한 영광 앞에 \r\n충성을 맹세하라.","Levante a mão para a \r\nmultidão e jure\r\nlealdade à glória.","Подними руки вверх\r\nпод крики толпы и \r\nпоклянись в верности \r\nславе.","<size:50>{Alza tu mano hacia la\r\nmultitud rugiente y promete\r\ntu lealtad a la gloria.}","<size:55>{ชูมือให้ผู้ชมที่โห่ร้อง \r\nปฏิญาณตนต่อความรุ่งโรจน์}","<size:55>{在喧嘩的群眾前舉\n起你的手，向榮耀宣誓。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_02_Duelist_02_Gladiator.ogg","Art/2DArt/BaseClassIllustrations/GladiatorAscendency.dds",-1359,-1632,"Art/2DArt/UIImages/InGame/Classes/StrDex/Gladiator/PassiveSkillScreenBackground","Gambler","Parieur","Spieler","ギャンブラー","갬블러","Apostador  ","Игрок","Apostador","Gambler","賭徒","Life is more enjoyable when\r\nthe outcome is unexpected.","La vie est plus agréable\r\nlorsque l'issue est inattendue.","Das Leben ist angenehmer,\r\nwenn der Ausgang überraschend ist.","予期せぬ出来事が起こった時の方が人生というのは楽しいものだ。","결과가 예상을 벗어날 때\r\n삶이 더 즐거운 법.","A vida é mais prazerosa quando o resultado é inesperado.","С каждым неожиданным поворотом \r\nжизнь становится ярче.","La vida se disfruta más cuando\r\nel resultado es inesperado.","<size:55>{ชีวิตน่าอภิรมย์\r\nยามที่ผลลัพธ์มิอาจคาดคะเน}","無法預料的結果，\r\n會讓人生變得更精彩。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/StrDex.dds",0,0,"Art/2DArt/UIImages/Common/IconStrDexAscendancy2"
11,"Champion",3,4,"735,625,976,429","150,175,200","Champion","Champion","Streiter","チャンピオン","챔피언","Campeão","Чемпион","Campeón","Champion","冠軍","Champion that which \r\n you love. He who fights\r\n for nothing, dies\r\n for nothing.","Défendez ce qui \r\n  vous est cher. Celui qui\r\n    se battra sans cause \r\n       périra pour rien.","<size:55>{Ein wahrer Streiter\n\r\nkämpft für das, was er\n\r\nliebt. Wer für nichts lebt,\n\r\nstirbt für nichts.}","汝の愛するチャンピオン。\r\n彼はただ戦い、ただ死ぬ。","<size:48>{부질없이 싸우고, \r\n부질없이 죽고. \r\n이야말로 그대가 흠모하는 \r\n용사가 아닌가.}","Proteja aquilo que\r\nama. Aquele que luta\r\npor nada, morre\r\npor nada.","Защищай то, что\r\nлюбишь. Тот, кому не\r\nза что сражаться, \r\nумирает впустую.","<size:55>{Sé el campeón de\nlo que amas. Quien no\nlucha por nada, muere\npor nada.}","<size:55>{วีรชนที่คุณรัก \r\nผู้ที่ไม่ได้สู้เพื่อสิ่งใด \r\nย่อมตายอย่างไร้ค่า}","受人愛戴的冠軍，\r\n不為任何而戰，\r\n不為任何而死。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_02_Duelist_03_Champion.ogg","Art/2DArt/BaseClassIllustrations/ChampionAscendency.dds",-1559,-1732,"Art/2DArt/UIImages/InGame/Classes/StrDex/Champion/PassiveSkillScreenBackground","Paladin","Paladin","Paladin","パラディン","팔라딘","Paladino  ","Паладин","Paladín","Paladin","聖武士","Faith has taught me it\r\nis righteous to protect\r\nothers ahead of oneself.","La foi m'a appris qu'il\r\nest juste de protéger\r\nles autres avant soi-même.","Der Glaube hat mich gelehrt,\r\ndass es rechtschaffen ist, andere\r\nvor sich selbst zu schützen.","自身よりも他人を先に守ることが正義だと、信仰に教えられた。","신앙이 내게 가르치길\r\n나보다 남들을 먼저 지키는 것이\r\n정의롭다 하였다.","A fé me ensinou que  \r\né justo proteger os outros  \r\nantes de si mesmo.","Вера наставила меня: благородство \r\nпроявляется в том, чтобы оберегать \r\nдругих, пренебрегая собой.","La fe me ha enseñado que\r\nes justo proteger\r\na otros antes que a mí.","<size:55>{ศรัทธาสอนข้า\r\nว่าการคุ้มครองผู้อื่นก่อนตน\r\nเป็นเรื่องที่ถูกต้อง}","信仰教會我，\r\n無私地保護他人\r\n乃是正義的舉動。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/StrDex.dds",0,0,"Art/2DArt/UIImages/Common/IconStrDexAscendancy3"
12,"Inquisitor",1,6,"285,940,926,429","207,189,138","Inquisitor","Inquisiteur","Inquisitor","インクイジター","인퀴지터","Inquisidor","Инквизитор","Inquisidor","Inquisitor","判官"," Truth is elusive, yet God has\r\nprovided us with all the tools \r\n necessary to find it.","<size:52>{  La vérité est certes élusive,\nmais Dieu nous a fourni tous les\noutils nécessaires pour la trouver.}","Die Wahrheit ist trügerisch\r\nund doch gab uns Gott\r\n sämtliche Werkzeuge, sie zu \r\n entlocken.","真実は捉え難いが、\r\n神はそれを見いだすための\r\n道具全てを我々に与えた。","진실을 찾는 건 어렵다,\r\n허나 신께선 우리에게 진실을\r\n찾을 모든 도구를 내어주셨다.","A verdade é elusiva, mas Deus\r\nnos forneceu todas ferramentas\r\nnecessárias para encontrá-la.","У правды есть привычка \r\nускользать, но Бог даровал \r\nнам все инструменты для \r\nеё поимки.","<size:45>{La verdad es esquiva y sin embargo\nDios nos proporcionó todas las\nherramientas necesarias para encontrarla.}","<size:55>{แม้สัจธรรมจะยากที่จะหยั่งถึง\r\nพระเจ้าได้มอบเครื่องมือทุกอย่าง\r\nที่จำเป็น เพื่อค้นหาสัจธรรมนั้น}","<size:45>{即便真理難以捉模，\r\n上帝給了我們所有找尋的工具。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_06_Templar_01_Inquisitor.ogg","Art/2DArt/BaseClassIllustrations/InquisitorAscendency.dds",-1318,-1781,"Art/2DArt/UIImages/InGame/Classes/StrInt/Inquisitor/PassiveSkillScreenBackground","Architect of Chaos","Architecte de Chaos","Architekt des Chaos","混沌のアーキテクト","아키텍트 오브 카오스","Arquiteto do Caos  ","Архитектор хаоса","Arquitecto del caos","Architect of Chaos","混沌建師","The era of Order and its\r\nconsequences have been\r\na disaster for mortals.","L'ère de l'Ordre et ses\r\nconséquences ont été\r\nun désastre pour les mortels.","Die Ära der Ordnung und\r\nihre Folgen waren für die\r\nSterblichen eine Katastrophe.","秩序とその結果の時代は人類にとって破滅的だった。","질서와 그 결과의 시대는\r\n팔멸자에게는\r\n재앙이나 다름없었다.","A era da Ordem e suas  \r\nconsequências foram  \r\num desastre para os mortais.","Эпоха Порядка и ее \r\nпоследствия стали \r\nкатастрофой для смертных.","La era del orden y sus\r\nconsecuencias han sido\r\nun desastre para los mortales.","<size:55>{ยุคสมัยแห่งออเดอร์\r\nและผลลัพธ์ที่มันก่อเอาไว้\r\nเป็นหายนะแก่มนุษย์นัก}","教團的時代以及\r\n其帶來的後果，\r\n對凡人來說只是災難。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/StrInt.dds",0,0,"Art/2DArt/UIImages/Common/IconStrIntAscendancy1"
13,"Hierophant",2,6,"100,720,936,399","207,189,138","Hierophant","Hiérophante","Hierophant","ハイロファント","하이로펀트","Hierofante","Иерофант","Hierofante","Hierophant","聖宗","Drink deeply from God's\r\n chalice, for the faithful\r\n will never find it empty.","<size:45>{Buvez à la coupe de Dieu sans\r\nretenue, car elle demeurera \r\ntoujours pleine pour les fidèles.}","Trinket reichlich aus\r\n dem Kelche Gottes, denn \r\n Euer Glaube wird Euch\r\n niemals dursten lassen.","神の聖杯をあおりたまえ。\r\n信心深い者にとってそれが\r\n底をつくことはないのだから。","<size:43>{마를 줄 모르는 \r\n신앙을 위하여, \r\n깊이 신의 성배를 들이키노라.}","Beba tudo do cálice\r\nde Deus, pois para os fiéis\r\nele nunca ficará vazio.","<size:50>{Из чаши Господней пей \r\nполными глотками, \r\nибо не опустеет она \r\nв руках истинно верующего.}","<size:45>{Bebe a fondo del cáliz de Dios\r\npues los fieles nunca\r\nlo encontrarán vacío.}","<size:60>{ดื่มด่ำถ้วยทองของพระเจ้า\r\nผู้เปี่ยมศรัทธาย่อมพบว่า\r\nถ้วยนั้นไม่มีวันว่างเปล่า}","深飲上帝的聖杯，\r\n對忠實的信徒永遠不會乾枯。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_06_Templar_02_Hierophant.ogg","Art/2DArt/BaseClassIllustrations/HierophantAscendency.dds",-1418,-1781,"Art/2DArt/UIImages/InGame/Classes/StrInt/Hierophant/PassiveSkillScreenBackground","Puppeteer","Marionnettiste","Puppenspieler","パペティアー","퍼페티어","Marionetista  ","Кукловод","Titiritero","Puppeteer","操偶師","Who says life\r\nends at death?","Qui a dit que la vie\r\ns'arrête après la mort ?","Wer sagt, dass das Leben\r\nmit dem Tod endet?","人生が死で終わると誰が決めた？","삶이 죽음과 함께\r\n끝난다고 누가 말하지?","Quem disse que a vida  \r\ntermina na morte?","Кто сказал, что жизнь \r\nзаканчивается со смертью?","¿Quién dice que la vida\r\ntermina en la muerte?","<size:60>{ใครบอกว่าความตาย\r\nเป็นจุดจบของชีวิตเล่า?}","誰說死亡是\r\n生命的終結？","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/StrInt.dds",0,0,"Art/2DArt/UIImages/Common/IconStrIntAscendancy2"
14,"Guardian",3,6,"170,780,976,429","207,189,138","Guardian","Gardien","Wächter","ガーディアン","가디언","Guardião","Защитник","Guardián","Guardian","守護者","When bound by faith\r\n and respect, the flock\r\n will overwhelm the wolf.","<size:48>{Uni par la foi \r\n et le respect, le troupeau \r\n l'emportera toujours sur le loup.}","Im Glauben und in \r\n Zuversicht verbunden wird\r\n die Herde den Wolf stets\r\n überwältigen.","信仰と尊敬で結ばれていれば、\r\n羊の群れは狼を圧倒する。","<size:47>{신앙과 경의로 똘똘 뭉친다면\r\n양 떼 무리일지라도\r\n늑대를 압도할지어다.}","Quando unido pela fé\r\ne respeito, o rebanho\r\nesmaga o lobo.","<size:50>{Стадо, ведомое верующим \r\nи почитаемым пастырем, \r\nспособно растоптать \r\nволка.}","<size:50>{Cuando está unido por la fe\r\ny el respeto, el rebaño\r\nabrumará al lobo.}","<size:50>{เมื่อยึดมั่นในความเคารพศรัทธา\r\nฝูงสัตว์ย่อมครองชัยเหนือหมาป่า}","以忠誠和尊敬連結，\r\n連狼群也被制伏的團結。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_06_Templar_03_Guardian.ogg","Art/2DArt/BaseClassIllustrations/GuardianAscendency.dds",-1418,-1781,"Art/2DArt/UIImages/InGame/Classes/StrInt/Guardian/PassiveSkillScreenBackground","Polytheist","Polythéiste","Polytheist","ポリシエスト","폴리시이스트","Politeísta  ","Политеист","Politeísta","Polytheist","多神教徒","Surely one of them\r\nhas the right answers?","L’un d’entre eux doit forcément avoir\r\nles bonnes réponses, n'est-ce pas ?","Sicherlich hat einer von ihnen\r\ndie richtigen Antworten?","さすがにせめて一人は正しい答えを持っているだろう？","이 중에 하나라도\r\n정답을 아는 신이 있겠지?","Certamente um deles  \r\ntem as respostas certas?","Наверняка, среди них найдется тот, \r\nкто владеет истинными ответами.","¿Alguno tendrá\r\nque tener las respuestas?","<size:50>{ต้องมีสักองค์\r\nที่ให้คำตอบถูกต้องได้เป็นแน่?}","其中一位神祇一定\r\n有正確的答案吧？","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/StrInt.dds",0,0,"Art/2DArt/UIImages/Common/IconStrIntAscendancy3"
15,"Assassin",1,5,"650,845,976,429","114,129,141","Assassin","Assassin","Assassine","アサシン","어쌔신","Assassino","Убийца","Asesino","Assassin","刺客","Death is a banquet. \r\n It's up to the murderer \r\n to write the menu.","La mort est un banquet, \r\n et c'est au meurtrier \r\n d'en composer le menu.","Der Tod ist ein Festmahl. \r\nDie Gänge wählt allein \r\nder Mörder.","死は祝宴である。\r\nメニューを書くのは殺し屋の役目だ。","죽음은 연회다.\r\n연회의 메뉴는\r\n암살자가 정한다.","Morte é o banquete.\r\nEscrever o menu fica\r\na critério do assassino.","Смерть — это званый обед, \r\nсписок блюд которого \r\nсоставляет убийца.","La muerte es un banquete.\r\nEs el asesino\r\nquien escribe el menú.","<size:55>{ความตายคืองานเลี้ยง \r\nฆาตกรคือผู้เขียนเมนู}","死亡是一場盛宴，\r\n由刺殺者寫下菜單。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_04_Shadow_01_Assassin.ogg","Art/2DArt/BaseClassIllustrations/AssassinAscendency.dds",-1760,-1822,"Art/2DArt/UIImages/InGame/Classes/DexInt/Assassin/PassiveSkillScreenBackground","Servant of Arakaali","Serviteur d'Arakaali","Diener Arakaalis","アラカーリの従者","서번트 오브 아라칼리","Servo de Arakaali  ","Служитель Аракаали","Sirviente de Arakaali","Servant of Arakaali","艾爾卡莉僕從","The Queen of Spiders\r\npreys upon mortals to\r\nfulfil her dark desires.","La Reine des Araignées\r\nexploite les mortels pour\r\nassouvir ses sombres désirs.","Die Königin der Spinnen\r\nmacht Jagd auf Sterbliche, um\r\nihre dunklen Wünsche zu erfüllen.","蜘蛛の女王は昏き願望を満たすため定命の者を喰らう。","거미의 여왕은\r\n검은 욕망을 채우려고\r\n필멸자를 먹이로 삼는다.","A Rainha das Aranhas  \r\nse alimenta dos mortais para  \r\nsatisfazer seus desejos sombrios.","Королева пауков охотится \r\nна смертных, чтобы исполнить \r\nсвои темные желания.","La Reina de las arañas\r\nutiliza a los mortales para\r\ncumplir sus oscuros deseos.","<size:55>{ราชินีแมงมุมออกล่ามนุษย์\r\nเพื่อสนองตัณหามืดมนขอเธอ}","毒蛛之后以\r\n凡人為食，\r\n滿足她黑暗的慾望。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/DexInt.dds",0,0,"Art/2DArt/UIImages/Common/IconDexIntAscendancy1"
16,"Trickster",2,5,"315,150,976,429","114,129,141","Trickster","Roublard","Schwindler","トリックスター","트릭스터","Trapaceiro","Плут","Embaucador","Trickster","詐欺師","  Everyone knows how to die. \r\n Some just need a little nudge \r\nto get them started.","<size:43>{ Tout le monde sait comment mourir. \r\n Certains ont juste besoin d'un coup de pouce \r\npour y parvenir.}","Jeder weiß, wie man stirbt. \r\nEinigen fehlt nur der\r\nrichtige Anstoß für den \r\nersten Schritt dorthin.","誰もが死に方を知っている。\r\nただ、少し後押しが必要な者もいる。","다들 어떻게 죽는지는 알고 있잖아, \r\n 근데 어떤 치들은 살짝 휘저어만 주면 \r\n서로 죽이기 시작하더라고.","Todos sabem como morrer.\r\nAlguns apenas precisam de um\r\nempurrão para chegar lá.","Умереть могут все, \r\nно некоторых надо слегка \r\nк этому подтолкнуть.","  Todo el mundo sabe cómo morir.\r\nAlgunos solamente necesitan\r\nun pequeño empujón para empezar.","<size:53>{\n\nทุกคนรู้ว่าต้องตายอย่างไร\r\nบางคนต้องอาศัยการผลักดันเพียงเล็กน้อย}","<size:50>{所有人都知道如何死亡，\r\n只是某些人需要幫忙輕輕推一把。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_04_Shadow_02_Trickster.ogg","Art/2DArt/BaseClassIllustrations/TricksterAscendency.dds",-2040,-1672,"Art/2DArt/UIImages/InGame/Classes/DexInt/Trickster/PassiveSkillScreenBackground","Blind Prophet","Prophète aveugle","Blinder Prophet","ブラインドプロフェット","블라인드 프로펫","Profeta Cego  ","Слепой пророк","Profeta ciego","Blind Prophet","盲眼先知","The sightless look to the\r\ndarkness for nourishment.","Les aveugles se tournent vers\r\nl'obscurité pour leur subsistance.","Die Augenlosen suchen in der\r\nDunkelheit nach Nahrung.","視界無き者は闇に栄養を求める。","시력이 없는 자는\r\n어둠에서 양분을 찾는다.","Os sem visão buscam  \r\nna escuridão o sustento.","Незрячие смотрят во \r\nтьму в поисках пищи.","Los invidentes miran a la\r\noscuridad para sustentarse.","<size:53>{ผู้ตาบอดมองหาความมืดมิด\r\nเพื่อหล่อเลี้ยงตน}","目盲之人在黑暗中\r\n尋求滋養。","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/DexInt.dds",0,0,"Art/2DArt/UIImages/Common/IconDexIntAscendancy2"
17,"Saboteur",3,5,"355,970,976,429","114,129,141","Saboteur","Saboteur","Saboteur","サボター","사보추어","Sabotador","Диверсант","Saboteador","Saboteur","破壞者","The artist need not be present \r\n to make a lasting impression.","<size:45>{Nul besoin pour l'artiste d'être présent \r\nsur les lieux pour marquer les esprits.}","<size:45>{Für einen bleibenden Eindruck bedarf es\r\nnicht der Anwesenheit des Künstlers.}","強い印象を残すのに\r\n芸術家がそこにいる必要はない。","예술가는 모습을 드러내지 않고도\r\n깊은 인상을 심어줄 수 있는 법이지.","<size:50>{O artista não precisa estar presente\r\npara deixar uma impressão duradoura.}","Истинный художник производит \r\nнеизгладимое впечатление и без \r\nличного присутствия.","<size:45>{No es necesario que el artista esté presente\r\npara causar una impresión duradera.}","<size:55>{ศิลปินไม่จำเป็นต้องปรากฏ\r\nก็สามารถสร้างความประทับใจได้ไม่รู้ลืม}","不需要藝術家的存在來\r\n留下深遠的印象。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_04_Shadow_03_Saboteur.ogg","Art/2DArt/BaseClassIllustrations/SaboteurAscendency.dds",-1740,-1572,"Art/2DArt/UIImages/InGame/Classes/DexInt/Saboteur/PassiveSkillScreenBackground","Surfcaster","Surfomancien","Wellenreiter","サーフキャスター","서프캐스터","Surfista  ","Чародей прибоя","Surfista","Surfcaster","海濱釣客","Teach an Exile to fish,\r\nand <redacted>","Apprenez à un Exilé à pêcher\r\net <censuré>","Bring einem Verbannten das Fischen bei\r\nund <zensiert>","エグザイルに釣りを教えれば<黒塗り>","유배자에게 낚시를\r\n가르치면 <redacted>","Ensine um Exilado a pescar,  \r\ne <removido>","Научи Изгнанника ловить рыбу,\r\nи <удалено>","Enseña a un exiliado a pescar,\r\ny <censurado>","<size:55>{สอนให้เอ็กไซล์ตกปลา\r\nแล้วเขาจะ<เซ็นเซอร์>}","教會一名流亡者釣魚，\r\n就能<redacted>","Art/2DArt/UIImages/InGame/Classes/CustomAscendancy/PassiveSkillScreenBackground","Art/2DArt/BaseClassIllustrations/DexInt.dds",0,0,"Art/2DArt/UIImages/Common/IconDexIntAscendancy3"
18,"Ascendant",1,2,"305,925,976,429","90,90,90","Ascendant","Ascendante","Aszendentin","アセンダント","어센던트","Ascendente","Вознесшаяся","Ascendiente","Ascendant","昇華使徒","","","","","","","","","","","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_07_Scion_01_Ascendant.ogg","",0,0,"Art/2DArt/UIImages/InGame/Classes/StrDexInt/Ascendant/PassiveSkillScreenBackground","Scavenger","Charognarde","Plünderin","スカベンジャー","스캐빈저","Carniceira","Старьёвщица","Recolectora","Scavenger","拾荒者","","","","","","","","","","","Art/2DArt/UIImages/InGame/Classes/StrDexInt/Ascendant/PassiveSkillScreenBackground","",0,0,"Art/2DArt/UIImages/Common/IconStrDexIntAscendancy1"
19,"Reliquarian",2,2,"305,925,976,429","90,90,90","Reliquarian","Antiquaire","Reliquienhüterin","レリクアリアン","유물 탐색자","Caçadora de Relíquias","Реликварианка","Protectora de reliquias","Reliquarian","遺守使徒","","","","","","","","","","","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_07_Scion_01_Ascendant.ogg","",0,0,"Art/2DArt/UIImages/InGame/Classes/StrDexInt/Ascendant/PassiveSkillScreenBackground","Scavenger","Charognarde","Plünderin","スカベンジャー","스캐빈저","Catador","Старьёвщица","Recolectora","Scavenger","拾荒者","","","","","","","","","","","Art/2DArt/UIImages/InGame/Classes/StrDexInt/Ascendant/PassiveSkillScreenBackground","",0,0,"Art/2DArt/UIImages/Common/IconStrDexIntAscendancy1"
