"rownum","Id","i32_16","i32_20","ItemVisualIdentity","bool_40","Icon","bool_49","Text","Type","bool_82","bool_83"
134,17,4,78,"",1,"","",8244,1,"",""
135,17,5,79,"",1,"","",8245,1,"",""
136,18,0,83,17,1,"","","",0,"",""
137,18,1,84,23,1,"","","",0,"",""
138,18,2,85,18,1,"","","",0,"",""
139,18,3,86,22,1,"","","",0,"",""
140,18,4,87,14,1,"","","",0,"",""
141,18,5,88,13,1,"","","",0,"",""
142,18,6,89,2,1,"","","",0,"",""
143,18,7,90,21,1,"","","",0,"",""
144,18,8,91,44,1,"","","",0,"",""
145,18,9,92,45,1,"","","",0,"",""
146,18,10,93,41,1,"","","",0,"",""
147,18,11,94,43,1,"","","",0,"",""
148,18,12,95,42,1,"","","",0,"",""
149,18,13,96,15,1,"","","",0,"",""
150,18,14,97,19,1,"","","",0,"",""
151,18,15,98,52,1,"","","",0,"",""
152,18,16,99,46,1,"","","",0,"",""
153,18,19,103,170,1,"","","",0,"",""
154,18,18,106,65,1,"","","",0,"",""
155,18,17,100,12,1,"","","",0,"",""
156,20,0,107,"","","Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryEldritch","","",0,"",""
157,20,1,108,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryDemon","","",0,"",""
158,20,2,109,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryConstruct","","",0,"",""
159,20,3,110,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryUndead","","",0,"",""
160,20,4,111,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryBeasts","","",0,"",""
161,20,5,112,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryHumanoid","","",0,"",""
162,20,6,107,"","","Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryEldritch","","",1,"",""
163,20,7,108,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryDemon","","",1,"",""
164,20,8,109,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryConstruct","","",1,"",""
165,20,9,110,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryUndead","","",1,"",""
166,20,10,111,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryBeasts","","",1,"",""
167,20,11,112,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryHumanoid","","",1,"",""
168,21,0,113,14863,1,"","","",0,"",""
169,21,1,114,13202,1,"","","",0,"",""
170,21,2,115,12061,1,"","","",0,"",""
171,21,3,116,"",1,"Art/2DArt/UIImages/InGame/MTX/EssenceTabIcon","","",0,"",""
172,21,4,117,"",1,"Art/2DArt/UIImages/InGame/MapDeviceWindow/KiracMissionIcon/Scarabs","","",0,"",""
173,21,5,118,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollExotic","","",0,"",""
174,21,6,119,14859,1,"","","",0,"",""
175,21,7,120,14860,1,"","","",0,"",1
176,21,8,121,14861,1,"","","",0,"",""
177,21,9,122,15382,1,"","","",0,"",""
178,21,10,123,7,1,"","","",0,"",""
179,21,11,124,4,1,"","","",0,"",""
180,21,12,125,3,1,"","","",0,"",""
181,22,0,21,"",1,"","","",0,"",""
182,22,1,22,"",1,"","","",0,"",""
183,22,2,23,"",1,"","","",0,"",""
184,22,3,24,"",1,"","","",0,"",""
185,22,4,25,"",1,"","","",0,"",""
186,22,5,26,"",1,"","","",0,"",""
187,22,6,27,"",1,"","","",0,"",""
188,22,7,28,"",1,"","","",0,"",""
189,22,8,29,"",1,"","","",0,"",""
190,22,9,30,"",1,"","","",0,"",""
191,22,10,21,"",1,"","","",1,"",""
192,22,11,22,"",1,"","","",1,"",""
193,22,12,23,"",1,"","","",1,"",""
194,22,13,24,"",1,"","","",1,"",""
195,22,14,25,"",1,"","","",1,"",""
196,22,15,26,"",1,"","","",1,"",""
197,22,16,27,"",1,"","","",1,"",""
198,22,17,28,"",1,"","","",1,"",""
199,22,18,29,"",1,"","","",1,"",""
200,22,19,30,"",1,"","","",1,"",""
201,23,0,54,"",1,"","",8016,0,"",""
202,23,1,55,"",1,"","",8017,0,"",""
203,23,2,56,"",1,"","",8018,0,"",""
204,23,3,57,"",1,"","",8019,0,"",""
205,23,4,54,"",1,"","",8016,1,"",""
206,23,5,55,"",1,"","",8017,1,"",""
207,23,6,56,"",1,"","",8018,1,"",""
208,23,7,57,"",1,"","",8019,1,"",""
