"rownum","rid_0","Tier","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_28","[rid]_32","[i32]_48","i32_64","RuneItem","[i32]_84","Stats","StatsValues","UpgradeTextAudio"
10,0,11,"25% reduced Recruitment Reroll Cost\nRaulf offers an Improved Reroll","25% de réduction du Coût de Tirage de nouvelles recrues\nRaulf offre un Tirage amélioré","25% verringerte Kosten für das Rekrutierungs-Neuwürfeln\nRaul bietet eine verbesserte Auswahl an","人材のリロールコスト25%減少\nラウルフは強化されたリロール提示する","모집 무작위 변경 비용 25% 감소\n라울프가 향상된 무작위 변경 제공","Custo de Rolamento de Recrutas reduzido em 25%\nRaulf oferece um Rolamento Melhorado","25% снижение стоимости повторного поиска рабочих\nРаульф предлагает улучшенный повторный поиск рабочих","Costo de aleatorización del reclutamiento reducido un 25%\nRaulf ofrece una aleatorización mejorada","ลดค่าสุ่มแรงงานเกณฑ์ 25%\nราล์ฟเสนอ การสุ่มดีเด่น","減少 25% 召募重骰消耗",1353,"[10,13,14]","[2500,2000,2000]",100000,[],[],"[20483,20476,20807]","[-25,1,1]",19248
11,1,1,"Establish Mining","Instaurer le Minage","Bergbau etablieren","採掘を開始","채광 개시","Estabelecer Mineração","Открывает добычу руды","Establecer Minería","จัดตั้ง การขุดแร่","建立開採",613,[],[],5,[],[],"[20419,20418]","[1,3]",""
12,1,2,"+2 to Maximum Miners\nCan Mine Orichalcum\n15% increased Mining Speed","+2 au nombre maximal de Mineurs\nPossibilité de Miner de l'Orichalque\n15% d'augmentation de la Vitesse de Minage","+2 zu maximaler Anzahl Bergarbeiter\nKann Oreichalkos abbauen\n15% erhöhte Bergbaugeschwindigkeit","鉱員の最大人数 +2\nオリハルコンを採掘可能\n採掘速度15%増加","광부 수 최대치 +2\n오리칼쿰 채광 가능\n채광 속도 15% 증가","+2 ao Máximo de Mineiros\nPode Minerar Oricálco\nVelocidade de Mineração aumentada em 15%","+2 к максимуму рудокопов\nМожно добывать орихалк\n15% ускорение добычи руды","+2 al máximo de mineros\nPuedes extraer oricalco\nVelocidad de extracción aumentada un 15%","จำนวน คนขุดแร่ สูงสุด +2 คน\nขุด โอริคัลคุม ได้\nเพิ่มความเร็ว ขุดแร่ 15%","礦工上限 +2\n可以開採山銅",1354,[5],[3],14,[],[],"[20419,20418,20400]","[1,2,15]",""
13,1,3,"+2 to Maximum Miners\nCan Mine Petrified Amber","+2 au nombre maximal de Mineurs\nPossibilité de Miner de l'Ambre pétrifié","+2 zu maximaler Anzahl Bergarbeiter\nKann Amberium abbauen","鉱員の最大人数 +2\n石化琥珀を採掘可能","광부 수 최대치 +2\n석화 호박 채광 가능","+2 ao Máximo de Mineiros\nPode Minerar Âmbar Petrificado","+2 к максимуму рудокопов\nМожно добывать окаменевший янтарь","+2 al máximo de mineros\nPuedes extraer ámbar petrificado","จำนวน คนขุดแร่ สูงสุด +2 คน\nขุด หินอำพัน ได้","礦工上限 +2\n可以開採石化琥珀",1355,"[5,6,10]","[10,8,10]",74,[],[],"[20419,20418]","[1,2]",""
14,1,4,"+2 to Maximum Miners\nCan Mine Bismuth","+2 au nombre maximal de Mineurs\nPossibilité de Miner du Bismuth","+2 zu maximaler Anzahl Bergarbeiter\nKann Bismut abbauen","鉱員の最大人数 +2\n蒼鉛を採掘可能","광부 수 최대치 +2\n비스무트 채광 가능","+2 ao Máximo de Mineiros\nPode Minerar Bismuto","+2 к максимуму рудокопов\nМожно добывать висмут","+2 al máximo de mineros\nPuedes extraer bismuto","จำนวน คนขุดแร่ สูงสุด +2 คน\nขุด บิสมัท ได้","礦工上限 +2\n可以開採鉍",1356,"[15,16,17,10]","[5,5,5,10]",476,[],[],"[20419,20418]","[1,2]",""
15,1,5,"10% increased Ore found in Areas","10% d'augmentation de Minerais trouvés dans les Zones","10% erhöhtes gefundenes Erz in Gebieten","見つかる鉱石の量10%増加","지역에서 발견하는 광석 10% 증가","Minério encontrado nas Áreas aumentado em 10%","10% увеличение найденной руды","Cantidad de mineral encontrado en las áreas aumentada un 10%","เพิ่ม แร่ ที่พบในด่าน 10%","增加 10% 區域中發現的礦材",1357,"[15,17,18]","[30,15,10]",1658,[],[],[20573],[10],""
16,1,6,"+3 to Maximum Miners\nCan Mine Verisium","+3 au nombre maximal de Mineurs\nPossibilité de Miner du Vérisium","+3 zu maximaler Anzahl Bergarbeiter\nKann Verisium abbauen","鉱員の最大人数 +3\nヴァリシウムを採掘可能","광부 수 최대치 +3\n베리시움 채광 가능","+3 ao Máximo de Mineiros\nPode Minerar Verísio","+3 к максимуму рудокопов\nМожно добывать веризий","+3 al máximo de mineros\nPuedes extraer verisium","จำนวน คนขุดแร่ สูงสุด +3 คน\nขุด เวรีเซียม ได้","礦工上限 +3\n可以開採維里西姆",1358,"[16,18,11]","[40,25,20]",4960,[],[],"[20419,20418]","[1,3]",""
17,1,7,"15% increased Mining Speed","15% d'augmentation de la Vitesse de Minage","15% erhöhte Bergbaugeschwindigkeit","採掘速度15%増加","채광 속도 15% 증가","Velocidade de Mineração aumentada em 15%","15% ускорение добычи руды","Velocidad de extracción aumentada un 15%","เพิ่มความเร็ว ขุดแร่ 15%","增加 15% 開採速度",1359,"[15,16,19]","[80,70,25]",9155,[],[],[20400],[15],""
18,1,8,"15% increased Ore found in Areas","15% d'augmentation de Minerais trouvés dans les Zones","15% erhöhtes gefundenes Erz in Gebieten","見つかる鉱石の量15%増加","지역에서 발견하는 광석 15% 증가","Minério encontrado nas Áreas aumentado em 15%","15% увеличение найденной руды","Cantidad de mineral encontrado en las áreas aumentada un 15%","เพิ่ม แร่ ที่พบในด่าน 15%","增加 15% 區域中發現的礦材",1360,"[16,17,19]","[150,100,35]",15350,[],[],[20573],[15],""
19,1,9,"Ores found in Areas are more likely to be rarer varieties","Les Minerais trouvés dans les Zones ont davantage de chances d'être d'une variété inhabituelle","In Gebieten gefundene Erze stammen mit größerer Wahrscheinlichkeit von seltenerer Art","エリアで見つかる鉱石はよりレアなタイプとなる可能性が高くなる","지역 내에서 발견하는 광석이 보다 희귀한 종류일 확률이 높아짐","Minério encontrado nas Áreas são mais propensos a serem de variedades mais raras","Больший шанс найти более редкую руду ","Los minerales que encuentras en las áreas tienen mayor probabilidad de ser de variedades más raras","แร่ ที่พบในด่าน มีโอกาสเป็น ลักษณะที่พบได้ยากกว่าเดิม มากขึ้น","區域中發現的礦材有更高機率為罕見的種類",1361,"[15,17,19]","[200,120,50]",22065,[],[],[20571],[1],""
20,1,10,"20% increased Ore found in Areas","20% d'augmentation de Minerais trouvés dans les Zones","20% erhöhtes gefundenes Erz in Gebieten","見つかる鉱石の量20%増加","지역에서 발견하는 광석 20% 증가","Minério encontrados na Área aumentado em 20%","20% увеличение найденной руды","Cantidad de mineral encontrado en las áreas aumentada un 20%","เพิ่ม แร่ ที่พบในด่าน 20%","增加 20% 區域中發現的礦材",1362,"[16,18,12]","[250,100,100]",27155,[],[],[20573],[20],""
21,1,11,"Marking Ore in Areas grants Gold equal to the amount of Ore","Marquer un Minerai dans des Zones octroie un montant d'Or égal au montant de Minerais","Das Markieren von Erzen in Gebieten gewährt Gold in Höhe der Erzmenge","エリアのマーク済みの鉱石から鉱石の数と同じだけの金貨が得られる","지역 내 광석을 채광하도록 지시하면 광석의 양과 동일한 골드 획득","Marcar Minério nas Áreas concede Ouro igual a quantidade de Minério","Помеченная для добычи руда даёт золото в размере количества руды","Marcar el mineral en las áreas otorga una cantidad de oro equivalente a la cantidad de mineral","การยึดครองแร่ในด่านจะให้ ทอง เท่ากับ จำนวนของแร่","標記區域中的礦材可獲得相當於礦材數量的金幣",1363,"[17,18,19]","[200,120,80]",45570,[],[],[20574],[1],""
22,2,1,"Establish Smelting","Instaurer la Fonte","Verhüttung etablieren","製錬を開始","제련 개시","Estabelecer Fundição","Открывает выплавку металлов","Establecer Fundición","จัดตั้ง การถลุงแร่","建立冶煉",1364,"[5,6]","[3,3]",10,[],[],"[20421,20420]","[2,3]",18656
23,2,2,"Can smelt Petrified Amber Ore","Possibilité de faire fondre des Minerais d'Ambre pétrifié","Kann Amberium-Erz verhütten","石化琥珀の鉱石を製錬可能","석화 호박 광석 제련 가능","Pode fundir Minério de Âmbar Petrificado","Можно переплавлять окаменевший янтарь","Puedes fundir mineral de ámbar petrificado","ถลุง แร่หินอำพัน ได้","可以冶煉石化琥珀礦材",1365,"[15,16]","[4,3]",56,[],[],[20421],[1],18657
24,2,3,"15% increased Smelting Speed","15% d'augmentation de la Vitesse de Fonte","15% erhöhte Verhüttungsgeschwindigkeit","製錬速度15%増加","제련 속도 15% 증가","Velocidade de derretimento aumentada em 15%","15% ускорение переплавки","Velocidad de fundición aumentada un 15%","เพิ่มความเร็ว ถลุงแร่ 15%","增加 15% 冶煉速度",1366,"[15,16,17]","[10,8,6]",363,[],[],[20401],[15],18658
25,2,4,"+2 to Maximum Smelters","+2 au nombre maximal de Fondeurs","+2 zu maximaler Anzahl Verhütter","製錬工の最大人数 +2","제련가 수 최대치 +2","+2 ao Máximo de Fundidores","+2 к максимуму литейщиков","+2 al máximo de fundidores","จำนวน ช่างถลุง สูงสุด +2 คน","冶煉者上限 +2",1367,"[15,17,10]","[35,25,25]",1268,[],[],[20420],[2],18659
26,2,5,"Can smelt Bismuth Ore","Possibilité de faire fondre des Minerais de Bismuth","Kann Bismuterz verhütten","蒼鉛の鉱石を製錬可能","비스무트 광석 제련 가능","Pode fundir Minério de Bismuto","Можно переплавлять висмут","Puedes extraer mineral de bismuto","ถลุง แร่บิสมัท ได้","可以冶煉鉍礦材",1368,"[16,17]","[80,80]",3722,[],[],[20421],[1],18660
27,2,6,"+2 to Maximum Smelters","+2 au nombre maximal de Fondeurs","+2 zu maximaler Anzahl Verhütter","製錬工の最大人数 +2","제련가 수 최대치 +2","+2 ao Máximo de Fundidores","+2 к максимуму литейщиков","+2 al máximo de fundidores","จำนวน ช่างถลุง สูงสุด +2 คน","冶煉者上限 +2",1369,"[17,18,10]","[100,50,50]",7100,[],[],[20420],[2],18661
28,2,7,"Can smelt Verisium Ore","Possibilité de faire fondre des Minerais de Vérisium","Kann Verisiumerz verhütten","ヴァリシウムの鉱石を製錬可能","베리시움 광석 제련 가능","Pode fundir Minério de Verísio","Можно переплавлять веризий","Puedes extraer mineral de verisium","ถลุง แร่เวรีเซียม ได้","可以冶煉維里西姆礦材",1370,"[15,16,18]","[200,150,75]",11958,[],[],[20421],[1],18662
29,2,8,"+2 to Maximum Smelters","+2 au nombre maximal de Fondeurs","+2 zu maximaler Anzahl Verhütter","製錬工の最大人数 +2","제련가 수 최대치 +2","+2 ao Máximo de Fundidores","+2 к максимуму литейщиков","+2 al máximo de fundidores","จำนวน ช่างถลุง สูงสุด +2 คน","冶煉者上限 +2",1371,"[18,19,11]","[150,50,80]",17264,[],[],[20420],[2],18663
30,2,9,"20% increased Smelting Speed","20% d'augmentation de la Vitesse de Fonte","20% erhöhte Verhüttungsgeschwindigkeit","製錬速度20%増加","제련 속도 20% 증가","Velocidade de derretimento aumentada em 20%","20% ускорение переплавки","Velocidad de fundición aumentada un 20%","เพิ่มความเร็ว ถลุงแร่ 20%","增加 20% 冶煉速度",1372,"[15,18,19]","[300,100,75]",21359,[],[],[20401],[20],18664
31,2,10,"+3 to Maximum Smelters","+3 au nombre maximal de Fondeurs","+3 zu maximaler Anzahl Verhütter","製錬工の最大人数 +3","제련가 수 최대치 +3","+3 ao Máximo de Fundidores","+3 к максимуму литейщиков","+3 al máximo de fundidores","จำนวน ช่างถลุง สูงสุด +3 คน","冶煉者上限 +3",1373,"[16,18,12]","[300,150,100]",27000,[],[],[20420],[3],18665
32,2,11,"25% increased Smelting Speed","25% d'augmentation de la Vitesse de Fonte","25% erhöhte Verhüttungsgeschwindigkeit","製錬速度25%増加","제련 속도 25% 증가","Velocidade de derretimento aumentada em 25%","25% ускорение переплавки","Velocidad de fundición aumentada un 25%","เพิ่มความเร็ว ถลุงแร่ 25%","增加 25% 冶煉速度",1374,"[17,18,19]","[400,250,150]",44115,[],[],[20401],[25],18666
33,3,1,"Establish Farming","Instaurer l'Agriculture","Landwirtschaft etablieren","農業を開始","경작 개시","Estabelecer Agricultura","Открывает сельское хозяйство","Establecer Agricultura","จัดตั้ง การเพาะปลูก","建立耕種",1375,[],[],23,[],[],"[20424,20425,20426]","[2,3,2]",19335
34,3,2,"Can grow Pumpkins","Possibilité de cultiver des Citrouilles","Kann Kürbisse anbauen","かぼちゃを栽培可能","호박 재배 가능","Pode cultivar Abóboras","Можно выращивать тыкву","Puedes cultivar calabazas","ปลูก ฟักทอง ได้","可以種植南瓜",1376,[],[],126,[],[],[20426],[1],19336
