"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","HubArea","CharacterStartQuestStateKeys","bool_100","InfoText","Ascendancy"
32,"IntBLAMTRace","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],7,5,[],"","",""
33,"DexIntBLAMTRace","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],7,5,[],"","",""
34,"StrDexBLAMTRace","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],7,5,[],"","",""
35,"StrIntBLAMTRace","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖堂武僧",6,1,[],7,5,[],"","",""
36,"StrDexIntBLAMTRace","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],7,5,[],"","",""
37,"StrIntConsoleDemo","Command (40)","Croisé (40)","Kommando (40)","コマンド（40）","명령 (40)","Soldado (40)","Святой воин (40)","Comando (40)","Command (40)","命令（40）",6,40,"[1880,844,1906,1879,736,771,544,31,1919,79,772,699,83,26,27,525,1902,650,471,1892,557,1893,1260,438,1184,25,712,729,1900,398,727,753,32,1894,759,424,1903,435,649,1168,1185,773,454,842,443,1182,552]",8,74,[9],"","Claim the powers of your enemies and lead an army to victory.",""
38,"StrInt2ConsoleDemo","Stormcaller (40)","Mande-foudre (40)","Sturmbeschwörer (40)","ストームコーラー（40）","폭풍 소환사 (40)","Convocador de Tempestades (40)","Призыватель бури (40)","Llamador de Tormentas (40)","Stormcaller (40)","風暴呼喚者（40）",6,40,[],8,73,[9],"","Strike down your enemies with a wide range of lightning skills.",""
39,"StrInt2ConsoleDemoKitava","Stormcaller (45)","Mande-foudre (45)","Sturmbeschwörer (45)","ストームコーラー（45）","폭풍 소환사 (45)","Convocador de Tempestades (45)","Призыватель бури (45)","Llamador de Tormentas (45)","Stormcaller (45)","風暴呼喚者（45）",6,45,[],8,80,[14],"","Strike down your enemies with a wide range of lightning skills.",""
40,"DexIntConsoleDemo","Blademaster (40)","Maître-lame (40)","Schwertmeister (40)","ブレードマスター（40）","검귀 (40)","Mestre das Lâminas (40)","Мастер клинков (40)","Maestro de Armas (40)","Blademaster (40)","劍聖（40）",5,40,[],8,73,[9],"","Cut your foes to ribbons with physical spells and attacks.",""
41,"DexInt2ConsoleDemo","Chaos Weaver (40)","Tisserand du Chaos (40)","Chaos-Weber (40)","カオスウィーバー（40）","카오스 직공 (40)","Criador do Caos (40)","Ткач хаоса (40)","Tejedor de Caos (40)","Chaos Weaver (40)","混沌織術者（40）",5,40,[],8,73,[9],"","Call forth the powers of the void with a wide range of chaos skills.",""
42,"DexInt2ConsoleDemoKitava","Chaos Weaver (45)","Tisserand du Chaos (45)","Chaos-Weber (45)","カオスウィーバー（45）","카오스 직공 (45)","Criador do Caos (45)","Ткач хаоса (45)","Tejedor de Caos (45)","Chaos Weaver (45)","混沌織術者（45）",5,45,[],8,80,[14],"","Call forth the powers of the void with a wide range of chaos skills.",""
43,"StrConsoleDemo","Sunderer (40)","Ravageur (40)","Spalter (40)","サンダラー（40）","작렬가 (40)","Destrutor (40)","Раскалыватель (40)","Fisurador (40)","Sunderer (40)","分裂者（40）",0,40,"[84,82,34,81,92,91,329,472,328,50,1174,330,351,2,1178,470,1183,1185,1184,454,650,25,26,32,441,436,1187,1188,1186,430,445,740,73,778,760,468,433,465,631,629,1248,761,673,774,1160,356,355]",8,73,[9],"","Make your foes tremble before your might with a wide range of physical attacks.",""
44,"StrConsoleDemoAct8","Earth Churner (60)","Trembleterre (60)","Erdenspalter (60)","アースチャーナー（60）","대지 균열가 (60)","Agitador da Terra (60)","Earth Churner (60)","Agrieta Suelos (60)","Earth Churner (60)","大地流亡者（60）",0,60,[],8,124,[13],"","Break the earth beneath the feet of your foes with a range of physical attacks.",""
45,"IntConsoleDemo","Winter Witch (40)","Sorcière de l'Hiver (40)","Winterhexe (40)","ウィンターウィッチ（40）","겨울 마녀 (40)","Bruxa Invernal (40)","Морозная ведьма (40)","Bruja de Invierno (40)","Winter Witch (40)","凜冬女巫（40）",1,40,[],8,73,[9],"","Shatter your adversaries with a range of cold skills.",""
46,"IntConsoleDemoBrineKing","Winter Witch (51)","Sorcière de l'Hiver (50)","Winterhexe (51)","ウィンターウィッチ（51）","겨울 마녀 (51)","Bruxa Invernal (51)","Морозная ведьма (51)","Bruja de Invierno (51)","Winter Witch (51)","凜冬女巫（51）",1,51,"[542,192,1033,389,585,1007,535,556,596,219,181,999,182,545,216,390,541,218,845,578,735,1097,1001,569,550,595,434,1789,777,737,180,782,337,1055,1003,481,540,410,776,653,183,570,527,1032,176,1790,1791,572,191,175,1004,1005,1094,1002,996,397,785,997,1054,1096,1031,652,1095]",8,101,[15],"","Shatter your adversaries with a range of cold skills.",""
47,"IntConsoleDemoAct8","Cryomancer (60)","Cryomancienne (60)","Kryomant (60)","クライオマンサー（60）","동결술사 (60)","Criomante (60)","Криомансер (60)","Criomante (60)","Cryomancer (60)","晶體（60）",1,60,[],8,124,[13],"","Lock your enemies in place with a range of cold skills.",""
48,"Int2ConsoleDemo","Necromancer (40)","Nécromancienne (40)","Nekromantin (40)","ネクロマンサー（40）","네크로맨서 (40)","Necromante (40)","Некромант (40)","Nigromante (40)","Necromancer (40)","死靈法師（40）",1,40,[],8,73,[9],"","Master death with a range of necromancy skills.",""
49,"StrDexConsoleDemo","Combatant (40)","Combattant (40)","Krieger (40)","コンバッタント（40）","전투원 (40)","Combatente (40)","Поборник (40)","Combatiente (40)","Combatant (40)","戰鬥（40）",4,40,"[645,673,1158,484,597,1146,646,480,485,711,1134,343,613,862,55,1289,734,863,342,341,647,643,56,733,1305,761,488,500,774,1135,467,695,1149,1298,1307,809,1145,1152,478,861,381,1151,54,1292,1286,1248,739,1150]",8,73,[9],"","Go toe-to-toe with your enemies using a range of attacks.",""
50,"StrDexConsoleDemoBrineKing","Gladiator (51)","Gladiateur (50)","Gladiator (51)","グラディエーター（51）","글래디에이터 (51)","Gladiador (51)","Гладиатор (51)","Gladiador (51)","Gladiator (51)","衛士（51）",4,51,"[645,468,673,1137,1158,484,760,597,1146,646,73,480,465,485,711,1134,433,343,613,862,55,1289,734,863,342,341,631,647,643,56,733,1305,761,488,500,774,1135,467,629,695,664,1149,1298,1307,809,1145,740,1152,478,861,381,1151,54,1292,1286,1248,1136,1208,739,1150,1206,1207,778]",8,101,[15],"","Conquer your foes with this master of melee attacks.",""
51,"DexConsoleDemo","Marksman (40)","Chasseresse (40)","Meisterschütze (40)","マークスマン（40）","지정사수 (40)","Atiradora (40)","Снайпер (40)","Tiradora (40)","Marksman (40)","鷹眼（40）",3,40,"[310,506,992,268,273,274,340,846,503,734,288,505,513,269,872,848,733,995,500,1775,502,695,775,507,1778,272,271,847,876,321,511,266,307,508,296,1303,501,320,1302,376,710,873,739,322,598,1304,302,350]",8,73,[9],"","Dispose of your enemies from afar with a range of bow skills.",""
52,"DexConsoleDemoAct8","Toxic Archer (61)","Archère toxique (61)","Toxischer Bogenschütze (61)","トキシックアーチャー（61）","맹독 궁수 (61)","Arqueiro Tóxico (60)","Токсичный лучник (61)","Arquera Tóxica (61)","Toxic Archer (61)","毒素射手（61）",3,61,"[310,673,506,992,268,484,615,273,274,340,497,1306,846,880,757,503,691,270,751,613,734,756,509,288,515,505,513,517,269,1043,693,872,848,733,995,1305,761,500,694,774,1775,264,502,695,775,507,1298,675,1778,272,878,1307,271,847,261,266,307,690,508,296,1303,501,320,1302,376,692,710,267,1248,758,873,739,498,1044,879,1304,302,350]",8,124,[13],"","Outmaneuver your enemies and slay them from a safe distance with a range of bow skills.",""
53,"StrDexIntMapDemo","High-level Scion (80)","Héritière de haut niveau (80)","Hochrangige Adelstochter (80)","ハイレベルサイオン（80）","고위 사이온 (80)","Herdeira Nível Alto (80)","Высокоуровневая Дворянка (80)","Heredera de Nivel Alto (80)","High-level Scion (80)","高等貴族（80）",2,80,[],8,168,[12],"","Explore the endgame with this high-level Scion",""
54,"DexIntMapDemo","High-level Shadow (83)","Ombre de haut niveau (83)","Hochrangiger Schatten (83)","ハイレベルシャドウ（83）","고위 쉐도우 (83)","Sombra Nível Alto (83)","Высокоуровневый Бандит (80)","Sombra de Nivel Alto (80)","High-level Shadow (83)","高等暗影刺客（83）",5,83,[],8,160,[18],"","Explore the endgame with this high-level Shadow",16
55,"StrIntSkillDemo","Totem Caller (50)","Mande-totem (50)","Totem-Beschwörer (50)","トーテムコーラー（50）","토템 소환사 (50)","Convocador de Totens (50)","Призыватель тотемов (50)","Llamador de Tótems (50)","Totem Caller (50)","圖騰呼喚者（50）",6,50,[],8,61,[9],"","Let your totems do the work for you!",""
56,"PCStrInt2ConsoleDemo","Stormcaller (41)","Mande-foudre (40)","Sturmbeschwörer (41)","ストームコーラー（41）","폭풍 소환사 (41)","Convocador de Tempestades (41)","Призыватель бури (41)","Llamador de Tormentas (41)","Stormcaller (41)","風暴呼喚者（41）",6,41,[],8,68,[17],"","Strike down your enemies with a wide range of lightning skills.",""
57,"PCStrInt2ConsoleDemoKitava","Stormcaller (45)","Mande-foudre (45)","Sturmbeschwörer (45)","ストームコーラー（45）","폭풍 소환사 (45)","Convocador de Tempestades (45)","Призыватель бури (45)","Llamador de Tormentas (45)","Stormcaller (45)","風暴呼喚者（45）",6,45,[],8,80,[14],"","Strike down your enemies with a wide range of lightning skills.",""
58,"PCDexInt2ConsoleDemo","Abberath Assassin (85)","Assassin d'Abberath (85)","Abberath-Assassine (85)","アベラスアサシン（85）","아버라스의 암살자 (85)","Assassino de Abberath (40)","Ткач хаоса (40)","Asesino de Abberath (85)","Abberath Assassin (85)","艾貝拉斯刺客（85）",5,85,[],8,160,[18],"","Explore the endgame with this high-level Shadow",15
59,"PCDexInt2ConsoleDemoKitava","Chaos Weaver (45)","Tisserand du Chaos (45)","Chaos-Weber (45)","カオスウィーバー（45）","카오스 직공 (45)","Criador do Caos (45)","Ткач хаоса (45)","Tejedor de Caos (45)","Chaos Weaver (45)","混沌織術者（45）",5,45,[],8,80,[14],"","Call forth the powers of the void with a wide range of chaos skills.",""
60,"PCStrConsoleDemo","Sunderer (40)","Ravageur (40)","Spalter (40)","サンダラー（40）","작렬가 (40)","Destrutor (40)","Раскалыватель (40)","Fisurador (40)","Sunderer (40)","分裂者（40）",0,40,[],8,73,[9],"","Make your foes tremble before your might with a wide range of physical attacks.",""
61,"PCStrConsoleDemoAct8","Earth Churner (61)","Trembleterre (60)","Erdenspalter (61)","アースチャーナー（61）","대지 균열가 (61)","Agitador da Terra (61)","Earth Churner (61)","Revolvedor de Tierra (61)","Earth Churner (61)","大地流亡者（61）",0,61,[],8,124,[13],"","Break the earth beneath the feet of your foes with a range of physical attacks.",""
62,"PCIntConsoleDemo","Winter Witch (40)","Sorcière de l'Hiver (40)","Winterhexe (40)","ウィンターウィッチ（40）","겨울 마녀 (40)","Bruxa Invernal (40)","Морозная ведьма (40)","Bruja de Invierno (40)","Winter Witch (40)","凜冬女巫（40）",1,40,[],8,73,[9],"","Shatter your adversaries with a range of cold skills.",""
63,"PCIntConsoleDemoBrineKing","Winter Witch (50)","Sorcière de l'Hiver (50)","Winterhexe (50)","ウィンターウィッチ（50）","겨울 마녀 (50)","Bruxa Invernal (50)","Морозная ведьма (50)","Bruja de Invierno (50)","Winter Witch (50)","凜冬女巫（50）",1,50,"[542,192,1033,389,585,1007,535,556,596,219,181,999,182,545,216,390,541,218,845,578,735,1097,1001,569,550,595,434,1789,777,737,180,782,337,1055,1003,481,540,410,776,653,183,570,527,1032,176,1790,1791,572,191,175,1004,1005,1094,1002,996,397,785,997,1054,1096,1031,652,1095]",8,101,[15],"","Shatter your adversaries with a range of cold skills.",""
64,"PCIntConsoleDemoAct8","Cryomancer (60)","Cryomancienne (60)","Kryomant (60)","クライオマンサー（60）","동결술사 (60)","Criomante (60)","Криомансер (60)","Criomante (60)","Cryomancer (60)","晶體（60）",1,60,[],8,134,[13],"","Lock your enemies in place with a range of cold skills.",""
65,"PCInt2ConsoleDemo","Necromancer (40)","Nécromancienne (40)","Nekromantin (40)","ネクロマンサー（40）","네크로맨서 (40)","Necromante (40)","Некромант (40)","Nigromante (40)","Necromancer (40)","死靈法師（40）",1,40,[],8,73,[9],"","Master death with a range of necromancy skills.",""
66,"PCStrDexConsoleDemo","Combatant (40)","Combattant (40)","Krieger (40)","コンバッタント（40）","전투원 (40)","Combatente (40)","Поборник (40)","Combatiente (40)","Combatant (40)","戰鬥（40）",4,40,"[645,673,1158,484,597,1146,646,480,485,711,1134,343,613,862,55,1289,734,863,342,341,647,643,56,733,1305,761,488,500,774,1135,467,695,1149,1298,1307,809,1145,1152,478,861,381,1151,54,1292,1286,1248,739,1150]",8,73,[9],"","Go toe-to-toe with your enemies using a range of attacks.",""
67,"PCStrDexConsoleDemoBrineKing","Gladiator (50)","Gladiateur (50)","Gladiator (50)","グラディエーター（50）","글래디에이터 (50)","Gladiador (50)","Гладиатор (50)","Gladiador (50)","Gladiator (50)","衛士（50）",4,50,"[645,468,673,1137,1158,484,760,597,1146,646,73,480,465,485,711,1134,433,343,613,862,55,1289,734,863,342,341,631,647,643,56,733,1305,761,488,500,774,1135,467,629,695,664,1149,1298,1307,809,1145,740,1152,478,861,381,1151,54,1292,1286,1248,1136,1208,739,1150,1206,1207,778]",8,101,[15],"","Conquer your foes with this master of melee attacks.",""
68,"PCDexConsoleDemo","Marksman (40)","Chasseresse (40)","Meisterschütze (40)","マークスマン（40）","지정사수 (40)","Atiradora (40)","Снайпер (40)","Tirador (40)","Marksman (40)","鷹眼（40）",3,40,"[310,506,992,268,273,274,340,846,503,734,288,505,513,269,872,848,733,995,500,1775,502,695,775,507,1778,272,271,847,876,321,511,266,307,508,296,1303,501,320,1302,376,710,873,739,322,598,1304,302,350]",8,73,[9],"","Dispose of your enemies from afar with a range of bow skills.",""
69,"PCDexConsoleDemoAct8","Sharpshooter (60)","Archère d'élite (60)","Scharfschütze (60)","シャープシューター（60）","저격수 (60)","Atiradora de Elite (60)","Меткий стрелок (60)","Buen Tirador (60)","Sharpshooter (60)","神槍手（60）",3,60,"[310,673,506,992,268,484,615,273,274,340,497,1306,846,880,757,503,691,270,751,613,734,756,509,288,515,505,513,517,269,1043,693,872,848,733,995,1305,761,500,694,774,1775,264,502,695,775,507,1298,675,1778,272,878,1307,271,847,261,266,307,690,508,296,1303,501,320,1302,376,692,710,267,1248,758,873,739,498,1044,879,1304,302,350]",8,134,[13],"","Outmaneuver your enemies and slay them from a safe distance with a range of bow skills.",""
70,"PCStrIntSkillDemo","Totem Caller (50)","Mande-totem (50)","Totem-Beschwörer (50)","トーテムコーラー（50）","토템 소환사 (50)","Convocador de Totens (50)","Призыватель тотемов (50)","Llamador de Tótems (50)","Totem Caller (50)","圖騰呼喚者（50）",6,50,[],8,61,[9],"","Let your totems do the work for you!",""
71,"DexIntDemoArakaali","Cremator (54)","Incendiaire (54)","Einäscherer (54)","クリメーター（54）","화장사 (54)","Cremador (54)","Крематор (54)","Incinerador (54)","Cremator (54)","焚屍爐（54）",5,54,"[844,389,558,531,545,390,519,541,510,738,85,448,401,525,208,1097,843,595,434,1070,1789,777,399,782,337,1003,481,540,475,410,524,1881,398,653,400,527,1870,746,202,1790,759,86,1791,1885,1068,784,623,523,1066,1004,1168,1170,1094,1046,1067,397,785,1882,522,1883,1096,77,1871,1095,1182,925,783,78,80]",8,116,[16],"","Burn your enemies to the bone with a mix of fire and lightning spells.",""
72,"AscendancyTest","Hello","Coucou","Hallo","ハロー","안녕하십니까","Olá","Hello","Hola","Hello","哈囉",1,80,"[1511,1506,1505,410,1512,1504,1510,996,397,997]",8,61,[12],"","",8
73,"PCStrAtlasWarDemo","Juggernaut (85)","Colosse (85)","Koloss (85)","ジャガーノート（85）","저거넛 (85)","Destruidor (85)","Juggernaut (85)","Coloso (85)","Juggernaut (85)","勇士（85）",0,85,[],8,160,[18],"","Explore the Atlas of Worlds!",0
74,"PCDexAtlasWarDemo","Deadeye (85)","Tireuse d'élite (85)","Scharfschützin (85)","デッドアイ（85）","데드아이 (85)","Atiradora (85)","Deadeye (85)","Tiradora (85)","Deadeye (85)","銳眼（85）",3,85,"[877,673,506,992,379,484,585,215,556,1435,596,405,340,617,262,497,1306,846,344,390,640,787,757,503,374,691,270,499,372,751,421,613,55,734,756,509,288,515,505,1040,777,517,782,337,693,848,56,1436,733,995,1305,790,1437,761,1159,375,1038,694,1775,295,264,502,532,263,695,639,653,775,706,507,1298,1778,272,1307,404,847,373,369,555,511,261,266,1440,1438,690,508,420,296,1152,478,285,501,320,705,692,619,710,267,1441,1248,758,370,593,739,345,498,707,406,611,598,514,302,350,346]",8,160,[18],"","Explore the Atlas of Worlds!",4
75,"PCIntAtlasWarDemo","Necromancer (85)","Nécromancienne (85)","Nekromantin (85)","ネクロマンサー（85）","네크로맨서 (85)","Necromante (85)","Necromancer (85)","Nigromante (85)","Necromancer (85)","死靈法師（85）",1,85,[],8,160,[18],"","Explore the Atlas of Worlds!",8
76,"StrExileRoyale","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,1,[],9,1394,[],"","",""
77,"DexExileRoyale","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Exploradora","Ranger","遊俠",3,1,[],9,1394,[],"","",""
78,"IntExileRoyale","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],9,1394,[],"","",""
79,"DexIntExileRoyale","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],9,1394,[],"","",""
80,"StrDexExileRoyale","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],9,1394,[],"","",""
81,"StrIntExileRoyale","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖堂武僧",6,1,[],9,1394,[],"","",""
82,"StrDexIntExileRoyale","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],9,1394,[],"","",""
83,"StrEndlessDelve","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,1,[],10,321,[],"","",""
84,"DexEndlessDelve","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Exploradora","Ranger","遊俠",3,1,[],10,321,[],"","",""
85,"IntEndlessDelve","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],10,321,[],"","",""
86,"DexIntEndlessDelve","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],10,321,[],"","",""
87,"StrDexEndlessDelve","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],10,321,[],"","",""
88,"StrIntEndlessDelve","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖堂武僧",6,1,[],10,321,[],"","",""
89,"StrDexIntEndlessDelve","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],10,321,[],"","",""
90,"StrEndlessHeist","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,1,[],11,1694,[],"","",""
91,"DexEndlessHeist","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Exploradora","Ranger","遊俠",3,1,[],11,1694,[],"","",""
92,"IntEndlessHeist","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],11,1694,[],"","",""
93,"DexIntEndlessHeist","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],11,1694,[],"","",""
94,"StrDexEndlessHeist","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],11,1694,[],"","",""
95,"StrIntEndlessHeist","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖堂武僧",6,1,[],11,1694,[],"","",""
96,"StrDexIntEndlessHeist","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],11,1694,[],"","",""
