"rownum","Index","SupportGem","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
28,29,192,"Power Charge On Critical","Charge de pouvoir par Coup critique","Energie-Ladung bei kritischem Treffer","クリティカル時パワーチャージ","치명타 시 권능 충전","Carga de Poder ao Causar Golpe Crítico","Заряд энергии при критическом ударе","Carga de poder en golpe crítico","Power Charge On Critical","暴擊獲得暴擊球"
29,30,303,"Critical Strike Affliction","Affliction critique","Kritische Beeinträchtigungen","クリティカルアフリクション","치명타 고통 격화","Aflição do Golpe Crítico","Критические удары состояниями","Aflicción por golpe crítico","Critical Strike Affliction","暴擊苦痛"
30,31,146,"Point Blank","À bout portant","Aus nächster Nähe","ポイントブランク","근접 사격","Queima-roupa","Стрельба в упор","Quemarropa","Point Blank","零點射擊"
31,32,69,"Pierce","Transpercement","Durchbohren","貫通","관통","Perfuração","Пронзание","Perforar","Pierce","穿透"
32,33,267,"Physical to Lightning","Conversion du physique en foudre","Physisch zu Blitz","物理から雷変換","물리 번개 전환","Físico em Elétrico","Физический урон в молнии","Físico a rayo","Physical to Lightning","物理轉閃電"
33,34,232,"Vicious Projectiles","Projectiles cruels","Bösartige Projektile","邪悪な投射物","포악한 투사체","Projéteis Perigosos","Яростные снаряды","Proyectiles despiadados","Vicious Projectiles","猛毒投射物"
34,35,349,"Volley","Volée","Projektilsalve","ボレー","사격 공세","Saraivada","Залп","Salva","Volley","齊射"
35,36,341,"Momentum","Accélération","Momentum","モーメンタム","기세","Embalo","Импульс","Momentum","Momentum","氣勢"
36,37,423,"Nightblade","Lame nocturne","Nachtklinge","ナイトブレード","밤의 칼날","Lâmina Noturna","Клинок во тьме","Filo de la noche","Nightblade","夜刃"
37,38,201,"Multiple Traps","Pièges multiples","Mehrfachfallen","マルチトラップ","다중 덫","Armadilhas Múltiplas","Дополнительные ловушки","Trampas múltiples","Multiple Traps","多重陷阱"
38,39,381,"Multiple Totems","Totems multiples","Mehrere Totems","マルチトーテム","다중 토템","Totens Múltiplos","Множество тотемов","Tótems múltiples","Multiple Totems","多重圖騰"
39,40,189,"Multistrike","Multifrappe","Mehrfachschlag","マルチストライク","연속타격","Ataques Múltiplos","Град ударов","Golpes múltiples","Multistrike","多重打擊"
40,41,190,"Spell Echo","Écho de sortilèges","Zauberecho","スペルエコー","주문 메아리","Eco Mágico","Эхо магии","Eco de hechizo","Spell Echo","施放迴響"
41,42,353,"Mirage Archer","Archer mirage","Phantombogenschütze","ミラージュアーチャー","신기루 궁수","Arqueiro Miragem","Призрачный лучник","Arquero ilusorio","Mirage Archer","幻影射手"
42,43,320,"Minefield","Champ de Mines","Minenfeld","マインフィールド","지뢰밭","Campo Minado","Минное поле","Campo de minas","Minefield","地雷網"
43,44,191,"Melee Splash","Dégâts de mêlée collatéraux","Nahkampf-Streuschaden","近接スプラッシュ","근접 범위 피해","Propagar Dano Corpo a Corpo","Раскатистый удар","Golpe colateral","Melee Splash","近戰傷害擴散"
44,45,83,"Melee Physical Damage","Dégâts physiques de mêlée","Physischer Nahkampfschaden","近接物理ダメージ","근접 물리 피해","Dano Físico Corpo a Corpo","Физический урон ближнего боя","Daño físico cuerpo a cuerpo","Melee Physical Damage","近戰物理傷害"
45,46,149,"Damage on Full Life","Dégâts lorsque la Vie est Pleine","Schaden bei vollem Leben","フルライフ時ダメージ","최대 생명력 시 피해","Dano em Vida Cheia","Урон при полном здоровье","Daño con vida llena","Damage on Full Life","滿血傷害"
46,47,424,"Meat Shield","Souffre-douleur","Fleischschild","肉の壁","육탄 방어","Bucha de Canhão","Живой щит","Escudo de carne","Meat Shield","肉盾"
47,48,59,"Mana Leech","Drain de Mana","Manaraub","マナリーチ","마나 흡수","Roubo de Mana","Вытягивание маны","Absorción de maná","Mana Leech","魔力偷取"
48,49,336,"Maim","Mutilation","Verstümmeln","重傷","힘줄 절단","Mutilação","Увечье","Lisiar","Maim","癱瘓"
49,50,176,"Lightning Penetration","Pénétration de la foudre","Durchdringender Blitz","雷耐性貫通","번개 관통","Penetração Elétrica","Пронизывающие молнии","Penetración de rayo","Lightning Penetration","閃電穿透"
50,51,58,"Life Leech","Drain de Vie","Lebensraub","ライフリーチ","생명력 흡수","Roubo de Vida","Вытягивание здоровья","Absorción de vida","Life Leech","生命偷取"
51,52,115,"Life Gain on Hit","Gain de Vie au Toucher","Lebenserhalt bei Treffer","ヒット時ライフ獲得","명중 시 생명력 획득","Ganhar Vida ao Atingir","Здоровье за удар","Vida ganada por golpe","Life Gain on Hit","擊中生命回復"
52,53,330,"Chance to Poison","Chances d'Empoisonnement","Chance auf Vergiften","毒付与","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","Chance to Poison","機率中毒"
53,54,35,"Multiple Projectiles","Projectiles multiples majeurs","Größere Projektilaufteilung","投射物追加","다중 투사체","Projéteis Múltiplos","Дополнительные снаряды","Proyectiles múltiples","Multiple Projectiles","多重投射"
54,55,57,"Knockback","Repoussement","Zurückstoßen","ノックバック","밀어내기","Empurrarão","Отбрасывание","Empujar","Knockback","擊退"
55,56,85,"Item Rarity","Rareté des Objets","Gegenstandsseltenheit","アイテムレアリティ増加","아이템 희귀도","Raridade de Itens","Редкость предметов","Rareza de objetos","Item Rarity","物品稀有度增幅"
56,57,148,"Iron Will","Volonté de fer","Eiserner Wille","アイアンウィル","강철의 의지","Determinação Férrea","Железная воля","Voluntad de hierro","Iron Will","鋼鐵意志"
57,58,147,"Iron Grip","Poigne de fer","Eiserner Griff","アイアングリップ","강철 손아귀","Pegada de Ferro","Железная хватка","Sujeción de hierro","Iron Grip","鋼鐵之握"
58,59,285,"Innervate","Innervation","Aufladen","電気刺激","자극","Avivamento","Возбуждение","Inervar","Innervate","亢奮"
59,60,429,"Infernal Legion","Légion infernale","Legion des Höllenfeuers","インファーナルリージョン","지옥불 군단","Legião Infernal","Пылающий легион","Legión infernal","Infernal Legion","煉獄軍團"
60,61,111,"Minion Speed","Vitesse des Créatures","Kreaturengeschwindigkeit","ミニオンスピード","소환수 속도","Velocidade de Lacaio","Скорость приспешников","Velocidad de esbirros","Minion Speed","召喚物速度"
61,62,112,"Minion Life","Vie des Créatures","Kreaturenleben","ミニオンライフ","소환수 생명력","Vida de Lacaio","Здоровье приспешников","Vida de esbirros","Minion Life","召喚物生命"
62,63,107,"Minion Damage","Dégâts des Créatures","Kreaturenschaden","ミニオンダメージ","소환수 피해","Dano de Lacaio","Урон приспешников","Daño de esbirros","Minion Damage","召喚物傷害"
63,64,108,"More Duration","Davantage de Durée","Mehr Dauer","持続時間上昇","지속시간 증폭","Mais Duração","Продление","Más duración","More Duration","持續時間延長"
64,65,55,"Increased Critical Strikes","Augmentation des Chances de coup critique","Erhöhte kritische Trefferchance","クリティカル率増加","치명타 증가","Golpes Críticos Aumentados","Учащение критических ударов","Golpes críticos aumentados","Increased Critical Strikes","增加暴擊率"
65,66,56,"Increased Critical Damage","Augmentation des Dégâts critiques","Erhöhter kritischer Trefferschaden","クリティカルダメージ増加","치명타 피해 증가","Dano Crítico Aumentado","Усиление критических ударов","Daño crítico aumentado","Increased Critical Damage","增加暴擊傷害"
66,67,194,"Burning Damage","Dégâts de Brûlure","Brandschaden","燃焼ダメージ","화상 피해","Dano Abrasador","Урон от горения","Daño de incendio","Burning Damage","燃燒傷害"
67,68,39,"Increased Area of Effect","Augmentation de Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Расширенная область действия","Área de efecto aumentada","Increased Area of Effect","增加範圍效果"
68,69,411,"Impale","Empalement","Aufspießen","串刺し","꿰뚫기","Empalamento","Прокол","Empalar","Impale","穿刺"
69,70,337,"Immolate","Immolation","Feueropferung","火炙り","번제","Imolação","Жертвенность","Inmolar","Immolate","犧牲"
70,71,328,"Ignite Proliferation","Propagation d'Embrasement","Feuerübertragung","発火伝染","점화 확산","Proliferação de Incêndio","Распространение поджога","Proliferación de quemadura","Ignite Proliferation","點燃擴散"
71,72,283,"Ice Bite","Morsure du froid","Erfrierung","アイスバイト","얼음 쐐기","Mordida Congelante","Укус льда","Mordida de hielo","Ice Bite","霜咬"
72,73,284,"Hypothermia","Hypothermie","Hypothermie","ハイポサーミア","체온저하","Hipotermia","Переохлаждение","Hipotermia","Hypothermia","急凍"
73,74,438,"Greater Volley","Volée majeure","Größere Projektilsalve","グレーターボレー","상위 사격 공세","Saraivada Maior","Большой залп","Salva superior","Greater Volley","高階齊射"
74,75,113,"Elemental Damage with Attacks","Dégâts élémentaires des Attaques","Elementarschaden mit Angriffen","アタック元素ダメージ","공격 시 원소 피해","Dano Elemental com Ataques","Урон от стихий атаками","Daño elemental con ataques","Elemental Damage with Attacks","元素攻擊傷害"
75,76,248,"Generosity","Générosité","Großzügigkeit","寛大","관대함","Generosidade","Щедрость","Generosidad","Generosity","和善"
76,77,364,"Charged Traps","Pièges galvanisants","Geladene Fallen","チャージドトラップ","충전된 덫","Armadilhas Carregadas","Заряженные ловушки","Trampas cargadas","Charged Traps","陷阱充能"
77,78,281,"Fortify","Renforcement","Verstärken","堅牢化","방어 상승","Fortificar","Укрепление","Fortificar","Fortify","護體"
78,79,180,"Fork","Scindement majeur","Gabelung","分岐","갈래","Ramificação","Разветвление","Bifurcar","Fork","高階分裂"
79,80,158,"Chance to Flee","Chances de fuite","Chance in die Flucht zu schlagen","逃走付与","도망칠 확률","Chance de Fugir","Паника","Probabilidad de huir","Chance to Flee","機率逃跑"
80,81,174,"Fire Penetration","Pénétration du feu","Durchdringendes Feuer","火耐性貫通","화염 관통","Penetração de Fogo","Пронизывающий жар","Penetración de fuego","Fire Penetration","火焰穿透"
81,82,420,"Feeding Frenzy","Frénésie dévorante","Fressrausch","狂乱の餌付け","격분 주입","Frenesi voraz","Голодное остервенение","Frenesí voraz","Feeding Frenzy","豢養狂熱"
82,83,36,"Faster Projectiles","Vitesse des projectiles","Schnellere Projektile","投射物高速化","투사체 속도 가속","Projéteis Rápidos","Ускорение снарядов","Proyectiles rápidos","Faster Projectiles","快速投射"
83,84,86,"Faster Casting","Vitesse d'incantation","Schnelleres Zaubern","キャストスピード増加","시전 속도 가속","Conjuração Acelerada","Ускоренное сотворение чар","Lanzamiento rápido de hechizos","Faster Casting","快速施放"
84,85,33,"Faster Attacks","Vitesse d'attaque","Schnellere Angriffe","アタックスピード増加","공격 속도 가속","Ataques Mais Rápidos","Ускорение атак","Ataques rápidos","Faster Attacks","快速攻擊"
85,86,387,"Energy Leech","Drain d'énergie","Energieraub","エナジーリーチ","에너지 흡수","Roubo de Energia","Похищение энергетического щита","Absorción de energía","Energy Leech","能量偷取"
86,87,206,"Endurance Charge on Melee Stun","Charge d'endurance par Étourdissement en mêlée","Widerstands-Ladung bei Nahkampfbetäubung","近接スタン時エンデュランスチャージ","근접 기절 시 인내 충전","Carga de Tolerância ao Atordoar Corpo a Corpo","Заряд выносливости при оглушении в ближнем бою","Carga de aguante al aturdir cuerpo a cuerpo","Endurance Charge on Melee Stun","近戰擊暈獲得耐力球"
87,88,141,"Elemental Proliferation","Propagation élémentaire","Elementarübertragung","元素伝染","원소 확산","Proliferação Elemental","Разгул стихий","Proliferación elemental","Elemental Proliferation","元素擴散"
88,89,319,"Elemental Focus","Focalisation élémentaire","Elementarfokus","元素ダメージ集中","원소 집중","Foco Elemental","Концентрация стихий","Concentración elemental","Elemental Focus","元素集中"
89,90,334,"Efficacy","Efficacité","Wirkmacht","エフィカシー","효력","Eficácia","Эффективность","Eficacia","Efficacy","效能"
90,91,333,"Decay","Décomposition","Verfall","ディケイ","부패","Podridão","Разложение","Decaimiento","Decay","腐化"
91,92,331,"Deadly Ailments","Altérations funestes","Tödliche Beeinträchtigungen","状態異常特化","치명적인 상태 이상","Afecções Mortais","Смертельные состояния","Estados alterados mortales","Deadly Ailments","致命異常"
92,93,196,"Hextouch","Toucher calamiteux","Verhexende Berührung","ヒット時呪術","사술 손길","Toque Maldito","Касание порчи","Toque maléfico","Hextouch","咒術降臨"
93,94,145,"Culling Strike","Coup de grâce","Todesstoß","カリングストライク","마무리 타격","Golpe Aniquilador","Добивание","Golpe de gracia","Culling Strike","撲殺"
94,95,310,"Controlled Destruction","Destruction maîtrisée","Kontrollierte Zerstörung","破壊制御","제어된 파괴","Destruição Controlada","Контролируемое разрушение","Destrucción controlada","Controlled Destruction","精準破壞"
95,96,106,"Concentrated Effect","Effet concentré","Konzentrierte Wirkung","範囲ダメージ集中","효과 집중","Efeito Concentrado","Средоточие","Efecto concentrado","Concentrated Effect","集中效應"
96,97,109,"Cold to Fire","Conversion du froid en feu","Kälte zu Feuer","冷気から火変換","냉기 화염 전환","Frio para Fogo","Холод в огонь","Hielo al fuego","Cold to Fire","寒冰轉烈焰"
97,98,175,"Cold Penetration","Pénétration du froid","Durchdringende Kälte","冷気耐性貫通","냉기 관통","Penetração de Frio","Пронизывающий холод","Penetración de hielo","Cold Penetration","冰冷穿透"
98,99,312,"Cluster Traps","Amas de Pièges","Fallenverbund","クラスタートラップ","무리 덫","Salva de Armadilhas","Кассетные ловушки","Trampas en grupo","Cluster Traps","散彈陷阱"
99,100,406,"Close Combat","Combat rapproché","Gefecht","近距離戦闘","근접 전투","Combate Corpo a Corpo","Бой вплотную","Combate cercano","Close Combat","近身戰"
100,101,365,"Charged Mines","Mines galvanisantes","Geladene Minen","チャージドマイン","충전된 지뢰","Minas Carregadas","Заряженные мины","Minas cargadas","Charged Mines","地雷充能"
101,102,372,"Withering Touch","Toucher flétrissant","Verkümmernde Berührung","ヒット時衰弱","위축의 손길","Toque Atrofiante","Губительное прикосновение","Toque marchitante","Withering Touch","凋零之觸"
102,103,110,"Combustion","Combustion","Entflammen","燃焼促進","연소","Combustão","Воспламенение","Combustión","Combustion","燃燒"
103,104,329,"Chance to Bleed","Chances de Saignement","Chance auf Bluten","出血付与","출혈 확률","Chance de Sangramento","Шанс кровотечения","Probabilidad de sangrado","Chance to Bleed","機率流血"
104,105,178,"Chain","Ricochet","Verkettung","連鎖","연쇄","Propagação","Цепь","Encadenamiento","Chain","連鎖"
105,106,325,"Cast while Channelling","Déclenchement durant la Canalisation","Zaubern während Kanalisierung","チャネリング中キャスト","집중 유지 중 시전","Conjurar ao Canalizar","Сотворение чар при поддержании","Lanzar al canalizar","Cast while Channelling","引導時施放"
106,107,215,"Cast when Stunned","Déclenchement par Étourdissement subi","Zaubern bei Betäubung","被スタン時キャスト","기절 시 시전","Conjurar quando Atordoado","Сотворение чар при оглушении","Lanzar al ser aturdido","Cast when Stunned","暈眩時施放"
107,108,200,"Cast on Melee Kill","Déclenchement en Tuant en mêlée","Zaubern bei Nahkampftötung","近接キル時キャスト","근접 처치 시 시전","Conjurar ao Matar Corpo a Corpo","Сотворение чар при убийстве в ближнем бою","Lanzar al matar cuerpo a cuerpo","Cast on Melee Kill","近戰擊殺時施放"
108,109,213,"Cast on Death","Déclenchement en mourant","Zaubern bei Tod","死亡時キャスト","사망 시 시전","Conjurar ao Morrer","Сотворение чар при смерти","Lanzar al morir","Cast on Death","死亡時施放"
109,110,214,"Cast when Damage Taken","Déclenchement par seuil de Dégâts subis","Zaubern bei erlittenem Schaden","被ダメージ時キャスト","피해 받을 시 시전","Conjurar ao Sofrer Dano","Сотворение чар при получении урона","Lanzar al recibir daño","Cast when Damage Taken","受傷時施放"
110,111,199,"Cast On Critical Strike","Déclenchement par Coup critique infligé","Zaubern bei kritischem Treffer","クリティカル時キャスト","치명타 시 시전","Conjurar ao Causar Golpe Crítico","Сотворение чар при критическом ударе","Lanzar al infligir golpes críticos","Cast On Critical Strike","暈眩時施放"
111,112,339,"Brutality","Brutalité","Brutalität","ブルータリティ","포악함","Brutalidade","Жестокость","Brutalidad","Brutality","殘虐"
112,113,373,"Bonechill","Frisson hivernal","Knochenfrost","ボーンチル","사무치는 한기","Arrepio Ósseo","Леденящее охлаждение","Hielahuesos","Bonechill","寒冰刺骨"
113,114,142,"Arrogance","Arrogance","Arroganz","傲慢","오만","Arrogância","Заносчивость","Arrogancia","Arrogance","傲慢"
114,115,114,"Bloodlust","Soif de sang","Blutlust","ブラッドラスト","유혈 충동","Sede de Sangue","Кровожадность","Sed de sangre","Bloodlust","嗜血"
115,116,164,"Blind","Aveuglement","Blenden","盲目","실명","Cegueira","Ослепление","Cegar","Blind","致盲"
116,117,275,"Blasphemy","Blasphème","Blasphemie","冒涜","신성 모독","Blasfêmia","Богохульство","Blasfemia","Blasphemy","詛咒光環"
117,118,435,"Barrage","Tir de barrage","Sperrfeuer","バラージ","연발 사격","Barragem","Очередь","Aluvión","Barrage","彈幕"
118,119,434,"Arrow Nova","Nova de flèches","Pfeilnova","アローノヴァ","화살 산개","Nova de Flechas","Кольцо стрел","Nova de flechas","Arrow Nova","箭矢新星"
119,120,484,"Archmage","Archimage","Erzmagier","アークメイジ","대마법사","Arquimago","Архимаг","Archimago","Archmage","魔幻"
120,121,342,"Arcane Surge","Éruption arcanique","Arkane Woge","アーケインサージ","비전 쇄도","Fúria Arcana","Колдовской выброс","Sobrecarga arcana","Arcane Surge","秘能波動"
121,122,38,"Additional Accuracy","Précision accrue","Zusätzliche Treffgenauigkeit","命中率追加","정확도 추가","Precisão Adicional","Меткость","Precisión adicional","Additional Accuracy","額外命中"
122,123,40,"Added Lightning Damage","Dégâts de foudre supplémentaires","Zusätzlicher Blitzschaden","雷ダメージ追加","번개 피해 추가","Dano Elétrico Adicionado","Урон молнией","Daño de rayo agregado","Added Lightning Damage","附加閃電傷害"
123,124,32,"Added Fire Damage","Dégâts de feu Rajoutés","Zusätzlicher Feuerschaden","火ダメージ追加","화염 피해 추가","Dano de Fogo Adicionado","Урон огнём","Daño de fuego agregado","Added Fire Damage","附加火焰傷害"
124,125,37,"Added Cold Damage","Dégâts de froid supplémentaires","Zusätzlicher Kälteschaden","冷気ダメージ追加","냉기 피해 추가","Dano de Frio Adicionado","Урон холодом","Daño de hielo agregado","Added Cold Damage","附加冰冷傷害"
125,126,60,"Added Chaos Damage","Dégâts de chaos supplémentaires","Zusätzlicher Chaosschaden","混沌ダメージ追加","카오스 피해 추가","Dano de Caos Adicionado","Урон хаосом","Daño de caos agregado","Added Chaos Damage","附加混沌傷害"
126,127,494,"Fist of War","Poing de guerre","Faust des Krieges","フィストオブウォー","전쟁의 주먹","Punho da Guerra","Кулак войны","Puño de guerra","Fist of War","拳霸"
127,128,495,"Swiftbrand","Symboles précipités","Rasante Zeichen","スウィフトブランド","재빠른 낙인","Marca Repentina","Быстрое клеймение","Marca veloz","Swiftbrand","迅速烙印"
128,129,496,"Urgent Orders","Ordres d'urgence","Dringliche Befehle","アージェントオーダー","긴급 명령","Ordens Urgentes","Срочные приказы","Órdenes urgentes","Urgent Orders","緊急詔令"
129,130,506,"Pinpoint","Projectiles convergents","Zielgenauigkeit","ピンポイント","핵심 조준","Cirúrgico","Сосредоточение","Concisión","Pinpoint","精確"
130,131,509,"Trinity","Trinité","Dreieinigkeit","トリニティ","삼위일체","Tríade","Триединство","Trinidad","Trinity","三體"
131,132,516,"Bloodthirst","Ardeur sanguinaire","Blutdurst","ブラッドサースト","피의 갈증","Sanguívoro","Кровавое зверство","Ansias de sangre","Bloodthirst","渴血"
132,133,519,"Cruelty","Cruauté","Grausamkeit","クルーエルティ","잔혹","Crueldade","Злость","Crueldad","Cruelty","殘酷"
133,134,520,"Lifetap","Ponction vitale","Aderlass","ライフタップ","생명력 전환","Fonte de Vida","Жизнеотвод","Transfusión de vida","Lifetap","活栓"
134,135,689,"Focused Ballista","Baliste focalisée","Konzentrierte Balliste","フォーカスバリスタ","쇠뇌 집중 사격","Balista Focada","Прицельная баллиста","Balista precisa","Focused Ballista","專注砲塔"
135,136,763,"Overexertion","Surstimulation","Überpotenzierung","過剰奮起","전심전력","Esforço Excessivo","Переусиление","Sobresfuerzo","Overexertion","竭盡全力"
136,137,691,"Behead","Décapitation","Enthaupten","首狩り","참수","Decapitação","Обезглавливание","Decapitación","Behead","斬首"
137,138,707,"Mark On Hit","Marque au Toucher","Mal bei Treffer","ヒット時呪印","명중 시 징표","Marcar ao Atingir","Метка при попадании","Señalar al golpear","Mark On Hit","擊中時印記"
138,139,765,"Rupture","Rupture","Fleischwunde","裂傷","파열","Ruptura","Разрывание","Ruptura","Rupture","殘破"
139,140,708,"Eternal Blessing","Bénédiction éternelle","Ewige Segnung","エターナルブレッシング","영원한 축복","Bênção Eterna","Вечное благословение","Bendición eterna","Eternal Blessing","永恆祝福"
140,141,709,"Overcharge","Surcharge","Überladen","過剰感電","과충전","Sobrecarga","Перегрузка","Sobrecarga","Overcharge","超負荷"
141,142,719,"Cursed Ground","Sol maudit","Verfluchter Boden","呪い領域","저주받은 지대","Chão Amaldiçoado","Проклятая земля","Suelo maldito","Cursed Ground","詛咒地面"
142,143,720,"Hex Bloom","Floraison calamiteuse","Verhexte Blüte","呪術伝染","사술의 꽃","Exuberância Mágica","Расцвет порчи","Proliferación maléfica","Hex Bloom","咒術綻放"
143,144,733,"Manaforged Arrows","Flèches manaforgées","Manageschmiedete Pfeile","マナフォージアロー","마나벼림 화살","Flechas Manaforjadas","Стрелы маны","Flechas manaforjadas","Manaforged Arrows","魔改箭矢"
144,145,181,"Returning Projectiles","Retour des Projectiles","Projektilrückkehr","投射物回帰","돌아오는 투사체","Projéteis Retornados","Возвращающиеся снаряды","Regreso de proyectiles","Returning Projectiles","投射物返回"
145,146,746,"Trauma","Traumatisme","Trauma","トラウマ","외상","Trauma","Травма","Traumatismo","Trauma","創傷"
146,147,747,"Spellblade","Lame ensorcelée","Zauberklinge","スペルブレード","주문칼날","Lâmina Mágica","Чародейский клинок","Filo encantado","Spellblade","魔刃"
147,148,748,"Devour","Dévoration","Verschlingen","捕食","포식","Devorar","Пожирание","Devorar","Devour","吞噬"
148,149,749,"Fresh Meat","Viande fraîche","Frischfleisch","フレッシュミート","신선한 고기","Carne Fresca","Свежее мясо","Carne fresca","Fresh Meat","鮮肉"
149,150,750,"Flamewood","Bois incandescent","Brennholz","フレイムウッド","화염나무","Madeira de Fogo","Лучина","Leña","Flamewood","焚木"
150,151,751,"Corrupting Cry","Cri corrupteur","Verderbender Schrei","コラプティングクライ","타락시키는 비명","Clamor Corruptivo","Оскверняющий клич","Grito corruptor","Corrupting Cry","汙染戰吼"
151,152,759,"Volatility","Instabilité","Volatilität","ボラティリティ","일촉즉발","Volatilidade","Нестабильность","Volatilidad","Volatility","易變"
