"rownum","string_0","string_8"
16,"Metadata/Terrain/Temple/Rooms_BloodWalkway/Unique/pietyfight_2_1.arm","Metadata/Terrain/Temple/Rooms_BloodWalkway/Unique/Gauntlet/pietyfight_2_1.arm"
17,"Metadata/Terrain/Act5/Area1/Rooms/Unique/tower_01.arm","Metadata/Terrain/Act5/Area1/Rooms/Unique/Gauntlet/tower_01_gauntlet.arm"
18,"Metadata/Terrain/Act9/Area9/Rooms/boss.arm","Metadata/Terrain/Act9/Area9/Rooms/Gauntlet/boss_gauntlet.arm"
19,"Metadata/Terrain/Act2/Area9/Rooms/intbanditfight.arm","Metadata/Terrain/Act2/Area9/Rooms/Gauntlet/intbanditfight.arm"
20,"Metadata/Terrain/Act2/Area9/Rooms/intbanditfight_island.arm","Metadata/Terrain/Act2/Area9/Rooms/Gauntlet/intbanditfight_island.arm"
21,"Metadata/Terrain/Mountain/Arena/Colosseum/Rooms/Unique/boss_1.arm","Metadata/Terrain/Mountain/Arena/Colosseum/Rooms/Unique/Gauntlet/boss_1.arm"
22,"Metadata/Terrain/Act7/Area5Map/Rooms/boss.arm","Metadata/Terrain/Act7/Area5Map/Rooms/Gauntlet/boss.arm"
23,"Metadata/Terrain/Act8/Area2Level2/Rooms/Unique/doedre_boss_room_1.arm","Metadata/Terrain/Act8/Area2Level2/Rooms/Unique/Gauntlet/doedre_boss_room_1.arm"
24,"Metadata/Terrain/Act9/Area10Level2/Rooms/IntroRooms/Unique/boss_3.arm","Metadata/Terrain/Act9/Area10Level2/Rooms/IntroRooms/Unique/Gauntlet/boss_3.arm"
25,"Metadata/Terrain/Act6/Area7Level2/Rooms/Unique/boss1.arm","Metadata/Terrain/Act6/Area7Level2/Rooms/Unique/Gauntlet/boss1_gauntlet.arm"
26,"Metadata/Terrain/RuinedCity/Sceptre/Rooms/Unique/city_tower.arm","Metadata/Terrain/RuinedCity/Sceptre/Rooms/Unique/Gauntlet/city_tower.arm"
27,"Metadata/Terrain/Act10/Area6/Rooms/Unique/kitava.arm","Metadata/Terrain/Act10/Area6/Rooms/Unique/Gauntlet/kitava.arm"
28,"Metadata/Terrain/Leagues/Synthesis/Arenas/FinalBoss/Rooms/arena_lab.arm","Metadata/Terrain/Leagues/Synthesis/Arenas/FinalBoss/Rooms/Gauntlet/arena_lab.arm"
29,"Metadata/Terrain/Mountain/Belly/Rooms/Unique/boss_piety_1.arm","Metadata/Terrain/Mountain/Belly/Rooms/Unique/Gauntlet/boss_piety_1.arm"
30,"Metadata/Terrain/Act5/Area8/Rooms/Unique/bossentry.arm","Metadata/Terrain/Act5/Area8/Rooms/Unique/Gauntlet/bossentry.arm"
31,"Metadata/Terrain/Act8/Area13/Rooms/Unique/bridge_arena.arm","Metadata/Terrain/Act8/Area13/Rooms/Unique/Gauntlet/bridge_arena_gauntlet.arm"
32,"Metadata/Terrain/Mountain/Belly/Rooms/Unique/boss_1.arm","Metadata/Terrain/Mountain/Belly/Rooms/Unique/Gauntlet/boss_1.arm"
33,"Metadata/Terrain/Mountain/Belly/Rooms/Unique/boss_2.arm","Metadata/Terrain/Mountain/Belly/Rooms/Unique/Gauntlet/boss_2.arm"
34,"Metadata/Terrain/Dungeon/Rooms/Unique/inca_boss_exit.arm","Metadata/Terrain/Dungeon/Rooms/Unique/Gauntlet/inca_boss_exit.arm"
35,"Metadata/Terrain/Act6/Area15/Rooms/boss_1.arm","Metadata/Terrain/Act6/Area15/Rooms/Gauntlet/boss_1.arm"
36,"Metadata/Terrain/Act7/Area12Level2/Rooms/Unique/boss.arm","Metadata/Terrain/Act7/Area12Level2/Rooms/Unique/Gauntlet/boss.arm"
