"rownum","Id","rid_8","Archetype","Gem","BK2File"
28,"ProxyKey31",8,"[2,3]",1624,"Art/Videos/ChinaSkillVideos/ChieftainBerserker_AncestralProtector+FireDamage.BK2"
29,"ProxyKey32",7,"[1,2,3]",1598,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_LeapSlam.BK2"
30,"ProxyKey33",10,"[1,2,3]",1908,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_Sunder.BK2"
31,"ProxyKey34",0,[1],1603,"Art/Videos/ChinaSkillVideos/Juggernaut_Slam+Ruthless.BK2"
32,"ProxyKey35",3,[1],1876,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike.BK2"
33,"ProxyKey36",2,[1],1921,"Art/Videos/ChinaSkillVideos/Juggernaut_+Slam+Bleed+Ruthless.BK2"
34,"ProxyKey86",8,[1],1624,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike+FireDamage.BK2"
35,"ProxyKey37",0,[6],1615,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+surge.BK2"
36,"ProxyKey38",3,[6],1800,"Art/Videos/ChinaSkillVideos/Necromancer_SRS.BK2"
37,"ProxyKey39",8,[6],1695,"Art/Videos/ChinaSkillVideos/Necromancer_SRS+minionDamage.BK2"
38,"ProxyKey40",7,[6],1683,"Art/Videos/ChinaSkillVideos/Necromancer_SummonSkeletons.BK2"
39,"ProxyKey41",10,[6],1804,"Art/Videos/ChinaSkillVideos/Necromancer_SpiritOffering.BK2"
40,"ProxyKey42",0,[5],1901,"Art/Videos/ChinaSkillVideos/Occultist_Blight+Surge.BK2"
41,"ProxyKey43",3,[5],1899,"Art/Videos/ChinaSkillVideos/Occultist_Contagion.BK2"
42,"ProxyKey44",8,[5],1903,"Art/Videos/ChinaSkillVideos/Occultist_Contagion+Voidmanip.BK2"
43,"ProxyKey45",7,[5],1900,"Art/Videos/ChinaSkillVideos/Occultist_Wither(+blight).BK2"
44,"ProxyKey46",10,[5],1902,"Art/Videos/ChinaSkillVideos/Occultist_EssenseDrain.BK2"
45,"ProxyKey47",2,"[4,5]",1942,"Art/Videos/ChinaSkillVideos/Occultist_Blight+Surge+Barrier.BK2"
46,"ProxyKey89",2,[6],1922,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+Surge+LesserPoison.BK2"
47,"ProxyKey48",0,[4],1855,"Art/Videos/ChinaSkillVideos/Elementalist_Surge+Tendrils.BK2"
48,"ProxyKey49",3,[4],1894,"Art/Videos/ChinaSkillVideos/Elementalist_OrbofStorms.BK2"
49,"ProxyKey50",8,[4],1633,"Art/Videos/ChinaSkillVideos/Elementalist_OrbStorms+LightningDamage.BK2"
50,"ProxyKey51",7,[4],1682,"Art/Videos/ChinaSkillVideos/Elementalist_LightningWarp.BK2"
51,"ProxyKey52",10,[4],1711,"Art/Videos/ChinaSkillVideos/Elementalist_arc.BK2"
52,"ProxyKey53",0,[18],1875,"Art/Videos/ChinaSkillVideos/Assassin_FrostBlades+LessPoison.BK2"
53,"ProxyKey54",3,[18],1685,"Art/Videos/ChinaSkillVideos/Assassin_Riposte.BK2"
54,"ProxyKey55",8,[18],1630,"Art/Videos/ChinaSkillVideos/Assassin_Ripose+ColdDamage.BK2"
55,"ProxyKey56",7,[18],1612,"Art/Videos/ChinaSkillVideos/Assassin_WhirlingBlades.BK2"
56,"ProxyKey57",10,[18],1770,"Art/Videos/ChinaSkillVideos/Assassin_Reave.BK2"
57,"ProxyKey58",2,[18],1933,"Art/Videos/ChinaSkillVideos/Assassin_Frostblades+LessPoison+Onslaught.BK2"
58,"ProxyKey59",0,[17],1739,"Art/Videos/ChinaSkillVideos/Saboteur_FireTrap+LessPoison.BK2"
59,"ProxyKey60",3,[17],1737,"Art/Videos/ChinaSkillVideos/Saboteur_BearTrap.BK2"
60,"ProxyKey61",8,[17],1773,"Art/Videos/ChinaSkillVideos/Saboteur_BearTrap+Multitrap.BK2"
61,"ProxyKey62",7,[17],1874,"Art/Videos/ChinaSkillVideos/Saboteur_FlameDash.BK2"
62,"ProxyKey63",10,[17],1775,"Art/Videos/ChinaSkillVideos/Saboteur_LightningTrap.BK2"
63,"ProxyKey64",2,[17],1722,"Art/Videos/ChinaSkillVideos/Saboteur_Firetrap+LessPoison+EleProlif.BK2"
64,"ProxyKey65",0,[16],1742,"Art/Videos/ChinaSkillVideos/Trickster_Knives+LessPoison.BK2"
65,"ProxyKey66",3,[16],1899,"Art/Videos/ChinaSkillVideos/Trickster_Contagion.BK2"
66,"ProxyKey67",8,[16],1903,"Art/Videos/ChinaSkillVideos/Trickster_Contagion+Voidmanip.BK2"
67,"ProxyKey68",7,[16],1900,"Art/Videos/ChinaSkillVideos/Trickster_Wither.BK2"
68,"ProxyKey69",10,[16],1902,"Art/Videos/ChinaSkillVideos/Trickster_EssenceDrain.BK2"
69,"ProxyKey70",2,[16],1655,"Art/Videos/ChinaSkillVideos/Trickster_Knives+LessPoison+Pierce.BK2"
70,"ProxyKey71",0,[9],1623,"Art/Videos/ChinaSkillVideos/Deadeye_Splitarrow+Pierce.BK2"
71,"ProxyKey72",3,[9],1888,"Art/Videos/ChinaSkillVideos/Deadeye_SiegeBallista.BK2"
72,"ProxyKey73",10,[9],1710,"Art/Videos/ChinaSkillVideos/Deadeye_LA.BK2"
73,"ProxyKey74",2,[9],1943,"Art/Videos/ChinaSkillVideos/Deadeye_Split+Pierce+Volley.BK2"
74,"ProxyKey75",7,"[8,9]",1860,"Art/Videos/ChinaSkillVideos/PathfinderDeadeye_BlinkArrow.BK2"
75,"ProxyKey76",0,[8],1621,"Art/Videos/ChinaSkillVideos/Pathfinder_IceShot+Pierce.BK2"
76,"ProxyKey77",8,[8],1627,"Art/Videos/ChinaSkillVideos/Pathfinder_Puncture+LMP.BK2"
77,"ProxyKey78",10,[8],1693,"Art/Videos/ChinaSkillVideos/Pathfinder_RoA.BK2"
78,"ProxyKey79",2,[8],1947,"Art/Videos/ChinaSkillVideos/Pathfinder_Iceshot+Pierce+SpiritArcher.BK2"
79,"ProxyKey80",8,[9],1630,"Art/Videos/ChinaSkillVideos/Deadeye_SiegeBallista+ColdDamage.BK2"
80,"ProxyKey90",8,[7],1630,"Art/Videos/ChinaSkillVideos/Raider_Puncture+AddedCold.BK2"
81,"ProxyKey81",3,[7],1709,"Art/Videos/ChinaSkillVideos/Raider_puncture(melee).BK2"
82,"ProxyKey88",3,[8],1709,"Art/Videos/ChinaSkillVideos/Pathfinder_puncture(ranged).BK2"
83,"ProxyKey82",0,[7],1875,"Art/Videos/ChinaSkillVideos/Raider_Frostblades+Pierce.BK2"
84,"ProxyKey83",7,[7],1612,"Art/Videos/ChinaSkillVideos/Raider_WhirlingBlades.BK2"
85,"ProxyKey84",10,[7],1705,"Art/Videos/ChinaSkillVideos/Raider_LightningStrike.BK2"
86,"ProxyKey85",2,[7],1933,"Art/Videos/ChinaSkillVideos/Raider_Frostblades+Pierce+Onslaught.BK2"
87,"ProxyKey91",0,[19],1909,""
88,"ProxyKey92",7,[19],1874,""
89,"ProxyKey93",10,[19],1597,""
90,"ProxyKey94",8,[19],1633,""
91,"ProxyKey95",3,[19],1893,""
92,"ProxyKey96",0,[20],1881,""
93,"ProxyKey97",7,[20],1874,""
94,"ProxyKey98",8,[20],1930,""
95,"ProxyKey99",10,[20],1917,""
96,"ProxyKey100",3,[20],1894,""
97,"ProxyKey101",0,[21],1950,""
98,"ProxyKey102",7,[21],1874,""
99,"ProxyKey103",8,[21],1633,""
100,"ProxyKey104",10,[21],1775,""
101,"ProxyKey105",3,[21],1737,""
102,"ProxyKey106",0,[22],1978,""
103,"ProxyKey107",8,[22],1633,""
104,"ProxyKey108",7,[22],1874,""
105,"ProxyKey109",3,[22],1965,""
106,"ProxyKey110",4,[22],2003,""
107,"497",2,[22],1934,""
108,"496",10,[22],2120,""
109,"495",13,[22],1853,""
110,"494",15,[22],1668,""
111,"493",23,[22],1692,""
112,"508",29,[22],1762,""
113,"507",30,[22],2012,""
114,"ProxyKey111",0,[23],1619,""
115,"ProxyKey112",2,[23],1947,""
116,"ProxyKey113",3,[23],1888,""
117,"ProxyKey114",8,[23],1627,""
118,"ProxyKey115",10,[23],1964,""
119,"ProxyKey116",0,[24],1834,""
120,"ProxyKey117",2,[24],1945,""
121,"ProxyKey119",8,[24],1627,""
122,"ProxyKey120",15,[24],1668,""
123,"ProxyKey121",0,[25],1662,""
124,"ProxyKey122",7,[25],1874,""
125,"ProxyKey123",10,[25],1620,""
126,"ProxyKey124",8,[25],1930,""
127,"ProxyKey125",3,[25],1893,""
128,"ProxyKey126",0,[26],1855,""
129,"ProxyKey127",7,[26],1874,""
130,"ProxyKey128",10,[26],1971,""
131,"ProxyKey129",8,[26],1633,""
132,"ProxyKey130",3,[26],1746,""
133,"ProxyKey131",0,[27],2094,""
134,"ProxyKey132",8,[27],2113,""
135,"ProxyKey133",7,[27],1598,""
136,"ProxyKey135",4,[27],1992,""
137,"505",2,[27],1933,""
138,"504",10,[27],1974,""
139,"503",13,[27],1635,""
140,"502",15,[27],1799,""
141,"501",18,[27],1854,""
142,"500",24,[27],2006,""
143,"ProxyKey136",0,[31],1901,""
144,"ProxyKey137",2,[31],1942,""
145,"ProxyKey138",8,[31],1903,""
146,"ProxyKey139",7,[31],1874,""
147,"ProxyKey140",10,[31],1902,""
148,"ProxyKey141",13,[31],1957,""
149,"ProxyKey142",15,[31],1671,""
150,"ProxyKey143",18,[31],1980,""
151,"ProxyKey144",23,[31],1979,""
152,"ProxyKey145",24,[31],1926,""
153,"ProxyKey146",30,[31],1867,""
154,"ProxyKey147",29,[31],1626,""
155,"ProxyKey148",0,[32],1619,""
156,"ProxyKey149",2,[32],1947,""
157,"ProxyKey150",8,[32],1903,""
158,"ProxyKey151",7,[32],1860,""
159,"ProxyKey152",10,[32],1964,""
160,"ProxyKey153",13,[32],1852,""
161,"ProxyKey154",15,[32],1730,""
162,"ProxyKey155",18,[32],1625,""
163,"ProxyKey157",24,[32],1897,""
164,"ProxyKey158",30,[32],1895,""
165,"ProxyKey159",29,[32],1966,""
166,"ProxyKey190",0,[33],1604,""
167,"ProxyKey156",1,[33],1932,""
168,"ProxyKey161",7,[33],1598,""
169,"ProxyKey162",13,[33],1849,""
170,"ProxyKey163",15,[33],1625,""
171,"ProxyKey164",18,[33],1764,""
172,"ProxyKey166",24,[33],1723,""
173,"ProxyKey167",30,[33],1895,""
174,"ProxyKey168",0,[34],1834,""
175,"ProxyKey169",1,[34],1945,""
176,"ProxyKey171",8,[34],1624,""
177,"ProxyKey172",13,[34],1606,""
178,"ProxyKey173",15,[34],1625,""
179,"ProxyKey174",18,[34],1668,""
180,"ProxyKey176",24,[34],1723,""
181,"ProxyKey177",30,[34],1895,""
182,"ProxyKey178",29,[34],1941,""
183,"ProxyKey179",0,[35],1978,""
184,"ProxyKey180",1,[35],1934,""
185,"ProxyKey181",3,[35],1746,""
186,"ProxyKey182",8,[35],1624,""
187,"ProxyKey183",8,[35],1698,""
188,"ProxyKey184",7,[35],1874,""
189,"ProxyKey185",13,[35],1849,""
190,"ProxyKey186",13,[35],1983,""
191,"ProxyKey187",15,[35],1904,""
192,"ProxyKey188",18,[35],1985,""
193,"ProxyKey189",23,[35],1982,""
194,"ProxyKey191",30,[35],1867,""
195,"ProxyKey192",29,[35],1769,""
196,"ProxyKey193",0,[36],1881,""
197,"ProxyKey194",1,[36],1943,""
198,"ProxyKey195",3,[36],1746,""
199,"ProxyKey196",8,[36],1624,""
200,"ProxyKey197",10,[36],1801,""
201,"ProxyKey198",15,[36],1671,""
202,"ProxyKey199",18,[36],1718,""
203,"ProxyKey200",23,[36],1976,""
204,"ProxyKey201",30,[36],1866,""
205,"ProxyKey202",29,[36],1763,""
206,"ProxyKey203",0,[37],1603,""
207,"ProxyKey204",7,[37],1598,""
208,"ProxyKey205",10,[37],1999,""
209,"ProxyKey206",8,[37],1624,""
210,"ProxyKey207",3,[37],1707,""
211,"ProxyKey208",0,[38],1998,""
212,"ProxyKey209",7,[38],1598,""
213,"ProxyKey210",10,[38],1608,""
214,"ProxyKey211",8,[38],1624,""
215,"ProxyKey212",3,[38],1996,""
216,"ProxyKey213",0,[39],1855,""
217,"ProxyKey214",7,[39],1874,""
218,"ProxyKey215",10,[39],1775,""
219,"ProxyKey216",8,[39],1633,""
220,"ProxyKey217",3,[39],1894,""
221,"ProxyKey218",0,[40],2020,""
222,"ProxyKey219",7,[40],1874,""
223,"ProxyKey220",10,[40],1735,""
224,"ProxyKey221",8,[40],1630,""
225,"ProxyKey222",3,[40],1737,""
226,"ProxyKey223",0,[41],1615,""
227,"ProxyKey224",7,[41],1683,""
228,"ProxyKey225",10,[41],1804,""
229,"ProxyKey226",8,[41],1695,""
230,"ProxyKey227",3,[41],1899,""
231,"ProxyKey228",0,[42],2011,""
232,"ProxyKey229",7,[42],2013,""
233,"ProxyKey230",10,[42],2024,""
234,"ProxyKey231",8,[42],1627,""
235,"ProxyKey232",3,[42],1737,""
236,"ProxyKey233",0,[45],1623,""
237,"ProxyKey234",7,[45],1860,""
238,"ProxyKey235",10,[45],1888,""
239,"ProxyKey236",8,[45],1630,""
240,"ProxyKey237",3,[45],2026,""
241,"ProxyKey238",0,[44],1834,""
242,"ProxyKey239",7,[44],1870,""
243,"ProxyKey240",8,[44],1624,""
244,"ProxyKey241",3,[44],1990,""
245,"ProxyKey242",0,[43],2020,""
246,"ProxyKey243",7,[43],1874,""
247,"ProxyKey244",10,[43],1735,""
248,"ProxyKey245",8,[43],1633,""
249,"ProxyKey246",3,[43],1894,""
250,"ProxyKey247",15,[43],1882,""
251,"ProxyKey248",1,[43],2025,""
252,"ProxyKey249",18,[43],1759,""
253,"ProxyKey250",13,[43],2021,""
254,"ProxyKey251",13,[45],1701,""
255,"ProxyKey252",23,[45],2030,""
256,"ProxyKey253",15,[44],1701,""
257,"ProxyKey254",0,[48],1603,""
258,"ProxyKey255",7,[48],1606,""
259,"ProxyKey256",10,[48],1908,""
260,"ProxyKey257",8,[48],1624,""
261,"ProxyKey259",15,[48],1668,""
262,"ProxyKey260",13,[48],1849,""
263,"ProxyKey261",18,[48],1871,""
264,"ProxyKey262",23,[48],1941,""
265,"ProxyKey263",24,[48],1877,""
266,"ProxyKey264",0,[47],1662,""
267,"ProxyKey265",7,[47],1874,""
268,"ProxyKey266",8,[47],1633,""
269,"ProxyKey267",3,[47],1893,""
270,"ProxyKey268",15,[47],1904,""
271,"ProxyKey269",18,[47],1987,""
272,"ProxyKey270",24,[47],1926,""
273,"ProxyKey271",29,[47],1967,""
274,"ProxyKey272",0,[46],1834,""
275,"ProxyKey273",7,[46],1606,""
276,"ProxyKey274",10,[46],2086,""
277,"ProxyKey275",8,[46],1624,""
278,"ProxyKey277",15,[46],1668,""
279,"ProxyKey278",13,[46],2083,""
280,"ProxyKey279",24,[46],2006,""
281,"ProxyKey280",30,[46],1895,""
282,"ProxyKey281",10,[47],2085,""
283,"ProxyKey282",29,[48],2080,""
284,"ProxyKey283",29,[46],2080,""
285,"ProxyKey284",18,[46],2008,""
286,"ProxyKey285",8,[49],1928,""
287,"ProxyKey286",7,[49],1598,""
288,"ProxyKey287",10,[49],1974,""
289,"ProxyKey288",3,[49],1972,""
290,"ProxyKey289",15,[49],1799,""
291,"ProxyKey290",13,[49],2005,""
292,"ProxyKey291",18,[49],2008,""
293,"ProxyKey292",24,[49],2006,""
294,"ProxyKey293",29,[49],1753,""
295,"ProxyKey294",0,[50],1901,""
296,"ProxyKey295",7,[50],1724,""
297,"ProxyKey296",10,[50],1902,""
298,"ProxyKey297",8,[50],1903,""
299,"ProxyKey298",3,[50],1899,""
300,"ProxyKey299",15,[50],1904,""
301,"ProxyKey300",13,[50],2072,""
302,"ProxyKey301",18,[50],1681,""
303,"ProxyKey302",7,[51],1874,""
304,"ProxyKey303",15,[51],1914,""
305,"ProxyKey304",13,[51],1849,""
306,"ProxyKey305",23,[50],2098,""
307,"ProxyKey306",24,[50],2097,""
308,"ProxyKey307",0,[49],2094,""
309,"ProxyKey308",0,[51],1881,""
310,"ProxyKey309",10,[51],2090,""
311,"ProxyKey310",2,[51],1944,""
312,"ProxyKey311",3,[51],2096,""
313,"ProxyKey312",24,[51],1988,""
314,"ProxyKey313",0,[52],2011,""
315,"ProxyKey314",8,[52],1627,""
316,"ProxyKey315",10,[52],2024,""
317,"ProxyKey316",7,[52],1612,""
318,"ProxyKey317",3,[52],1737,""
319,"ProxyKey318",4,[52],1992,""
320,"ProxyKey319",15,[52],1923,""
321,"ProxyKey320",18,[52],1681,""
322,"ProxyKey321",30,[52],1865,""
323,"ProxyKey322",29,[52],1626,""
324,"ProxyKey323",0,[53],1855,""
325,"ProxyKey324",8,[53],1633,""
326,"ProxyKey325",10,[53],1936,""
327,"ProxyKey326",7,[53],1874,""
328,"ProxyKey327",3,[53],1894,""
329,"ProxyKey328",4,[53],2003,""
330,"ProxyKey329",15,[53],1904,""
331,"ProxyKey330",13,[53],2072,""
332,"ProxyKey331",18,[53],1759,""
333,"ProxyKey332",24,[53],1751,""
334,"ProxyKey333",30,[53],2101,""
335,"ProxyKey334",29,[53],1632,""
336,"ProxyKey335",0,[54],1875,""
337,"ProxyKey336",8,[54],1630,""
338,"ProxyKey337",10,[54],1609,""
339,"ProxyKey338",7,[54],1612,""
340,"ProxyKey339",3,[54],1737,""
341,"ProxyKey340",4,[54],1992,""
342,"ProxyKey341",15,[54],2102,""
343,"ProxyKey342",13,[54],1635,""
344,"ProxyKey343",29,[54],1716,""
345,"ProxyKey344",24,[54],1877,""
346,"ProxyKey345",30,[54],1865,""
347,"ProxyKey346",29,[54],1762,""
348,"ProxyKey347",0,[55],1855,""
349,"ProxyKey348",8,[55],1934,""
350,"ProxyKey349",10,[55],2107,""
351,"ProxyKey350",7,[55],1874,""
352,"ProxyKey351",3,[55],1740,""
353,"ProxyKey352",4,[55],1992,""
354,"ProxyKey353",1,[55],2113,""
355,"ProxyKey354",18,[55],1681,""
356,"ProxyKey355",30,[55],1895,""
357,"ProxyKey356",29,[55],1626,""
358,"ProxyKey357",13,[55],2108,""
359,"ProxyKey358",15,[55],2112,""
360,"ProxyKey359",0,[56],1603,""
361,"ProxyKey360",8,[56],1624,""
362,"ProxyKey361",7,[56],1598,""
363,"ProxyKey363",4,[56],1990,""
364,"ProxyKey364",1,[56],1921,""
365,"ProxyKey365",15,[56],1668,""
366,"ProxyKey366",18,[56],2008,""
367,"ProxyKey367",30,[56],1895,""
368,"ProxyKey368",29,[56],1931,""
369,"ProxyKey369",13,[56],1872,""
370,"369",0,[57],2094,""
371,"370",8,[57],1928,""
372,"371",7,[57],1606,""
373,"373",4,[57],1992,""
374,"374",10,[57],1608,""
375,"375",15,[57],2112,""
376,"376",18,[57],2008,""
377,"377",24,[57],2009,""
378,"378",29,[57],1762,""
379,"381",0,[58],1662,""
380,"382",8,[58],1633,""
381,"383",7,[58],1724,""
382,"384",3,[58],1893,""
383,"385",4,[58],2003,""
384,"386",10,[58],1620,""
385,"387",13,[58],1850,""
386,"388",18,[58],1758,""
387,"389",23,[58],2133,""
388,"390",24,[58],2099,""
389,"391",29,[58],1967,""
390,"392",30,[58],1864,""
391,"393",0,[59],1623,""
392,"394",8,[59],1630,""
393,"395",7,[59],1860,""
394,"396",3,[59],2026,""
395,"397",4,[59],1992,""
396,"398",10,[59],1710,""
397,"399",15,[59],1701,""
398,"400",13,[59],1851,""
399,"401",18,[59],1679,""
400,"402",23,[59],2125,""
401,"403",24,[59],2127,""
402,"404",29,[59],1626,""
403,"405",30,[59],1867,""
404,"406",0,[60],2011,""
405,"407",8,[60],1633,""
406,"408",7,[60],2004,""
407,"409",3,[60],1894,""
408,"410",4,[60],1992,""
409,"411",10,[60],1770,""
410,"412",15,[60],1625,""
411,"413",18,[60],1759,""
412,"414",24,[60],1751,""
413,"415",0,[61],1619,""
414,"416",8,[61],1627,""
415,"417",7,[61],2004,""
416,"418",3,[61],2026,""
417,"419",4,[61],1992,""
418,"420",10,[61],2134,""
419,"421",13,[61],1852,""
420,"422",18,[61],1716,""
421,"423",24,[61],2079,""
422,"424",29,[61],1763,""
423,"425",0,[62],1855,""
424,"426",8,[62],1633,""
425,"427",7,[62],1874,""
426,"428",3,[62],1893,""
427,"429",4,[62],2003,""
428,"430",2,[62],1934,""
429,"431",10,[62],1936,""
430,"432",13,[62],1851,""
431,"433",15,[62],1671,""
432,"434",18,[62],1759,""
433,"435",24,[62],1751,""
434,"436",29,[62],1763,""
435,"437",0,[63],1881,""
436,"438",8,[63],1633,""
437,"439",7,[63],1874,""
438,"440",3,[63],1894,""
439,"441",4,[63],2003,""
440,"443",10,[63],1711,""
441,"444",13,[63],1851,""
442,"445",15,[63],1904,""
443,"446",18,[63],1759,""
444,"447",30,[63],1864,""
445,"448",29,[63],1763,""
446,"449",0,[64],1881,""
447,"450",8,[64],1633,""
448,"451",7,[64],1874,""
449,"452",3,[64],2096,""
450,"453",4,[64],2003,""
451,"454",2,[64],1934,""
452,"455",10,[64],1766,""
453,"456",13,[64],1849,""
454,"457",15,[64],1914,""
455,"458",18,[64],1757,""
456,"459",24,[64],1988,""
457,"460",23,[64],1704,""
458,"461",29,[64],2081,""
459,"462",0,[65],1621,""
460,"463",8,[65],1627,""
461,"464",7,[65],1860,""
462,"465",3,[65],2026,""
463,"468",10,[65],1609,""
464,"469",13,[65],1850,""
465,"470",15,[65],1701,""
466,"471",18,[65],1680,""
467,"472",24,[65],1879,""
468,"473",30,[65],1865,""
469,"474",29,[65],1626,""
470,"475",0,[66],1950,""
471,"476",8,[66],1630,""
472,"477",7,[66],1874,""
473,"478",3,[66],1737,""
474,"486",4,[66],2003,""
475,"487",2,[66],2025,""
476,"479",10,[66],1775,""
477,"480",13,[66],2021,""
478,"481",15,[66],1882,""
479,"482",18,[66],1758,""
480,"483",24,[66],1750,""
481,"484",30,[66],2093,""
482,"485",29,[66],1632,""
483,"498",0,[68],1603,""
484,"499",8,[68],2113,""
485,"506",7,[68],1598,""
486,"511",2,[68],1921,""
487,"512",10,[68],1908,""
488,"513",13,[68],1849,""
489,"514",15,[68],1668,""
490,"515",18,[68],1871,""
491,"517",24,[68],2009,""
492,"518",29,[68],2080,""
493,"519",0,[67],1615,""
494,"520",8,[67],2069,""
495,"521",7,[67],1683,""
496,"522",3,[67],1800,""
497,"524",2,[67],1946,""
498,"525",10,[67],1804,""
499,"526",13,[67],1803,""
500,"527",15,[67],1699,""
501,"528",18,[67],1681,""
502,"529",23,[67],1657,""
503,"530",24,[67],2019,""
504,"531",29,[67],1762,""
505,"532",30,[67],2012,""
506,"533",0,[69],2020,""
507,"534",8,[69],1633,""
508,"535",7,[69],1874,""
509,"536",3,[69],1894,""
510,"537",4,[69],2003,""
511,"538",2,[69],1933,""
512,"539",10,[69],2115,""
513,"540",13,[69],1851,""
514,"541",15,[69],1914,""
515,"542",18,[69],1679,""
516,"543",24,[69],1751,""
517,"544",29,[69],1632,""
518,"545",0,[70],1909,""
519,"546",8,[70],2113,""
520,"547",7,[70],1598,""
521,"549",4,[70],2003,""
522,"550",2,[70],1933,""
523,"551",10,[70],1622,""
524,"552",13,[70],1850,""
525,"553",15,[70],1701,""
526,"554",18,[70],1758,""
527,"555",23,[70],1869,""
528,"556",24,[70],1877,""
529,"557",29,[70],2080,""
530,"558",30,[70],2311,""
531,"559",0,[71],1834,""
532,"560",8,[71],2113,""
533,"561",7,[71],1598,""
534,"564",2,[71],1933,""
535,"565",10,[71],2308,""
536,"566",13,[71],1849,""
537,"567",15,[71],1701,""
538,"568",18,[71],1717,""
539,"569",29,[71],1975,""
540,"570",30,[71],1997,""
541,"571",0,[72],1662,""
542,"572",8,[72],1926,""
543,"573",7,[72],1724,""
544,"574",3,[72],1893,""
545,"576",2,[72],1946,""
546,"577",10,[72],1620,""
547,"578",13,[72],1614,""
548,"579",15,[72],1904,""
549,"580",18,[72],1758,""
550,"581",24,[72],1905,""
551,"582",29,[72],1967,""
552,"575",0,[73],1662,""
553,"583",8,[73],1630,""
554,"584",7,[73],1874,""
555,"585",3,[73],1894,""
556,"586",4,[73],2003,""
557,"587",2,[73],1722,""
558,"588",10,[73],2115,""
