"rownum","Mod","Chance","Guaranteed"
170,36870,100,1
171,36871,100,1
172,36872,100,1
173,36873,100,""
174,36874,100,""
175,36875,100,""
176,36876,100,""
177,36877,100,""
178,36878,100,""
179,36879,100,""
180,36880,100,""
181,36881,100,""
182,36882,100,""
183,36883,100,""
184,36884,100,""
185,36885,100,""
186,36886,100,""
187,36887,100,""
188,36888,100,""
189,36889,100,""
190,36890,100,""
191,36891,100,""
192,36892,100,""
193,36893,100,""
194,36894,100,""
195,36895,100,""
196,36896,100,""
197,36897,100,""
198,36898,100,""
199,36899,100,""
200,36900,100,""
201,36901,100,""
202,36902,100,""
203,36903,100,""
204,36904,100,""
205,36905,100,""
206,36906,100,""
207,36907,100,""
208,36908,100,""
209,36909,100,""
210,36910,100,""
211,36911,100,""
212,36912,100,""
213,36913,100,""
214,36914,100,""
215,36915,100,""
216,36916,100,""
217,36917,100,""
218,36918,100,""
219,36919,100,""
220,36920,100,""
221,36921,100,""
222,36922,100,""
223,36923,100,""
224,36924,100,""
225,36925,100,""
226,36926,100,""
227,36927,100,""
228,36928,100,""
229,36929,100,""
230,36930,100,""
231,36931,100,""
232,36932,100,""
233,36933,100,""
234,36934,100,""
235,36935,100,""
236,36936,100,""
237,36937,100,""
238,36938,100,""
239,36939,100,""
240,36940,100,""
241,36941,100,""
242,36942,100,1
243,36943,100,1
244,36944,100,1
245,36945,100,1
246,36946,100,1
247,36947,100,1
248,36948,100,1
249,36949,100,1
250,36950,100,1
251,36951,100,1
252,36952,100,1
253,36953,100,1
254,36954,100,1
255,36955,100,1
256,36956,100,1
257,36957,100,1
258,36958,100,1
259,36959,100,1
260,36960,100,1
261,36961,100,1
262,36962,100,1
263,36963,100,1
264,36964,100,1
265,36965,100,1
266,36966,100,1
267,36967,100,1
268,36968,100,1
269,36969,100,1
270,36970,100,1
271,36971,100,1
272,36972,100,1
273,36973,100,1
274,36974,100,1
275,36975,100,1
276,36976,100,1
277,36977,100,1
278,36978,100,1
279,36979,100,1
280,36980,100,1
281,36981,100,1
282,36982,100,1
283,36983,100,1
284,36984,100,1
285,36985,100,1
286,36986,100,1
287,36987,100,1
288,36988,100,1
289,36989,100,1
290,36990,100,1
291,36991,100,1
292,36992,100,1
293,36993,100,1
294,36994,100,1
295,36995,100,1
296,36996,100,1
297,36997,100,1
298,36998,100,1
299,36999,100,1
300,37000,100,1
301,37001,100,1
302,37002,100,1
303,37003,100,1
304,37004,100,1
305,37005,100,1
306,37006,100,1
307,37007,100,1
308,37008,100,1
309,37009,100,1
310,37010,100,1
311,37011,100,1
312,37012,100,1
313,37013,100,1
314,37014,100,""
315,37015,100,""
316,37016,100,""
317,37017,100,""
318,37018,100,""
319,37019,100,""
320,37020,100,""
321,37021,100,""
322,37022,100,""
323,37023,100,""
324,37024,100,""
325,37025,100,""
326,37026,100,""
327,37027,100,""
328,37028,100,""
329,37029,100,""
330,37030,100,""
331,37031,100,""
332,37032,100,""
333,37033,100,""
334,37034,100,""
335,37035,100,""
336,37036,100,""
337,37037,100,""
338,37038,100,""
339,37039,100,""
340,37040,100,""
341,37041,100,""
342,37042,100,""
343,37043,100,1
344,37044,100,1
345,37045,100,1
346,37046,100,1
347,37047,100,1
348,37048,100,1
349,37049,100,1
350,37050,100,1
351,37051,100,1
352,37052,100,""
353,37053,100,""
354,37054,100,""
355,37055,100,""
356,37056,100,""
357,37057,100,""
358,37058,100,""
359,37059,100,""
360,37060,100,""
361,37061,100,""
362,37062,100,""
363,37063,100,""
364,37064,100,""
365,37065,100,""
366,37066,100,""
367,37067,100,""
368,37068,100,""
369,37069,100,""
