"rownum","Id","rid_8","i32_24","[rid]_28","[i32]_44","i32_60","i32_64","rid_68","i32_84","Suffix","Suffix (French)","Suffix (German)","Suffix (Japanese)","Suffix (Korean)","Suffix (Portuguese)","Suffix (Russian)","Suffix (Spanish)","Suffix (Thai)","Suffix (Traditional Chinese)","rid_96"
10,"MemoryLineTorment1",17,19174,[2768],[1],1,1234,1254,0,"of Self-Possession","d'une Auto-possession","der Selbstbesessenheit","取り憑かれた集中力の","- 침착성","da Serenidade","о самоистязании","de autoposesión","แห่งการถูกเข้าสิง","自我侵占之",6190
11,"MemoryLineTorment2",17,24671,[2768],[1],3,1235,1255,0,"of Tormented Souls","d'Âmes tourmentées","der Gequälten Seelen","苦しめられた魂の","- 고통받는 영혼","das Almas Atormentadas","о страдающих душах","de almas atormentadas","แห่งผีตายโหง","罪魂之",32151
12,"MemoryLineHarbinger1",18,24813,"[16792,16846]","[1,50]",4,1236,1256,0,"of Survivor's Guilt","d'un Syndrome du survivant","der Schuld des Überlebenden","生存者の罪悪感の","- 생존자의 죄책감","da Culpa do Sobrevivente","о вине выжившего","del síndrome del superviviente","แห่งความรู้สึกผิดของผู้รอดชีวิต","倖存罪惡之",32152
13,"MemoryLineHarbinger2",18,29521,[16663],[1],4,1237,1257,0,"of Phaaryl","de Phaaryl","von Phaaryl","ファーアリルの","- 파아릴","de Phaaryl","о Фаариле","de Phaaryl","แห่งฟาร์ริล","法瑞爾之",32153
14,"MemoryLineBestiary1",3,50665,[19847],[1],3,1238,1258,0,"of Harvest Beasts","de Bêtes","der Erntebestien","収穫の獣の","- 수확 야수","das Bestas Colhidas","о чудовищах Жатвы","de bestias de la cosecha","แห่งสัตว์ร้ายฮาร์เวสต์","豐收野獸之",32154
15,"MemoryLineBestiary2",3,46008,"[19847,13712]","[1,100]",4,1239,1259,0,"of the Menagerie","de la Ménagerie","der Menagerie","怪獣園の","- 야수관","do Viveiro","о питомнике","del animalario","แห่งสวนสัตว์","獸園之",6190
16,"MemoryLineIncursion1",13,23896,"[1361,2334,13747]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion","d'une Incursion inversée","der umgekehrten Inkursion","逆インカージョンの","- 역기습","da Incursão Revertida","об обратном вмешательстве","de incursión invertida","แห่งการย้อนเวลากลับหลัง","逆襲之",32155
17,"MemoryLineBetrayal1",4,60599,[2310],[6],1,1241,1261,0,"of Bounty Hunters","de Chasseurs de primes","der Kopfgeldjäger","賞金稼ぎの","- 현상금 사냥꾼","dos Caçadores de Recompensa","об охотниках за сокровищами","de cazarrecompensas","แห่งนักล่าค่าหัว","賞金獵人之",6190
18,"MemoryLineHarvest1",11,39024,"[16776,16778,16818]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove","du Bosquet sacré","des Heiligen Hains","聖なる木立の","- 신성한 숲","do Bosqueu Sagrado","о Священной роще","del huerto sagrado","แห่งสวนศักดิ์สิทธิ์","聖殿密園之",32156
19,"MemoryLineAbyss1",0,55290,[16100],[1],4,1243,1263,0,"of Chasms","de Gouffres","der Abgründe","裂け目の","- 절벽길","dos Abismos","о пропастях","de abismos","แห่งหลุมลึก","裂谷之",32157
