"rownum","Id","ExorciseIcon","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_24","IllustratuionIcon","TextAudioLong","Achievements","TextAudioShort","ItemClass"
10,"Bow","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBow","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBow",17050,10300,17102,13
11,"Quiver","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconQuiver","Quiver","Carquois","Köcher","矢筒","화살통","Aljava","Колчан","Carcaj","ซองธนู","箭袋",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationQuiver",17056,10306,17108,20
12,"OneHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandMace","One-Handed Mace","Masse à une main","Einhandstreitkolben","片手メイス","한손 철퇴","Maça de Uma Mão","Одноручная булава","Maza a una mano","กระบองมือเดียว","單手錘",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandMace",17062,10305,17114,12
13,"Sceptre","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconMace","Sceptre","Sceptre","Zepter","セプター","셉터","Cetro","Скипетр","Cetro","คทา","權杖",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationSceptre",17062,10305,17114,32
14,"TwoHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandMace","Two-Handed Mace","Masse à deux mains","Zweihandstreitkolben","両手メイス","양손 철퇴","Maça de Duas Mãos","Двуручная булава","Maza a dos manos","กระบองสองมือ","雙手錘",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandMace",17062,10305,17114,17
15,"OneHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandAxe","One-Handed Axe","Hache à une main","Einhandaxt","片手斧","한손 도끼","Machado de Uma Mão","Одноручный топор","Hacha a una mano","ขวานมือเดียว","單手斧",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandAxe",17064,10296,17116,11
16,"TwoHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAxe","Two-Handed Axe","Hache à deux mains","Zweihandaxt","両手斧","양손 도끼","Machado de Duas Mãos","Двуручный топор","Hacha a dos manos","ขวานสองมือ","雙手斧",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandAxe",17064,10296,17116,16
17,"OneHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandSword","One-Handed Sword","Épée à une main","Einhandschwert","片手剣","한손 검","Espada de Uma Mão","Одноручный меч","Espada a una mano","ดาบมือเดียว","單手劍",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandSword",17060,10310,17112,9
18,"TwoHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandSword","Two-Handed Sword","Épée à deux mains","Zweihandschwert","両手剣","양손검","Espada de Duas Mãos","Двуручный меч","Espada a dos manos","ดาบสองมือ","雙手劍",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandSword",17060,10310,17112,15
19,"Staff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconStaff","Staff","Bâton","Stab","スタッフ","지팡이","Cajado","Посох","Báculo","ไม้พลอง","長杖",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationStaff",17066,10309,17118,14
20,"Warstaff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWarStaff","Warstaff","Bâton de guerre","Kriegsstab","ウォースタッフ","전쟁지팡이","Cajado de Guerra","Воинский посох","Báculo de guerra","ไม้พลองสงคราม","征戰長杖",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWarStaff",17066,10309,17118,57
21,"Claw","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconClaw","Claw","Griffe","Klaue","鉤爪","클로","Garra","Когти","Garra","กรงเล็บ","爪",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationClaw",17068,10301,17120,6
22,"Wand","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWand","Wand","Baguette","Zauberstab","ワンド","마법봉","Varinha","Жезл","Varita","ไม้กายสิทธิ์","法杖",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWand",17069,10311,17121,8
23,"PerandusUnique","","Perandus","Pérandus","Perandus","ペランダス","페란두스","Perandus","Перандус","Perandus","เพแรนดัส","普蘭德斯",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPerandus",17071,"",17071,""
24,"PhreciaUnique","","Phrecia","Phrécia","Phrecia","フレシア","프레시아","Phrecia","Фрекия","Phrecia","ฟรีเชีย","費西亞",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPhrecia",17073,"",17073,""
25,"VerusoUnique","","Veruso","Véruso","Veruso","ヴェルーソ","베루소","Veruso","Верузо","Veruso","เวรูโซ","維盧梭",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationVeruso",17075,"",17075,""
26,"NevaliusUnique","","Nevalius","Névalius","Nevalius","ネヴァリウス","네발리우스","Nevalius","Невалий","Nevalius","เนวาเลียส","涅瓦里烏斯",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationNavalius",17077,"",17077,""
27,"GrattusUnique","","Grattus","Grattus","Grattus","グラッタス","그라투스","Grattus","Граттус","Grattus","แกรททัส","格拉圖斯",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGrattus",17079,"",17079,""
28,"Talisman","","Talisman","Talisman","Talisman","タリスマン","부적","Talisman","Талисман","Talismán","สร้อยเครื่องราง","魔符聯盟（標準）",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet",17040,10295,17092,""
