"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32_44","AchievementItemsKey","i32_64"
52,3,11,[8298],[330],1832,4,"",0
53,3,12,[8298],[360],1943,4,"",0
54,3,13,[8298],[390],2222,4,"",0
55,3,14,[8298],[420],2276,4,"",0
56,3,15,[8298],[450],2245,4,"",0
57,3,16,[8298],[480],2388,4,"",0
58,3,17,[8298],[510],2446,4,"",0
59,3,18,[8298],[540],2566,4,"",0
60,3,19,[8298],[570],2593,4,"",0
61,3,20,[8298],[600],2824,4,"",0
62,3,21,[8298],[630],2964,4,"",0
63,3,22,[8298],[660],2994,4,"",0
64,3,23,[8298],[690],3262,4,"",0
65,3,24,[8298],[720],3423,4,"",0
66,3,25,[8298],[750],3458,4,"",0
67,3,26,[8298],[780],3767,4,"",0
68,3,27,[8298],[810],3953,4,"",0
69,3,28,[8298],[840],3993,4,"",0
70,3,29,[8298],[870],4350,4,"",0
71,3,30,[8298],[900],4565,4,"",0
72,3,31,[8298],[930],4611,4,"",0
73,3,32,[8298],[960],5024,4,"",0
74,3,33,[8298],[990],5271,4,"",0
75,3,34,[8298],[1020],5325,4,"",0
76,3,35,[8298],[1050],5802,4,"",0
77,3,36,[8298],[1080],6088,4,"",0
78,3,37,[8298],[1110],6150,4,"",0
79,3,38,[8298],[1140],6700,4,"",0
80,3,39,[8298],[1170],7030,4,"",0
81,3,40,[8298],[1200],7102,4,"",0
82,3,41,[8298],[1230],7737,4,"",0
83,3,42,[8298],[1260],8119,4,"",0
84,3,43,[8298],[1290],8202,4,"",0
85,3,44,[8298],[1320],8936,4,"",0
86,3,45,[8298],[1350],9376,4,"",0
87,3,46,[8298],[1380],9472,4,"",0
88,3,47,[8298],[1410],10319,4,"",0
89,3,48,[8298],[1440],10828,4,"",0
90,3,49,[8298],[1470],10939,4,"",0
91,3,50,[8298],[1500],11917,4,"",0
92,3,51,[8298],[1530],12505,4,"",0
93,3,52,[8298],[1560],12633,4,"",0
94,3,53,[8298],[1590],13763,4,"",0
95,3,54,[8298],[1620],14441,4,"",0
96,3,55,[8298],[1650],14589,4,"",0
97,3,56,[8298],[1680],15894,4,"",0
98,3,57,[8298],[1710],16677,4,"",0
99,3,58,[8298],[1740],16848,4,"",0
100,3,59,[8298],[1770],18355,4,"",0
101,3,60,[8298],[1800],19260,4,"",0
102,3,61,[8298],[1830],19457,4,"",0
103,3,62,[8298],[1860],21197,4,"",0
104,3,63,[8298],[1890],22242,4,"",0
105,3,64,[8298],[1920],22470,4,"",0
106,3,65,[8298],[1950],24479,4,"",0
107,3,66,[8298],[1980],25686,4,"",0
108,3,67,[8298],[2010],25949,4,"",0
109,3,68,[8298],[2040],28270,4,"",0
110,3,69,[8298],[2070],29664,4,"",0
111,3,70,[8298],[2100],29967,4,"",0
112,3,71,[8298],[2130],32647,4,"",0
113,3,72,[8298],[2160],34257,4,"",0
114,3,73,[8298],[2190],34607,4,"",0
115,3,74,[8298],[2220],37702,4,"",0
116,3,75,[8298],[2250],39562,4,"",0
117,3,76,[8298],[2280],39966,4,"",0
118,3,77,[8298],[2310],43540,4,"",0
119,3,78,[8298],[2340],45688,4,"",0
120,3,79,[8298],[2370],46155,4,"",0
121,3,80,[8298],[2400],50282,4,"",0
122,3,81,[8298],[2430],52762,4,"",0
123,3,82,[8298],[2460],53302,4,"",0
124,3,83,[8298],[2490],58069,4,"",0
125,3,84,[8298],[2520],60932,4,"",0
126,3,85,[8298],[2550],61555,4,"",0
127,3,86,[8298],[2580],67060,4,"",0
128,3,87,[8298],[2610],70367,4,"",0
129,3,88,[8298],[2640],71087,4,"",0
130,3,89,[8298],[2670],77444,4,"",0
131,3,90,[8298],[2700],81264,4,"",0
132,3,91,[8298],[2730],82095,4,"",0
133,3,92,[8298],[2760],89436,4,"",0
134,3,93,[8298],[2790],93847,4,"",0
135,3,94,[8298],[2820],94807,4,"",0
136,3,95,[8298],[2850],103285,4,"",0
137,3,96,[8298],[2880],108379,4,"",0
138,3,97,[8298],[2910],109487,4,"",0
139,3,98,[8298],[2940],119279,4,"",0
140,3,99,[8298],[2970],125161,4,"",0
141,3,100,[8298],[3000],126441,4,"",0
142,3,101,[8298],[3030],137749,4,"",0
143,3,102,[8298],[3060],144542,4,"",0
144,3,103,[8298],[3090],146020,4,"",0
145,3,104,[8298],[3120],159078,4,"",0
146,3,105,[8298],[3150],166924,4,"",0
147,4,0,[8299],[0],0,0,"",0
148,4,1,[8299],[30],121,0,"",6
149,4,2,[8299],[60],233,0,"",13
150,4,3,[8299],[90],396,0,"",20
151,4,4,[8299],[120],598,0,"",25
152,4,5,[8299],[150],850,0,"",29
153,4,6,[8299],[180],1111,0,"",35
154,4,7,[8299],[210],1273,0,"",0
155,4,8,[8299],[240],1385,0,"",0
156,4,9,[8299],[270],1576,0,"",0
157,4,10,[8299],[300],1714,0,"",0
158,4,11,[8299],[330],1811,0,"",0
159,4,12,[8299],[360],2072,0,"",0
160,4,13,[8299],[390],2235,0,"",0
161,4,14,[8299],[420],2205,0,"",0
162,4,15,[8299],[450],2345,0,"",0
163,4,16,[8299],[480],2402,0,"",0
164,4,17,[8299],[510],2369,0,"",0
165,4,18,[8299],[540],2581,0,"",0
166,4,19,[8299],[570],2709,0,"",0
167,4,20,[8299],[600],2736,0,"",0
168,4,21,[8299],[630],2981,0,"",0
169,4,22,[8299],[660],3128,0,"",0
170,4,23,[8299],[690],3160,0,"",0
171,4,24,[8299],[720],3443,0,"",0
172,4,25,[8299],[750],3612,0,"",0
173,4,26,[8299],[780],3649,0,"",0
174,4,27,[8299],[810],3976,0,"",0
175,4,28,[8299],[840],4172,0,"",0
176,4,29,[8299],[870],4215,0,"",0
177,4,30,[8299],[900],4591,0,"",0
178,4,31,[8299],[930],4818,0,"",0
179,4,32,[8299],[960],4867,0,"",0
180,4,33,[8299],[990],5302,0,"",0
181,4,34,[8299],[1020],5564,0,"",0
182,4,35,[8299],[1050],5621,0,"",0
183,4,36,[8299],[1080],6123,0,"",0
184,4,37,[8299],[1110],6425,0,"",0
185,4,38,[8299],[1140],6491,0,"",0
186,4,39,[8299],[1170],7072,0,"",0
187,4,40,[8299],[1200],7420,0,"",0
188,4,41,[8299],[1230],7496,0,"",0
189,4,42,[8299],[1260],8167,0,"",0
190,4,43,[8299],[1290],8569,0,"",0
191,4,44,[8299],[1320],8657,0,"",0
192,4,45,[8299],[1350],9431,0,"",0
193,4,46,[8299],[1380],9896,0,"",0
194,4,47,[8299],[1410],9998,0,"",0
195,4,48,[8299],[1440],10892,0,"",0
196,4,49,[8299],[1470],11429,0,"",0
197,4,50,[8299],[1500],11546,0,"",0
198,4,51,[8299],[1530],12578,0,"",0
199,4,52,[8299],[1560],13199,0,"",0
200,4,53,[8299],[1590],13334,0,"",0
201,4,54,[8299],[1620],14526,0,"",0
202,4,55,[8299],[1650],15242,0,"",0
203,4,56,[8299],[1680],15398,0,"",0
204,4,57,[8299],[1710],16775,0,"",0
205,4,58,[8299],[1740],17603,0,"",0
206,4,59,[8299],[1770],17783,0,"",0
207,4,60,[8299],[1800],19373,0,"",0
208,4,61,[8299],[1830],20328,0,"",0
209,4,62,[8299],[1860],20536,0,"",0
210,4,63,[8299],[1890],22373,0,"",0
211,4,64,[8299],[1920],23476,0,"",0
212,4,65,[8299],[1950],23716,0,"",0
213,4,66,[8299],[1980],25837,0,"",0
214,4,67,[8299],[2010],27111,0,"",0
215,4,68,[8299],[2040],27388,0,"",0
216,4,69,[8299],[2070],29838,0,"",0
217,4,70,[8299],[2100],31309,0,"",0
218,4,71,[8299],[2130],31629,0,"",0
219,4,72,[8299],[2160],34458,0,"",0
220,4,73,[8299],[2190],36157,0,"",0
221,4,74,[8299],[2220],36527,0,"",0
222,4,75,[8299],[2250],39794,0,"",0
223,4,76,[8299],[2280],41756,0,"",0
224,4,77,[8299],[2310],42183,0,"",0
225,4,78,[8299],[2340],45956,0,"",0
226,4,79,[8299],[2370],48222,0,"",0
227,4,80,[8299],[2400],48715,0,"",0
228,4,81,[8299],[2430],53072,0,"",0
229,4,82,[8299],[2460],55689,0,"",0
230,4,83,[8299],[2490],56258,0,"",0
231,4,84,[8299],[2520],61290,0,"",0
232,4,85,[8299],[2550],64312,0,"",0
233,4,86,[8299],[2580],64970,0,"",0
234,4,87,[8299],[2610],70780,0,"",0
235,4,88,[8299],[2640],74271,0,"",0
236,4,89,[8299],[2670],75030,0,"",0
237,4,90,[8299],[2700],81740,0,"",0
238,4,91,[8299],[2730],85771,0,"",0
239,4,92,[8299],[2760],86648,0,"",0
240,4,93,[8299],[2790],94398,0,"",0
241,4,94,[8299],[2820],99053,0,"",0
242,4,95,[8299],[2850],100066,0,"",0
243,4,96,[8299],[2880],109015,0,"",0
244,4,97,[8299],[2910],114391,0,"",0
245,4,98,[8299],[2940],115561,0,"",0
246,4,99,[8299],[2970],125895,0,"",0
247,4,100,[8299],[3000],132104,0,"",0
248,4,101,[8299],[3030],133455,0,"",0
249,4,102,[8299],[3060],145390,0,"",0
250,4,103,[8299],[3090],152560,0,"",0
251,4,104,[8299],[3120],154120,0,"",0
252,4,105,[8299],[3150],167903,0,"",0
253,7,0,[8301],[0],0,0,"",0
254,7,1,[8301],[15],96,0,"",0
255,7,2,[8301],[40],203,0,"",0
256,7,3,[8301],[75],366,0,"",0
257,7,4,[8301],[100],520,0,"",0
258,7,5,[8301],[125],763,0,"",0
259,7,6,[8301],[150],1136,0,"",0
260,7,7,[8301],[175],1349,0,"",0
261,7,8,[8301],[200],1661,0,"",0
262,7,9,[8301],[225],2007,0,"",0
263,7,10,[8301],[250],2213,0,"",0
264,8,0,[8302],[0],0,0,"",0
265,8,1,[8302],[30],101,0,"",6
266,8,2,[8302],[60],261,0,"",13
267,8,3,[8302],[90],451,0,"",20
268,8,4,[8302],[120],719,0,"",25
269,8,5,[8302],[150],1021,0,"",29
270,8,6,[8302],[180],1379,0,"",35
271,8,7,[8302],[210],1658,0,"",0
272,8,8,[8302],[240],1808,0,"",0
273,8,9,[8302],[270],2077,0,"",0
274,8,10,[8302],[300],2259,0,"",0
275,8,11,[8302],[330],2377,0,"",0
276,8,12,[8302],[360],2721,0,"",0
277,8,13,[8302],[390],2970,0,"",0
278,8,14,[8302],[420],2929,0,"",0
279,8,15,[8302],[450],3116,0,"",0
280,8,16,[8302],[480],3191,0,"",0
281,8,17,[8302],[510],3148,0,"",0
282,8,18,[8302],[540],3429,0,"",0
283,8,19,[8302],[570],3599,0,"",0
284,8,20,[8302],[600],3635,0,"",0
285,8,21,[8302],[630],3961,0,"",0
286,8,22,[8302],[660],4156,0,"",0
287,8,23,[8302],[690],4198,0,"",0
288,8,24,[8302],[720],4574,0,"",0
289,8,25,[8302],[750],4799,0,"",0
290,8,26,[8302],[780],4848,0,"",0
291,8,27,[8302],[810],5282,0,"",0
292,8,28,[8302],[840],5543,0,"",0
293,8,29,[8302],[870],5599,0,"",0
294,8,30,[8302],[900],6100,0,"",0
295,8,31,[8302],[930],6401,0,"",0
296,8,32,[8302],[960],6466,0,"",0
297,8,33,[8302],[990],7044,0,"",0
298,8,34,[8302],[1020],7392,0,"",0
299,8,35,[8302],[1050],7467,0,"",0
300,8,36,[8302],[1080],8135,0,"",0
301,8,37,[8302],[1110],8537,0,"",0
302,8,38,[8302],[1140],8624,0,"",0
303,8,39,[8302],[1170],9395,0,"",0
304,8,40,[8302],[1200],9858,0,"",0
305,8,41,[8302],[1230],9959,0,"",0
306,8,42,[8302],[1260],10850,0,"",0
307,8,43,[8302],[1290],11385,0,"",0
308,8,44,[8302],[1320],11501,0,"",0
309,8,45,[8302],[1350],12530,0,"",0
310,8,46,[8302],[1380],13148,0,"",0
311,8,47,[8302],[1410],13282,0,"",0
312,8,48,[8302],[1440],14470,0,"",0
313,8,49,[8302],[1470],15184,0,"",0
314,8,50,[8302],[1500],15339,0,"",0
315,8,51,[8302],[1530],16711,0,"",0
316,8,52,[8302],[1560],17535,0,"",0
317,8,53,[8302],[1590],17714,0,"",0
318,8,54,[8302],[1620],19298,0,"",0
319,8,55,[8302],[1650],20250,0,"",0
320,8,56,[8302],[1680],20457,0,"",0
321,8,57,[8302],[1710],22287,0,"",0
322,8,58,[8302],[1740],23386,0,"",0
323,8,59,[8302],[1770],23625,0,"",0
324,8,60,[8302],[1800],25738,0,"",0
325,8,61,[8302],[1830],27007,0,"",0
326,8,62,[8302],[1860],27283,0,"",0
327,8,63,[8302],[1890],29723,0,"",0
328,8,64,[8302],[1920],31189,0,"",0
329,8,65,[8302],[1950],31508,0,"",0
330,8,66,[8302],[1980],34326,0,"",0
331,8,67,[8302],[2010],36018,0,"",0
332,8,68,[8302],[2040],36387,0,"",0
333,8,69,[8302],[2070],39641,0,"",0
334,8,70,[8302],[2100],41596,0,"",0
335,8,71,[8302],[2130],42021,0,"",0
336,8,72,[8302],[2160],45779,0,"",0
337,8,73,[8302],[2190],48037,0,"",0
338,8,74,[8302],[2220],48528,0,"",0
339,8,75,[8302],[2250],52868,0,"",0
340,8,76,[8302],[2280],55475,0,"",0
341,8,77,[8302],[2310],56042,0,"",0
342,8,78,[8302],[2340],61054,0,"",0
343,8,79,[8302],[2370],64065,0,"",0
344,8,80,[8302],[2400],64720,0,"",0
345,8,81,[8302],[2430],70508,0,"",0
346,8,82,[8302],[2460],73985,0,"",0
347,8,83,[8302],[2490],74742,0,"",0
348,8,84,[8302],[2520],81426,0,"",0
349,8,85,[8302],[2550],85442,0,"",0
350,8,86,[8302],[2580],86315,0,"",0
351,8,87,[8302],[2610],94035,0,"",0
352,8,88,[8302],[2640],98672,0,"",0
353,8,89,[8302],[2670],99681,0,"",0
354,8,90,[8302],[2700],108595,0,"",0
355,8,91,[8302],[2730],113951,0,"",0
356,8,92,[8302],[2760],115116,0,"",0
357,8,93,[8302],[2790],125411,0,"",0
358,8,94,[8302],[2820],131596,0,"",0
359,8,95,[8302],[2850],132942,0,"",0
360,8,96,[8302],[2880],144831,0,"",0
361,8,97,[8302],[2910],151973,0,"",0
362,8,98,[8302],[2940],153527,0,"",0
363,8,99,[8302],[2970],167257,0,"",0
364,8,100,[8302],[3000],175506,0,"",0
365,8,101,[8302],[3030],177300,0,"",0
366,8,102,[8302],[3060],193156,0,"",0
367,8,103,[8302],[3090],202682,0,"",0
368,8,104,[8302],[3120],204755,0,"",0
369,8,105,[8302],[3150],223066,0,"",0
370,5,0,[8300],"[0,0]",0,0,"",0
371,5,1,[8300],"[25,1]",110,0,"",0
372,5,2,[8300],"[50,1]",419,0,"",0
373,5,3,[8300],"[75,2]",872,0,"",0
374,5,4,[8300],"[100,2]",1437,0,"",0
375,5,5,[8300],"[125,3]",1899,0,"",0
376,9,0,[8340],[14000],0,0,"",0
377,9,1,[8340],[15000],77,0,"",0
378,9,2,[8340],[16000],166,0,"",0
379,9,3,[8340],[17000],309,0,"",0
380,9,4,[8340],[18000],467,0,"",0
381,9,5,[8340],[19000],635,0,"",0
382,9,6,[8340],[20000],1046,0,"",0
383,9,7,[8340],[21000],1246,0,"",0
384,9,8,[8340],[22000],1423,0,"",0
385,9,9,[8340],[23000],1859,0,"",0
386,9,10,[8340],[24000],1973,0,"",0
