"rownum","Id","SupportCount","PossibleSupports","SecondaryGrantedEffect","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32_80","i32_84","SkillFamily","HASH16","HouseIcon"
85,12010,2,"[213,214,215,206,207,208,209,210,211,212,154,155,156,151,152,153,201]","","Spectral Helix of Trarthus","Spirale spectrale de Trarthus","Spektralhelix von Trarthus","トラーサスのスペクトラルヘリックス","트라투스의 영체 나선","Espiral Espectral de Trarthus","Призрачная спираль Тератны","Hélice espectral de Trarthus","เกลียวอาวุธเงาแห่งทาร์ทัส","特拉特斯靈體旋武","Throws a trap which, once triggered, fires a spectral weapon. It spins around while flying in a large spiral, damaging enemies in its path, and bouncing if it collides with walls.","Jette un piège qui, une fois déclenché, projette une arme spectral. L'arme tournoie en décrivant une spirale, frappant tous les ennemis sur son passage et rebondissant contre les murs avec lesquels elle entre en collision.","Wirft eine Falle, die beim Auslösen eine spektrale Waffe abfeuert. Diese dreht sich im Flug in einer großen Spirale, verursacht an Gegnern in seiner Flugbahn Schaden und prallt ab, wenn sie mit Wänden kollidiert.","作動すると複数の霊体の武器を放つトラップを投げる。トラップを1個投げる。霊体は巨大な螺旋状に回転しながら飛び、通り道の敵にダメージを与え、壁に衝突すると跳ね返る。","덫을 투척합니다. 이 덫은 발동하면 영체 무기를 발사합니다. 무기는 큰 나선을 그리면서 날면서 빙글빙글 돌아 경로에 있는 적들에게 피해를 주고, 벽에 충돌하면 튕겨 나옵니다.","Lança uma armadilha que, ao ser acionada, dispara uma arma espectral, que gira em uma grande espiral enquanto avança, causando dano aos inimigos atingidos e ricocheteando em paredes.","Бросает ловушку, которая при срабатывании выпускает призрачное оружие. Вращаясь, оно летит по широкой спирали, нанося урон оказавшимся на пути врагам и отскакивая от стен.","Lanza una trampa, la cual, una vez activada, dispara un arma espectral. Gira mientras vuela en una espiral grande para dañar a los enemigos que se encuentran en su camino, y rebota si choca con las paredes.","Spectral Helix of Trarthus\r\nโยนกับดักที่จะยิงอาวุธเงาออกมาเมื่อถูกทริกเกอร์ มันจะหมุนไปรอบๆ เป็นเกลียวขนาดใหญ่ สร้างความเสียหายต่อศัตรูระหว่างทาง และจะกระดอนออกเมื่อมันกระทบกับกำแพง","投擲一個觸發後會發射一個靈體武器的陷阱。它以大螺旋型式飛行時會旋轉，對其路徑上的敵人造成傷害，並在與牆壁碰撞時彈射。",12,100,"",28988,""
86,2096,0,"[213,214,215,206,207,208,65,66,67,159,217,218,219,49,50,51]","","Bear Trap","Piège à ours","Bärenfalle","ベアトラップ","곰 덫","Armadilha de Urso","Медвежий капкан","Trampa de osos","กับดักหมี","捕熊陷阱","Throws a trap that damages and immobilises an enemy for a duration based on how much damage was dealt. After the immobilise expires, a debuff remains on the enemy for a duration, lowering their movement speed by an amount which lessens over time. The affected enemy will take increased damage from traps and mines until the debuff expires.","Un piège qui endommage et immobilise un ennemi pour une durée proportionnelle aux dégâts infligés. À la fin de l'immobilisation, l'ennemi reçoit un effet néfaste temporaire qui réduit sa vitesse de déplacement et qui s'estompe au fil du temps. Cet effet néfaste augmente également les dégâts que l'ennemi subit de la part des pièges et des mines.","Wirft eine Falle, die einem Gegner Schaden zufügt und ihn für eine Dauer bewegungsunfähig macht, die von der Höhe des verursachten Schadens abhängt. Nach Ablauf dieser Dauer verbleibt eine Schwächung auf dem Gegner, die ihn verlangsamt und mit der Zeit abnimmt. Der betroffene Gegner erleidet erhöhten Schaden durch Fallen und Minen, bis die Schwächung abklingt.","単体の敵にダメージを与え、そのダメージ量に応じて、持続時間中敵の移動を封じるトラップを投げる。移動の阻止が終わったあともデバフは残り続け、敵の移動スピードを下げる。この効果は時間の経過とともに軽減する。デバフがなくなるまで敵はトラップとマインから受けるダメージが増加する。","일정 시간 동안 적을 제자리에 고정시키고 피해를 주는 덫을 던집니다. 지속시간은 받은 피해량에 비례합니다. 덫에서 벗어난 적은 일정 시간 동안 이동 속도가 감소하지만, 시간이 지나면서 서서히 회복됩니다. 이 상태가 지속되는 동안 적은 덫과 지뢰로부터 받는 피해가 증가합니다.","Lança uma armadilha que causa dano e imobiliza um inimigo por um período com base no dano causado. Ao término da\r\nimobilização, o inimigo sofre uma penalidade que reduz sua velocidade de movimento gradualmente e aumenta o dano\r\nrecebido de armadilhas e minas até que o efeito expire.","Бросает ловушку, которая наносит урон и обездвиживает врага на некоторое время в зависимости от количества нанесённого урона. После окончания действия обездвиживания, на враге некоторое время будет оставаться отрицательный эффект, снижающий скорость его передвижения (значение этого эффекта уменьшается с течением времени). До завершения действия отрицательного эффекта враг будет получать увеличенный урон от мин и ловушек.","Lanza una trampa que daña e inmoviliza a un enemigo durante un tiempo que se calcula en función de la cantidad de daño infligido. Cuando finaliza la inmovilización, durante un tiempo permanece en el enemigo un efecto nocivo que reduce su velocidad de movimiento en una cantidad que decrece con el paso del tiempo. El enemigo afectado recibirá daño aumentado de las trampas y las minas hasta que expire el efecto nocivo.","Bear Trap\r\nโยนกับดักที่สร้างความเสียหายและดักศัตรูตัวหนึ่งเอาไว้เป็นระยะเวลาตามความเสียหายที่เกิดขึ้น เมื่อกับดักหมดฤทธิ์ ศัตรูจะติดดีบัฟระยะเวลาหนึ่งที่เพิ่มความเสียหายที่ได้รับจากกับดักและทุ่นระเบิด และลดความเร็วในการเคลื่อนที่ แต่จะค่อยๆ กลับมาเร็วเหมือนเดิมจนหมดเวลา","投擲一個陷阱，對敵人造成傷害並使其禁錮，禁錮持續時間依造成的傷害量決定。禁錮結束後，敵人會受到減益效果影響並持續一段時間，效果期間會降低其移動速度但隨時間遞減。受影響的敵人從陷阱和地雷受到的傷害增加，持續至該減益效果結束。",4,100,"",13711,""
87,11997,2,"[232,233,233,206,207,208,212,213,214,215,157,158,148,149,150,174,175,176,209,210,211,201,123,124,125]","","Blade Trap","Piège de lames","Klingenfalle","ブレードトラップ","칼날 덫","Armadilha de Lâminas","Ловушка лезвий","Trampa de filos","กับดักใบมีด","刀鋒陷阱","Throws a trap which, once triggered, swings two copies the equipped weapon around it in circles, each repeatedly damaging enemies it spins through.","Jette un piège qui, lorsqu'il est déclenché, crée deux répliques tournoyantes de l'arme équipée. Ces répliques décrivent un mouvement circulaire et infligent des dégâts aux ennemis qu'elles traversent.","Wirft eine Falle, die bei Auslösung zwei Kopien der ausgerüsteten Waffe in Kreisen um sie herum schwingt und wiederholt an Gegnern Schaden verursacht, die von ihnen berührt werden.","作動すると装備中の武器のコピーを2個を振り円形に回転させ、周囲の敵に繰り返しダメージを与えるトラップを投げる。","덫을 투척합니다. 이 덫은 발동하면 장착한 무기의 복제본 두 개를 주위에 원형으로 휘두릅니다. 각 복제본은 칼날이 스치는 적들에게 반복적인 피해를 줍니다.","Lança uma armadilha que, ao ser acionada, faz girar duas cópias da sua arma equipada em volta dela, causando dano repetidamente aos inimigos atingidos.","Бросает ловушку, которая при срабатывании проворачивает две копии используемого героем оружия по кругу, многократно нанося урон врагам, сквозь которых они проходят.","Lanza una trampa que, al activarse, arroja dos copias del arma equipada a su alrededor en círculos para que cada una de ellas dañe repetidamente a los enemigos sobre los que da vueltas.","Blade Trap\r\nโยนกับดักที่จะหมุนร่างจำลองของ อาวุธที่สวมใส่ สองชิ้นเป็นวงกลมรอบตัวมันเมื่อถูกทริกเกอร์ แต่ละอันสร้างความเสียหายต่อศัตรูที่หมุนผ่านซ้ำๆ","投擲一個陷阱，在觸發後對其周圍圓形區域內揮舞兩把裝備中武器的複製品，每把武器在旋轉過程中接觸敵人會重複造成傷害。",12,100,"",11054,""
88,2454,2,"[206,207,208,213,214,215,42,71,72,73,209,210,211,232,233,234,202,86,87,88]","","Ball Lightning of Orbiting Trap","Piège de Boule de foudre de la Gravitation","Kugelblitz-des-Umkreisens-Falle","軌道のトラップのボールライトニング","공전하는 덫의 구형 번개","Esfera de Raios da Armadilha Orbitante","Ловушка Шаровой молнии орбиты","Trampa de bola de rayos en órbita","กับดักบอลสายฟ้าแห่งการโคจร","天雷之珠．軌跡陷阱","Throws a trap which, once triggered, fires a single projectile which moves in a spiral while damaging each enemy in an area around it repeatedly with bolts of lightning.","Jette un piège qui, une fois déclenché, envoie un projectile se déplaçant en spirale et projetant des éclairs endommageants sur chaque ennemi dans une zone autour de lui.","Wirft eine Falle, die bei Auslösung ein einzelnes Projektil entfesselt, das sich in Form einer Spirale bewegt und das bei Gegnern in einem Bereich um sich herum durch Blitzschläge wiederholt Schaden verursacht.","作動すると螺旋状に移動する投射物を1個発射し、稲妻で範囲内の敵に繰り返しダメージを与えるトラップを投げる。","덫을 투척합니다. 이 덫을 발동하면 소용돌이 모양으로 움직이며 번개로 주변 범위 내의 모든 적에게 반복적인 피해를 주는 투사체를 1개 발사합니다.","Lança uma armadilha que, ao ser acionada, dispara um único projétil que se move em espiral, causando dano repetidamente aos inimigos ao redor com raios elétricos.","Бросает ловушку, выпускающую снаряд, который движется по спирали и постоянно бьёт молниями врагов в области действия.","Lanza una trampa que, una vez activada, dispara un único proyectil que se mueve en forma de espiral para dañar repetidamente a cada enemigo en un área a su alrededor con descargas de rayo.","Ball Lightning of Orbiting Trap\r\nโยนกับดักที่จะยิงโพรเจกไทล์ที่เคลื่อนที่เป็นเกลียวเมื่อถูกทริกเกอร์ ซึ่งสร้างความเสียหายซ้ำๆ ต่อศัตรูแต่ละตัวในพื้นที่รอบๆ ด้วยสายฟ้า","投擲一個陷阱，在觸發後發射一個沿螺旋路徑移動的投射物，以雷電對周圍敵人造成傷害。",28,100,"",37561,""
89,1246,2,"[206,207,208,213,214,215,42,71,72,73,209,210,211,232,233,234,202,201,86,87,88]","","Lightning Warp Trap","Piège de Téléportation foudroyante","Blitzteleportation-Falle","ライトニングワープトラップ","번개 차원 이동 덫","Armadilha de Teletransporte Relampejante","Ловушка Грозового перехода","Trampa de Teletransporte de rayo","กับดักวาร์ปสายฟ้า","閃電傳送陷阱","Throws a trap which, once triggered, teleports to a targeted destination. When the teleport occurs, lightning damage is dealt to the area around both where the trap was and where it teleported to. ","Jette un piège qui, une fois déclenché, se téléporte vers une destination ciblée. Lorsque la téléportation a lieu, des dégâts de foudre sont infligés dans une zone autour de son emplacement initial et de son point de téléportation.","Wirft eine Falle, die bei Auslösung zum Zielort teleportiert. Bei der Teleportation wird sowohl um den ursprünglichen als auch um den teleportierten Ort der Falle herum Blitzschaden verursacht. ","作動すると対象地点までテレポートするトラップを投げる。テレポートが起きる際、トラップの設置点と到達点の両方のエリアの周囲に、雷ダメージを与える。","덫을 투척합니다. 이 덫은 발동하면 대상 지점으로 순간이동합니다. 순간이동 시 덫의 출발 지점과 도착 지점 주위의 일정 범위에 번개 피해를 줍니다.","Lança uma armadilha que, ao ser acionada, teletransporta-se para um local escolhido. Ao se teletransportar, causa dano de raio nas áreas de origem e de destino.","Бросает ловушку, которая при срабатывании переносится в указанное место. При переходе по области вокруг точек отправления и назначения бьёт молния.","Lanza una trampa que, una vez activada, teletransporta a una ubicación objetivo. Cuando se produce el teletransporte, inflige daño de rayo alrededor de las áreas de inicio y de destino.","Lightning Warp Trap\r\nโยนกับดักที่จะเทเลพอร์ตไปยังจุดหมายที่เลือกเมื่อถูกทริกเกอร์  เมื่อเกิดการเทเลพอร์ตจะสร้างความเสียหาย สายฟ้า ต่อศัตรูในพื้นที่รอบๆ ตำแหน่งต้นทางและปลายทาง","投擲一個觸發後會傳送至指定位置的陷阱。當傳送發生時，陷阱會對原本位置和傳送後的區域周圍造成閃電傷害。",28,100,"",5247,""
90,9452,2,"[206,207,208,213,214,215,42,71,72,73,209,210,211,232,233,234,65,66,67,159,251,86,87,88]","","Lightning Spire Trap","Piège de pic de foudre","Blitzleiterfalle","ライトニングスパイアトラップ","번개 첨탑 덫","Armadilha de Torre de Raios","Ловушка шпиля молний","Trampa de pararrayos","กับดักขดลวดสายฟ้า","鋒雷陷阱","Throws a trap which, once triggered, will repeatedly strike multiple areas around it for a duration, dealing lightning damage.","Jette un piège qui, lorsqu'il est déclenché, foudroie à de multiples reprises des zones situées autour de lui pendant une certaine durée, infligeant des dégâts de foudre.","Wirft eine Falle, die bei Auslösung in mehreren Bereichen um sie herum für eine Dauer wiederholt einschlägt und dabei Blitzschaden verursacht.","作動すると持続時間中周囲のエリアを複数回繰り返し雷ダメージで攻撃するトラップを投げる。","발동 시 일정 시간 동안 주변의 여러 범위에 반복해서 번개 피해를 주는 덫을 투척합니다.","Lança uma armadilha que, ao ser acionada, atinge repetidamente várias áreas ao redor por um período, causando dano de raio.","Бросает ловушку, которая при срабатывании в течение некоторого времени несколько раз поражает области вокруг себя, нанося урон от молнии.","Lanza una trampa que, una vez activada, golpea repetidamente varias áreas a su alrededor durante un tiempo e inflige daño de rayo.","Lightning Spire Trap\r\nโยนกับดักที่จะทำให้เกิดฟ้าผ่าในพื้นที่รอบๆ กับดักเป็นระยะเวลาหนึ่งเมื่อถูกทริกเกอร์ สร้างความเสียหาย สายฟ้า","投擲一個陷阱，觸發後在一段時間內對周圍多個區域重複打擊，造成閃電傷害。",28,100,1,8075,""
91,2752,2,"[206,207,208,213,214,215,0,1,6,7,171,172,173,42,71,72,73,209,210,211,212,201,202,246,86,87,88]","","Lightning Trap","Piège de foudre","Blitzfalle","ライトニングトラップ","번개 덫","Armadilha de Raios","Ловушка молний","Trampa de rayo","กับดักสายฟ้า","閃電陷阱","Throws a trap that launches a ring of projectiles through the enemy that set it off, dealing lightning damage to them and subsequent targets.","Un piège qui envoie des projectiles à travers l'ennemi qui l'a déclenché dans toutes les directions, infligeant des dégâts de foudre à toutes les cibles touchées.","Wirft eine Falle, die einen Ring aus Projektilen durch den Gegner schießt, der sie ausgelöst hat, und ihm sowie nachfolgenden Zielen Blitzschaden zufügt.","投射物を放射状に発射するトラップを投げる。投射物はトラップを作動させた敵を通過し、その敵とさらに投射物が命中した敵に雷ダメージを与える。","적들 사이에 고리 형태의 투사체를 투척하여, 발동 시 대상과 그 다음 대상들에게 번개 피해를 줍니다.","Lança uma armadilha que dispara um círculo de projéteis através do inimigo que a ativou, causando dano de raio a ele e a outros alvos.","Бросает ловушку, которая срабатывает при приближении врагов и выпускает снаряды во все стороны. Снаряды наносят урон от молний.","Lanza una trampa que dispara un anillo de proyectiles a través del enemigo que la ha activado y le inflige daño de rayo a él y a los subsiguientes objetivos.","Lightning Trap\r\nโยนกับดักที่จะยิงโพรเจกไทล์ออกรอบทิศทางเมื่อถูกทริกเกอร์ สร้างความเสียหาย สายฟ้า ต่อศัตรูที่โดนและเป้าหมายอื่นๆ","投擲一個陷阱，當敵人經過而觸發時會發射環狀發散的投射物，對該敵人及後續目標造成閃電傷害。",12,100,"",17037,""
92,2731,2,"[71,72,73,232,233,234,37,38,39,93,94,136,137,138,148,149,150]","","Unnerving Blast","Explosion perturbante","Entmutigende Explosion","アンナービングブラスト","낙담의 폭발","Explosão Enervante","Обескураживающий взрыв","Explosión enervadora","ระเบิดเขย่าขวัญ","膽怯爆裂","Creates a delayed explosion at a targeted area which unnerves enemies on hit. The explosion does physical damage partially converted to lightning.","Crée une explosion retardée à un emplacement ciblé. L’explosion perturbe les ennemis touchés et inflige des dégâts physiques partiellement convertis en dégâts de foudre.","Erzeugt eine verzögerte Explosion an einem Zielort, die Gegner bei Treffer entmutigt. Die Explosion verursacht physischen Schaden, der teilweise in Blitzschaden umgewandelt wird.","指定範囲に遅延した爆発を発生させ、命中した敵を狼狽させる。爆発は一部が雷ダメージに変換された物理ダメージを与える。","목표 지역에 지연 시간이 있는 폭발을 일으켜, 명중 시 적에게 낙담을 유발합니다. 폭발은 물리 피해를 부분적으로 번개로 전환합니다.","Cria uma explosão retardada na área selecionada, que amedronta os inimigos atingidos. A explosão causa dano físico parcialmente convertido em raio.","С некоторой задержкой вызывает взрыв в указанной области, который обескураживает врагов. Взрыв наносит физический урон, частично преобразованный в урон от молнии.","Crea una explosión retardada en un área objetivo que enerva a los enemigos al impactarlos. La explosión inflige daño físico parcialmente convertido en daño de rayo.","Unnerving Blast\r\nสร้างระเบิดล่าช้าที่พื้นที่เป้าหมายเพื่อสร้างสถานะ เขย่าขวัญ ต่อศัตรูเมื่อปะทะ ความเสียหาย กายภาพ ส่วนหนึ่งที่ระเบิดนี้สร้างถูกแปลงเป็น สายฟ้า","在目標區域製造一次延遲爆炸，使擊中的敵人陷入膽怯。爆炸會造成物理傷害，並將部分轉換為閃電傷害。",16,100,1,19034,"Art/2DArt/SkillIcons/HouseAzadiSkill.dds"
93,9476,0,"[120,121,122,232,233,234,65,66,67,136,137,138]","","Charged Dash of the Arcane","Charge fulgurante des Arcanes","Geladener Sprint des Arkanen","秘術のチャージドダッシュ","비전의 충전 질주","Impulso Energizado do Arcano","Заряженный рывок колдовства","Embestida cargada de lo arcano","ชาร์จพลังพุ่งตัวแห่งอาคม","雷霆衝鋒．秘術","Projects an illusion which gains stages while it moves, until it stops at a maximum total distance. Waves of area damage frequently pulse along its path. Increases and reductions to spell damage apply to the damage this attack deals.","Projette une illusion qui gagne des paliers en se déplaçant, jusqu'à ce qu'elle atteigne la distance maximale possible. Des pulsations infligeant des dégâts de zone sont libérées le long du trajet. Les augmentations et réductions de dégâts des sorts s'appliquent aux dégâts infligés par cette attaque.","Projiziert eine Illusion, die Phasen erhält, während sie sich bewegt, bis die Illusion bei einer maximalen Gesamtdistanz zum Stillstand kommt. Entlang des Wegs pulsieren Wellen von Flächenschaden. Erhöhungen und Verringerungen des Zauberschadens gelten für den Schaden, den dieser Angriff verursacht.","移動しながらステージを獲得していく幻影を投影する。幻影は最大移動距離に達すると停止し、その経路に沿って、範囲ダメージの波動が頻繁に発生する。このアタックによるダメージには、スペルダメージの増減が適用される。","환상을 투영합니다. 환상은 최대 거리에 도달해 멈출 때까지, 움직이는 동안 단계를 획득합니다. 경로를 따라 범위 피해의 파도가 수시로 파동을 치게 됩니다. 주문 피해에 적용되는 증가 및 감소 수치가 이 공격이 주는 피해에 적용됩니다.","Projeta uma ilusão que acumula estágios enquanto se move, até parar ao atingir a distância máxima. Ondas de dano em área pulsam com frequência ao longo do trajeto. Aumentos e reduções de dano mágico afetam o dano causado por este ataque.","Создаёт иллюзию, которая получает заряды, пока движется, до достижения ею максимального расстояния. На пути её движения регулярно наносится урон волнами. На урон этой атаки влияют увеличения и уменьшения урона от чар.","Proyecta una ilusión que gana fases a medida que se mueve, hasta que se detiene a una distancia total máxima. Pulsa frecuentemente con olas de daño en área a lo largo de su camino. Los aumentos y reducciones al daño de hechizos se aplican al daño que inflige este ataque.","Charged Dash of the Arcane\r\nสำแดงภาพลวงตาที่ได้รับสเตจเพิ่มขึ้นขณะที่ภาพลวงตาเคลื่อนไหวจนกระทั่งมันไปสุดระยะทาง มันจะสร้างความเสียหาย พื้นที่ ออกมาเป็นระลอกอย่างต่อเนื่องไปตามเส้นทางของมัน การเพิ่มและลดความเสียหาย เวท ส่งผลต่อความเสียหายที่สร้างด้วยการโจมตีนี้","投射出一道幻影，移動時獲得疊層，並在到達最大總距離時停下。範圍傷害的波動頻繁地沿著其路徑迸發。對法術傷害的增減會套用在此攻擊造成的傷害。",28,100,1,5673,""
94,12114,1,"[232,233,234,148,149,150,136,137,138,49,50,51,65,66,67,159]","","Tornado of Elemental Turbulence","Tornade de la Turbulence élémentaire","Tornado der elementaren Turbulenzen","元素の乱流のトルネード","격동하는 원소의 회오리","Tornado de Turbulência Elemental","Торнадо стихийной хаотичности","Tornado de turbulencia elemental","พายุสลาตันแห่งธาตุระส่ำระสาย","龍捲風．元素紛亂","Creates a Tornado of a random element that hinders and repeatedly damages enemies around it, converting physical damage to its element. The Tornado will chase down enemies for a duration.","Crée une tornade d'un élément aléatoire qui entrave et inflige continuellement des dégâts aux ennemis à proximité d'elle. Elle convertit les dégâts physiques en dégâts de l'élément choisi. La Tornade poursuit les ennemies pendant un certain temps.","Erzeugt einen Tornado eines zufälligen Elements, der an Gegnern um ihn herum wiederholt Schaden verursacht und diese lähmt. Der physische Schaden wird in das Element umgewandelt. Der Tornado verfolgt Gegner für eine Dauer.","周囲の敵を妨害し、物理ダメージをランダムな元素に変換して繰り返しダメージを与える竜巻を生成する。トルネードは副次的持続時間に敵を追いかける。","주변의 적의 이동을 방해하고 반복적인 피해를 주는 무작위 원소의 회오리를 생성합니다. 회오리는 물리 피해를 해당하는 원소 피해로 전환하며, 일정 시간 동안 적을 추적합니다.","Cria um tornado de um elemento aleatório que tolhe e causa dano repetidamente aos inimigos ao redor, convertendo dano físico em seu elemento. O tornado persegue os inimigos por um período.","Создаёт торнадо случайной стихии, сковывающее врагов и многократно наносящее по ним урон. Преобразует физический урон в урон от случайной стихии. Торнадо будет преследовать врагов в течение определённого времени.","Crea un tornado de un elemento aleatorio que entumece y daña repetidamente a los enemigos a su alrededor y convierte el daño físico en su elemento. El tornado perseguirá a los enemigos durante un tiempo.","Tornado of Elemental Turbulence\r\nสร้าง พายุสลาตัน ที่มีธาตุแบบสุ่มที่สร้างสถานะ ขัดขวาง และความเสียหายต่อศัตรูที่อยู่รอบตัวมันอย่างต่อเนื่อง พร้อมแปลงความเสียหาย กายภาพ เป็น ธาตุนั้นๆ โดยพายุสลาตันนี้จะไล่ตามศัตรูเป็นระยะเวลาหนึ่ง","產生一道隨機元素的龍捲風，對其周圍的敵人造成阻礙並重複造成傷害，將物理傷害轉換為其元素。龍捲風在一段時間內會追擊敵人。",34,100,1,23225,""
95,2331,3,[],"","Arctic Armour","Armure arctique","Arktische Rüstung","アークティックアーマー","한기의 방어구","Armadura Ártica","Северная броня","Armadura ártica","เกราะน้ำแข็ง","極地裝甲","Conjures an icy barrier that chills enemies on hit. The barrier creates chilled ground while moving, and causes less Fire and Physical damage while stationary.","Invoque une barrière de glace qui frigorifie les ennemis au toucher. La barrière laisse une traînée de sol frigorifiant lors du déplacement, et octroie une perte de dégâts de feu et physiques subis en étant immobile.","Beschwört eine eisige Barriere, die Gegner bei Treffer unterkühlt. Die Barriere erzeugt unterkühlten Boden während in Bewegung und bewirkt, dass im Stand weniger Feuerschaden und physischer Schaden erlitten werden.","ヒット時にその敵に冷却のデバフを与える氷のバリアを召喚する。移動中は足元に冷却領域を作成し、静止中には受ける火ダメージと物理ダメージを低下させる。","명중 시 해당 적을 냉각시키는 얼음 방어막을 만듭니다. 이 방어막은 이동 상태에서는 지면을 얼어붙게 만들고, 정지 상태에서는 화염 피해와 물리 피해를 감폭시킵니다.","Conjura uma barreira de gelo que esfria os inimigos que a atingem. Enquanto se move, a barreira cria terreno congelado e,\r\nquando está parada, reduz o dano de fogo e físico recebido.","Создаёт ледяную преграду, которая охлаждает атакующих врагов. Преграда оставляет участки замёрзшей земли при передвижении и заставляет получать меньше физического урона и урона от огня при нахождении на одном месте.","Invoca una barrera glacial que escarcha a los enemigos al impactarlos. La barrera crea suelo escarchado al moverse y provoca menos daño físico y de fuego cuando está quieta.","Arctic Armour\r\nเสกบาเรียน้ำแข็งที่สร้างสถานะ หนาวเย็น ต่อศัตรูที่ปะทะ บาเรียนี้จะสร้าง พื้นหนาวเย็น ขณะเคลื่อนที่และได้รับความเสียหาย ไฟและกายภาพ ลดลง อีก ขณะอยู่กับที่","施展出一道寒冰屏障，在擊中時對敵人造成冰緩。在移動期間，屏障會產生冰緩地面，在靜止時會造成較少火焰和物理傷害。",16,100,"",55367,""
96,11440,0,"[37,38,39,65,66,67,159,232,233,234,49,50,51]","","Frost Shield","Bouclier de givre","Frostschild","フロストシールド","서리 방패","Escudo Gélido","Морозный щит","Escudo de escarcha","ม่านพลังน้ำแข็ง","寒霜護盾","Places a Frost Shield that drains energy shield for one second or until none remains, gaining stages while this drain occurs. The Frost Shield takes and prevents some damage from hits of allies while in its area. Enemies in the area are Chilled.","Place un Bouclier de givre qui draine le bouclier d’énergie pendant une seconde ou jusqu’à épuisement, gagnant des paliers durant ce drain. Le Bouclier de givre absorbe une partie des dégâts des touches subies par les alliés dans sa zone. Les ennemis présents dans sa zone sont Frigorifiés.","Platziert einen Frostschild, der den Energieschild für eine Sekunde aufzehrt oder bis keiner übrig bleibt und baut dadurch Phasen auf. Der Frostschild erleidet und vermeidet einen Teil des Schadens anstelle von Verbündeten, während man sich in seinem Gebiet aufhält. Gegner im Gebiet werden unterkühlt.","フロストシールドを設置し、エナジーシールドを1秒間の間もしくはなくなるまで消費し、消費が起きてる間ステージを獲得し続ける。フロストシールドは、味方が範囲内で受けるヒットダメージの一部を代わりを防ぎ、範囲内の敵は冷却のデバフを受ける。","에너지 보호막을 1초 동안 또는 남지 않을 때까지 소모하는 서리 방패를 설치합니다. 소모하는 동안 단계를 획득합니다. 서리 방패는 범위 내에 있는 동안 동료의 명중으로 인한 피해 일부를 대신 받아 방지합니다. 범위 내의 적은 냉각됩니다.","Cria um Escudo Gélido que drena o escudo de energia por um segundo ou até que ele se esgote, ganhando estágios durante a drenagem. O Escudo Gélido recebe e evita parte do dano de golpes contra aliados na área de efeito e esfria inimigos.","Создаёт на земле Морозный щит, расходующий энергетический щит на протяжении одной секунды или до опустошения, при этом накапливая стадии. Морозный щит принимает на себя и предотвращает часть урона от ударов по союзникам в области. Враги под щитом охлаждаются.","Coloca un escudo de escarcha que drena el escudo de energía durante un segundo o hasta que se vacíe y que va ganando fases a medida que tiene lugar el drenaje. El escudo de escarcha recibe e impide una parte del daño de los impactos de los aliados mientras estén en su área. Los enemigos que están en el área quedan escarchados.","Frost Shield\r\nวางม่านพลังน้ำแข็งที่จะดูด โล่พลังงาน 1 วินาทีหรือจนกว่าโล่พลังงานจะหมด ซึ่งจะได้รับสเตจจากการดูดโล่พลังงานนี้ ม่านพลังจะรับความเสียหายบางส่วนจากการปะทะแทนเพื่อนที่อยู่ในพื้นที่ รวมถึงสร้างสถานะ หนาวเย็น ต่อศัตรูที่อยู่ในพื้นที่","設置一面寒霜護盾，會吸收能量護盾、持續 1 秒或直到已無能量護盾，在吸收過程中獲得疊層。寒霜護盾會為範圍內友方承受並吸收部分擊中傷害。區域內敵人會受到冰緩。",34,100,"",57491,""
