"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ItemClassCategory","RemovedIfLeavesArea","[rid]_33","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32_84","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","CanUpgradeRarity","bool_113","bool_114","MaxInventoryDimensions","Unmodifiable","CanBeFractured","EquipAchievements","UsedInMapDevice","bool_150","bool_151","bool_152"
33,"UtilityFlask","Utility Flasks","Flacons utilitaires","Hilfsfläschchen","ユーティリティフラスコ","특수 플라스크","Frascos de Utilidade","Особые флаконы","Frascos de utilidad","ขวดยาช่วยเหลือ","功能藥劑",0,"",[],[],"","","","",1911,"",1,"","","","",1,"","","","",1,[4],"",1,10601,"",1,1,""
34,"UtilityFlaskCritical","Critical Utility Flasks","Flacons utilitaires critiques","Wichtige Hilfsfläschchen","クリティカルユーティリティフラスコ","강력한 특수 플라스크","Frascos de Utilidade Críticos","Важные особые флаконы","Frascos de utilidad crítica","ขวดยาช่วยเหลือคริติคอล","暴擊藥劑",0,"",[],[],"","","","",1911,"",1,"","","","",1,"","","","",1,[4],"",1,10601,"",1,1,""
35,"Map","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","異界地圖",25,"",[],[9539],"",1,"",1782,1911,"","","","","","","","",1,"","",1,[],"",1,"",1,1,1,""
36,"Unarmed","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","",1,"","","","","","[1,2]","","","","",1,1,""
37,"FishingRod","Fishing Rods","Cannes à pêche","Angelruten","釣り竿","낚싯대","Varas de Pescar","Удочки","Cañas de pescar","เบ็ดตกปลา","魚竿",26,"",[],[9539],"","","","",1911,"",1,1,"",1,1,1,7,1,1,"",1,[],"",1,"","",1,1,""
38,"MapFragment","Map Fragments","Fragments de carte","Kartenfragmente","マップフラグメント","지도 조각","Fragmentos de Mapas","Обрывки карт","Fragmentos de mapa","ชิ้นส่วนแผนที่","地圖碎片",27,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","",1,1,"",""
39,"HideoutDoodad","Hideout Doodads","Décorations de Repaire","Dinge fürs Versteck","隠れ家装飾品","은신처 장식물","Enfeites de Refúgio","Предметы убежища","Objetos de la guarida","ของตกแต่งที่ซ่อน","藏身處裝飾","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
40,"Microtransaction","Microtransactions","Microtransactions","Mikrotransaktionen","マイクロトランザクション","포인트 아이템","Microtransações","Микротранзакции","Microtransacciones","สินค้าแฟชั่น","商城物品","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
41,"Jewel","Jewels","Joyaux","Juwelen","ジュエル","주얼","Joias","Самоцветы","Joyas","จิวเวล","珠寶",28,"",[],[9539],"",1,"",1775,1911,"",1,"","",1,"","","","","","",1,[],"",1,"","",1,1,""
42,"DivinationCard","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡",29,"",[],[],"",1,"",1776,1911,"","","","","","","","","","","","",[],"","","","",1,1,""
43,"LabyrinthItem","Labyrinth Items","Objets du Labyrinthe","Labyrinth-Gegenstände","ラビリンスアイテム","미궁 아이템","Itens do Labirinto","Предметы Лабиринта","Objetos del Laberinto","ไอเทมเขาวงกต","迷宮物品",30,1,[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,""
44,"LabyrinthTrinket","Labyrinth Trinkets","Colifichets du Labyrinthe","Labyrinth-Relikte","ラビリンス宝飾品","미궁 장신구","Joias do Labirinto","Украшения Лабиринта","Abalorios del Laberinto","อุปกรณ์เขาวงกต","迷宮飾品",31,1,[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,""
45,"LabyrinthMapItem","Labyrinth Map Items","Objets de Carte du Labyrinthe","Labyrinth-Kartengegenstände","ラビリンスマップアイテム","미궁 지도 아이템","Itens Mapa do Labirinto","Карты Лабиринта","Objetos de mapa del Laberinto","ไอเทมแผนที่เขาวงกต","異界迷宮物品",27,"",[],[],1,1,"","",1911,"","","","","","","","","","","",1,[],"","","","",1,"",""
46,"MiscMapItem","Misc Map Items","Objets de Carte divers","Sonstige Kartengegenstände","その他マップアイテム","기타 지도 아이템","Itens Mapas Variados","Прочие предметы карт","Objetos misceláneos de mapa","ไอเทมแผนที่อื่นๆ","其它",32,"",[],[],"",1,"","",1911,"",1,"","","","","","","","","","",[],"","","",1,1,1,""
47,"Leaguestone","Leaguestones","Pierres de ligue","Liga-Steine","リーグストーン","리그스톤","Pedras de Ligas","Камни лиги","Piedras de liga","ศิลาลีก","聯盟石",33,"",[],[],"",1,"","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
48,"PantheonSoul","Pantheon Souls","Âmes du Panthéon","Pantheon-Seelen","パンテオンソウル","판테온의 영혼","Almas do Panteão","Души Пантеона","Almas del Panteón","วิญญาณกลุ่มทวยเทพ","眾神之魂",34,"",[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,""
49,"UniqueFragment","Pieces","Morceaux","Bruchstücke","ユニークのピース","조각","Peças","Фрагменты","Fragmentos","ชิ้นส่วน (Piece)","碎片",35,"",[],[],1,1,"","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
50,"AbyssJewel","Abyss Jewels","Joyaux abyssaux","Abgrund-Juwelen","アビスジュエル","심연 주얼","Joias Abissais","Самоцветы Бездны","Joyas de abismo","จิวเวลอะบิส","深淵珠寶",36,"",[],[9539],"",1,"","",1911,"",1,"","",1,"","","","","","",1,[],"",1,"","",1,1,""
51,"IncursionItem","Incursion Items","Objets d'Incursion","Inkursion-Gegenstände","インカージョンアイテム","기습 아이템","Itens Incursion","Предметы Вмешательства","Objetos de Incursión","ไอเทมย้อนเวลา","穿越物品",37,1,[],[],1,"","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,""
52,"DelveSocketableCurrency","Delve Socketable Currency","Objets enchâssables Delve","Einfassbare Azuritmine-Währung","デルヴスタック可能カレンシー","탐광 결합형 화폐","Item Monetário Encaixável Delve","Валюта Спуска","Objetos monetarios engarzables de Delve","เงินตรามีรูของเหมือง","掘獄插槽通貨",38,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
53,"Incubator","Incubators","Incubateurs","Inkubatoren","インキュベーター","인큐베이터","Incubadores","Инкубаторы","Incubadoras","ตัวบ่มฟัก","培育器",39,"",[],[],"",1,"","",1911,"","","","","","","","","","","",1,[],"","","","",1,"",""
54,"UniqueShard","Shards","Éclats","Splitter","ユニークのシャード","파편","Fragmentos","Осколки","Esquirlas","เศษ","碎片","","",[],[],"","","","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
55,"UniqueShardBase","Shard Hearts","Cœurs d'éclat","Splitterherzen","欠片の心臓","파편 심장","Fragmentos de Coração","Стержни осколков","Corazones de esquirla","ชิ้นส่วนของหัวใจ","碎片之心","","",[],[],"","","","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
56,"Rune Dagger","Rune Daggers","Dagues runiques","Runendolche","ルーンの短剣","룬 단검","Adagas Rúnicas","Рунические кинжалы","Dagas rúnicas","มีดอาคม","符紋匕首",3,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,1,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
57,"Warstaff","Warstaves","Bâtons de guerre","Kriegsstäbe","ウォースタッフ","전쟁지팡이","Cajados de Guerra","Воинские посохи","Báculos de guerra","ไม้พลองสงคราม","征戰長杖",4,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,6,1,1,1,1,"[2,0]","",1,"","",1,1,""
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency","Objets enchâssables et empilables Delve","Delve: Stapelbare, einfassbare Währung","デルヴスタック可能ソケット可能カレンシー","탐광 중첩 및 결합형 화폐","Item Monetário Aglomerável e Encaixável Delve","Валюта Спуска","Objetos monetarios apilables y engarzables de Delve","เงินตรามีรูของเหมืองแบบรวมกองได้","掘獄可堆疊有插槽通貨",38,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
59,"AtlasUpgradeItem","Atlas Upgrade Items","Objets d'amélioration de l'Atlas","Aufwertungsgegenstände für den Atlas","アトラスアップグレードアイテム","아틀라스 업그레이드 아이템","Itens de Aprimoramento de Região do Atlas","Предметы улучшения Атласа","Objetos de mejora del Atlas","ไอเทมอัพเกรดแอตลาส","輿圖升級道具",40,"",[],[],"","","","",607,"","","","","","","","","","","",1,[],"","","","",1,1,""
60,"MetamorphosisDNA","Metamorph Samples","Organes de Métamorphe","Metamorph-Proben","メタモルフサンプル","변형 샘플","Amostras Metamorfas","Образцы Метаморфа","Muestras de metamorfo","ชิ้นส่วนตัวอย่างเมตามอร์ฟ","鍊魔樣本",41,"",[],[],1,1,"","",1911,"","","","","","","","","","","",1,[],"","","","","","",""
61,"HiddenItem","Hidden Items","Objets cachés","Verborgene Gegenstände","隠しアイテム","숨겨진 아이템","Itens Escondidos","Сокрытые предметы","Objetos ocultos","ไอเทมซ่อนเร้น","隱藏道具","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
62,"DONOTUSE1","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
63,"DONOTUSE2","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
64,"DONOTUSE3","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
65,"HeistContract","Contracts","Contrats","Aufträge","依頼書","계약","Contratos","Контракты","Contratos","สัญญาจ้าง","契約書",42,"",[],[9539],"",1,"","",1911,"",1,"","","","","","","","","",1,[],"",1,"","",1,1,""
66,"HeistEquipmentWeapon","Heist Gear","Équipements de Malfaiteur","Raubüberfall-Ausrüstung","ハイストギア","강탈 장비","Equipamento Heist","Разбойничьи принадлежности","Accesorio de Heist","อุปกรณ์สวมใส่กองโจร","劫盜裝備",43,"",[],[9539],"","","","",1911,"","","","","","",1,"","","","",1,[],"",1,"","",1,1,""
67,"HeistEquipmentTool","Heist Tools","Outils de Malfaiteur","Raubüberfall-Werkzeug","ハイストツール","강탈 도구","Ferramentas Heist","Разбойничий инструмент","Herramientas de Heist","เครื่องมือกองโจร","劫盜工具",44,"",[],[9539],"","","","",1911,"","","","","","",1,"","","","",1,[],"",1,"","",1,1,""
68,"HeistEquipmentUtility","Heist Cloaks","Capes de Malfaiteur","Raubüberfall-Umhänge","ハイストクローク","강탈 망토","Capas Heist","Разбойничьи накидки","Capas de Heist","ผ้าคลุมกองโจร","劫盜披風",45,"",[],[9539],"","","","",1911,"","","","","","",1,"","","","",1,[],"",1,"","",1,1,""
69,"HeistEquipmentReward","Heist Brooches","Broches de Malfaiteur","Raubüberfall-Broschen","ハイストブローチ","강탈 브로치","Broches Heist","Разбойничьи броши","Broches de Heist","เข็มกลัดกองโจร","劫盜胸針",46,"",[],[9539],"","","","",1911,"","","","","","",1,"","","","",1,[],"",1,"","",1,1,""
70,"HeistBlueprint","Blueprints","Plans","Grundrisse","計画書","도면","Plantas","Чертежи","Planos","พิมพ์เขียว","藍圖",47,"",[],[9539],"",1,"","",1911,"",1,"","","","","","","","","",1,[],"",1,"","",1,1,""
71,"Trinket","Trinkets","Babioles","Schmuckstücke","トリンケット","장신구","Adornos","Украшения","Abalorios","เครื่องประดับโจร","飾品",48,"",[],[],"","","","",1911,"",1,1,"","","","","","","","",1,[],"","","","",1,1,""
72,"HeistObjective","Heist Targets","Objectifs de Casse","Auftragsziele","ハイストターゲット","강탈 대상","Alvos Heist","Предметы кражи","Objetivos de Heist","เป้าหมายโจรกรรม","劫盜目標",49,"",[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,1
73,"ExpeditionLogbook","Expedition Logbooks","Journaux de bord d'Expédition","Expeditions-Logbücher","エクスペディションログブック","탐험 일지","Diários de Bordo Expedition","Журналы экспедиции","Registros de expedición","สมุดปูมเดินทางกองสำรวจ","探險日誌",50,"",[],[9539],"",1,"","",1911,"",1,"","","","","","","","","",1,[],"",1,"","",1,1,""
74,"IncubatorStackable","Incubators","Incubateurs","Inkubatoren","インキュベーター","인큐베이터","Incubadores","Инкубаторы","Incubadoras","ตัวบ่มฟัก","培育器",39,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,1
75,"ArchnemesisMod","Archnemesis Mods","Mods d'Archnemesis","Archnemesis-Modifikatoren","アーチネメシスモッド","강적 속성","Mods Archnemesis","Свойства Возмездия","Mods. de Archnemesis","ม็อดอริคู่อาฆาต","宿敵詞綴","","",[],[],"",1,"","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,1
76,"DONOTUSE4","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
77,"DONOTUSE5","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
78,"DONOTUSE6","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
79,"DONOTUSE7","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
80,"InstanceLocalItem","Instance Local Items","Objets locaux d'instance","Instanzgebundene lokale Gegenstände","インスタンスローカルアイテム","인스턴스 특정 아이템","Itens Locais da Instância","Местные предметы области","Objetos locales de instancia","ไอเทมประจำอินสแตนซ์","地區物品",51,1,[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,""
81,"SentinelDrone","Sentinels","Sentinelles","Wächter","センチネル","파수꾼","Sentinelas","Часовые","Centinelas","หุ่นอารักษ์","守望號令",52,"",[],[],"","","","",1911,"",1,"","","","","","","","","","",[],1,"","","",1,1,""
82,"MemoryLine","Memories","Souvenirs","Erinnerungen","メモリー","기억","Memórias","Воспоминания","Recuerdos","ความทรงจำ","記憶",54,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],1,"","","",1,1,""
83,"Relic","Relics","Reliques","Relikte","レリック","유물","Relíquias","Реликвии","Reliquias","วัตถุตกทอด","聖物",53,"",[],[],1,1,"","",1911,1,1,"","","","","","","","","","",[],1,"","","",1,1,""
84,"SanctumSpecialRelic","Sanctified Relics","Reliques sanctifiées","Heilige Relikte","聖別されたレリック","축성된 유물","Relíquias Santificadas","Священные реликвии","Reliquias santificadas","วัตถุตกทอดบริสุทธิ์","神化聖物",53,"",[],[],1,1,"","",1911,1,1,"","","","","","","","","","",[],1,"","","",1,1,""
85,"Breachstone","Breachstones","Pierres de Brèche","Riss-Steine","ブリーチストーン","균열석","Pedras de Fenda","Камни Разлома","Piedras de fisura","ศิลาบรีช","裂痕石",55,"",[],[],1,1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,"",""
86,"GiftBox","","","","","","","","","","","","",[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","","","",""
87,"VaultKey","Vault Keys","Clés de la Salle des coffres","Reliquienkammer-Schlüssel","聖廟の鍵","금고실 열쇠","Chaves do Cofre","Ключи от хранилищ","Llaves de bóvedas","กุญแจคลังวัตถุโบราณ","遺鑰",56,"",[],[],"",1,"","",1911,1,"","","","","","","","","","","",[],"","","",1,"","",""
88,"ItemisedSanctum","Sanctum Research","Recherche du Sanctuaire","Sanktum-Forschungsauftrag","サンクタム調査書","성역 연구","Pesquisa Sanctum","Исследования Святилища","Investigación del santuario","บทวิจัยเทวสถาน","聖域研究",32,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,1
89,"Tincture","Tinctures","Teintures","Tinkturen","チンキ","팅크","Tintura","Микстуры","Tinturas","ยาเคลือบอาวุธ","萃取物",57,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
90,"ItemisedCorpse","Corpses","Cadavres","Leichen","死体","시신","Patuá","Трупы","Cadáveres","ศพ","屍體",59,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","","","",1
91,"AnimalCharm","Charms","Charmes","Anhänger","チャーム","부적","Cadáver","Обереги","Colgantes","ของขลัง","咒語",58,"",[],[],"",1,"","",1911,"",1,"","","","","","","","","","",[],1,"","","",1,1,""
92,"NecropolisPack","Embers of the Allflame","Braises de l’Omniflamme","Gluten der Allflamme","オールフレイムの残り火","올플레임의 잉걸불","Brasas da Omnichama","Уголья Всепламени","Brasas de la Llama eterna","เถ้าถ่านแห่งออลเฟลม","不滅之火餘燼",60,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","","","",1
93,"Gold","Gold","Or","Gold","ゴールド","골드","Ouro","Золото","Oro","ทองคำ","金幣",5,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
94,"AtlasRelic","Idols","Idoles","Götzen","アイドル","우상","Ídolos","Идолы","Ídolos","เทวรูป","魔偶",61,"",[],[],1,1,"","",1911,"","","","","","","","","","","","",[],1,"","","",1,1,""
95,"DONOTUSE8","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","","","",""
96,"BrequelFruit","Wombgifts","Dons de la matrice","Fruchtkeime","母胎ギフト","생명의 결실","Dádivas do Ventre","Дары утробы","Regalos del vientre","ผลฝากครรภ์","胎贈",62,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[],"","","","",1,1,""
97,"MapKey","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","地圖",63,"",[],[],"",1,"",1782,1911,"",1,"","","","","","","","","",1,[],"",1,"",1,1,1,""
98,"RemovedItem","","","","","","","","","","","","",[],[],"","","","",1911,"","","","","","","","","","","","",[],"","","","","","",""
