"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier","i32_36"
48,"Metadata/Chests/Labyrinth/Izaro/IzaroChest50",424,150,5,5,0
49,"Metadata/Chests/Labyrinth/Izaro/IzaroChest51",425,150,5,5,0
50,"Metadata/Chests/Labyrinth/Izaro/IzaroChest52",426,100,5,5,0
51,"Metadata/Chests/Labyrinth/Izaro/IzaroChest53",427,50,5,5,0
52,"Metadata/Chests/Labyrinth/Izaro/IzaroChest54",428,100,5,5,0
53,"Metadata/Chests/Labyrinth/Izaro/IzaroChest55",429,200,5,5,0
54,"Metadata/Chests/Labyrinth/Izaro/IzaroChest56",430,200,5,5,0
55,"Metadata/Chests/Labyrinth/Izaro/IzaroChest57",431,10,5,5,0
56,"Metadata/Chests/Labyrinth/Izaro/IzaroChest58",432,60,5,5,0
57,"Metadata/Chests/Labyrinth/Izaro/IzaroChest59",433,100,5,5,0
58,"Metadata/Chests/Labyrinth/Izaro/IzaroChest60",434,50,5,5,0
59,"Metadata/Chests/Labyrinth/Izaro/IzaroChest62",436,200,5,5,0
60,"HardModeIzaroChest1",466,0,1,3,300
61,"HardModeIzaroChest2",467,0,1,3,300
62,"HardModeIzaroChest3",468,0,1,3,300
63,"HardModeIzaroChest4",469,0,1,3,200
64,"HardModeIzaroChest5",470,0,1,3,100
65,"HardModeIzaroChest6",471,0,1,3,200
66,"HardModeIzaroChest7",472,0,1,3,100
67,"HardModeIzaroChest8",473,0,1,3,10
68,"HardModeIzaroChest9",474,0,1,3,5
69,"HardModeIzaroChest10",475,0,1,3,20
70,"HardModeIzaroChest11",476,0,1,3,10
71,"HardModeIzaroChest12",477,0,1,3,20
72,"HardModeIzaroChest13",478,0,1,3,10
73,"HardModeIzaroChest14",479,0,1,3,10
74,"HardModeIzaroChest15",480,0,1,3,5
75,"HardModeIzaroChest16",481,0,1,3,1
76,"HardModeIzaroChest17",482,0,1,3,50
77,"HardModeIzaroChest18",483,0,4,4,300
78,"HardModeIzaroChest19",484,0,4,4,300
79,"HardModeIzaroChest20",485,0,4,4,300
80,"HardModeIzaroChest21",486,0,4,4,200
81,"HardModeIzaroChest22",487,0,4,4,100
82,"HardModeIzaroChest23",488,0,4,4,200
83,"HardModeIzaroChest24",489,0,4,4,100
84,"HardModeIzaroChest25",490,0,4,4,10
85,"HardModeIzaroChest26",491,0,4,4,5
86,"HardModeIzaroChest27",492,0,4,4,20
87,"HardModeIzaroChest28",493,0,4,4,10
88,"HardModeIzaroChest29",494,0,4,4,15
89,"HardModeIzaroChest30",495,0,4,4,15
90,"HardModeIzaroChest31",496,0,4,4,10
91,"HardModeIzaroChest32",497,0,4,4,5
92,"HardModeIzaroChest33",498,0,4,4,20
93,"HardModeIzaroChest34",499,0,4,4,10
94,"HardModeIzaroChest35",500,0,4,4,1
95,"HardModeIzaroChest36",501,0,4,4,50
96,"HardModeIzaroChest37",502,0,4,4,50
