"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid_24","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32_64","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","bool_142","rid_143","Gender","bool_167","i32_168"
37,"Metadata/NPC/Act4/Malachai","Malachai","Malachai","Malachai","マラカイ","말라카이","Malachai","Малахай","Malachai","มาลาไค","瑪拉凱","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-20737,"","","",1,"","M","",0
38,"Metadata/NPC/Act4/Daresso","Daresso","Daresso","Daresso","ダレッソ","다레소","Daresso","Дарессо","Daresso","ดาเรสโซ่","德瑞索","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],15106,"","","",1,"","M","",0
39,"Metadata/NPC/Oba","Oba","Oba","Oba","オバ","오바","Oba","Оба","Oba","โอบะ","歐霸","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],8075,"","","",1,"","M","",0
40,"Metadata/NPC/Info/ArteriLetter","Arteri's Letter","Lettre pour Artéri","Arteris Brief","アルテリの手紙","아테리의 편지","Carta de Arteri","Письмо Артери","Carta de Arteri","จดหมายของอาร์แทร์รี","阿特力的信","Metadata/NPC/Info/StoryGlyphBase",1903,"","","","","","","","","","","",2,[],[],-9630,"","","",1,"","","",0
41,"Metadata/NPC/Info/BeachEncampmentNotes","Letters of Exile","Lettres d'exil","Verbannungsurteile","追放の宣告","유배자의 편지","Cartas do Exílio","Приговоры изгнанников","Notas del exilio","หนังสือสั่งเนรเทศ","流亡者的信","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",1,[],[],10293,"","","",1,"","","",0
42,"Metadata/NPC/Info/Karui/Stone1","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",535,"","","","","","","","","","","",1,[],[],-21412,"","","",1,"","","",0
43,"Metadata/NPC/Info/Karui/Stone2","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",536,"","","","","","","","","","","",1,[],[],24108,"","","",1,"","","",0
44,"Metadata/NPC/Info/Karui/Stone3","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",537,"","","","","","","","","","","",1,[],[],-2555,"","","",1,"","","",0
45,"Metadata/NPC/Info/Karui/Stone4","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",538,"","","","","","","","","","","",1,[],[],26729,"","","",1,"","","",0
46,"Metadata/NPC/Info/Karui/Stone5","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",539,"","","","","","","","","","","",1,[],[],1018,"","","",1,"","","",0
47,"Metadata/NPC/Info/Karui/Stone6","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",540,"","","","","","","","","","","",1,[],[],29978,"","","",1,"","","",0
48,"Metadata/NPC/Info/Karui/Stone7","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escritos Karui","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",541,"","","","","","","","","","","",1,[],[],27364,"","","",1,"","","",0
49,"Metadata/NPC/Info/Victario/GraffitiIntro","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",543,"","","","","","","","","","","",3,[],[],28999,"","","",1,"","","",0
50,"Metadata/NPC/Info/Victario/GraffitiSlum","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",544,"","","","","","","","","","","",3,[],[],28857,"","","",1,"","","",0
51,"Metadata/NPC/Info/Victario/GraffitiWarehouse","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",545,"","","","","","","","","","","",3,[],[],6306,"","","",1,"","","",0
52,"Metadata/NPC/Info/Victario/GraffitiBattlefront","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",546,"","","","","","","","","","","",3,[],[],3594,"","","",1,"","","",0
53,"Metadata/NPC/Info/Victario/GraffitiDocks","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffiti",547,"","","","","","","","","","","",3,[],[],17612,"","","",1,"","","",0
54,"Metadata/NPC/Info/Victario/GraffitiChurch","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffiti",548,"","","","","","","","","","","",3,[],[],-1658,"","","",1,"","","",0
55,"Metadata/NPC/Info/Victario/Notebook","Ancient Notebook","Carnet ancien","Uraltes Notizbuch","古代の手帳","고대의 공책","Caderno Antigo","Ветхий дневник","Cuaderno antiguo","สมุดบันทึกโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffiti",549,"","","","","","","","","","","",3,[],[],-29111,"","","",1,"","","",0
56,"Metadata/NPC/Info/MerveilSkin","Sailor's Skin","Peau de marin","Matrosenhaut","船乗りの皮","선원의 가죽","Pele de Pescador","Дневник моряка","Piel de marinero","หนังกะลาสี","水手之膚","Metadata/NPC/Info/StoryGlyphBase",883,"","","","","","","","","","","",1,[],[],-26950,"","","",1,"","","",0
57,"Metadata/NPC/Info/MerveilDiary","Damp Diary","Journal humide","Durchnässtes Tagebuch","湿った日記","젖어있는 일기","Diário Úmido","Промокший дневник","Diario húmedo","ไดอารี่เปียกชื้น","浸溼的日記","Metadata/NPC/Info/MerveilDiary",884,"","","","","","","","","","","",1,[],[],-18696,"","","",1,"","","",0
58,"Metadata/NPC/Act3/Scion","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","ไซออน","貴族","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],3163,"","","",1,"","F","",0
59,"Metadata/NPC/Info/MapDevice","Reverie Device","Dispositif à rêveries","Traumapparat","夢想装置","꿈 장치","Dispositivo de Devaneio","Машина грез","Artefacto de ensueño","เครื่องเข้าภวังค์","地圖裝置","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-7409,"","","",1,"","","",0
60,"Metadata/NPC/Info/MapDeviceOld","Ancient Reverie Device","Dispositif à rêveries ancien","Uralter Traumapparat","古代の夢想装置","고대의 꿈 장치","Antigo Dispositivo de Devaneio","Древняя машина грез","Antiguo artefacto de ensueño","เครื่องเข้าภวังค์โบราณ","古老的地圖裝置","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],24247,"","","",1,"","","",0
61,"Metadata/NPC/Info/GemCart","Transmutia Device","L'Appareil de transmutation","Transmutor","変成装置","변신 장치","Dispositivo de Transmutação","Устройство превращения","Artefacto de transmutación","เครื่องแปรธาตุ","轉化裝置","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-15458,"","","",1,"","","",0
62,"Metadata/NPC/Info/LibraryGaribaldi1","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-31118,"","","",1,"","","",0
63,"Metadata/NPC/Info/LibraryGaribaldi2","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],1144,"","","",1,"","","",0
64,"Metadata/NPC/Info/LibraryGaribaldi3","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-1630,"","","",1,"","","",0
65,"Metadata/NPC/Info/LibraryGaribaldi4","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-20818,"","","",1,"","","",0
66,"Metadata/NPC/Info/LibraryGaribaldi5","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-4979,"","","",1,"","","",0
67,"Metadata/NPC/Info/LibraryGaribaldi6","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],9070,"","","",1,"","","",0
68,"Metadata/NPC/Info/LibraryVictario1","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],17746,"","","",1,"","","",0
69,"Metadata/NPC/Info/LibraryVictario2","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],12556,"","","",1,"","","",0
70,"Metadata/NPC/Info/LibraryVictario3","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-9033,"","","",1,"","","",0
71,"Metadata/NPC/Info/LibraryVictario4","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],15319,"","","",1,"","","",0
72,"Metadata/NPC/Info/LibraryMilitary1","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-5630,"","","",1,"","","",0
73,"Metadata/NPC/Info/LibraryMilitary2","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],17761,"","","",1,"","","",0
74,"Metadata/NPC/Info/LibraryMilitary3","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],24435,"","","",1,"","","",0
75,"Metadata/NPC/Info/LibraryMilitary4","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-5824,"","","",1,"","","",0
76,"Metadata/NPC/Info/LibraryMilitary5","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-29128,"","","",1,"","","",0
77,"Metadata/NPC/Info/LibraryMilitary6","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-7470,"","","",1,"","","",0
78,"Metadata/NPC/Info/LibraryMilitary7","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-73,"","","",1,"","","",0
79,"Metadata/NPC/Info/MalachaiStatue","Plaque","Plaque","Tafel","銘板","명판","Placa","Плита","Placa","แผ่นสลัก","石碑","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],-26943,"","","",1,"","","",0
80,"Metadata/NPC/Info/CrossroadsLoreChapel","Etchings on Wood IV","Gravures sur bois IV","Einritzungen auf Holz IV","文字の刻まれた板 IV","식각 목판 IV","Gravuras na Madeira IV","Надпись на доске IV","Grabados en madera IV","แผ่นไม้จารึก 4","木刻版畫 IV","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],12945,"","","",1,"","","",0
