"rownum","Id","Reward","Reward (French)","Reward (German)","Reward (Japanese)","Reward (Korean)","Reward (Portuguese)","Reward (Russian)","Reward (Spanish)","Reward (Thai)","Reward (Traditional Chinese)","Icon","Downside","Downside (French)","Downside (German)","Downside (Japanese)","Downside (Korean)","Downside (Portuguese)","Downside (Russian)","Downside (Spanish)","Downside (Thai)","Downside (Traditional Chinese)","Item","Count","RewardCategory"
13,"CurrencyOrbofTransmutation6","","","","","","","","","","","","","","","","","","","","","",11,6,32
14,"CurrencyOrbofAugmentation3","","","","","","","","","","","","","","","","","","","","","",16,3,33
15,"CurrencyOrbofAugmentation4","","","","","","","","","","","","","","","","","","","","","",16,4,33
16,"CurrencyOrbofAugmentation6","","","","","","","","","","","","","","","","","","","","","",16,6,33
17,"CurrencyOrbofAlteration3","","","","","","","","","","","","","","","","","","","","","",12,3,0
18,"CurrencyOrbofAlteration4","","","","","","","","","","","","","","","","","","","","","",12,4,0
19,"CurrencyOrbofAlteration5","","","","","","","","","","","","","","","","","","","","","",12,5,0
20,"CurrencyOrbofAlteration6","","","","","","","","","","","","","","","","","","","","","",12,6,0
21,"CurrencyOrbofAlteration9","","","","","","","","","","","","","","","","","","","","","",12,9,0
22,"CurrencyOrbofChance3","","","","","","","","","","","","","","","","","","","","","",8,3,1
23,"CurrencyOrbofChance4","","","","","","","","","","","","","","","","","","","","","",8,4,1
24,"CurrencyOrbofChance5","","","","","","","","","","","","","","","","","","","","","",8,5,1
25,"CurrencyOrbofChance6","","","","","","","","","","","","","","","","","","","","","",8,6,1
26,"CurrencyOrbofChance9","","","","","","","","","","","","","","","","","","","","","",8,9,1
27,"CurrencyGlassblowersBauble3","","","","","","","","","","","","","","","","","","","","","",18,3,2
28,"CurrencyGlassblowersBauble4","","","","","","","","","","","","","","","","","","","","","",18,4,2
29,"CurrencyGlassblowersBauble5","","","","","","","","","","","","","","","","","","","","","",18,5,2
30,"CurrencyGlassblowersBauble6","","","","","","","","","","","","","","","","","","","","","",18,6,2
31,"CurrencyGlassblowersBauble9","","","","","","","","","","","","","","","","","","","","","",18,9,2
32,"CurrencyChromaticOrb3","","","","","","","","","","","","","","","","","","","","","",20,3,3
33,"CurrencyChromaticOrb4","","","","","","","","","","","","","","","","","","","","","",20,4,3
34,"CurrencyChromaticOrb5","","","","","","","","","","","","","","","","","","","","","",20,5,3
35,"CurrencyChromaticOrb6","","","","","","","","","","","","","","","","","","","","","",20,6,3
36,"CurrencyChromaticOrb9","","","","","","","","","","","","","","","","","","","","","",20,9,3
37,"CurrencyJewellersOrb3","","","","","","","","","","","","","","","","","","","","","",22,3,4
38,"CurrencyJewellersOrb4","","","","","","","","","","","","","","","","","","","","","",22,4,4
39,"CurrencyJewellersOrb5","","","","","","","","","","","","","","","","","","","","","",22,5,4
40,"CurrencyJewellersOrb6","","","","","","","","","","","","","","","","","","","","","",22,6,4
41,"CurrencyJewellersOrb9","","","","","","","","","","","","","","","","","","","","","",22,9,4
42,"CurrencyOrbofAlchemy1","","","","","","","","","","","","","","","","","","","","","",7,1,5
43,"CurrencyOrbofAlchemy2","","","","","","","","","","","","","","","","","","","","","",7,2,5
44,"CurrencyOrbofAlchemy3","","","","","","","","","","","","","","","","","","","","","",7,3,5
45,"CurrencyOrbofAlchemy4","","","","","","","","","","","","","","","","","","","","","",7,4,5
46,"CurrencyOrbofAlchemy6","","","","","","","","","","","","","","","","","","","","","",7,6,5
47,"CurrencyOrbofFusing1","","","","","","","","","","","","","","","","","","","","","",21,1,6
48,"CurrencyOrbofFusing2","","","","","","","","","","","","","","","","","","","","","",21,2,6
49,"CurrencyOrbofFusing3","","","","","","","","","","","","","","","","","","","","","",21,3,6
50,"CurrencyOrbofFusing4","","","","","","","","","","","","","","","","","","","","","",21,4,6
51,"CurrencyOrbofFusing6","","","","","","","","","","","","","","","","","","","","","",21,6,6
52,"CurrencyOrbofScouring1","","","","","","","","","","","","","","","","","","","","","",13,1,7
53,"CurrencyOrbofScouring2","","","","","","","","","","","","","","","","","","","","","",13,2,7
54,"CurrencyOrbofScouring3","","","","","","","","","","","","","","","","","","","","","",13,3,7
55,"CurrencyOrbofScouring5","","","","","","","","","","","","","","","","","","","","","",13,5,7
56,"CurrencyCartographersChisel2","","","","","","","","","","","","","","","","","","","","","",26,2,8
57,"CurrencyCartographersChisel3","","","","","","","","","","","","","","","","","","","","","",26,3,8
58,"CurrencyCartographersChisel5","","","","","","","","","","","","","","","","","","","","","",26,5,8
59,"CurrencyChaosOrb1","","","","","","","","","","","","","","","","","","","","","",2,1,9
60,"CurrencyChaosOrb2","","","","","","","","","","","","","","","","","","","","","",2,2,9
61,"CurrencyChaosOrb3","","","","","","","","","","","","","","","","","","","","","",2,3,9
62,"CurrencyChaosOrb5","","","","","","","","","","","","","","","","","","","","","",2,5,9
63,"CurrencyOrbofBinding1","","","","","","","","","","","","","","","","","","","","","",228,1,10
64,"CurrencyOrbofBinding2","","","","","","","","","","","","","","","","","","","","","",228,2,10
65,"CurrencyOrbofBinding3","","","","","","","","","","","","","","","","","","","","","",228,3,10
66,"CurrencyOrbofBinding5","","","","","","","","","","","","","","","","","","","","","",228,5,10
67,"CurrencyOrbofRegret1","","","","","","","","","","","","","","","","","","","","","",9,1,11
68,"CurrencyOrbofRegret2","","","","","","","","","","","","","","","","","","","","","",9,2,11
69,"CurrencyOrbofRegret3","","","","","","","","","","","","","","","","","","","","","",9,3,11
70,"CurrencyOrbofRegret5","","","","","","","","","","","","","","","","","","","","","",9,5,11
71,"CurrencyGemcuttersPrism1","","","","","","","","","","","","","","","","","","","","","",19,1,12
72,"CurrencyGemcuttersPrism2","","","","","","","","","","","","","","","","","","","","","",19,2,12
73,"CurrencyGemcuttersPrism4","","","","","","","","","","","","","","","","","","","","","",19,4,12
74,"CurrencyBlessedOrb1","","","","","","","","","","","","","","","","","","","","","",24,1,13
75,"CurrencyBlessedOrb2","","","","","","","","","","","","","","","","","","","","","",24,2,13
76,"CurrencyBlessedOrb4","","","","","","","","","","","","","","","","","","","","","",24,4,13
77,"CurrencyVaalOrb1","","","","","","","","","","","","","","","","","","","","","",39,1,14
78,"CurrencyVaalOrb2","","","","","","","","","","","","","","","","","","","","","",39,2,14
79,"CurrencyVaalOrb2Copy","","","","","","","","","","","","","","","","","","","","","",39,2,14
80,"CurrencyVaalOrb4","","","","","","","","","","","","","","","","","","","","","",39,4,14
81,"CurrencyOrbofHorizons1","","","","","","","","","","","","","","","","","","","","","",229,1,15
82,"CurrencyOrbofHorizons2","","","","","","","","","","","","","","","","","","","","","",229,2,15
83,"CurrencyOrbofHorizons4","","","","","","","","","","","","","","","","","","","","","",229,4,15
84,"CurrencyInstillingOrb1","","","","","","","","","","","","","","","","","","","","","",4155,1,16
85,"CurrencyInstillingOrb2","","","","","","","","","","","","","","","","","","","","","",4155,2,16
86,"CurrencyInstillingOrb4","","","","","","","","","","","","","","","","","","","","","",4155,4,16
87,"CurrencyRegalOrb1","","","","","","","","","","","","","","","","","","","","","",15,1,17
88,"CurrencyRegalOrb2","","","","","","","","","","","","","","","","","","","","","",15,2,17
89,"CurrencyRegalOrb4","","","","","","","","","","","","","","","","","","","","","",15,4,17
90,"CurrencyExaltedOrb1","","","","","","","","","","","","","","","","","","","","","",14,1,26
91,"CurrencyExaltedOrb2","","","","","","","","","","","","","","","","","","","","","",14,2,26
92,"CurrencyExaltedOrb4","","","","","","","","","","","","","","","","","","","","","",14,4,26
93,"CurrencyEnkindlingOrb1","","","","","","","","","","","","","","","","","","","","","",4154,1,18
94,"CurrencyEnkindlingOrb2","","","","","","","","","","","","","","","","","","","","","",4154,2,18
95,"CurrencyEnkindlingOrb4","","","","","","","","","","","","","","","","","","","","","",4154,4,18
96,"CurrencyOrbofUnmaking1","","","","","","","","","","","","","","","","","","","","","",10,1,19
97,"CurrencyOrbofUnmaking2","","","","","","","","","","","","","","","","","","","","","",10,2,19
98,"CurrencyOrbofUnmaking4","","","","","","","","","","","","","","","","","","","","","",10,4,19
99,"CurrencyAwakenedSextant3","","","","","","","","","","","","","","","","","","","","","",205,3,22
100,"CurrencyStackedDeck1","","","","","","","","","","","","","","","","","","","","","",3181,1,21
101,"CurrencyStackedDeck2","","","","","","","","","","","","","","","","","","","","","",3181,2,21
102,"CurrencyStackedDeck4","","","","","","","","","","","","","","","","","","","","","",3181,4,21
103,"ExchangeMaxResolveRandomMajorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeMaxResolveRandomMajorBoon","","","","","","","","","","","",0,""
104,"ExchangeMaxResolveRandomMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeMaxResolveRandomMinorBoon","","","","","","","","","","","",0,""
105,"ExchangeMaxResolveTwoRandomMinorBoons","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeMaxResolveTwoRandomMinorBoons","","","","","","","","","","","",0,""
106,"GainRandomMinorBoonGainRandomMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMinorBoonGainRandomMinorAffliction","","","","","","","","","","","",0,""
107,"GainSpecMajorBoonGainThreeRandomAfflictions","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonGainThreeRandomAfflictions","","","","","","","","","","","",0,""
108,"GainSpecMajorBoonLoseRandomMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonLoseRandomMinorBoon","","","","","","","","","","","",0,""
109,"GainSpecMinorBoonGainRandomMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainRandomMinorAffliction","","","","","","","","","","","",0,""
110,"GainSpecMinorBoonGainSpecMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainSpecMinorAffliction","","","","","","","","","","","",0,""
111,"GainThreeRandomMinorBoonsGainSpecMajorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainThreeRandomMinorBoonsGainSpecMajorAffliction","","","","","","","","","","","",0,""
112,"LoseRandomMinorAfflictionLoseRandomMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseRandomMinorAfflictionLoseRandomMinorBoon","","","","","","","","","","","",0,""
113,"LoseSpecMinorAfflictionGainRandomMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionGainRandomMinorAffliction","","","","","","","","","","","",0,""
114,"LoseSpecMinorAfflictionLoseSpecificMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionLoseSpecificMinorBoon","","","","","","","","","","","",0,""
115,"PurchaseRelic1x2","Censer Relic","Relique encensoir","Weihrauchfass-Relikt","香炉のレリック","향로 유물","Relíquia: Incensário","Курительница","Reliquia incensaria","กระถางธูปตกทอด","香爐聖物","","","","","","","","","","","",4679,0,""
116,"PurchaseRelic1x3","Processional Relic","Relique de procession","Prozessionsbuch-Relikt","行進のレリック","행렬 유물","Relíquia: Procissão","Кадило","Reliquia procesional","ของประกอบพิธีตกทอด","詩歌聖物","","","","","","","","","","","",4680,0,""
117,"PurchaseRelic1x4","Candlestick Relic","Relique chandelier","Kerzenständer-Relikt","燭台のレリック","촛대 유물","Relíquia: Vela","Подсвечник","Reliquia de candelero","เชิงเทียนตกทอด","燭台聖物","","","","","","","","","","","",4681,0,""
118,"PurchaseRelic2x1","Urn Relic","Relique urne","Urnen-Relikt","壷のレリック","단지 유물","Relíquia: Urna","Урна","Reliquia de urna","ไหตกทอด","古甕聖物","","","","","","","","","","","",4682,0,""
119,"PurchaseRelic2x2","Coffer Relic","Relique coffre","Truhen-Relikt","金庫のレリック","궤짝 유물","Relíquia: Arca","Ларец","Reliquia de cofre","หีบตกทอด","寶箱聖物","","","","","","","","","","","",4683,0,""
120,"PurchaseRelic3x1","Tome Relic","Relique tome","Buch-Relikt","学術書のレリック","책 유물","Relíquia: Tomo","Фолиант","Reliquia de tomo","คัมภีร์ตกทอด","卷冊聖物","","","","","","","","","","","",4684,0,""
121,"PurchaseRelic4x1","Papyrus Relic","Relique papyrus","Papyrus-Relikt","パピルスのレリック","파피루스 유물","Relíquia: Papiro","Папирус","Reliquia de papiro","กระดาษปาปิรุสตกทอด","草紙聖物","","","","","","","","","","","",4685,0,""
