"rownum","Metadata","AreaLevel","SpawnsMonsters","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","bool_63","bool_64","bool_65","i32_66","i32_70","i32_74","i32_78","rid_82","bool_98","bool_99","Script1","bool_108","bool_109","Script2","[i32]_118","i32_134","i32_138","i32_142","i32_146","i32_150","i32_154","i32_158","i32_162"
20,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",40,"[7439,7441,7443]",180,0,0,300,500,0,0,256,"",1,"","","","",8,8,20,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0,8,8,1,1
21,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_SafehouseChamp",1,"[7445,7453]",180,0,0,300,500,0,0,256,"",1,"","","","",1,1,0,20,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );","",1,"","[3,1]",0,0,0,0,1,1,1,1
22,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",1,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,0,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
23,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",10,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,10,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
24,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",20,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
25,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",30,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
26,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",40,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
27,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",50,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
28,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",60,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
29,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",70,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
30,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",80,"[7395,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,25,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
31,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",1,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,0,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
32,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",10,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,10,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
33,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",20,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
34,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",30,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
35,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",40,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
36,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",50,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
37,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",60,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
38,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",70,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
39,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_2",80,"[7394,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,25,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
40,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",1,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,0,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
41,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",10,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,10,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
42,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",20,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
43,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",30,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
44,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",40,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
45,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",50,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
46,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",60,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
47,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",70,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
48,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_3",80,"[7399,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,25,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
49,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",1,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,0,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
50,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",10,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,10,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
51,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",20,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
52,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",30,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
53,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",40,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
54,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",50,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
55,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",60,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
56,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",70,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
57,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_4",80,"[7453,7435]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,25,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
58,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",1,[7403],150,0,0,6000,8000,0,0,256,"",1,"","","","",1,10,0,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
59,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",10,[7403],150,0,0,5500,7500,0,0,256,"",1,"","","","",1,15,10,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
60,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",20,[7403],150,0,0,5000,7000,0,0,256,"",1,"","","","",1,15,10,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
61,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",30,[7403],150,0,0,4500,6500,0,0,256,"",1,"","","","",1,15,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
62,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",40,[7403],150,0,0,4000,6000,0,0,256,"",1,"","","","",1,18,15,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
63,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",50,[7403],150,0,0,3750,5750,0,0,256,"",1,"","","","",1,18,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
64,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",60,[7403],150,0,0,3500,5500,0,0,256,"",1,"","","","",1,18,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
65,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",70,[7403],150,0,0,3250,5250,0,0,256,"",1,"","","","",1,20,20,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
66,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_1",80,[7403],150,0,0,3000,5000,0,0,256,"",1,"","","","",1,20,25,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
67,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier1_2",1,"[7407,7410,7412,7414,7416,7420,7423,7425,7427,7429]",150,0,0,7000,9000,0,0,256,"",1,"","","","",1,10,0,0,"","","","PlayEffect( \""Metadata/Effects/Spells/desecrate/corpselight.ao\"" ); triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,10,10,1,1
