"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","BaseIcon_DDSFile","Infected_DDSFile","Shaper_DDSFile","Elder_DDSFile","Drawn_DDSFile","Delirious_DDSFile","UberBlight_DDSFile","Purple_DDSFile","string_80","string_88"
10,"Harvest","Harvest","Harvest","Harvest","ハーベスト","수확","Harvest","Жатва","Harvest","Harvest","豐收忌劫","Art/2DItems/Maps/Atlas2Maps/New/Base8.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Drawn.dds","","","","",""
11,"Heist","Heist","Heist","Heist","ハイスト","강탈","Heist","Кража","Heist","Heist","劫盜同盟","Art/2DItems/Maps/Atlas2Maps/New/Base9.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Drawn.dds","","","","",""
12,"Ritual","Ritual","Ritual","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","Ritual","邪靈祭祀","Art/2DItems/Maps/Atlas2Maps/New/Base10.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Drawn.dds","","","","",""
13,"Expedition","Expedition","Expedition","Expedition","エクスペディション","탐험","Expedition","Экспедиция","Expedition","Expedition","死境探險","Art/2DItems/Maps/Atlas2Maps/New/Base11.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Drawn.dds","","","","",""
14,"Hellscape","Scourge","Scourge","Scourge","スカージ","스컬지","Scourge","Нашествие","Scourge","Scourge","轉世災魘","Art/2DItems/Maps/Atlas2Maps/New/Base12.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12UberBlighted.dds","","",""
15,"Archnemesis","Archnemesis","Archnemesis","Archnemesis","アーチネメシス","강적","Archnemesis","Возмездие","Archnemesis","Archnemesis","強襲宿敵","Art/2DItems/Maps/Atlas2Maps/New/Base13.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13UberBlighted.dds","","",""
16,"Sentinel","Sentinel","Sentinel","Sentinel","センチネル","파수꾼","Sentinel","Дозор","Sentinel","Sentinel","守望號令","Art/2DItems/Maps/Atlas2Maps/New/Base14.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14UberBlighted.dds","","",""
17,"Lake","Kalandra","Kalandra","Kalandra","カランドラ","칼란드라","Kalandra","Каландра","Kalandra","Kalandra","卡蘭德","Art/2DItems/Maps/Atlas2Maps/New/Base15.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15UberBlighted.dds","","",""
18,"Sanctum","The Forbidden Sanctum","The Forbidden Sanctum","The Forbidden Sanctum","The Forbidden Sanctum","금지된 성역","O Sanctum Proibido","Запретное святилище","The Forbidden Sanctum","The Forbidden Sanctum","禁忌聖域","Art/2DItems/Maps/Atlas2Maps/New/Base16.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16UberBlighted.dds","","",""
19,"Crucible","Crucible","Crucible","Crucible","Crucible","시련","Crucible","Горнило","Crucible","Crucible","熔火冥獄","Art/2DItems/Maps/Atlas2Maps/New/Base17.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17UberBlighted.dds","","",""
20,"Ancestral","Ancestor","Ancestor","Ancestor","Ancestor","선조","Ancestral","Испытание предков","Ancestor","Ancestor","祖靈","Art/2DItems/Maps/Atlas2Maps/New/Base18.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18UberBlighted.dds","","",""
21,"Azmeri","Affliction","Affliction","Affliction","Affliction","고난","Affliction","Заклятие","Affliction","Affliction","禁咒荒林","Art/2DItems/Maps/Atlas2Maps/New/Base19.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19UberBlighted.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Tier17.dds","",""
22,"Necropolis","Necropolis","Necropolis","Necropolis","Necropolis","매장지","Necropolis","Некрополь","Necropolis","Necropolis","魔影墓場","Art/2DItems/Maps/Atlas2Maps/New/Base20.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20UberBlighted.dds","Art/2DItems/Maps/Atlas2Maps/New/Base20Tier17.dds","",""
23,"Settlers","Settlers","Settlers","Settlers","Settlers","정착자들","Colonos","Поселенцы","Settlers","Settlers","居民們","Art/2DItems/Maps/Atlas2Maps/New/Base21.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21UberBlighted.dds","Art/2DItems/Maps/Atlas2Maps/New/Base21Tier17.dds","",""
24,"Mercenaries","Mercenaries","Mercenaries","Mercenaries","Mercenaries","용병","Mercenários","Наёмники","Mercenaries","Mercenaries","傭兵","Art/2DItems/Maps/Atlas2Maps/New/Base22.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22UberBlighted.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Tier17.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22Memory.dds","Art/2DItems/Maps/Atlas2Maps/New/Base22MemoryEpic.dds"
25,"Keepers","Keepers","Keepers","Keepers","Keepers","수호자들","Protetores","Хранители","Keepers","Keepers","看守者","Art/2DItems/Maps/Atlas2Maps/New/Base23.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23UberBlighted.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Tier17.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23Memory.dds","Art/2DItems/Maps/Atlas2Maps/New/Base23MemoryEpic.dds"
