"rownum","string_0","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool_72","WorldAreasKeys","Ruleset"
206,"AtlasNikoMap",[117],[],[9438],[],1,[0],[]
207,"AtlasAlvaMap",[116],[],[9437],[],1,[0],[]
208,"AtlasEinharMap",[118],[],[9439],[],1,[0],[]
209,"Tier16Beachhead",[21],[],"[9581,10157]",[],1,[1261],[]
210,"RedTierAtlasMemoryMaps80Quant","[80,18,103]",[],[9717],[],1,[0],[]
211,"MapSextantMods",[],[5945],[9677],[],1,[0],[]
212,"MapScarabs",[],[18999],[11605],[],1,[0],[]
213,"RedTierUnidRareMap","[18,4,1]",[],[9722],[],1,[0],[]
214,"SextantMapBosses","[21,103,120,107,108]",[],[9992],[],1,[0],[]
215,"SextantMapPacks","[21,103,121,122,110]",[],[9993],[],1,[0],[]
216,"SextantTakeMoreDamage","[21,103,123,124,125,126]",[],[9994],[],1,[0],[]
217,"SextantPackSize","[21,103,127,128,129]",[],[9995],[],1,[0],[]
218,"MemoryMapQuant",[80],[1040],[9997],[],1,[0],[]
219,"80QuantBlightMapT14Plus","[61,75,103]",[],[9926],[],1,[0],[]
220,"T16BlightRavagedMap5Mods","[7,62,21]",[],[9927],[],1,[0],[]
221,"RedTier50QuantMaps","[18,130]",[],[10038],[],1,[0],[]
222,"T16plusDivinationScarab1","[134,131]",[],[10171],[],1,[0],[]
223,"T16plusDivinationScarab2","[134,132]",[],[10171],[],1,[0],[]
224,"T16plusDivinationScarab3","[134,133]",[],[10171],[],1,[0],[]
225,"MapScarabsComplete","[135,19]",[],[10196],[],1,[0],[]
226,"MemoryMapMods",[80],[4566],[10231],[],1,[0],[]
227,"CompleteT17Map",[22],[],[10825],[],1,[0],[]
228,"Tier17ItemQuantity",[22],[1040],[10246],[],1,[0],[]
229,"CompleteT17mapPacksize","[22,136]",[],[10247],[],1,[0],[]
230,"CompleteAbomination",[],[],[11693],[],1,[1279],[]
231,"CompleteCitadel",[],[],[11693],[],1,[1277],[]
232,"CompleteFortress",[],[],[11693],[],1,[1278],[]
233,"CompleteSanctuary",[],[],[11693],[],1,[1276],[]
234,"CompleteZiggurat",[],[],[11693],[],1,[1280],[]
235,"CompleteAbominationT17250Q","[22,100]",[],[10512],[],1,[1279],[]
236,"CompleteCitadelT17250Q","[22,100]",[],[10510],[],1,[1277],[]
237,"CompleteFortressT17250Q","[22,100]",[],[10511],[],1,[1278],[]
238,"CompleteSanctuaryT17250Q","[22,100]",[],[10509],[],1,[1276],[]
239,"CompleteZigguratT17250Q","[22,100]",[],[10513],[],1,[1280],[]
240,"BestiaryT16At80Q","[103,134,137]",[],[10212],[],1,[0],[]
241,"InfluenceT16At80Q","[103,134,138]",[],[10213],[],1,[0],[]
242,"HarbingerT16At80Q","[103,134,139]",[],[10214],[],1,[0],[]
243,"AbyssT16At80Q","[103,134,140]",[],[10215],[],1,[0],[]
244,"EssenceT16At80Q","[103,134,141]",[],[10216],[],1,[0],[]
245,"DominationT16At80Q","[103,134,142]",[],[10217],[],1,[0],[]
246,"IncursionT16At80Q","[103,134,143]",[],[10218],[],1,[0],[]
247,"BetrayalT16At80Q","[103,134,144]",[],[10219],[],1,[0],[]
248,"BlightT16At80Q","[103,134,145]",[],[10220],[],1,[0],[]
249,"BreachT16At80Q","[103,134,146]",[],[10221],[],1,[0],[]
250,"LegionT16At80Q","[103,134,147]",[],[10222],[],1,[0],[]
251,"MapT16At80Q","[103,134,148]",[],[10223],[],1,[0],[]
252,"BeyondT16At80Q","[103,134,149]",[],[10224],[],1,[0],[]
253,"AmbushT16At80Q","[103,134,150]",[],[10225],[],1,[0],[]
254,"UltimatumT16At80Q","[103,134,151]",[],[10226],[],1,[0],[]
255,"ExpeditionT16At80Q","[103,134,152]",[],[10227],[],1,[0],[]
256,"DeliriumT16At80Q","[103,134,153]",[],[10228],[],1,[0],[]
257,"MiscT16At80Q","[103,134,154]",[],[10229],[],1,[0],[]
258,"ItemisedPacks81plus","[75,1]",[20542],[10294],[],1,[0],[]
259,"HornedScarabRedTier","[19,155]",[],[4223],[],1,[0],[]
260,"T14PlusBlightedMap","[61,75,162]",[],[11561],[],1,[0],[]
261,"T14PlusBlightRavagedMap","[75,62]",[],[11561],[],1,[0],[]
262,"RedPurpleMap1DivinationScarab","[156,19,1]",[],[10984],[],1,[0],[]
263,"T16Plus80Quant4ScarabMap","[157,134,103]",[],[10488],[],1,[0],[]
264,"RedTierAboveQuantity",[19],[1040],[10539],[],1,[0],[]
265,"MavenInvitationQuantity",[],[1040],[10507],[],1,[1793],[]
266,"HungerInvitationQuantity",[],[1040],[10507],[],1,[1298],[]
267,"BlackStarInvitationQuantity",[],[1040],[10507],[],1,[1299],[]
268,"SearingExarchInvitationQuantity",[],[1040],[10507],[],1,[1300],[]
269,"EaterofWorldsInvitationQuantity",[],[1040],[10507],[],1,[1301],[]
270,"AbyssScarabMaps","[75,103]",[20493],[10722],[],1,[0],[]
271,"AmbushScarabMaps","[75,103]",[20488],[10723],[],1,[0],[]
272,"AnarchyScarabMaps","[75,103]",[20495],[10724],[],1,[0],[]
273,"BestiaryScarabMaps","[75,103]",[20482],[10725],[],1,[0],[]
274,"BetrayalScarabMaps","[75,103]",[20502],[10726],[],1,[0],[]
275,"BeyondScarabMaps","[75,103]",[20498],[10727],[],1,[0],[]
276,"BlightScarabMaps","[75,103]",[20492],[10728],[],1,[0],[]
277,"BreachScarabMaps","[75,103]",[20483],[10729],[],1,[0],[]
278,"CartographyScarabMaps","[75,103]",[20484],[10730],[],1,[0],[]
279,"DeliriumScarabMaps","[75,103]",[20497],[10731],[],1,[0],[]
280,"DelveScarabMaps","[75,103]",[20491],[10732],[],1,[0],[]
281,"DivinationScarabMaps","[75,103]",[20486],[10733],[],1,[0],[]
282,"DominationScarabMaps","[75,103]",[20501],[10734],[],1,[0],[]
283,"EssenceScarabMaps","[75,103]",[20504],[10735],[],1,[0],[]
284,"ExpeditionScarabMaps","[75,103]",[20505],[10736],[],1,[0],[]
285,"HarbingerScarabMaps","[75,103]",[20489],[10737],[],1,[0],[]
286,"HarvestScarabMaps","[75,103]",[20500],[10738],[],1,[0],[]
287,"IncursionScarabMaps","[75,103]",[20506],[10739],[],1,[0],[]
288,"InfluenceScarabMaps","[75,103]",[20494],[10740],[],1,[0],[]
289,"LegionScarabMaps","[75,103]",[20490],[10741],[],1,[0],[]
290,"MiscScarabMaps","[75,103]",[20496],[10742],[],1,[0],[]
291,"RitualScarabMaps","[75,103]",[20499],[10743],[],1,[0],[]
292,"SettlersScarabMaps","[75,103]",[21215],[10744],[],1,[0],[]
293,"TitanicScarabMaps","[75,103]",[20485],[10745],[],1,[0],[]
294,"TormentScarabMaps","[75,103]",[20487],[10746],[],1,[0],[]
295,"UltimatumScarabMaps","[75,103]",[20503],[10747],[],1,[0],[]
296,"TheatreMap",[1],[],[10777],[],1,[1283],[]
297,"ChamberMap",[1],[],[10776],[],1,[1282],[]
298,"CourtyardWastingMap",[1],[],[10775],[],1,[1281],[]
299,"ZanaInfluenceMap","[158,1]",[],[10774],[],1,[0],[]
300,"MavenInvitationModifiers",[],[4566],[11127],[],1,[1793],[]
301,"HungerInvitationModifiers",[],[4566],[11127],[],1,[1298],[]
302,"BlackStarInvitationModifiers",[],[4566],[11127],[],1,[1299],[]
303,"SearingExarchInvitationModifiers",[],[4566],[11127],[],1,[1300],[]
304,"EaterofWorldsInvitationModifiers",[],[4566],[11127],[],1,[1301],[]
305,"ElderGuardianMap80Q","[160,102]",[],"[10829,11427]",[],1,[0],[]
306,"Phoenix80Q",[102],[],"[10829,11427]",[],1,"[1062,1253]",[]
307,"Hydra80Q",[102],[],"[10829,11427]",[],1,"[1061,1252]",[]
308,"Minotaur80Q",[102],[],"[10829,11427]",[],1,"[1063,1254]",[]
309,"Chimera80Q",[102],[],"[10829,11427]",[],1,"[1060,1251]",[]
310,"TheatreMap80Q",[102],[],"[10829,11427]",[],1,[1283],[]
311,"ChamberMap80Q",[102],[],"[10829,11427]",[],1,[1282],[]
312,"CourtyardWastingMap80Q",[102],[],"[10829,11427]",[],1,[1281],[]
313,"T14MapTiers",[75],[10159],[10830],[],1,[0],[]
314,"ElderGuardianMap40Q","[160,161]",[],[10855],[],1,[0],[]
315,"Phoenix40Q",[161],[],[10855],[],1,"[1062,1253]",[]
316,"Hydra40Q",[161],[],[10855],[],1,"[1061,1252]",[]
317,"Minotaur40Q",[161],[],[10855],[],1,"[1063,1254]",[]
318,"Chimera40Q",[161],[],[10855],[],1,"[1060,1251]",[]
319,"TheatreMap40Q",[161],[],[10855],[],1,[1283],[]
320,"ChamberMap40Q",[161],[],[10855],[],1,[1282],[]
321,"CourtyardWastingMap40Q",[161],[],[10855],[],1,[1281],[]
322,"Abomination70Q","[104,134,1]",[],[11473],[],1,[1279],[]
323,"Citadel70Q","[104,134,1]",[],[11473],[],1,[1277],[]
324,"Fortress70Q","[104,134,1]",[],[11473],[],1,[1278],[]
325,"Sanctuary70Q","[104,134,1]",[],[11473],[],1,[1276],[]
326,"Ziggurat70Q","[104,134,1]",[],[11473],[],1,[1280],[]
327,"UniqueMap",[2],[],[10721],[],1,[0],[]
328,"HornedScarabMaps","[75,103]",[20507],[10887],[],1,[0],[]
329,"AnyTier14PlusRareMap","[75,1]",[],[10845],[],1,[0],[]
330,"1ScarabRedPurple70QuantMap","[19,104,163]",[],[11023],[],1,[0],[]
331,"2ScarabRedPurple70QuantMap","[19,104,164]",[],[11024],[],1,[0],[]
332,"3ScarabRedPurple70QuantMap","[19,104,165]",[],[11025],[],1,[0],[]
333,"4ScarabRedPurple70QuantMap","[19,104,157]",[],[11026],[],1,[0],[]
334,"5ScarabRedPurple70QuantMap","[19,104,166]",[],[11027],[],1,[0],[]
335,"MapZanaInfluenceExplicitMods","[158,1]",[4566],[11066],[],1,[0],[]
336,"Abomination150Q5Scarabs","[167,166]",[],[11108],[],1,[1279],[]
337,"Citadel150Q5Scarabs","[167,166]",[],[11109],[],1,[1277],[]
338,"Fortress150Q5Scrabs","[167,166]",[],[11110],[],1,[1278],[]
339,"Sanctuary150Q5Scarabs","[167,166]",[],[11111],[],1,[1276],[]
340,"Ziggurat150Q5Scarabs","[167,166]",[],[11112],[],1,[1280],[]
341,"ZanaInfluence150QT16Rare","[168,21,1,158]",[],[11640],[],1,[0],[]
342,"CourtyardWasting150QT16Rare","[168,21,1]",[],[11641],[],1,[1281],[]
343,"ChambersImpurity150QT16Rare","[168,21,1]",[],[11642],[],1,[1282],[]
344,"TheatreLies150QT16Rare","[168,21,1]",[],[11643],[],1,[1283],[]
345,"CourtyardWasting150Q5Scarabs","[167,166]",[],[11113],[],1,[1281],[]
346,"ChambersImpurity150Q5Scarabs","[167,166]",[],[11114],[],1,[1282],[]
347,"TheatreLies150Q5Scarabs","[167,166]",[],[11115],[],1,[1283],[]
348,"Tier14PlusMapModGrind",[75],[4566],[11126],[],1,[0],[]
349,"RareRedPurpleMapExplicitMods","[19,1]",[4566],[11136],[],1,[0],[]
