"rownum","Id","BuffDefinitionsKey1","rid_24","StatValues","i32_56","[i32]_60","i32_76","i32_80","i32_84","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32_168","i32_172","i32_176","BuffDefinitionsKey2","IsOnlySpawningNearPlayer","PlayerBuffTemplate","MonsterBuffTemplate","bool_229"
15,"cold_damage_storm_normal",445,"","[50,50,100,-50,0]",36,"[1,2,10]",-15,0,10000,"",82,624,465,"",0,0,15000,"","","","",""
16,"freezing_storm",2,"",[-100],0,[],-55,-25,1500,"",82,624,465,"",0,0,1000,"","","","",""
17,"lightning_damage_storm",446,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",84,626,467,"",0,0,20000,"","","","",""
18,"lightning_damage_storm_normal",446,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",84,626,467,"",0,0,15000,"","","","",""
19,"vaal_grace_storm",158,"","[0,25,25,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",74,618,456,"",0,0,5000,"","","","",""
20,"vaal_discipline_storm",159,"","[0,1000,1,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",76,616,458,"",0,0,5000,"","","","",""
21,"vaal_haste_storm",160,"","[0,30,30,30,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",73,615,433,"",0,0,10000,"","","","",""
22,"gluttony_of_elements_storm",400,"","[1,0,1,0,0,0,0,0]",36,"[1,2,10]",-35,0,5000,"",75,617,457,"",0,0,5000,"","","","",""
23,"smoke_trail_storm",447,"",[],0,[],0,0,8000,4694,74,618,456,4711,0,0,20000,"",1,"","",""
24,"phasing_storm",452,"","[1,25]",0,[],-15,0,5000,"",80,622,462,"",0,0,5000,"","","","",""
25,"corpse_devour_storm",448,"",[],0,[],15,0,5000,4695,75,617,457,"",0,0,10000,"","","","",""
26,"proximity_shield_storm",235,"",[25],0,[],0,0,5000,2940,73,615,433,"",0,0,20000,"","","","",""
27,"projectile_nova_storm",449,"","[1,4,70]",0,[],0,0,8000,"",80,622,462,"",0,0,20000,"","","","",""
28,"projectile_nova_storm_normal",449,"","[1,4,70]",0,[],0,0,10000,"",80,622,462,"",0,0,20000,"","","","",""
29,"veil_storm",450,"","[1,-40]",0,[],-15,-25,5000,"",76,616,458,"",0,0,5000,"","","","",""
30,"voltaxic_storm",451,"","[50,50,50,50,0]",0,[],0,0,8000,"",79,621,461,"",0,0,5000,"","","","",""
31,"soul_eater_storm",276,"","[1,5,5,5,1]",50,"[2,3]",-15,-25,10000,"",77,619,459,"",0,0,20000,465,"","","",""
32,"environment_fireskills_storm","","",[],0,[],-35,-25,45000,"",83,625,466,4700,0,0,45000,"",1,"","",""
33,"environment_uber_fireskills_storm","","",[],0,[],-55,-25,45000,"",83,625,466,4701,0,0,45000,"",1,"","",""
34,"environment_coldskills_storm","","",[],0,[],-35,-25,45000,"",82,624,465,4702,0,0,45000,"",1,"","",""
35,"environment_uber_coldskills_storm","","",[],0,[],-55,-25,45000,"",82,624,465,4703,0,0,45000,"",1,"","",""
36,"environment_lightningskills_storm","","",[],0,[],-35,-25,45000,"",84,626,467,4704,0,0,45000,"",1,"","",""
37,"environment_uber_lightningskills_storm","","",[],0,[],-55,-25,45000,"",84,626,467,4705,0,0,45000,"",1,"","",""
38,"environment_necromancyskills_storm","","",[],0,[],-15,-25,45000,"",80,622,462,4706,0,0,45000,"",1,"","",""
39,"environment_uber_necromancyskills_storm","","",[],0,[],-35,-25,45000,"",80,622,462,4707,0,0,45000,"",1,"","",""
40,"environment_physicalskills_storm","","",[],0,[],-35,-25,45000,"",81,623,463,4708,0,0,45000,"",1,"","",""
41,"environment_uber_physicalskills_storm","","",[],0,[],-55,-25,45000,"",81,623,463,4709,0,0,45000,"",1,"","",""
42,"environment_curses_storm","","",[],0,[],-55,-25,45000,"",79,621,461,4710,0,0,45000,"",1,"","",""
43,"corrupted_drops_storm",453,"","[1,1]",0,[],0,0,5000,"",75,617,457,"",0,0,5000,"","","","",""
44,"drop_as_sell_price_storm",454,"","[1,1,100]",0,[],0,0,8000,"",77,619,459,"",0,0,5000,"","","","",""
45,"quality_drops_storm",455,"","[1,1]",0,[],0,0,8000,"",81,623,463,"",0,0,8000,"","","","",""
46,"quality_drops_storm_normal",455,"","[1,1]",0,[],0,0,10000,"",81,623,463,"",0,0,10000,"","","","",""
47,"gain_charges_storm","","",[],0,[],-55,0,45000,4696,81,623,463,"",0,0,45000,"","","","",""
48,"identify_items_storm",456,"","[1,1]",0,[],0,0,8000,"",75,617,457,"",0,0,8000,"","","","",""
49,"poison_clouds_storm","","",[],0,[],-35,-25,45000,"",74,618,456,4712,0,0,45000,"",1,"","",""
50,"arcane_storm",457,"","[30,20,10]",36,"[1,2,10]",0,0,5000,"",79,621,461,"",0,0,15000,"","","","",""
51,"status_immunity_storm",458,"","[100,100,100,100,20,3]",0,[],0,0,8000,"",81,623,463,"",0,0,20000,"","","","",""
52,"uber_uber_rarity_storm","","",[],0,[],-60,-25,45000,"",73,615,433,"",0,0,45000,"","",649,650,1
