"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","ItemReference","ModReference"
10,"PactBoon","Pact Boons","Bénédictions de Pacte","Pakt-Segen","契約の恩恵","맹약 은혜","Dádivas de Pacto","Благословения пакта","Ventajas de pacto","พรจากปฏิญาณ","誓約恩惠","Boons granted from Pact skills are a type of buff. By default Boons last for 10 seconds and you can have a maximum of 5 Boons on you at a time. You cannot have more than one of the same type of Boon.\r\n\r\nBoons from Pact skills do not count as Boons from the Forbidden Sanctum.","Les Bienfaits octroyés par les aptitudes de Pacte sont un type d'effet bénéfique. Par défaut, les Bienfaits durent 10 secondes et vous pouvez avoir jusqu'à 5 Bienfaits actifs sur vous à la fois. Vous ne pouvez pas avoir plus d'un Bienfait du même type à la fois.\r\n\r\nLes Bienfaits issus des aptitudes de Pacte ne comptent pas comme des Bienfaits provenant du Sanctuaire interdit.","Segen, die von Pakt-Fertigkeiten gewährt werden, sind ein Typ von Stärkung. Standardmäßig halten Segen 10 Sekunden lang an und es können gleichzeitig maximal 5 Segen auf den Charakter wirken. Der Charakter kann nicht mehr als eine Version desselben Typs von Segen haben.\r\n\r\nSegen von Pakt-Fertigkeiten zählen nicht als Segen aus dem Verbotenen Sanktum.","契約スキルで付与される恩恵とは、バフの一種である。デフォルトでは恩恵は10秒持続し、一度に持てる恩恵の最大数は5個である。同じ種類の恩恵を1個以上持つことはできない。\r\n\r\n契約スキルによる恩恵は、禁断のサンクタムの恩恵とは見なされない。","맹약 스킬로 부여되는 맹약은 일종의 버프입니다. 기본적으로 은혜는 10초 지속되며, 한 번에 은혜를 최대 5개 보유할 수 있습니다. 같은 유형의 은혜는 하나만 보유할 수 있습니다.\r\n\r\n맹약 스킬로 부여받는 은혜는 금지된 성역의 은혜로 간주되지 않습니다.","As dádivas concedidas por habilidades de pacto são um tipo de bônus. Por padrão, elas duram 10 segundos e é possível ter no máximo 5 dádivas ativas simultaneamente. Não é possível ter mais de uma dádiva do mesmo tipo.\r\n \r\nAs dádivas provenientes de habilidades de pacto não são consideradas dádivas do Santuário Proibido.","Благословения, получаемые от умений Пактов, являются разновидностью положительного эффекта. Изначально они длятся 10 секунд и на вас могут действовать максимум 5 таких благословений одновременно. Нельзя иметь более одной копии одного и того же благословения.\r\n\r\nБлагословения от умений Пактов не считаются благословениями из Запретного Святилища.","Las ventajas otorgadas por las habilidades de pacto son un tipo de efecto beneficioso. Por defecto, las ventajas duran 10 segundos y puedes tener un máximo de 5 ventajas sobre ti a la vez. No puedes tener más de una ventaja del mismo tipo.\r\n\r\nLas ventajas de las habilidades de pacto no cuentan como ventajas del Santuario prohibido.","พร ที่ได้รับจากสกิลปฏิญาณ เป็นบัฟชนิดหนึ่ง ปกติพรต่างๆ จะมีระยะเวลา 10 วินาที และคุณมีพรได้พร้อมกันสูงสุด 5 ประการ ทั้งนี้คุณไม่สามารถได้รับพรชนิดเดียวกันซ้ำกันได้\r\n\r\nพรจากสกิลปฏิญาณ ไม่นับว่าเป็นพรจากเทวสถานต้องห้าม","由誓約技能賦予的恩惠屬於一種減益效果。在默認情況下，恩惠會持續 10 秒，且你身上同時最多只能擁有 5 個恩惠。你無法同時擁有複數個相同類型的恩惠。\r\n\r\n來自誓約技能的恩惠，不被視為聖所中的恩惠。","","","",""
11,"BasicCurrency","Basic Currency","Objet monétaire basique","Basiswährung","基礎カレンシー","기본 화폐","Moeda Básica","Обычная валюта","Objetos monetarios básicos","เงินตราพื้นฐาน","基礎通貨","Basic currency includes any currency that drops from non-league content. Basic currency does not include Portal Scrolls or Scrolls of Wisdom.","Les objets monétaires basiques incluent tous les objets monétaires obtenus dans tout contenu qui n'est pas du contenu de ligue. Les objets monétaires basiques n'incluent ni les Parchemins de portail ni les Parchemins de sagesse.","Zur Basiswährung zählen alle Währungen, die in Inhalten außerhalb der Liga fallen gelassen werden. Basiswährung beinhaltet keine Portalrollen oder Identifikationsrollen.","基礎カレンシーにはリーグコンテンツ以外からドロップする全てのカレンシーが含まれる。基礎カレンシーには鑑定の巻物とポータルの巻物は含まれない。","기본 화폐는 리그 콘텐츠가 아닌 콘텐츠에서 나오는 모든 화폐를 포함합니다. 기본 화폐는 포탈 주문서나 감정 주문서를 포함하지 않습니다.","A Moeda Básica inclui qualquer moeda largada por conteúdos fora da liga. Ela não inclui Pergaminhos de Portal ou Pergaminhos de Sabedoria.","Обычной считается любая валюта, добываемая не из контента лиги. Свитки портала и свитки мудрости обычной валютой не считаются.","Los objetos monetarios básicos incluyen cualquier objeto monetario que caiga en contenidos que no sean de liga. Los objetos monetarios básicos no incluyen los pergaminos de portal ni los pergaminos de sabiduría.","เงินตราพื้นฐาน คือเงินตราทุกอย่างที่ดรอปจากเนื้อหาที่ไม่ได้มาจากลีกใดๆ ทั้งนี้เงินตราพื้นฐานไม่นับรวม Portal Scroll หรือ Scroll of Wisdom","基礎通貨包含任何從非聯盟內容中掉落的通貨。基礎通貨不包括傳送卷軸和知識卷軸。","","","",""
12,"SoulEater","Soul Eater","Mangeur d'âmes","Seelenfresser","ソウルイーター","영혼 포식자","Devorador de Almas","Пожиратель душ","Devorador de almas","ผู้กลืนกินวิญญาณ","噬魂者","While you have Soul Eater, you consume the souls of anything killed nearby, gaining 5% increased Attack and Cast speed for each. You lose 1 soul every 0.5 seconds if you have not eaten any souls Recently. Maximum of 45 souls consumed","Tant que vous avez Mangeur d'âmes, vous consommez les âmes de tout ce que vous tuez à proximité. Chaque âme consommée vous fait gagner 5% de Vitesse d'attaque et d'incantation. Vous perdez 1 âme toutes les 0,5 seconde si vous n'avez pas consommé d'âme Récemment. Maximum 45 âmes consommées.","Solange du \""Seelenfresser\"" aktiv hast, verbrauchst du die Seelen aller im Umkreis getöteter Gegner und erhältst dafür jeweils 5% erhöhte Angriffs- und Zaubergeschwindigkeit. Du verlierst alle 0.5 Sekunden 1 Seele, wenn du kürzlich keine Seelen gefressen hast. Es können maximal 45 Seelen verbraucht werden.","ソウルイーターを持っている間、近くで倒された存在のソウルを消費し、そのスタックごとにアタックスピードおよびキャストスピードが5%増加する。直近ソウルを喰らっていない場合0.5秒ごとにソウルを1失う。消費できるソウルの最大数は45","\""영혼 포식자\"" 상태에서는 주변의 적을 처치해 영혼을 포식할 때마다 공격 속도 및 시전 속도가 5% 증가합니다. 최근 4초 이내에 영혼을 포식하지 않은 경우 0.5초마다 영혼을 1개 잃습니다. 영혼은 최대 45개 포식할 수 있습니다.","Enquanto estiver com o Devorador de Almas, você consome as almas de inimigos mortos por perto, ganhando mais 5% de velocidade de ataque e de conjuração por alma. Se ficar sem devorar almas por um tempo, você perde 1 a cada 0,5 segundo. Limite: 45 almas.","Пока на вас действует Пожиратель душ, вы поглощаете души всех убитых поблизости врагов, получая 5% повышение скорости атаки и сотворения чар за каждую душу. Вы теряете 1 душу каждые 0,5 секунды, если недавно вы не поглощали ни одной души. Максимум 45 поглощённых душ.","Mientras tengas Devorador de almas, consumes las almas de cualquier cosa que muera cerca y ganas velocidades de ataque y lanzamiento de hechizos aumentadas un 5% por cada una. Pierdes 1 alma cada 0.5 segundos si no has consumido ningún alma recientemente. Máximo de almas que puedes consumir: 45","ขณะที่คุณมีสถานะ ผู้กลืนกินวิญญาณ คุณจะกลืนกินวิญญาณของทุกสิ่งที่ถูกสังหารที่อยู่ใกล้ โดยวิญญาณแต่ละดวงจะเพิ่มความเร็วในการโจมตีและร่ายของคุณ 5% คุณจะสูญเสียวิญญาณ 1 ดวงทุก 0.5 วินาทีหากคุณไม่ได้กลืนกินวิญญาณมาเร็วๆ นี้ คุณสามารถกลืนกินวิญญาณได้สูงสุด 45 ดวง","當你擁有噬魂者時，你會吞噬附近任何死亡事物的靈魂，每吞噬一個靈魂，增加 5% 攻擊速度與施放速度。若你近期未吞噬任何靈魂，每 0.5 秒會失去 1 個靈魂。最多可吞噬 45 個靈魂。","","","",""
13,"ContainsAbyss","Abyss","Abysse","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵","An Abyss is a pit which leads deep underground with multiple fissures branching from it. Any monsters spawned near an Abyss will be weakened by it.\r\nDefeating these weakened monsters will cause the fissures to close.\r\nOnce the fissures have closed all the way to the pit, the pit will activate and spawn a large number of Abyssal monsters. Defeating these monsters will close the pit. \r\n\r\nEach closed pit has a chance to spawn an Abyssal Trove. The final Abyss in the area has a chance to instead open an underground dungeon called an [AbyssalDepths|Abyssal Depths].\r\n\r\nThere are three separate groups of Abyssal Monsters: the Lightless, the Blackblooded and the Legion of the Pit, each area generally contains one of these groups.\r\nThe rarity of the monsters spawned depends on the rarity of the slain weakened monsters and the emerging Abyssal will steal some or all of the modifiers from them.\r\n\r\nIf an area already has an Abyss, modifiers that cause areas to contain additional Abysses will instead add two additional pits.","Un Abysse est une fosse qui mène loin sous terre et d'où partent de nombreuses fissures. Les monstres qui apparaissent près d'un Abysse sont affaiblis par celui-ci.\r\nVaincre ces monstres affaiblis permet de fermer les fissures.\r\nUne fois toutes les fissures menant à la fosse fermées, celle-ci s'active et fait apparaître un grand nombre de monstres Abyssaux. Vaincre tous ces monstres fermera la fosse.\r\n\r\nChaque fosse fermée a une chance de faire apparaître un Trésor abyssal. Le dernier Abysse d'une zone a une chance d'ouvrir un donjon souterrain à la place, appelé Profondeurs abyssales.\r\n\r\nIl existe trois groupes distincts de monstres Abyssaux. Les Sans-lumière, les Sang-noir et la Légion de la Fosse, chaque zone contient généralement un de ces groupes.\r\nLa rareté des monstres qui apparaissent dépend de la rareté des monstres affaiblis éliminés, et l'Abyssal émergeant vole certains ou parfois tous leurs modificateurs.\r\n\r\nSi une zone contient déjà un Abysse, les modificateurs qui permettent aux zones de contenir des Abysses supplémentaires ajoutent à la place deux fosses supplémentaires.","Ein Abgrund ist eine Grube, welche tief in den Untergrund führt und über mehrere von sich abzweigende Spalten verfügt. Jegliche Monster, die im Umkreis eines Abgrunds erscheinen, werden davon geschwächt.\r\nDas Besiegen dieser geschwächten Monster bringt die Spalten dazu, sich zu schließen.\r\nWenn alle Spalten bis zur Grube geschlossen sind, wird die Grube aktiviert und lässt eine große Anzahl von abgründigen Monstern erscheinen. Das Besiegen dieser Monster versiegelt die Grube.\r\n\r\nJede geschlossene Grube hat eine Chance, einen Abgründigen Schatz erscheinen zu lassen. Der letzte Abgrund in einem Gebiet hat stattdessen die Chance, einen Untergrund-Dungeon zu öffnen, die sogenannten [AbyssalDepths|Abgründigen Tiefen].\r\n\r\nEs gibt drei separate Gruppen von abgründigen Monstern. Die Lichtlosen, die Schwarzblütigen und die Legion der Grube; jedes Gebiet enthält standardmäßig eine dieser Gruppen.\r\nDie Seltenheit der erschienenen Monster hängt von der Seltenheit der besiegten geschwächten Monster ab, und die hervorkommenden Abgründigen stehlen einige oder alle Modifikatoren von ihnen.\r\n\r\nWenn ein Gebiet bereits einen Abgrund enthält, fügen Modifikatoren, durch die Gebiete zusätzliche Abgründe enthalten, stattdessen zwei zusätzliche Gruben hinzu.","アビスとは地底深くに通じる穴とそれから分岐する複数の亀裂からできている。アビスの近くにスポーンした全てのモンスターはそれにより弱くなる。この弱くなったモンスターを倒すと、亀裂が閉じる。穴に通じる亀裂をすべて閉じると、穴が起動し、大量のアビサルモンスターをスポーンさせる。このモンスターを倒すことで穴を閉じることができる。\r\n\r\n閉じた穴は一定確率でアビスの宝箱をスポーンさせる。エリアの最後のアビスは一定確率で代わりに、[AbyssalDepths|アビスの深淵]と呼ばれる地底のダンジョンへの入り口となることがある。\r\n\r\nアビサルモンスターには3つの異なるグループがある。ライトレス、ブラックブラッド、リージョンオブピットである。それぞれのエリアにはこのグループのうち1種類が出現する。スポーンするモンスターのレアリティは倒した弱くなったモンスターのレアリティに依存し、出現するアビサルは弱くなったモンスターからモッドの一部またはすべてを盗む。\r\n\r\nエリアにすでにアビスが出現する場合、エリアに追加のアビスを出現させるモッドは代わりに穴を追加で2個追加する。","심연은 지하 깊은 곳으로 통하는 구덩이로, 여러 갈래의 균열이 뻗어 나와 있습니다. 심연 근처에서 생성되는 몬스터는 심연으로 인해 약화됩니다.\r\n이처럼 약해진 몬스터를 처치하면 균열들이 닫힙니다.\r\n균열이 모두 닫히고 구덩이만 남으면, 구덩이가 활성화되어 심연의 몬스터가 마구 쏟아져 나옵니다.\r\n\r\n구덩이를 닫을 때마다 일정 확률로 심연의 발견물이 나타납니다. 지역 내의 마지막 심연에서는 일정 확률로 [AbyssalDepths|심연 지하]라는 지하 던전이 열립니다.\r\n\r\n심연의 몬스터는 세 종류로 나뉩니다. 무광의 몬스터, 검은 피의 몬스터, 구덩이의 군단이며 지역마다 대체로 이 셋 중 한 종류가 등장합니다.\r\n생성되는 몬스터들의 희귀도는 처치한 약한 몬스터의 희귀도에 따라 정해지고, 나타나는 심연의 존재는 그 몬스터의 속성을 일부 또는 전부 빼앗습니다.\r\n\r\n이미 심연이 있는 지역의 경우, 지역에 심연이 추가로 등장하게 하는 속성은 구덩이를 2개 추가하는 효과로 바뀌어 적용됩니다.","Um Abismo é um fosso profundo no chão de onde fendas se ramificam. Todo monstro gerado perto de um Abismo ficará enfraquecido por ele.\r\nDerrotar esses monstros enfraquecidos fará as fendas se fecharem.\r\nQuando as fendas se fecharem até o fundo do fosso, ele se ativará e gerará uma grande quantidade de monstros abissais. Derrotar todos os monstros fecha o fosso.\r\n \r\nCada fosso fechado pode gerar um Repositório Abissal. O último Abismo na área pode abrir uma masmorra subterrânea chamada [AbyssalDepths|Profundezas Abissais].\r\n \r\nExistem três tipos de grupos de monstros abissais: os Obscurecidos, os Sangue-negro e a Legião do Fosso; cada área geralmente contém apenas um desses grupos.\r\nA raridade dos monstros gerados depende da dos monstros enfraquecidos derrotados, e o Abissal que surgir poderá roubar alguns ou todos os modificadores deles.\r\n \r\nSe uma área já possuir um Abismo, modificadores que fazem com que áreas contenham Abismos adicionais adicionarão, em vez disso, dois fossos adicionais.","Бездна – это провал, который ведёт глубоко под землю, с несколькими расходящимися от него трещинами. Любые монстры, появившиеся рядом с Бездной, будут ослаблены ею.\r\nПобеда над этими ослабленными монстрами закроет трещины.\r\nКак только трещины закроются до самого провала, провал активируется и породит большое число монстров Бездны. Победа над этими монстрами закроет провал.\r\n\r\nВ каждом закрытом провале может появиться клад Бездны. Последняя Бездна в области может вместо этого открыть подземелье под названием [AbyssalDepths|Глубины Бездны].\r\n\r\nЕсть три отдельные группы свойств Бездны: Бессветные, Чернокровные и Легион провала. В каждой области обычно встречается одна из этих групп.\r\nРедкость появляющихся монстров зависит от редкости убитых ослабленных монстров, и появляющиеся обитатели Бездны похитят некоторые или все их свойства.\r\n\r\nЕсли в области уже есть Бездна, то свойства, добавляющие в области дополнительные Бездны, вместо этого будут добавлять два дополнительных провала.","Un abismo es un foso que conduce a las profundidades de la tierra y que tiene varias fisuras que se ramifican desde él. Los monstruos que se generen cerca de un abismo estarán debilitados por él.\r\nSi derrotas a esos monstruos debilitados, las fisuras se cerrarán.\r\nUna vez que las fisuras estén cerradas, el foso se activará y generará una gran cantidad de monstruos abisales. Si derrotas a esos monstruos, el foso se cerrará.\r\n\r\nCada foso cerrado tiene una probabilidad de generar un tesoro abisal. El último abismo del área tiene una probabilidad de abrir una mazmorra subterránea llamada [AbyssalDepths|Profundidades abisales].\r\n\r\nHay tres grupos de monstruos abisales diferentes: los Oscuros, los Sangrenegra y los de la Legión del foso. Cada área contiene generalmente a uno de estos grupos.\r\nLa rareza de los monstruos que se generan depende de la rareza de los monstruos debilitados derrotados, y los abisales que emergen robarán algunos o todos los modificadores de ellos.\r\n\r\nSi un área ya tiene un abismo, los modificadores que hacen que las áreas contengan abismos adicionales, en su lugar, agregarán dos abismos adicionales.","อะบิส คือหลุมที่ลงลึกไปสู่ใต้ดินที่มีรอยแยกมากมายแตกแขนงออกมา มอนสเตอร์ที่ถูกสร้างขึ้นมาใกล้กับอะบิสจะอ่อนแอ\r\nการสยบมอนสเตอร์อ่อนแอเหล่านี้จะทำให้รอยแยกปิดตัว\r\nเมื่อรอยแยกปิดไปถึงหลุมแล้ว หลุมจะทำงานแล้วเรียกมอนสเตอร์อะบิสจำนวนมากออกมา การสยบมอนสเตอร์เหล่านี้ให้ครบจะปิดหลุม\r\n\r\nหลุมที่ปิดแต่ละหลุมจะมีโอกาสเรียกขุมทรัพย์อะบิส อะบิสสุดท้ายในด่านจะมีโอกาสเปิดดันเจี้ยนใต้ดินที่มีชื่อว่า[AbyssalDepths|เบื้องลึกอะบิส]ขึ้นมา\r\n\r\nมอนสเตอร์อะบิสแบ่งออกเป็น 3 กลุ่มด้วยกัน: ผู้สิ้นแสง, ผู้มีโลหิตดำ และกองทัพแห่งหลุม โดยแต่ละด่านมักจะมีกลุ่มใดกลุ่มหนึ่งอยู่เสมอ\r\nมอนสเตอร์ที่ถูกเรียกขึ้นมาจะมีระดับความหายากเหมือนกับมอนสเตอร์อ่อนแอที่ถูกสังหาร และมอนสเตอร์อะบิสที่ปรากฏตัวจะขโมยม็อดบางส่วนหรือม็อดทั้งหมดมาจากพวกมัน\r\n\r\nหากด่านใดมีอะบิสอยู่แล้ว ม็อดที่จะทำให้ด่านมีอะบิสเพิ่มเติมจะทำให้มีหลุมเพิ่มเติม 2 หลุมแทน","深淵是一個通往地底深處的坑洞，並從中延伸出多道裂縫。任何在深淵附近生成的怪物都會受到其削弱。擊敗這些受到削弱的怪物將會導致裂縫閉合。一旦裂縫全部閉合至坑洞處，坑洞將會啟動並生成大量的深淵怪物。擊敗這些怪物將會關閉坑洞。\r\n\r\n每個關閉的坑洞都有機率生成一個深淵寶庫。該區域中的最後一個深淵，有機率開啟一個名為無盡深淵的地底地城。\r\n\r\n深淵怪物共有三個獨立的族群：無光族、黑血族以及深淵軍團，每個區域通常只會包含其中一個族群。\r\n生成怪物的稀有度取決於所擊殺之被削弱怪物的稀有度，而新出現的深淵怪物將會竊取來自它們的部分或全部詞綴。\r\n\r\n如果該區域已經存在一個深淵，則那些會使區域包含額外深淵的詞綴，將改為增加兩個額外的深淵坑洞。","","","",""
14,"AbyssalCrystal","Abyssal Crystal","Cristal abyssal","Abgrund-Kristall","アビサルクリスタル","심연 수정","Cristal Abissal","Кристалл Бездны","Cristal abisal","คริสตัลอะบิส","深淵水晶","Each Abyssal Crystal spawned increases the difficulty and reward of all subsequent Abyssal Monsters spawned from Pits.","Chaque Cristal abyssal généré augmente la difficulté et les récompenses de tous les Monstres abyssaux ultérieurs générés par les Fosses.","Jeder beschworene Abgrund-Kristall erhöht den Schwierigkeitsgrad und die Belohnung aller nachfolgenden Abgrund-Monster, die aus den Gruben erscheinen.","スポーンしたアビサルクリスタルの数ごとにその後の穴からスポーンするアビサルモンスターの難易度と報酬が増加する。","생성되는 심연 수정의 수에 따라 이후 구덩이에서 생성되는 모든 심연 몬스터의 난이도와 보상이 증가합니다.","A cada Cristal Abissal gerado, a dificuldade e a recompensa de todos os monstros abissais subsequentes que surgem dos Fossos aumentam.","Каждый появившийся кристалл Бездны повышает сложность и награды всех последующих монстров Бездны, появляющихся из провалов.","Cada cristal abisal que se genera aumenta la dificultad y las recompensas de todos los monstruos abisales subsiguientes que se generen en los fosos.","คริสตัลอะบิส แต่ละชิ้นที่ถูกสร้างจะเพิ่มระดับความยากและของรางวัลของมอนสเตอร์อะบิสอื่นๆ ที่ถูกเรียกขึ้นมาจากหลุม","每粉碎一個深淵水晶，都會提高隨後從坑洞中生成的所有深淵怪物的難度與獎勵。","","","",""
15,"AbyssalConsort","Abyssal Consort","Consort abyssal","Abgründige Gemahlin","アビサルコンソート","심연의 배우자","Consorte Abissal","Спутники Бездны","Consorte abisal","คู่ครองอะบิส","深淵伴侶","Abyssal Consorts gain additional modifiers, difficulty and reward for each prior Abyss pit that has opened.","Les Consorts abyssaux gagnent des modificateurs supplémentaires et ont une augmentation de difficulté et de récompenses pour chaque Fosse d'Abysse déjà ouverte.","Abgründige Gemahlinnen erhalten zusätzliche Modifikatoren, Schwierigkeit und Belohnungen für jede vorherige geöffnete Grube.","アビサルコンソートはそれまでに開かれたアビスの穴の数ごとに追加のモッドを獲得し、難易度と報酬が上がる。","심연의 배우자는 이전에 연 심연 구덩이 수에 따라 추가 속성과 난이도, 보상을 획득합니다.","As Consortes Abissais ganham modificadores, aumento da dificuldade e recompensas adicionais para cada Fosso do Abismo anterior que tenha sido aberto.","У спутников Бездны появляются новые свойства, растет сложность и повышаются награды за каждый открывшийся до этого провал Бездны.","Las consortes abisales ganan modificadores, dificultad y recompensas adicionales por cada foso abisal previo que se haya abierto.","คู่ครองอะบิส มีม็อด ระดับความยาก และของรางวัลเพิ่มเติมตามจำนวนหลุมอะบิสที่ถูกปิดก่อนหน้านี้","深淵伴侶會根據先前每一已關閉的坑洞獲得額外詞綴、難度、和獎勵。","","","",""
16,"AbyssalSkitterlock","Abyssal Skitterlock","Coffre grouillant abyssal","Abgründige Skarabäentruhe","アビサルスキッターロック","심연의 자물쇠함","Escarafuncho Abissal","Копошащийся сундук Бездны","Arcón escurridizo abisal","หีบล็อกเสียงแมลงอะบิส","深淵掠行寶庫","Abyssal Skitterlocks are chests filled with Scarabs.","Les Coffres grouillants abyssaux sont des coffres remplis de Scarabées.","Abgründige Skarabäentruhen sind Truhen, die mit Skarabäen gefüllt sind.","アビサルスキッターロックはスカラベが入っている宝箱である。","심연의 자물쇠함은 갑충석으로 가득 차 있습니다.","Escarafunchos Abissais são baús cheios de escaravelhos.","Копошащиеся сундуки Бездны наполнены скарабеями.","Los arcones escurridizos abisales son cofres llenos de escarabajos.","หีบล็อกเสียงแมลงอะบิส เป็นหีบที่เต็มไปด้วยสคารับ","深淵掠行寶庫為裝滿了聖甲蟲的寶箱。","","","",""
17,"AbyssFactionUlaman","Ulaman Faction","Faction d'Ulaman","Anhänger von Ulaman","ウラマンの派閥","울라만 진영","Facção Ulaman","Фракция Уламана","Facción de Ulaman","ฝ่ายอูลามาน","烏拉曼勢力","If monsters are loyal to Ulaman, Abyssal Troves drop Jewellery, [MurderousEyeJewel|Murderous Eye Jewels] and [SearchingEyeJewel|Searching Eye Jewels].","Si les monstres sont fidèles à Ulaman, les Trésors abyssaux cèdent des Accessoires, des [MurderousEyeJewel|Joyaux œil funeste] et des [SearchingEyeJewel|Joyaux œil scrutateur].","Wenn Monster Anhänger von Ulaman sind, lassen Abgründige Schätze Schmuck, [MurderousEyeJewel|Juwelen der mörderischen Augen] und [SearchingEyeJewel|Juwelen der suchenden Augen] fallen.","モンスターがウラマンに忠誠を誓うものである場合、アビスの宝箱は宝飾品、[MurderousEyeJewel|凶暴な眼のジュエル]および[SearchingEyeJewel|探索する眼のジュエル]をドロップする。","몬스터가 울라만에게 충성하면, 심연의 발견물에서 장신구와 [MurderousEyeJewel|살인적인 눈 주얼], [SearchingEyeJewel|탐색하는 눈 주얼]이 떨어집니다.","Se os monstros forem leais a Ulaman, os Repositórios Abissais largam pedrarias, [MurderousEyeJewel|Joias Olho Assassino] e [SearchingEyeJewel|Joias Olho Perscrutador].","Если монстры верны Уламану, то из кладов Бездны выпадает бижутерия, [MurderousEyeJewel|самоцветы кровожадного глаза] и [SearchingEyeJewel|самоцветы пытливого глаза].","Si los monstruos son leales a Ulaman, los tesoros abisales arrojarán joyería, [MurderousEyeJewel|joyas del Ojo asesino] y [SearchingEyeJewel|joyas del Ojo observador].","หากมอนสเตอร์ภักดีต่ออูลามาน ขุมทรัพย์อะบิสจะดรอปเครื่องประดับ, [MurderousEyeJewel|จิวเวล Murderous Eye] และ [SearchingEyeJewel|จิวเวล Searching Eye]","若怪物忠於烏拉曼，深淵寶庫會掉落飾品、[MurderousEyeJewel|殺戮之眼珠寶]、和[SearchingEyeJewel|勘查之眼珠寶]。","","","",""
18,"AbyssFactionAmanamu","Amanamu Faction","Faction d'Amanamu","Anhänger von Amanamu","アマナムの派閥","아마나무 진영","Facção Amanamu","Фракция Аманаму","Facción de Amanamu","ฝ่ายอามานามู","阿姆那姆勢力","If monsters are loyal to Amanamu, Abyssal Troves drop Armour items and [GhastlyEyeJewel|Ghastly Eye Jewels].","Si les monstres sont fidèles à Amanamu, les Trésors abyssaux cèdent des Pièces d'armure et des [GhastlyEyeJewel|Joyaux œil livide].","Wenn Monster Anhänger von Amanamu sind, lassen Abgründige Schätze Rüstungsgegenstände und [GhastlyEyeJewel|Juwelen der angsteinflößenden Augen] fallen.","モンスターがアマナムに忠誠を誓うものである場合、アビスの宝箱は防具アイテム、[GhastlyEyeJewel|恐怖の眼のジュエル]をドロップする。","몬스터가 아마나무에게 충성하면, 심연의 발견물에서 방어구 아이템과 [GhastlyEyeJewel|무시무시한 눈 주얼]이 떨어집니다.","Se os monstros forem leais a Amanamu, os Repositórios Abissais largam itens de armadura e [GhastlyEyeJewel|Joias Olho Medonho].","Если монстры верны Аманаму, то из кладов Бездны выпадают доспехи и [GhastlyEyeJewel|самоцветы призрачного глаза].","Si los monstruos son leales a Amanamu, los tesoros abisales arrojarán objetos de armadura y [GhastlyEyeJewel|joyas del Ojo fantasmal].","หากมอนสเตอร์ภักดีต่ออูลามาน ขุมทรัพย์อะบิสจะดรอปไอเทมเกราะและ[GhastlyEyeJewel|จิวเวล Ghastly Eye]","若怪物忠於阿姆那姆，深淵寶庫會掉落護甲物品和[GhastlyEyeJewel|極懼之眼珠寶]。","","","",""
19,"AbyssFactionKurgal","Kurgal Faction","Faction de Kurgal","Anhänger von Kurgal","クルガルの派閥","쿠르갈 진영","Facção Kurgal","Фракция Каргала","Facción de Kurgal","ฝ่ายเคอร์กัล","柯戈勢力","If monsters are loyal to Kurgal, Abyssal Troves drop Weapon items and [HypnoticEyeJewel|Hypnotic Eye Jewels].","Si les monstres sont fidèles à Kurgal, les Trésors abyssaux cèdent des Pièces d'armure et des [HypnoticEyeJewel|Joyaux œil hypnotique].","Wenn Monster Anhänger von Kurgal sind, lassen Abgründige Schätze Waffengegenstände und [HypnoticEyeJewel|Juwelen der hypnotisierenden Augen] fallen.","モンスターがクルガルに忠誠を誓うものである場合、アビスの宝箱は武器アイテム、[HypnoticEyeJewel|催眠の眼のジュエル]をドロップする。","몬스터가 쿠르갈에게 충성하면, 심연의 발견물에서 방어구 아이템과 [HypnoticEyeJewel|최면 거는 눈 주얼]이 떨어집니다.","Se os monstros forem leais a Kurgal, os Repositórios Abissais largam itens de armas e [HypnoticEyeJewel|Joias Olho Hipnótico].","Если монстры верны Каргалу, то из кладов Бездны выпадает оружие и [HypnoticEyeJewel|самоцветы гипнотического глаза].","Si los monstruos son leales a Kurgal, los tesoros abisales arrojarán objetos de arma y [HypnoticEyeJewel|joyas del ojo hipnótico].","หากมอนสเตอร์ภักดีต่อเคอร์กัล ขุมทรัพย์อะบิสจะดรอปไอเทมอาวุธและ[HypnoticEyeJewel|จิวเวล Hypnotic Eye]","若怪物忠於柯戈，深淵寶庫會掉落武器物品和[HypnoticEyeJewel|催眠之眼珠寶]。","","","",""
