"rownum","Id","Monster","Tier","i32_28","[i32]_32","Achievements","SeedAnimation","i32_72","HatchAnimation","SeedType","bool_88"
23,"ParasiteT2Green",8549,2,2,"[130,140,150]",[7062],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
24,"ScorpionT2Green",8551,2,1,"[130,140,150]",[7063],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
25,"PlagueSpiderT2Green",8553,2,1,"[130,140,150]",[7064],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
26,"BlackstriderT3Green",8556,3,1,"[130,140,150]",[7124],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
27,"SquidT3Green",8558,3,1,"[130,140,150]",[7125],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
28,"VultureParasiteT3Green",8561,3,1,"[130,140,150]",[7126],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
29,"PlatedScorpionT3Green",8565,3,1,"[130,140,150]",[7127],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
30,"DevourerT3Green",8568,3,1,"[130,140,150]",[7128],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_03/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
31,"CatBoss",8622,4,1,"[130,260,300]",[],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/boss/scale_boss_03.ao",100,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/boss/scale_boss_hatch.ao",2,""
32,"RhoaT1Blue",8569,1,1,"[130,150,220]",[7030],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3,""
33,"SandspitterT1Blue",8572,1,2,"[130,150,220]",[7031],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3,""
34,"RegurgitatorT1Blue",8575,1,1,"[130,150,220]",[7032],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3,""
35,"FrogT1Blue",8578,1,1,"[130,150,220]",[7033],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3,""
36,"AntT1Blue",8581,1,2,"[130,150,220]",[7034],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_01/bulb_tier01_hatch.ao",3,""
37,"RhexT2Blue",8583,2,2,"[130,150,220]",[7065],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3,""
38,"ShieldcrabT2Blue",8585,2,1,"[130,150,220]",[7066],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3,""
39,"DevourerSnakeT2Blue",8587,2,1,"[130,150,220]",[7067],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",66,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3,""
40,"IguanaT2Blue",8588,2,1,"[130,150,220]",[7068],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",60,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3,""
41,"SandLeaperT2Blue",8590,2,2,"[130,150,220]",[7069],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_03.ao",54,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_03/bulb_tier03_hatch.ao",3,""
42,"RhexT3Blue",8592,3,1,"[130,150,220]",[7129],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3,""
43,"NessaCrabT3Blue",8595,3,1,"[130,150,220]",[7130],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",82,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3,""
44,"KitavaDemonT3Blue",8598,3,1,"[130,150,220]",[7131],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",82,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3,""
45,"GoatmanT3Blue",8600,3,1,"[130,150,220]",[7132],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3,""
46,"LanternMinerT3Blue",8603,3,1,"[130,150,220]",[7133],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3,""
47,"BirdBoss",8624,4,1,"[130,260,300]",[],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/boss/bulb_boss_03.ao",80,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/boss/bulb_boss_hatch.ao",3,""
48,"FaridunMonsterRed",10491,3,1,"[110,150,175]",[],"Metadata/Effects/Spells/monsters_effects/League_Faridun/Seeds/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,1
49,"FaridunMonsterGreen",10492,3,1,"[130,140,150]",[],"Metadata/Effects/Spells/monsters_effects/League_Faridun/Seeds/scale_tier03_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,1
50,"FaridunMonsterBlue",10493,3,1,"[130,150,220]",[],"Metadata/Effects/Spells/monsters_effects/League_Faridun/Seeds/bulb_tier02_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/bulb/tier_02/bulb_tier02_hatch.ao",3,1
