"rownum","Id","WorldAreasKey","MonsterVarietiesKeys","[i32]_40"
182,"ProxyKey183",675,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
183,"ProxyKey184",676,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
184,"ProxyKey185",666,[4959],[2158]
185,"ProxyKey186",667,[4959],[2158]
186,"ProxyKey187",668,[4959],[2158]
187,"ProxyKey188",669,[4959],[2158]
188,"ProxyKey189",670,[4959],[2158]
189,"ProxyKey190",671,[4959],[2158]
190,"ProxyKey191",672,[4959],[2158]
191,"ProxyKey192",673,[4959],[2158]
192,"ProxyKey193",674,[4959],[2158]
193,"ProxyKey194",675,[4959],[2158]
194,"ProxyKey195",676,[4959],[2158]
195,"ProxyKey196",738,"[4940,4939,4942]",[1274]
196,"ProxyKey197",739,"[4940,4939,4942]",[1274]
197,"ProxyKey198",740,"[4940,4939,4942]",[1274]
198,"ProxyKey199",741,"[4940,4939,4942]",[1274]
199,"ProxyKey200",742,"[4940,4939,4942]",[1274]
200,"ProxyKey201",743,"[4940,4939,4942]",[1274]
201,"ProxyKey202",744,"[4940,4939,4942]",[1274]
202,"ProxyKey203",745,"[4940,4939,4942]",[1274]
203,"ProxyKey204",746,"[4940,4939,4942]",[1274]
204,"ProxyKey205",747,"[4940,4939,4942]",[1274]
205,"ProxyKey206",748,"[4940,4939,4942]",[1274]
206,"ProxyKey207",738,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
207,"ProxyKey208",739,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
208,"ProxyKey209",740,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
209,"ProxyKey210",741,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
210,"ProxyKey211",742,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
211,"ProxyKey212",743,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
212,"ProxyKey213",744,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
213,"ProxyKey214",745,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
214,"ProxyKey215",746,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
215,"ProxyKey216",747,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
216,"ProxyKey217",748,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
217,"ProxyKey218",738,[4959],[2158]
218,"ProxyKey219",739,[4959],[2158]
219,"ProxyKey220",740,[4959],[2158]
220,"ProxyKey221",741,[4959],[2158]
221,"ProxyKey222",742,[4959],[2158]
222,"ProxyKey223",743,[4959],[2158]
223,"ProxyKey224",744,[4959],[2158]
224,"ProxyKey225",745,[4959],[2158]
225,"ProxyKey226",746,[4959],[2158]
226,"ProxyKey227",747,[4959],[2158]
227,"ProxyKey228",748,[4959],[2158]
228,"ProxyKey230",134,"[1589,1583,1586]","[18924,0]"
229,"ProxyKey231",134,"[1598,1597,1596]","[19088,0]"
230,"ProxyKey232",124,"[1142,4064,1140]",[2158]
231,"ProxyKey233",124,"[2041,2043,731,733,5002]","[7942,0]"
232,"ProxyKey234",133,[1989],[984]
233,"ProxyKey236",117,"[306,5661,4445,861]",[19478]
234,"ProxyKey4",215,"[967,1496,2006,2020,4391]","[7942,0]"
235,"ProxyKey235",215,"[4064,1953]",[2158]
236,"ProxyKey252",268,"[967,1496,2006,2020,4391]","[7942,0]"
237,"ProxyKey253",268,"[4064,1953]",[2158]
238,"ProxyKey237",134,"[2870,2871,2872,1523,1505,1506,1334,1359,1395,1333]",[19088]
239,"ProxyKey238",134,"[5575,5576,5577,1398,1350,1355,1325,1330,1948,1952]",[18924]
240,"ProxyKey239",136,"[1964,4052]",[20336]
241,"ProxyKey240",140,"[1569,1554]","[20446,0,20482]"
242,"ProxyKey241",140,"[6097,6093,6100]",[20628]
243,"ProxyKey243",148,"[3856,1967,1969,3858]",[20752]
244,"ProxyKey244",148,"[1651,1652,1031,5663]",[20878]
245,"ProxyKey245",148,"[6175,1492,2096,2098]",[21008]
246,"ProxyKey242",148,"[4344,4339,4349,4644,614,616,777,779]",[21204]
247,"ProxyKey246",38,"[127,192,971,144,2807,4119]",[21360]
248,"ProxyKey247",38,"[658,631,678,810,836,799,306,443,1663,1669]",[21588]
249,"ProxyKey248",53,"[1385,1384,1390,1321,1376]",[21730]
250,"ProxyKey249",53,"[1384,1464,1478,1482,1485]",[21882]
251,"ProxyKey250",1545,"[1142,4064,1140]",[2158]
252,"ProxyKey251",1545,"[2041,2043,731,733,5002]","[7942,0]"
