"rownum","Id","i32_8","Stats","StatsValues","CraftingItemType","i32_60","CorpsesNotConsumed","CraftingItemTypes","Achievements","MatchingMonsters"
67,"RarerAttributeModWeighting2",68,[20076],[300],"",0,"",[],"[10323,10337]",0
68,"RarerResistanceModWeighting1",69,[20077],[100],"",0,"",[],"[10323,10337]",0
69,"RarerResistanceModWeighting2",70,[20077],[300],"",0,"",[],"[10323,10337]",0
70,"RarerGemModWeighting1",71,[20078],[100],"",0,"",[],"[10323,10337]",0
71,"RarerGemModWeighting2",72,[20078],[300],"",0,"",[],"[10323,10337]",0
72,"RequiresStr",73,[19949],[1],"",0,"",[],[],0
73,"DoesntRequireStr",74,[19950],[1],"",0,"",[],[],0
74,"RequiresDex",75,[19951],[1],"",0,"",[],[],0
75,"DoesntRequireDex",76,[19952],[1],"",0,"",[],[],0
76,"RequiresInt",77,[19953],[1],"",0,"",[],[],0
77,"DoesntRequireInt",78,[19954],[1],"",0,"",[],[],0
78,"PhysicalModCondensing1",79,[20048],[50],"",0,"",[],"[10322,10336]",0
79,"PhysicalModCondensing2",80,[20048],[100],"",0,"",[],"[10322,10336]",0
80,"FireModCondensing1",81,[20049],[50],"",0,"",[],"[10322,10336]",0
81,"FireModCondensing2",82,[20049],[100],"",0,"",[],"[10322,10336]",0
82,"ColdModCondensing1",83,[20050],[50],"",0,"",[],"[10322,10336]",0
83,"ColdModCondensing2",84,[20050],[100],"",0,"",[],"[10322,10336]",0
84,"LightningModCondensing1",85,[20051],[50],"",0,"",[],"[10322,10336]",0
85,"LightningModCondensing2",86,[20051],[100],"",0,"",[],"[10322,10336]",0
86,"ChaosModCondensing1",87,[20052],[50],"",0,"",[],"[10322,10336]",0
87,"ChaosModCondensing2",88,[20052],[100],"",0,"",[],"[10322,10336]",0
88,"LifeModCondensing1",89,[20009],[50],"",0,"",[],"[10322,10336]",0
89,"LifeModCondensing2",90,[20009],[100],"",0,"",[],"[10322,10336]",0
90,"ManaModCondensing1",91,[20053],[50],"",0,"",[],"[10322,10336]",0
91,"ManaModCondensing2",92,[20053],[100],"",0,"",[],"[10322,10336]",0
92,"AttackModCondensing1",93,[20054],[25],"",0,"",[],"[10322,10336]",0
93,"AttackModCondensing2",94,[20054],[50],"",0,"",[],"[10322,10336]",0
94,"CasterModCondensing1",95,[20055],[25],"",0,"",[],"[10322,10336]",0
95,"CasterModCondensing2",96,[20055],[50],"",0,"",[],"[10322,10336]",0
96,"ElementalModCondensing1",97,[20008],[25],"",0,"",[],"[10322,10336]",0
97,"ElementalModCondensing2",98,[20008],[50],"",0,"",[],"[10322,10336]",0
98,"DefencesModCondensing1",99,[20056],[50],"",0,"",[],"[10322,10336]",0
99,"DefencesModCondensing2",100,[20056],[100],"",0,"",[],"[10322,10336]",0
100,"CriticalModCondensing1",101,[20057],[50],"",0,"",[],"[10322,10336]",0
101,"CriticalModCondensing2",102,[20057],[100],"",0,"",[],"[10322,10336]",0
102,"SpeedModCondensing1",103,[20058],[50],"",0,"",[],"[10322,10336]",0
103,"SpeedModCondensing2",104,[20058],[100],"",0,"",[],"[10322,10336]",0
104,"AttributeModCondensing1",105,[20059],[50],"",0,"",[],"[10322,10336]",0
105,"AttributeModCondensing2",106,[20059],[100],"",0,"",[],"[10322,10336]",0
106,"ResistanceModCondensing1",107,[20060],[50],"",0,"",[],"[10322,10336]",0
107,"ResistanceModCondensing2",108,[20060],[100],"",0,"",[],"[10322,10336]",0
108,"GemModCondensing1",109,[20061],[50],"",0,"",[],"[10322,10336]",0
109,"GemModCondensing2",110,[20061],[100],"",0,"",[],"[10322,10336]",0
110,"MinionModCondensing1",111,[20062],[50],"",0,"",[],"[10322,10336]",0
111,"MinionModCondensing2",112,[20062],[100],"",0,"",[],"[10322,10336]",0
112,"ReplaceWithRandomMod",113,[19992],[1],"",0,"",[],[],0
113,"Perandus1",114,[20019],[1],0,2,"",[],[],0
114,"Perandus2",115,[20020],[1],0,2,"",[],[],0
115,"Perandus3",116,[20021],[1],0,2,"",[],[],0
116,"Perandus4",117,[20022],[1],0,2,"",[],[],0
117,"AdditionalItemChance",118,[20039],[20],"",0,"",[],[],0
118,"RerollExplicitValuesKeepBest1",119,[20092],[3],"",0,"",[],"[10325,10339]",0
119,"RerollExplicitValuesKeepBest2",120,[20092],[6],"",0,"",[],"[10325,10339]",0
120,"RowEffect",121,[20118],[25],"",1,"",[],"[10320,10334]",0
121,"ColumnEffect",122,[20119],[25],"",1,"",[],"[10320,10334]",0
122,"Veruso1",123,[20152],[1],2,2,"",[],[],0
123,"Veruso2",124,[20153],[1],2,2,"",[],[],0
124,"Veruso3",125,[20154],[1],2,2,"",[],[],0
125,"Veruso4",126,[20155],[1],2,2,"",[],[],0
126,"Phrecia1",127,[20194],[1],1,2,"",[],[],0
127,"Phrecia2",128,[20195],[1],1,2,"",[],[],0
128,"Phrecia3",129,[20196],[1],1,2,"",[],[],0
129,"Phrecia4",130,[20197],[1],1,2,"",[],[],0
130,"Nevalius1",131,[20198],[1],3,2,"",[],[],0
131,"Nevalius2",132,[20199],[1],3,2,"",[],[],0
132,"Nevalius3",133,[20200],[1],3,2,"",[],[],0
133,"Nevalius4",134,[20201],[1],3,2,"",[],[],0
134,"Grattus1",135,[20202],[1],4,2,"",[],[],0
135,"Grattus2",136,[20203],[1],4,2,"",[],[],0
136,"Grattus3",137,[20204],[1],4,2,"",[],[],0
137,"Grattus4",138,[20205],[1],4,2,"",[],[],0
138,"MorePrefixWeighting1",139,[20159],[100],"",0,"",[],"[10318,10332]",0
139,"MorePrefixWeighting2",140,[20159],[300],"",0,"",[],"[10318,10332]",0
140,"MoreSuffixWeighting1",141,[20160],[100],"",0,"",[],"[10318,10332]",0
141,"MoreSuffixWeighting2",142,[20160],[300],"",0,"",[],"[10318,10332]",0
142,"ItemLevelPlus",143,[20161],[1],"",0,"",[],[],0
143,"BreachRing",144,[20174],[1],720,0,"",[],"[10316,10330]",0
144,"StygianVise",145,[20175],[1],721,0,"",[],"[10316,10330]",0
145,"RerollSockets1",146,[20176],[30],"",0,"",[],"[10324,10338]",0
146,"RerollSockets2",147,[20176],[200],"",0,"",[],"[10324,10338]",0
147,"RerollLinks1",148,[20177],[20],"",0,"",[],"[10324,10338]",0
148,"RerollLinks2",149,[20177],[200],"",0,"",[],"[10324,10338]",0
149,"RerollBaseDefences1",150,[20178],[3],"",0,"",[],[],0
150,"RerollBaseDefences2",151,[20178],[6],"",0,"",[],[],0
151,"RerollImplicits1",152,[20179],[3],"",0,"",[],"[10325,10339]",0
152,"RerollImplicits2",153,[20179],[6],"",0,"",[],"[10325,10339]",0
153,"ExclusiveMods1",154,"[20184,20183]","[1,50]","",0,"",[],"[10312,10326,10319,10333]",0
154,"ExclusiveMods2",155,"[20184,20183]","[1,150]","",0,"",[],"[10312,10326,10319,10333]",0
155,"RuthlessRing",156,[20191],[1],"",0,"",[7],[],0
156,"RuthlessAmulet",157,[20192],[1],"",0,"",[6],[],0
157,"RuthlessBelt",158,[20193],[1],"",0,"",[5],[],0
158,"RollBaseTypeHigherLevel",159,[20206],[5],"",0,"",[],[],0
159,"BeastCorpseEffect",160,[20236],[40],"",1,"",[],"[10320,10334]",0
160,"UndeadCorpseEffect",161,[20237],[40],"",1,"",[],"[10320,10334]",0
161,"HumanoidCorpseEffect",162,[20238],[40],"",1,"",[],"[10320,10334]",0
162,"ConstructCorpseEffect",163,[20239],[40],"",1,"",[],"[10320,10334]",0
163,"DemonCorpseEffect",164,[20240],[40],"",1,"",[],"[10320,10334]",0
164,"BeastCorpsesNotConsumed",165,[20241],[5],"",1,1,[],"[10313,10327]",0
165,"UndeadCorpsesNotConsumed",166,[20242],[5],"",1,1,[],"[10313,10327]",0
166,"HumanoidCorpsesNotConsumed",167,[20243],[5],"",1,1,[],"[10313,10327]",0
167,"ConstructCorpsesNotConsumed",168,[20244],[5],"",1,1,[],"[10313,10327]",0
168,"DemonCorpsesNotConsumed",169,[20245],[5],"",1,1,[],"[10313,10327]",0
169,"ReplaceWithRandomModAOE",170,[20246],[1],"",1,"",[],[],0
170,"Split",171,[20270],[25],"",0,"",[],"[10314,10328]",0
171,"CorruptWithImplicitOutcomeChance",172,"[20272,20271]","[1,50]","",0,"",[],"[10319,10333,10321,10335]",0
172,"Mirror",173,[20273],[25],"",0,"",[],"[10314,10328]",0
173,"Talisman",174,[20377],[1],722,0,"",[],"[10316,10330]",0
174,"BoneRing",175,[20378],[1],714,0,"",[],"[10316,10330]",0
175,"MinionWand",176,[],[],"",0,"",[],"[10316,10330]",0
176,"RitualArmour",177,[20380],[1],"",0,"","[0,2,3]","[10316,10330]",0
177,"WardArmour",178,[20381],[1],"",0,"","[0,2,3]","[10316,10330]",0
178,"HeistWeapon",179,[20382],[1],"",0,"","[22,8,9,21,15,17,12,13,10,19,20,16,18,14]","[10316,10330]",0
179,"ShaperElderInfluence",180,"[20385,20387]","[1,200]","",0,"",[],"[10317,10331,10319,10333]",0
180,"ConquerorInfluence",181,"[20386,20387]","[1,200]","",0,"",[],"[10317,10331,10319,10333]",0
181,"VermillionRingIfMatchingMonster",182,"[20397,20398]","[1,1]",715,0,"",[],"[10316,10330]",1
182,"SellPriceImplicitIf2MatchingMonsters",183,"[20399,20398]","[1,2]","",0,"",[],[],2
183,"MinSocketsUpTo4",184,[20401],[1],"",0,"",[],[],0
184,"MinSocketsUpTo5",185,[20402],[1],"",0,"",[],[],0
185,"MinSocketsUpTo6",186,[20403],[1],"",0,"",[],[],0
186,"SteelRingIfMatchingMonster",187,"[20415,20398]","[1,1]",716,0,"",[],"[10316,10330]",1
187,"OpalRingIfMatchingMonster",188,"[20416,20398]","[1,1]",717,0,"",[],"[10316,10330]",1
188,"IoliteRingIfMatchingMonster",189,"[20417,20398]","[1,1]",718,0,"",[],"[10316,10330]",1
189,"CeruleanRingIfMatchingMonster",190,"[20418,20398]","[1,1]",719,0,"",[],"[10316,10330]",1
190,"ModCondensing",191,[20455],[50],"",0,"",[],"[10322,10336]",0
191,"GraspingMail",192,[20459],[1],788,0,"",[],"[10316,10330]",0
192,"SacrificialGarb",193,[20458],[1],789,0,"",[],"[10316,10330]",0
