"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
10,"GamepadTargetingRangedDescription","<subtitle>{Ranged}\r\nStay on target while avoiding dangers.\r\n\r\n<italic>{<subtitle>{Select to always use Ranged mode.}}","<subtitle>{À distance}\r\nVerrouiller la cible tout en évitant les dangers.\r\n\r\n<italic>{<subtitle>{Sélectionner pour toujours utiliser le mode À distance.}}","<subtitle>{Fernkampf}\r\nBleibt am Ziel und vermeidet Gefahren.\r\n\r\n<italic>{<subtitle>{Mit dieser Einstellung wird immer der Fernkampfmodus verwendet.}}","<subtitle>{遠距離}\r\n危険を回避しながら目標を狙い続けます。\r\n\r\n<italic>{<subtitle>{常に遠距離モードを使用するように設定}}","<subtitle>{원거리}\r\n위험을 피하면서 대상 지정을 유지합니다.\r\n\r\n<italic>{<subtitle>{선택하면 항상 원거리 모드를 사용합니다.}}","<subtitle>{À Distância} \r\nMantenha o alvo enquanto evita os perigos. \r\n\r\n<italic>{<subtitle>{Selecione para sempre usar o modo À Distância.}} ","<subtitle>{Дальний бой}\r\nСледите за целью, избегая опасностей.\r\n\r\n<italic>{<subtitle>{Выберите, чтобы всегда использовать режим дальнего боя.}}","<subtitle>{A distancia}\r\nMantiene al objetivo seleccionado mientras evita el peligro.\r\n\r\n<italic>{<subtitle>{Establécelo para utilizar siempre el modo A distancia.}}","<subtitle>{ระยะไกล}\r\nล็อกเป้าหมายพร้อมไปกับการเลี่ยงอันตราย\r\n\r\n<italic>{<subtitle>{เลือกเพื่อใช้โหมดระยะไกลเท่านั้น}}","<subtitle>{遠程}\r\n鎖定目標的同時避開危機。\r\n\r\n<italic>{<subtitle>{選擇永遠使用遠程模式。}}","","","","","","","","","","","",608349093,"",""
11,"GamepadTargetingCustomDescription","<subtitle>{Custom}\r\nFor those that prefer to create their own settings.","<subtitle>{Personnalisé}\r\nPour ceux qui préfèrent créer leurs propres réglages.","<subtitle>{Benutzerdefiniert}\r\nFür diejenigen, die es vorziehen, ihre eigenen Einstellungen zu erstellen","<subtitle>{カスタム}\r\nご自身で設定を作りたい方向け","<subtitle>{사용자 지정}\r\n직접 설정하고 싶은 분을 위한 모드입니다.","<subtitle>{Customizado}\r\nPara os que quiserem criar suas próprias configurações.","<subtitle>{Настраиваемый}\r\nДля желающих задать собственные настройки.","<subtitle>{Personalizado}\r\nPara quienes prefieren crear su propia configuración.","<subtitle>{ปรับแต่ง}\r\nสำหรับผู้ที่ต้องการตั้งค่าการเลือกเป้าหมายด้วยตนเอง","<subtitle>{自訂}\r\n讓玩家可自行設定。","","","","","","","","","","","",-1753098852,"",""
12,"GamepadTargetingCustomOptionLargeSelectionArea","Targeting Area","Zone de ciblage","Zielbereich","選択エリア","대상 지정 범위","Área Alvo","Область прицеливания","Área de selección de objetivos","พื้นที่การเลือกเป้าหมาย","目標選擇區域","","","","","","","","","","","",-1962261073,"",""
13,"GamepadTargetingCustomOptionDistanceWeighting","Range Bias ","Préférence de portée","Reichweitenorientierung","距離ウェイティング","거리 편향","Desvio de Alcance","Разброс расстояния","Preferencia del alcance","ความสำคัญของระยะ","範圍偏差","","","","","","","","","","","",-112815648,"",""
14,"GamepadTargetingCustomOptionAimOverrideSoftlock","{0} Softlock","{0} Verrouillage souple","{0} Softlock","{0} ソフトターゲットロック","{0} 대상 고정","{0} Trava Suave","{0} Мягкая блокировка","{0} Bloqueo suave","{0} ล็อกเป้าหมาย","{0} 軟鎖","","","","","","","","","","","",731132508,"",""
15,"GamepadTargetingCustomOptionPriortiseCombatDirection","Direction Priority","Priorité de direction","Richtungspriorität","優先戦闘方向","방향 우선순위","Prioridade Direcional","Приоритет направления","Prioridad de dirección","การให้ความสำคัญต่อทิศทาง","方向優先度","","","","","","","","","","","",-2067817830,"",""
16,"GamepadTargetingCustomOptionLargeSelectionAreaDesc","{0}\r\nAuto-targeting radius is biased toward your aim direction.\r\n\r\n{1}\r\nAuto-targeting radius is equal in all directions.","{0}\r\nLe rayon de ciblage automatique est biaisé vers la direction que vous visez.\r\n\r\n{1}\r\nLe rayon de ciblage automatique est le même dans toutes les directions.","{0}\r\nDer Radius der automatischen Zielerfassung ist auf deine Zielrichtung ausgerichtet.\r\n\r\n{1}\r\nDer Radius der automatischen Zielerfassung ist für alle Richtungen gleich.","{0}\r\n近くにいる敵または照準方向にいる敵のみ対象にできます。\r\n\r\n{1}\r\n周囲の広い範囲の敵を対象にできます。","{0}\r\n대상 자동 지정 반경이 조준 방향으로 치우칩니다.\r\n\r\n{1}\r\n대상 자동 지정 반경이 전 방향에서 동일합니다.","{0} \r\nO raio de mira automática é tendenciado para a direção do seu alvo.\r\n\r\n{1} \r\nO raio de mira automática é igual em todas as direções.","{0}\r\nРадиус автоматического выбора цели смещён к направлению вашего прицеливания.\r\n\r\n{1}\r\nРадиус автоматического выбора цели одинаков во всех направлениях.","{0}\r\nEl radio de la selección automática de objetivos tiene preferencia por la dirección en la que apuntas.\r\n\r\n{1}\r\nEl radio de la selección automática de objetivos es igual en todas las direcciones.","{0}\r\nเพิ่มรัศมีการเลือกเป้าหมายอัตโนมัติในทิศทางที่คุณเล็ง\r\n\r\n{1}\r\nการเลือกเป้าหมายอัตโนมัติมีรัศมีเท่ากันทุกทิศทาง","{0}\r\n自動鎖定範圍會偏向你瞄準的方向。\r\n\r\n{1}\r\n自動鎖定範圍在各方向下皆相同。","","","","","","","","","","","",-2002270167,"",""
17,"GamepadTargetingCustomOptionDistanceWeightingDesc","{0}\r\nDecreased Auto-target bias for nearby enemies.\r\n\r\n{1}\r\nIncreased Auto-target bias for nearby enemies.","{0}\r\nBiais de ciblage automatique réduit pour les ennemis proches.\r\n\r\n{1}\r\nBiais de ciblage automatique accru pour les ennemis proches.","{0}\r\nVerringerte automatische Zielerfassung für Gegner im Umkreis.\r\n\r\n{1}\r\nVerringerte automatische Zielerfassung für Gegner im Umkreis.","{0}\r\n照準方向が最優先されます。\r\n\r\n{1}\r\n近くの敵が対象になります。","{0}\r\n주변 적들에 대한 자동 대상 지정 편향이 감소합니다.\r\n\r\n{1}\r\n주변 적들에 대한 자동 대상 지정 편향이 증가합니다.","{0} \r\nTendência da mira automática reduzida para inimigos próximos.\r\n\r\n{1} \r\nTendência da mira automática aumentada para inimigos próximos.","{0}\r\nУменьшенный разброс автоматического нацеливания на ближайших врагов.\r\n\r\n{1}\r\nУвеличенный разброс автоматического нацеливания на ближайших врагов.","{0}\r\nLa preferencia de la selección automática de objetivos está reducida para los enemigos cercanos.\r\n\r\n{1}\r\nLa preferencia de la selección automática de objetivos está aumentada para los enemigos cercanos.","{0}\r\nเลือกเป้าหมายอัตโนมัติเป็นศัตรูที่อยู่ใกล้มากขึ้น\r\n\r\n{1}\r\nเลือกเป้าหมายอัตโนมัติเป็นศัตรูที่อยู่ใกล้น้อยลง","{0}\r\n減少鄰近敵人的自動鎖定偏差。\r\n\r\n{1}\r\n提高鄰近敵人的自動鎖定偏差","","","","","","","","","","","",-332289087,"",""
18,"GamepadTargetingCustomOptionAimOverrideSoftlockDesc","{0}\r\nTarget Softlock is disabled. Use {2} to aim manually on targets.\r\n\r\n{1}\r\nTarget Softlock is enabled. Use {2} to target lock an enemy for a short duration.","{0}\r\nLe verrouillage souple de cible est désactivé. Utilisez {2} pour viser manuellement les cibles.\r\n\r\n{1}\r\nLe verrouillage souple de cible est activé. Utilisez {2} pour verrouiller temporairement une cible.","{0}\r\nEinfache Zielarretierung ist deaktiviert. Verwende {2}, um manuell auf Ziele zu zielen.\r\n\r\n{1}\r\nEinfache Zielarretierung ist aktiviert. Verwende {2}, um einen Gegner für eine kurze Zeit zu arretieren.","{0}\r\n{2}がアクティブでなくなった後、通常の対象動作が再開されます。\r\n\r\n{1}\r\n{2}で敵一体を選択すると、一定時間、敵はターゲットロックされます。","{0}\r\n대상 고정을 사용하지 않습니다. {2} 사용 시 대상을 수동으로 조준합니다.\r\n\r\n{1}\r\n대상 고정을 사용합니다. {2} 사용 시 짧은 시간 동안 적이 대상으로 고정됩니다.","{0} \r\nTrava Suave de Alvo desativado. Use {2} para mirar manualmente nos alvos.\r\n\r\n{1} \r\nTrava Suave de Alvo ativado. Use {2} para travar a mira em um inimigo por um curto período.","{0}\r\nМягкая блокировка выбранной цели выключена. Цель задаётся вручную кнопкой {2}.\r\n\r\n{1}\r\nМягкая блокировка выбранной цели включена. Кнопка {2} задаёт врага в качестве цели на короткое время.","{0}\r\nEl bloqueo suave de objetivos está desactivado. Usa {2} para apuntar manualmente a los objetivos.\r\n\r\n{1}\r\nEl bloqueo suave de objetivos está activado. Usa {2} para fijar a un enemigo y bloquearlo como objetivo durante un breve periodo de tiempo.","{0}\r\nปิดการล็อกเป้าหมาย ใช้ {2} เพื่อเล็งเป้าหมายด้วยตัวเอง\r\n\r\n{1}\r\nเปิดการล็อกเป้าหมาย ใช้ {2} เพื่อล็อกเป้าหมายศัตรูเป็นระยะเวลาสั้นๆ","{0}\r\n已停用軟鎖。使用 {2} 來手動瞄準目標。\r\n\r\n{1}\r\n已啟用軟鎖。使用 {2} 以在短時間內鎖定一名敵人。","","","","","","","","","","","",-2096374788,"",""
19,"GamepadTargetingCustomOptionPriortiseCombatDirectionDesc","{0}\r\nAuto-targeting priortises your {2} move direction.\r\n\r\n{1}\r\nAuto-targeting priotises targets in the direction your character is facing.","{0}\r\nLe ciblage automatique privilégie votre direction de déplacement {2}.\r\n\r\n{1}\r\nLe ciblage automatique privilégie les cibles dans la direction que votre personnage regarde.","{0}\r\nDie automatische Zielerfassung bevorzugt deine {2} Bewegungsrichtung.\r\n\r\n{1}\r\nDie automatische Zielerfassung bevorzugt Ziele in der Richtung, in die dein Charakter blickt.","{0}\r\n{2} の移動方向が照準方向になります。\r\n\r\n{1}\r\n現在の対象が照準方向になります。","{0}\r\n자동 대상 지정이 {2} 이동 방향을 우선으로 합니다.\r\n\r\n{1}\r\n자동 대상 지정이 캐릭터가 바라보는 방향에 있는 대상을 우선으로 합니다.","{0} \r\nA mira automática prioriza sua direção de movimento {2}.\r\n\r\n{1} \r\nA mira automática prioriza alvos na direção que seu personagem está enfrentando.","{0}\r\nАвтоматическое нацеливание отдаёт приоритет направлению {2} вашего движения.\r\n\r\n{1}\r\nАвтоматическое нацеливание отдаёт приоритет целям в направлении взгляда вашего персонажа.","{0}\r\nLa selección automática de objetivos prioriza la dirección en la que mueves {2}.\r\n\r\n{1}\r\nLa selección automática de objetivos prioriza a los objetivos que se encuentran en la dirección en la que mira tu personaje.","{0}\r\nเลือกเป้าหมายอัตโนมัติตามทิศทางการเคลื่อนที่ด้วย {2} ของคุณเป็นหลัก\r\n\r\n{1}\r\nเลือกเป้าหมายอัตโนมัติตามทิศทางการหันหน้าของตัวละครคุณเป็นหลัก","{0}\r\n自動鎖定會優先朝著 {2} 的移動方向。\r\n\r\n{1}\r\n自動鎖定會以你角色朝向的的目標為優先。","","","","","","","","","","","",-1402799092,"",""
20,"GamepadTargetingModeTitleAuto","Targeting Mode\r\n<bigger>{<valuedefault>{Automatic}}","Mode de ciblage\r\n<bigger>{<valuedefault>{Automatique}}","Zielmodus\r\n<bigger>{<valuedefault>{Automatisch}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{自動}}","대상 지정 모드\r\n<bigger>{<valuedefault>{자동}}","Modo de Mira\r\n<bigger>{<valuedefault>{Automático}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Автоматический}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{Automático}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{อัตโนมัติ}}","目標鎖定模式\r\n<bigger>{<valuedefault>{自動}}","","","","","","","","","","","",-45190577,"",""
21,"GamepadTargetingAutoDescription","<subtitle>{Automatic (recommended)}\r\nSwitch between Ranged and Melee modes automatically depending on your weapon and skills. \r\n\r\n<italic>{<subtitle>{Skills which change targeting modes}}","<subtitle>{Automatique (recommandé)}\r\nAlterne automatiquement entre les modes À distance et Mêlée en fonction de votre arme et de vos aptitudes. \r\n\r\n<italic>{<subtitle>{Aptitudes modifiant les modes de ciblage}}","<subtitle>{Automatisch (empfohlen)}\r\nDie Modi für Fernkampf und Nahkampf wechseln automatisch je nach Waffe und Fertigkeiten.\r\n\r\n<italic>{<subtitle>{Fertigkeiten, die Zielmodi wechseln}}","<subtitle>{自動（推奨）}\r\n武器およびスキルに応じて遠距離モードと近接モードを自動的に切り替えます。\r\n\r\n<italic>{<subtitle>{ターゲティングモードを変更するスキル}}","<subtitle>{자동(권장)}\r\n무기와 스킬에 따라 자동으로 원거리 모드와 근접 모드를 전환합니다. \r\n\r\n<italic>{<subtitle>{대상 지정 모드를 변경하는 스킬}}","<subtitle>{Automático (recomendado)} \r\nAlterna automaticamente entre os modos Corpo a Corpo e à Distância dependendo da sua arma e habilidades. \r\n\r\n<italic>{<subtitle>{Habilidades que alteram os modos de mira}}","<subtitle>{Автоматический (рекомендуется)}\r\nАвтоматическое переключение между режимами дальнего и ближнего боя в зависимости от вашего оружия и умений.\r\n\r\n<italic>{<subtitle>{Умения, меняющие режим прицеливания}}","<subtitle>{Automático (recomendado)}\r\nCambia automáticamente entre los modos A distancia y Cuerpo a cuerpo en función de tu arma y tus habilidades.\r\n\r\n<italic>{<subtitle>{Habilidades que cambian de modo de selección de objetivos}}","<subtitle>{อัตโนมัติ (แนะนำ)}\r\nสลับระหว่างโหมดประชิดและโหมดระยะไกลโดยอัตโนมัติตามอาวุธและสกิลที่คุณใช้งาน\r\n\r\n<italic>{<subtitle>{สกิลที่เปลี่ยนโหมดเลือกเป้าหมาย}}","<subtitle>{自動(推薦)}\r\n依據你的武器和技能自動切換遠程和近戰模式。 \r\n\r\n<italic>{<subtitle>{改變目標選擇模式的技能}}","","","","","","","","","","","",-1138268282,"",""
22,"QuickMoveToRelicsInventory","Place Relic","Placer la Relique","Relikt platzieren","レリックを設置","유물 놓기","Colocar Relíquia","Поместить реликвию","Colocar reliquia","ใส่วัตถุตกทอด","放置聖物","","","","","","","","","","","",136701853,"",""
23,"ConsoleActionToggleItemAdvancedInfo","Toggle Advanced Info","Activer/Désactiver les informations avancées","Erweiterte Informationen umschalten","詳細情報を切り替え","심화 정보 켜기/끄기","Ativar Informações Avançadas","Вкл./выкл. расширенные описания","Activar/desactivar información avanzada","เปิด/ปิดข้อมูลขั้นสูง","切換進階資訊","","","","","","","","","","","",124735499,"",""
24,"GamepadSettingAdvancedInfoOnPromotePopup","Advanced Info on Inspect","Informations avancées lorsque vous inspectez","Erweiterte Informationen beim Inspizieren","精査時の詳細情報","살펴보기 시 심화 정보 표시","Informações Avançadas ao Inspecionar","Расширенные описания при осмотре","Información avanzada al inspeccionar","แสดงข้อมูลขั้นสูงเมื่อขยายความ","檢視時顯示進階資訊","","","","","","","","","","","",-568220610,"",""
25,"GamepadSettingAdvancedInfoOnPromotePopupDesc","Show advanced information when entering Inspect Mode.","Montre des informations avancées lorsque vous passez en Mode Inspection.","Erweiterte Informationen beim Aufrufen des Inspiziermodus anzeigen.","精査モード時に詳細情報を表示します。","살펴보기 모드에 들어가면 심화 정보를 표시합니다.","Mostrar informações avançadas ao entrar no Modo de Inspeção.","Показывать расширенные описания при входе в режим осмотра.","Muestra información avanzada cuando entras en el modo inspección.","แสดงข้อมูลขั้นสูงเมื่อเข้าโหมดขยายความ","進入檢視模式時顯示進階資訊。","","","","","","","","","","","",-107684687,"",""
26,"GamepadTargetingOptionMeleeDefaultTag","(Default for Melee)","(Par défaut en Mêlée)","(Standard für Nahkampf)","（近接用のデフォルト）","(근접 기본값)","(Padrão Corpo a Corpo)","(По умолчанию для ближнего боя)","(por defecto para Cuerpo a cuerpo)","(ค่าเริ่มต้นสำหรับประชิด)","（預設為近戰）","","","","","","","","","","","",770267387,"",""
27,"GamepadTargetingOptionRangedDefaultTag","(Default for Ranged)","(Par défaut À distance)","(Standard für Fernkampf)","（遠距離用のデフォルト）","(원거리 기본값)","(Padrão À Distância)","(По умолчанию для дальнего боя)","(por defecto para A distancia)","(ค่าเริ่มต้นสำหรับระยะไกล)","（預設為遠程）","","","","","","","","","","","",-300818620,"",""
28,"UISettingsHideCharmBar","Hide Charm Display","Cacher l'affichage des Charmes","Phiolenanzeige ausblenden","チャーム表示を隠す","호신부 표시 숨기기","Esconder Tela de Patuás","Скрыть отображение оберегов","Ocultar barra de viales","ซ่อนการแสดงของขลัง","隱藏護符顯示","","","","","","","","","","","",545010221,"",""
29,"WorldScreenContentListTitle","Points Of Interest","Points d'intérêt","Wichtige Orte","重要地点","관심 지점","Pontos Chave","Точки интереса","Puntos de interés","จุดน่าสนใจ","特殊地標","","","","","","","","","","","",1836105055,"",""
30,"WorldScreenContentListCompletedSubtitle","Completed","Terminé","Abgeschlossen","完了","완료","Concluído","Завершено","Completado","สำเร็จแล้ว","已完成","","","","","","","","","","","",-743402916,"",""
31,"WorldScreenNodeInfoPrompt","Show Points of Interest","Afficher les Points d'intérêt","Zeige wichtige Orte","重要地点を表示","관심 지점 표시","Mostrar Pontos Chave","Показывать точки интереса","Mostrar puntos de interés","แสดงจุดน่าสนใจ","顯示特殊地標","","","","","","","","","","","",-455540015,"",""
32,"GamepadHighlightOffTitle","Label Visibility Off","Visibilité des labels désactivée","Sichtbarkeit der Beschriftung aus","ラベル視認性オフ","이름표 표시 꺼짐","Visibilidade do Rótulo Desligada","Выкл. видимость плашек","Visibilidad de las etiquetas desactivada","ปิดการแสดงป้ายชื่อ","關閉標籤可見度","","","","","","","","","","","",-530125987,"",""
33,"GamepadActionToggleHighlight","Toggle Label Visibility","Basculer la visibilité des labels","Sichtbarkeit der Beschriftung umschalten","ラベル視認性切り替え","이름표 표시 켜기/끄기","Trocar Visibilidade do Rótulo","Вкл./выкл. видимость плашек","Cambiar visibilidad de las etiquetas","เปิด/ปิดการแสดงป้ายชื่อ","切換標籤可見度","","","","","","","","","","","",542029058,"",""
34,"GamepadHelpToggleHighlightUnbound","<bigger>{<<gamepad_toggle_highlight>>} Bind action to show all labels.","<bigger>{<<gamepad_toggle_highlight>>} Affectez l'action pour montrer tous les labels.","<bigger>{<<gamepad_toggle_highlight>>} Aktion zuweisen, um alle Beschriftungen anzuzeigen.","<bigger>{<<gamepad_toggle_highlight>>}すべてのラベルを表示するバインドアクション","<bigger>{<<gamepad_toggle_highlight>>} 이름표를 모두 표시하는 행동을 지정합니다.","<bigger>{<<gamepad_toggle_highlight>>} Vincular ação para exibir todos os rótulos.","<bigger>{<<gamepad_toggle_highlight>>} Назначает кнопку для отображения всех плашек.","<bigger>{<<gamepad_toggle_highlight>>} Vincular acción para mostrar todas las etiquetas.","<bigger>{<<gamepad_toggle_highlight>>} ตั้งปุ่มการกระทำเพื่อแสดงป้ายชื่อทั้งหมด","<bigger>{<<gamepad_toggle_highlight>>}綁定行動以顯示所有標籤。","","","","","","","","","","","",-444445578,"",""
35,"GamepadTargetingCustomOptionLargeSelectionAreaOffTitle","Precise","Précis","Präzise","精密","정밀함","Precisa","Узкая","Precisa","แม่นยำ","精確","","","","","","","","","","","",-1670312222,"",""
36,"GamepadTargetingCustomOptionDistanceWeightingOffTitle","Off","Désactivé","Aus","オフ","꺼짐","Desligado","Выкл.","Desactivada","ปิด","關閉","","","","","","","","","","","",-1721775681,"",""
37,"GamepadTargetingCustomOptionAimOverrideSoftlockOffTitle","Off","Désactivé","Aus","オフ","꺼짐","Desligado","Выкл.","Desactivado","ปิด","關閉","","","","","","","","","","","",-2121452870,"",""
38,"GamepadTargetingCustomOptionPriortiseCombatDirectionOffTitle","Move Direction","Direction de mouvement","Bewegungsrichtung","移動方向","이동 방향","Direção do Movimento","Направление движения","Dirección del movimiento","ทิศทางการเคลื่อนที่","移動方向","","","","","","","","","","","",291913783,"",""
39,"GamepadTargetingCustomOptionLargeSelectionAreaOnTitle","Wide","Large","Weit","広範囲","넓음","Amplo","Широкая","Amplia","กว้าง","寬","","","","","","","","","","","",-1407053595,"",""
40,"GamepadTargetingCustomOptionDistanceWeightingOnTitle","On","Activé","An","オン","켜짐","Ligado","Вкл.","Activada","เปิด","開啟","","","","","","","","","","","",-1480181943,"",""
41,"GamepadTargetingCustomOptionAimOverrideSoftlockOnTitle","On","Activé","An","オン","켜짐","Ligado","Вкл.","Activado","เปิด","開啟","","","","","","","","","","","",-1909209477,"",""
42,"GamepadTargetingCustomOptionPriortiseCombatDirectionOnTitle","Facing Direction","Direction de visée","Blickrichtung","正面方向","바라보는 방향","Direção Frontal","Направление взгляда","Dirección en la que miras","ทิศทางการหันหน้า","面部朝向","","","","","","","","","","","",1083026971,"",""
43,"GamepadLegendEditKeywordSearch","Filter Menu","Menu des filtres","FIltermenü","フィルターメニュー","필터 메뉴","Menu de Filtros","Окно фильтров","Menú de filtros","เมนูฟิลเตอร์","篩選清單","","","","","","","","","","","",159118749,"",""
44,"PassiveSkillKeywordNewFilterButton","Add New Filter","Ajouter un nouveau filtre","Neuen Filter hinzufügen","新しいフィルターを追加","새 필터 추가","Adicionar Novo Filtro","Добавить новый фильтр","Agregar nuevo filtro","เพิ่มฟิลเตอร์ใหม่","加入新的篩選條件","","","","","","","","","","","",656432451,"",""
