"rownum","Id","i32_8","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","string_20","string_20 (French)","string_20 (German)","string_20 (Japanese)","string_20 (Korean)","string_20 (Portuguese)","string_20 (Russian)","string_20 (Spanish)","string_20 (Thai)","string_20 (Traditional Chinese)","Description1","Description1 (French)","Description1 (German)","Description1 (Japanese)","Description1 (Korean)","Description1 (Portuguese)","Description1 (Russian)","Description1 (Spanish)","Description1 (Thai)","Description1 (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","rid_60","rid_76","ShopTag","string_108","i32_116","i32_120","i32_124","i32_128","i32_132","bool_136","string_137","bool_145","bool_146","bool_147","string_148","string_148 (French)","string_148 (German)","string_148 (Japanese)","string_148 (Korean)","string_148 (Portuguese)","string_148 (Russian)","string_148 (Spanish)","string_148 (Thai)","string_148 (Traditional Chinese)","string_156","string_156 (French)","string_156 (German)","string_156 (Japanese)","string_156 (Korean)","string_156 (Portuguese)","string_156 (Russian)","string_156 (Spanish)","string_156 (Thai)","string_156 (Traditional Chinese)","string_164","string_164 (French)","string_164 (German)","string_164 (Japanese)","string_164 (Korean)","string_164 (Portuguese)","string_164 (Russian)","string_164 (Spanish)","string_164 (Thai)","string_164 (Traditional Chinese)","string_172","string_172 (French)","string_172 (German)","string_172 (Japanese)","string_172 (Korean)","string_172 (Portuguese)","string_172 (Russian)","string_172 (Spanish)","string_172 (Thai)","string_172 (Traditional Chinese)"
2261,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionJinliBoots",-308408128,"Jinli Boots","Bottes Jinli","Jinli Boots","勁力のブーツ","진력 장화","Botas Jinli","Сапоги Цзиньли","Botas Jinli","รองเท้า Jinli","腳部外觀：錦鯉","","FP","M","","","FP","M","FP","","","Changes the appearance of any equipped boots to the Jinli Boots.","Remplace l'apparence de vos bottes par les Bottes Jinli.","Changes the appearance of any equipped boots to the Jinli Boots.","装備している靴の見た目を、勁力のブーツに変更します。","장착 중인 장화의 외형을 진력 장화로 변경합니다.","Muda a aparência de qualquer par de botas equipados para as Botas Jinli.","Заменяет внешний вид любой надетой пары обуви на сапоги Цзиньли.","Cambia la apariencia de cualquier par de botas equipado por las Botas Jinli.","เปลี่ยนสกิน รองเท้า ที่สวมใส่เป็น รองเท้า Jinli","將你的腳部外觀替換為錦鯉。","","","","","","","","","","","","","","","","","","","","","Boots Skin","Apparence de bottes","Boots Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀","",2,586,"",3,2,2,1,1,"","JinliBoots",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2262,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionJinliGloves",2107374280,"Jinli Gloves","Gants Jinli","Jinli Gloves","勁力のグローブ","진력 장갑","Luvas Jinli","Перчатки Цзиньли","Guantes Jinli","ถุงมือ Jinli","手部外觀：錦鯉","","MP","M","","","FP","M","MP","","","Changes the appearance of any equipped gloves to the Jinli Gloves.","Remplace l'apparence de vos gants par les Gants Jinli.","Changes the appearance of any equipped gloves to the Jinli Gloves.","装備している手袋の見た目を、勁力のグローブに変更します。","장착 중인 장갑의 외형을 진력 장갑으로 변경합니다.","Muda a aparência de qualquer par de luvas equipados para as Luvas Jinli.","Заменяет внешний вид любой надетой пары перчаток на перчатки Цзиньли.","Cambia la apariencia de cualquier par de guantes equipado por los Guantes Jinli.","เปลี่ยนสกิน ถุงมือ ที่สวมใส่เป็น ถุงมือ Jinli","將你的手部外觀替換為錦鯉。","","","","","","","","","","","","","","","","","","","","","Gloves Skin","Apparence de gants","Gloves Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀","",2,586,"",3,2,2,1,1,"","JinliGloves",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2263,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionJinliBodyArmour",1619516919,"Jinli Body Armour","Armure Jinli","Jinli Body Armour","勁力のアーマー","진력 갑옷","Peitoral Jinli","Нательный доспех Цзиньли","Armadura Jinli","เสื้อเกราะ Jinli","身體外觀：錦鯉","","F","M","","","M","M","F","","","Changes the appearance of any equipped body armour to the Jinli Body Armour.","Remplace l'apparence de votre armure par l'Armure Jinli.","Changes the appearance of any equipped body armour to the Jinli Body Armour.","装備している鎧の見た目を、勁力のボディアーマーに変更します。","장착 중인 갑옷의 외형을 진력 갑옷으로 변경합니다.","Muda a aparência de qualquer peitoral equipado para o Peitoral Jinli.","Заменяет внешний вид любого надетого нательного доспеха на доспех Цзиньли.","Cambia la apariencia de cualquier armadura equipada por la Armadura Jinli.","เปลี่ยนสกิน เสื้อเกราะ ที่สวมใส่เป็น เสื้อเกราะ Jinli","將你的身體外觀替換為錦鯉。","","","","","","","","","","","","","","","","","","","","","Body Armour Skin","Apparence d'armure","Body Armour Skin","鎧スキン","갑옷 스킨","Visual de Peitoral","Внешний вид нательного доспеха","Aspecto para armadura","สกินเสื้อเกราะ","身體外觀替換","",2,586,"",3,2,2,1,1,"","JinliBodyArmour",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2264,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionJinliCharacterEffect",1854328736,"Jinli Character Effect","Effet de personnage Jinli","Jinli Character Effect","勁力のキャラクターエフェクト","진력 캐릭터 이펙트","Efeito: Personagem Jinli","Эффект Цзиньли для персонажа","Efecto Jinli para el personaje","เอฟเฟคตัวละคร Jinli","角色特效：錦鯉","","M","M","","","M","M","M","","","Attaches the Jinli Character Effect to your belt.","Ajoute l'Effet de personnage Jinli à votre ceinture.","Attaches the Jinli Character Effect to your belt.","装備しているベルトに、勁力のキャラクターエフェクトを取り付けます。","허리띠에 진력 캐릭터 이펙트를 부착합니다.","Adiciona o Efeito Personagem Jinli ao seu cinto.","Добавляет эффект Цзиньли на ваш пояс.","Añade el Efecto Jinli para el personaje a tu cinturón.","ติด เอฟเฟคตัวละคร Jinli ให้กับเข็มขัดของคุณ","為你的腰帶注入錦鯉特效。","","","","","","","","","","","","","","","","","","","","","Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效","",2,586,"",3,2,2,1,1,"","JinliCharacterEffect",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2265,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionKitavaWings",-272471580,"Kitava Wings","Ailes de Kitava","Kitava-Flügel","キタヴァの翼","키타바 날개","Asas de Kitava","Крылья Китавы","Alas de Kitava","ปีก Kitava","背飾：奇塔弗之翼","","FP","MP","","","FP","M","FP","","","Adds the Kitava Wings back attachment to any equipped body armour.","Ajoute les Ailes de Kitava à votre armure.","Fügt einer ausgerüsteten Körperrüstung den Rückenzusatz 'Kitava-Flügel' hinzu.","装備している鎧に、キタヴァの翼背面装飾品を追加します。","장착 중인 갑옷에 키타바 날개 등 부착물을 추가합니다.","Adiciona o adorno dorsal Asas de Kitava a qualquer peitoral equipado.","Добавляет крылья Китавы на любой надетый нательный доспех.","Agrega el accesorio para la espalda Alas de Kitava a cualquier armadura equipada.","ติด ปีก Kitava ให้กับเสื้อเกราะที่สวมใส่","在你的背後附加奇塔弗之翼。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,461,"",3,2,2,1,1,"","KitavaWings",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2266,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDarkseerWeaponEffect",1721630582,"Darkseer Weapon Effect","Effet d'arme du Sombre-voyant","Dunkelseher-Waffeneffekt","ダークシアー武器エフェクト","어둠 예견자 무기 이펙트","Efeito: Arma do Profeta Sombrio","Эффект оружия Видящего тьму","Efecto de arma de Vidente oscuro","เอฟเฟคอาวุธ Darkseer","武器特效：夜語密諭","","M","M","","","M","M","M","","","Adds the Darkseer Weapon Effect to any equipped weapon.","Ajoute l'Effet d'arme du Sombre-voyant à votre arme.","Fügt einer ausgerüsteten Waffe den Dunkelseher-Waffeneffekt hinzu.","装備している武器に、ダークシアー武器エフェクトを追加します。","장착 중인 무기에 어둠 예견자 무기 이펙트를 추가합니다.","Adiciona o Efeito Arma do Profeta Sombrio a qualquer arma equipada.","Добавляет эффект Видящего тьму на любое оружие в руках.","Agrega el efecto de arma de Vidente oscuro a cualquier arma equipada.","ติด เอฟเฟคอาวุธ Darkseer ให้กับอาวุธที่สวมใส่","為你的武器注入夜語密諭特效。","","","","","","","","","","","","","","","","","","","","","Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","",2,583,"",3,2,2,1,1,"","SupporterDarkseerWeaponEffect",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2267,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDarkseerPortalEffect",1547199049,"Darkseer Portal Effect","Portail du Sombre-voyant","Dunkelseher-Portaleffekt","ダークシアーポータルエフェクト","어둠 예견자 포탈 이펙트","Efeito: Portal do Profeta Sombrio","Портал Видящего тьму","Efecto de portal de Vidente oscuro","เอฟเฟควาร์ป Darkseer","時空之門．夜語密諭","","M","M","","","M","M","M","","","This character's portals use the Darkseer Portal Effect.","Les portails de ce personnage auront l'effet du Sombre-voyant.","Die Portale dieses Charakters haben den Dunkelseher-Portaleffekt.","キャラクターのポータルは、ダークシアーエフェクトを使用します。","해당 캐릭터의 포탈에 어둠 예견자 포탈 이펙트를 사용합니다.","Os portais deste personagem usam o Efeito Portal do Profeta Sombrio.","Порталы этого персонажа используют эффект Видящего тьму.","Los portales de este personaje usan el Efecto de portal de Vidente oscuro.","วาร์ปที่ตัวละครนี้สร้างจะใช้ เอฟเฟควาร์ป Darkseer","將你所開啟的傳送門替換為夜語密諭的時空之門。","","","","","","","","","","","","","","","","","","","","","Portal Modification","Modification de portail","Portalmodifikation","ポータル修飾品","포탈 개조","Modificação de Portal","Эффект портала","Modificación para portal","เอฟเฟควาร์ป","傳送門特效","",2,583,"",3,2,2,1,1,"","SupporterDarkseerPortalEffect",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2268,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionDarkseerPortraitFrame",-885477524,"Darkseer Portrait Frame","Cadre de portrait du Sombre-voyant","Dunkelseher-Portraitrahmen","ダークシアーポートレートフレーム","어둠 예견자 초상화 액자","Moldura do Profeta Sombrio","Портретная рамка Видящего тьму","Marco de retrato de Vidente oscuro","กรอบรูปตัวละคร Darkseer","肖像外框：夜語密諭","","M","M","","","F","M","M","","","Adds the Darkseer Portrait Frame to this character.","Le portrait de ce personnage aura le cadre du Sombre-voyant.","Fügt diesem Charakter den Dunkelseher-Portraitrahmen hinzu.","キャラクターに、ダークシアーポートレートフレームを追加します。","해당 캐릭터에 어둠 예견자 초상화 액자를 추가합니다.","Adiciona a moldura do Profeta Sombrio neste personagem.","Добавляет портретную рамку Видящего тьму этому персонажу.","Agrega el marco de retrato de Vidente oscuro a este personaje.","ติด กรอบรูปตัวละคร Darkseer ให้กับตัวละครนี้","將此角色的肖像裝飾替換為夜語密諭特效。","","","","","","","","","","","","","","","","","","","","","Portrait Frame Modification","Modification de cadre de portrait","Portraitrahmen-Modifikation","ポートレートフレーム修飾品","초상화 액자 개조","Modificação de Moldura","Портретная рамка","Modificación para marco de retrato","เปลี่ยนกรอบรูปตัวละคร","肖像裝飾特效","",2,583,"",3,2,2,1,1,"","SupporterDarkseerPortraitFrame",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2269,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionElderDarkseerHelmet",781302256,"Elder Darkseer Helmet","Casque du Sombre-voyant ancien","'Hoher Dunkelseher'-Helm","エルダーダークシアーヘルメット","원로 어둠 예견자 투구","Elmo do Profeta Sombrio Ancião","Шлем Древнего Видящего тьму","Casco de Vidente oscuro antiguo","หมวก Elder Darkseer","頭部外觀：極黯密諭","","M","M","","","M","M","M","","","Changes the appearance of any equipped helmet to the Elder Darkseer Helmet.","Remplace votre casque par le Casque du Sombre-voyant ancien.","Ersetzt das Erscheinungsbild einer ausgerüsteten Kopfbedeckung durch den 'Hoher Dunkelseher'-Helm.","装備している兜の見た目を、エルダーダークシアーヘルメットに変更します。","장착 중인 투구의 외형을 원로 어둠 예견자 투구로 변경합니다.","Muda a aparência de qualquer elmo equipado para o Elmo do Profeta Sombrio Ancião.","Заменяет внешний вид любого надетого головного убора на шлем Древнего Видящего тьму.","Cambia la apariencia de cualquier casco equipado por el Casco de Vidente oscuro antiguo.","เปลี่ยนสกิน หมวก ที่สวมใส่เป็น หมวก Elder Darkseer","將你的頭部外觀替換為極黯密諭。","","","","","","","","","","","","","","","","","","","","","Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀","",2,583,"",3,2,2,1,1,"","SupporterElderDarkseerHelmet",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2270,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionElderDarkseerBoots",383543450,"Elder Darkseer Boots","Bottes du Sombre-voyant ancien","'Hoher Dunkelseher'-Stiefel","エルダーダークシアーブーツ","원로 어둠 예견자 장화","Botas do Profeta Sombrio Ancião","Сапоги Древнего Видящего тьму","Botas de Vidente oscuro antiguo","รองเท้า Elder Darkseer","腳部外觀：極黯密諭","","FP","MP","","","FP","M","FP","","","Changes the appearance of any equipped boots to the Elder Darkseer Boots.","Remplace vos bottes par les Bottes du Sombre-voyant ancien.","Ersetzt das Erscheinungsbild eines ausgerüsteten Paares Stiefel durch die 'Hoher Dunkelseher'-Stiefel.","装備している靴の見た目を、エルダーダークシアーブーツに変更します。","장착 중인 장화의 외형을 원로 어둠 예견자 장화로 변경합니다.","Muda a aparência de qualquer par de botas equipadas para as Botas do Profeta Sombrio Ancião.","Заменяет внешний вид любой надетой пары обуви на сапоги Древнего Видящего тьму.","Cambia la apariencia de cualquier par de botas equipado por las Botas de Vidente oscuro antiguo.","เปลี่ยนสกิน รองเท้า ที่สวมใส่เป็น รองเท้า Elder","將你的腳部外觀替換為極黯密諭。","","","","","","","","","","","","","","","","","","","","","Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀","",2,583,"",3,2,2,1,1,"","SupporterElderDarkseerBoots",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2271,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionElderDarkseerGloves",-1724585262,"Elder Darkseer Gloves","Gants du Sombre-voyant ancien","'Hoher Dunkelseher'-Handschuhe","エルダーダークシアーグローブ","원로 어둠 예견자 장갑","Luvas do Profeta Sombrio Ancião","Перчатки Древнего Видящего тьму","Guantes de Vidente oscuro antiguo","ถุงมือ Elder Darkseer","手部外觀：極黯密諭","","MP","MP","","","FP","M","MP","","","Changes the appearance of any equipped gloves to the Elder Darkseer Gloves.","Remplace vos gants par les Gants du Sombre-voyant ancien.","Ersetzt das Erscheinungsbild eines ausgerüsteten Paares Handschuhe durch die 'Hoher Dunkelseher'-Handschuhe.","装備している手袋の見た目を、エルダーダークシアーグローブに変更します。","장착 중인 장갑의 외형을 원로 어둠 예견자 장갑으로 변경합니다.","Muda a aparência de qualquer par de luvas equipadas para as Luvas do Profeta Sombrio Ancião.","Заменяет внешний вид любой надетой пары перчаток на перчатки Древнего Видящего тьму.","Cambia la apariencia de cualquier par de guantes equipado por los Guantes de Vidente oscuro antiguo.","เปลี่ยนสกิน ถุงมือ ที่สวมใส่เป็น ถุงมือ Elder Darkseer","將你的手部外觀替換為極黯密諭。","","","","","","","","","","","","","","","","","","","","","Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀","",2,583,"",3,2,2,1,1,"","SupporterElderDarkseerGloves",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2272,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionElderDarkseerBodyArmour",-1385278782,"Elder Darkseer Body Armour","Armure du Sombre-voyant ancien","'Hoher Dunkelseher'-Körperrüstung","エルダーダークシアーアーマー","원로 어둠 예견자 갑옷","Peitoral do Profeta Sombrio Ancião","Доспех Древнего Видящего тьму","Armadura de Vidente oscuro antiguo","เสื้อเกราะ Elder Darkseer","身體外觀：極黯密諭","","F","F","","","M","M","F","","","Changes the appearance of any equipped body armour to the Elder Darkseer Body Armour.","Remplace votre armure par l'Armure du Sombre-voyant ancien.","Ersetzt das Erscheinungsbild einer ausgerüsteten Körperrüstung durch die 'Hoher Dunkelseher'-Körperrüstung.","装備している鎧の見た目を、エルダーダークシアーボディアーマーに変更します。","장착 중인 갑옷의 외형을 원로 어둠 예견자 갑옷으로 변경합니다.","Muda a aparência de qualquer peitoral equipado para o Peitoral do Profeta Sombrio Ancião.","Заменяет внешний вид любого надетого нательного доспеха на доспех Древнего Видящего тьму.","Cambia la apariencia de cualquier armadura equipada por la Armadura de Vidente oscuro antiguo.","เปลี่ยนสกิน เสื้อเกราะ ที่สวมใส่เป็น เสื้อเกราะ Elder Darkseer","將你的身體外觀替換為極黯密諭。","","","","","","","","","","","","","","","","","","","","","Body Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","갑옷 스킨","Visual de Peitoral","Внешний вид нательного доспеха","Aspecto para armadura","สกินเสื้อเกราะ","身體外觀替換","",2,583,"",3,2,2,1,1,"","SupporterElderDarkseerBodyArmour",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2273,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionElderDarkseerPortraitFrame",-1796722474,"Elder Darkseer Portrait Frame","Cadre de portrait du Sombre-voyant ancien","'Hoher Dunkelseher'-Portraitrahmen","エルダーダークシアーポートレートフレーム","원로 어둠 예견자 초상화 액자","Moldura do Profeta Sombrio Ancião","Портретная рамка Древнего Видящего тьму","Marco de retrato de Vidente oscuro antiguo","กรอบรูปตัวละคร Elder Darkseer","肖像外框：極黯密諭","","M","M","","","F","M","M","","","Adds the Elder Darkseer Portrait Frame to this character.","Le portrait de ce personnage aura le cadre du Sombre-voyant ancien.","Fügt diesem Charakter den 'Hoher Dunkelseher'-Portraitrahmen hinzu.","キャラクターに、エルダーダークシアーポートレートフレームを追加します。","해당 캐릭터에 원로 어둠 예견자 초상화 액자를 추가합니다.","Adiciona a Moldura do Profeta Sombrio Ancião neste personagem.","Добавляет портретную рамку Древнего Видящего тьму этому персонажу.","Agrega el Marco de retrato de Vidente oscuro antiguo a este personaje.","ติด กรอบรูปตัวละคร Elder Darkseer ให้กับตัวละครนี้","將此角色的肖像裝飾替換為極黯密諭特效。","","","","","","","","","","","","","","","","","","","","","Portrait Frame Modification","Modification de cadre de portrait","Portraitrahmen-Modifikation","ポートレートフレーム修飾品","초상화 액자 개조","Modificação de Moldura","Портретная рамка","Modificación para marco de retrato","เปลี่ยนกรอบรูปตัวละคร","肖像裝飾特效","",2,583,"",3,2,2,1,1,"","SupporterElderDarkseerPortraitFrame",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2274,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFateweaverCloak",-1258920453,"Fateweaver Cloak","Cape du Tisse-destin","Schicksalsweber-Umhang","フェイトウィーバーマント","운명 결정자 망토","Capa do Fiandeiro do Destino","Плащ Прядильщика судьбы","Capa de Tejedor del Destino","ผ้าคลุม Fateweaver","背飾：織命行者披風","","F","M","","","F","M","F","","","Adds the Fateweaver Cloak back attachment to any equipped body armour.","Ajoute la Cape du Tisse-destin à votre armure.","Fügt einer ausgerüsteten Körperrüstung den Rückenzusatz 'Schicksalsweber-Umhang' hinzu.","装備している鎧に、フェイトウィーバーマント背面装飾品を追加します。","장착 중인 갑옷에 운명 결정자 망토 등 부착물을 추가합니다.","Adiciona a Capa do Fiandeiro do Destino a qualquer peitoral equipado.","Добавляет плащ Прядильщика судьбы на любой надетый нательный доспех.","Agrega el accesorio para la espalda Capa de Tejedor del Destino a cualquier armadura equipada.","ติด ผ้าคลุม Fateweaver ให้กับเสื้อเกราะที่สวมใส่","在你的背後附加織命行者披風。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,583,"",3,2,2,1,1,"","SupporterFateweaverCloak",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2275,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFateweaverWeaponEffect",1729681044,"Fateweaver Weapon Effect","Effet d'arme du Tisse-destin","Schicksalsweber-Waffeneffekt","フェイトウィーバー武器エフェクト","운명 결정자 무기 이펙트","Efeito: Arma do Fiandeiro do Destino","Эффект оружия Прядильщика судьбы","Efecto de arma de Tejedor del Destino","เอฟเฟคอาวุธ Fateweaver","武器特效：織命行者","","M","M","","","M","M","M","","","Adds the Fateweaver Weapon Effect to any equipped weapon.","Ajoute l'Effet d'arme du Tisse-destin à votre arme.","Fügt einer ausgerüsteten Waffe den Schicksalsweber-Waffeneffekt hinzu.","装備している武器に、フェイトウィーバー武器エフェクトを追加します。","장착 중인 무기에 운명 결정자 무기 이펙트를 추가합니다.","Adiciona o Efeito Arma do Fiandeiro do Destino a qualquer arma.","Добавляет эффект Прядильщика судьбы на любое оружие в руках.","Agrega el Efecto de arma de Tejedor del Destino a cualquier arma equipada.","ติด เอฟเฟคอาวุธ Fateweaver ให้กับอาวุธที่สวมใส่","為你的武器注入織命行者特效。","","","","","","","","","","","","","","","","","","","","","Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","",2,583,"",3,2,2,1,1,"","SupporterFateweaverWeaponEffect",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2276,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionFateweaverPortraitFrame",195637948,"Fateweaver Portrait Frame","Cadre de portrait du Tisse-destin","Schicksalsweber-Portraitrahmen","フェイトウィーバーポートレートフレーム","운명 결정자 초상화 액자","Moldura do Fiandeiro do Destino","Портретная рамка Прядильщика судьбы","Marco de retrato de Tejedor del Destino de élite","กรอบรูปตัวละคร Fateweaver","肖像外框：織命行者","","M","M","","","F","M","M","","","Adds the Fateweaver Portrait Frame to this character.","Le portrait de ce personnage aura le cadre du Tisse-destin.","Fügt diesem Charakter den Schicksalsweber-Portraitrahmen hinzu.","キャラクターに、フェイトウィーバーポートレートフレームを追加します。","해당 캐릭터에 운명 결정자 초상화 액자를 추가합니다.","Adiciona a Moldura do Fiandeiro do Destino neste personagem.","Добавляет портретную рамку Прядильщика судьбы этому персонажу.","Agrega el Marco de retrato de Tejedor del Destino a este personaje.","ติด กรอบรูปตัวละคร Fateweaver ให้กับตัวละครนี้","將此角色的肖像裝飾替換為織命行者特效。","","","","","","","","","","","","","","","","","","","","","Portrait Frame Modification","Modification de cadre de portrait","Portraitrahmen-Modifikation","ポートレートフレーム修飾品","초상화 액자 개조","Modificação de Moldura","Портретная рамка","Modificación para marco de retrato","เปลี่ยนกรอบรูปตัวละคร","肖像裝飾特效","",2,583,"",3,2,2,1,1,"","SupporterFateweaverPortraitFrame",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2277,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEliteFateweaverHelmet",-653313869,"Elite Fateweaver Helmet","Casque du Tisse-destin d'élite","'Oberster Schicksalsweber'-Helm","エリートフェイトウィーバーヘルメット","정예 운명 결정자 투구","Elmo do Fiandeiro do Destino Elite","Шлем Высшего Прядильщика судьбы","Casco de Tejedor del Destino de élite","หมวก Elite Fateweaver","頭部外觀：織命御司","","M","M","","","M","M","M","","","Changes the appearance of any equipped helmet to the Elite Fateweaver Helmet.","Remplace votre casque par le Casque du Tisse-destin d'élite.","Ersetzt das Erscheinungsbild einer ausgerüsteten Kopfbedeckung durch den 'Oberster Schicksalsweber'-Helm.","装備している兜の見た目を、エリートフェイトウィーバーヘルメットに変更します。","장착 중인 투구의 외형을 정예 운명 결정자 투구로 변경합니다.","Muda a aparência de qualquer elmo equipado para o Elmo do Fiandeiro do Destino Elite.","Заменяет внешний вид любого надетого головного убора на шлем Высшего Прядильщика судьбы.","Cambia la apariencia de cualquier casco equipado por el Casco de Tejedor del Destino de élite.","เปลี่ยนสกิน หมวก ที่สวมใส่เป็น หมวก Elite Fateweaver","將你的頭部外觀替換為織命御司。","","","","","","","","","","","","","","","","","","","","","Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀","",2,583,"",3,2,2,1,1,"","SupporterEliteFateweaverHelmet",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
