"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","IsUpgradableEssenceSlot"
31,"Metadata/Items/Currency/CurrencyEssenceSorrow4",129,190,547,31,1,1,1
32,"Metadata/Items/Currency/CurrencyEssenceSorrow5",130,117,547,32,1,1,1
33,"Metadata/Items/Currency/CurrencyEssenceSorrow6",131,44,547,33,1,1,""
34,"Metadata/Items/Currency/CurrencyEssenceAnger1",132,408,402,34,1,1,1
35,"Metadata/Items/Currency/CurrencyEssenceAnger2",133,335,402,35,1,1,1
36,"Metadata/Items/Currency/CurrencyEssenceAnger3",134,263,402,36,1,1,1
37,"Metadata/Items/Currency/CurrencyEssenceAnger4",135,190,402,37,1,1,1
38,"Metadata/Items/Currency/CurrencyEssenceAnger5",136,117,402,38,1,1,1
39,"Metadata/Items/Currency/CurrencyEssenceAnger6",137,44,402,39,1,1,""
40,"Metadata/Items/Currency/CurrencyEssenceTorment1",138,408,474,40,1,1,1
41,"Metadata/Items/Currency/CurrencyEssenceTorment2",139,335,474,41,1,1,1
42,"Metadata/Items/Currency/CurrencyEssenceTorment3",140,263,474,42,1,1,1
43,"Metadata/Items/Currency/CurrencyEssenceTorment4",141,190,474,43,1,1,1
44,"Metadata/Items/Currency/CurrencyEssenceTorment5",142,117,474,44,1,1,1
45,"Metadata/Items/Currency/CurrencyEssenceTorment6",143,44,474,45,1,1,""
46,"Metadata/Items/Currency/CurrencyEssenceFear1",144,408,329,46,1,1,1
47,"Metadata/Items/Currency/CurrencyEssenceFear2",145,335,329,47,1,1,1
48,"Metadata/Items/Currency/CurrencyEssenceFear3",146,263,329,48,1,1,1
49,"Metadata/Items/Currency/CurrencyEssenceFear4",147,190,329,49,1,1,1
50,"Metadata/Items/Currency/CurrencyEssenceFear5",148,117,329,50,1,1,1
51,"Metadata/Items/Currency/CurrencyEssenceFear6",149,44,329,51,1,1,""
52,"Metadata/Items/Currency/CurrencyEssenceSuffering1",150,335,692,52,1,1,1
53,"Metadata/Items/Currency/CurrencyEssenceSuffering2",151,263,692,53,1,1,1
54,"Metadata/Items/Currency/CurrencyEssenceSuffering3",152,190,692,54,1,1,1
55,"Metadata/Items/Currency/CurrencyEssenceSuffering4",153,117,692,55,1,1,1
56,"Metadata/Items/Currency/CurrencyEssenceSuffering5",154,44,692,56,1,1,""
57,"Metadata/Items/Currency/CurrencyEssenceRage1",155,335,619,57,1,1,1
58,"Metadata/Items/Currency/CurrencyEssenceRage2",156,263,619,58,1,1,1
59,"Metadata/Items/Currency/CurrencyEssenceRage3",157,190,619,59,1,1,1
60,"Metadata/Items/Currency/CurrencyEssenceRage4",158,117,619,60,1,1,1
61,"Metadata/Items/Currency/CurrencyEssenceRage5",159,44,618,61,1,1,""
62,"Metadata/Items/Currency/CurrencyEssenceWrath1",160,335,764,62,1,1,1
63,"Metadata/Items/Currency/CurrencyEssenceWrath2",161,263,764,63,1,1,1
64,"Metadata/Items/Currency/CurrencyEssenceWrath3",162,190,764,64,1,1,1
65,"Metadata/Items/Currency/CurrencyEssenceWrath4",163,117,764,65,1,1,1
66,"Metadata/Items/Currency/CurrencyEssenceWrath5",164,44,764,66,1,1,""
67,"Metadata/Items/Currency/CurrencyEssenceDoubt1",165,335,837,67,1,1,1
68,"Metadata/Items/Currency/CurrencyEssenceDoubt2",166,263,837,68,1,1,1
69,"Metadata/Items/Currency/CurrencyEssenceDoubt3",167,190,837,69,1,1,1
70,"Metadata/Items/Currency/CurrencyEssenceDoubt4",168,117,837,70,1,1,1
71,"Metadata/Items/Currency/CurrencyEssenceDoubt5",169,44,837,71,1,1,""
72,"Metadata/Items/Currency/CurrencyEssenceAnguish1",170,613,182,72,1,1,1
73,"Metadata/Items/Currency/CurrencyEssenceAnguish2",171,685,182,73,1,1,1
74,"Metadata/Items/Currency/CurrencyEssenceAnguish3",172,760,182,74,1,1,1
75,"Metadata/Items/Currency/CurrencyEssenceAnguish4",173,833,182,75,1,1,""
76,"Metadata/Items/Currency/CurrencyEssenceLoathing1",174,613,38,76,1,1,1
77,"Metadata/Items/Currency/CurrencyEssenceLoathing2",175,685,38,77,1,1,1
78,"Metadata/Items/Currency/CurrencyEssenceLoathing3",176,760,38,78,1,1,1
79,"Metadata/Items/Currency/CurrencyEssenceLoathing4",177,833,38,79,1,1,""
80,"Metadata/Items/Currency/CurrencyEssenceSpite1",178,613,256,80,1,1,1
81,"Metadata/Items/Currency/CurrencyEssenceSpite2",179,686,256,81,1,1,1
82,"Metadata/Items/Currency/CurrencyEssenceSpite3",180,760,256,82,1,1,1
83,"Metadata/Items/Currency/CurrencyEssenceSpite4",181,833,256,83,1,1,""
84,"Metadata/Items/Currency/CurrencyEssenceZeal1",182,613,111,84,1,1,1
85,"Metadata/Items/Currency/CurrencyEssenceZeal2",183,686,111,85,1,1,1
86,"Metadata/Items/Currency/CurrencyEssenceZeal3",184,760,111,86,1,1,1
87,"Metadata/Items/Currency/CurrencyEssenceZeal4",185,833,111,87,1,1,""
88,"Metadata/Items/Currency/CurrencyEssenceMisery1",186,686,474,88,1,1,1
89,"Metadata/Items/Currency/CurrencyEssenceMisery2",187,760,474,89,1,1,1
90,"Metadata/Items/Currency/CurrencyEssenceMisery3",188,833,474,90,1,1,""
91,"Metadata/Items/Currency/CurrencyEssenceDread1",189,686,547,91,1,1,1
92,"Metadata/Items/Currency/CurrencyEssenceDread2",190,760,547,92,1,1,1
93,"Metadata/Items/Currency/CurrencyEssenceDread3",191,833,547,93,1,1,""
94,"Metadata/Items/Currency/CurrencyEssenceScorn1",192,686,329,94,1,1,1
95,"Metadata/Items/Currency/CurrencyEssenceScorn2",193,760,329,95,1,1,1
96,"Metadata/Items/Currency/CurrencyEssenceScorn3",194,833,329,96,1,1,""
97,"Metadata/Items/Currency/CurrencyEssenceEnvy1",195,686,402,97,1,1,1
98,"Metadata/Items/Currency/CurrencyEssenceEnvy2",196,760,402,98,1,1,1
99,"Metadata/Items/Currency/CurrencyEssenceEnvy3",197,833,402,99,1,1,""
100,"Metadata/Items/Currency/CurrencyEssenceHysteria1",198,833,838,100,1,1,""
101,"Metadata/Items/Currency/CurrencyEssenceInsanity1",199,833,620,101,1,1,""
102,"Metadata/Items/Currency/CurrencyEssenceHorror1",200,833,693,102,1,1,""
103,"Metadata/Items/Currency/CurrencyEssenceDelirium1",201,833,765,103,1,1,""
104,"GenericSlot0","",760,620,104,1,1,""
105,"GenericSlot1","",760,693,105,1,1,""
106,"GenericSlot2","",760,765,106,1,1,""
107,"GenericSlot3","",760,838,107,1,1,""
108,"CraftingSlot","",514,653,108,2,4,""
