"rownum","Mtx","i32_16","rid_20","MtxPack"
125,454,1,3,""
126,452,1,3,""
127,386,1,1,""
128,384,1,1,""
129,176,1,1,""
130,385,1,1,""
131,383,1,1,""
132,518,1,1,""
133,611,1,2,""
134,126,1,9,""
135,150,1,9,""
136,98,1,2,""
137,69,1,2,""
138,70,1,2,""
139,307,1,2,""
140,71,1,0,""
141,348,1,4,""
142,346,1,4,""
143,169,1,4,""
144,347,1,4,""
145,345,1,4,""
146,89,1,4,""
147,164,1,4,""
148,83,1,3,""
149,158,1,7,""
150,468,1,8,""
151,466,1,8,""
152,170,1,8,""
153,467,1,8,""
154,465,1,8,""
155,97,1,8,""
156,165,1,8,""
157,443,1,3,""
158,72,1,2,""
159,175,1,9,""
160,145,1,9,""
161,200,1,3,""
162,197,1,8,""
163,422,1,7,""
164,420,1,7,""
165,174,1,7,""
166,421,1,7,""
167,419,1,7,""
168,423,1,7,""
169,424,1,7,""
170,141,1,7,""
171,366,1,3,""
172,306,1,2,""
173,152,1,1,""
174,283,1,2,""
175,122,1,1,""
176,215,1,2,""
177,224,1,7,""
178,232,1,7,""
179,220,1,2,""
180,236,1,3,""
181,240,1,7,""
182,216,1,2,""
183,225,1,7,""
184,233,1,7,""
185,221,1,2,""
186,237,1,3,""
187,241,1,7,""
188,337,1,7,""
189,409,1,7,""
190,178,1,7,""
191,217,1,2,""
192,227,1,7,""
193,234,1,7,""
194,223,1,2,""
195,238,1,3,""
196,242,1,7,""
197,218,1,2,""
198,226,1,7,""
199,235,1,7,""
200,222,1,2,""
201,239,1,3,""
202,243,1,7,""
203,317,1,7,""
204,303,1,7,""
205,166,1,7,""
206,344,1,8,""
207,258,1,7,""
208,82,1,2,""
209,84,1,3,""
210,86,1,9,""
211,77,1,2,""
212,516,1,1,""
213,335,1,3,""
214,333,1,2,""
215,331,1,2,""
216,332,1,2,""
217,330,1,2,""
218,555,1,8,""
219,553,1,8,""
220,554,1,8,""
221,552,1,8,""
222,125,1,0,""
223,120,1,2,""
224,612,1,2,""
225,79,1,3,""
226,248,1,2,""
227,249,1,2,""
228,173,1,1,""
229,250,1,2,""
230,251,1,2,""
231,146,1,1,""
232,513,1,1,""
233,252,1,2,""
234,253,1,2,""
235,180,1,9,""
236,254,1,2,""
237,255,1,2,""
238,144,1,9,""
239,75,1,7,""
240,324,1,2,""
241,325,1,9,""
242,326,1,8,""
243,188,1,2,""
244,136,1,2,""
245,130,1,4,""
246,412,1,8,""
247,407,1,8,""
248,545,1,8,""
249,408,1,8,""
250,137,1,0,""
251,521,1,2,""
252,522,1,2,""
253,117,1,0,""
254,411,1,1,""
255,311,1,1,""
256,310,1,1,""
257,428,1,1,""
258,128,1,8,""
259,629,1,2,""
260,109,1,4,""
261,431,1,3,""
262,475,1,1,""
263,110,1,9,""
264,473,1,2,""
265,118,1,9,""
266,323,1,2,""
267,376,1,9,""
268,140,1,9,""
269,373,1,2,""
270,451,1,3,""
271,413,1,7,""
272,426,1,1,""
273,138,1,1,""
274,430,1,1,""
275,425,1,1,""
276,131,1,0,""
277,377,1,2,""
278,106,1,2,""
279,135,1,2,""
280,626,1,2,""
281,630,1,2,""
282,519,1,8,""
283,367,1,7,""
284,374,1,3,""
285,119,1,8,""
286,132,1,7,""
287,134,1,7,""
288,139,1,8,""
289,102,1,7,""
290,309,1,0,""
291,101,1,9,""
292,129,1,8,""
293,4686,1,9,""
294,4687,1,4,""
295,4688,1,7,""
296,4724,1,8,""
297,4726,1,2,""
298,4746,1,1,""
299,4733,1,2,""
300,4721,1,3,""
301,4750,1,2,""
302,4722,1,2,""
303,4720,1,2,""
304,4743,1,2,""
305,4784,1,8,""
306,4744,1,4,""
307,4731,1,2,""
308,4741,1,2,""
309,4723,1,4,""
310,4690,1,7,""
311,4691,1,9,""
312,4692,1,9,""
313,4694,1,2,""
314,4764,1,0,""
315,4781,1,1,""
316,4740,1,3,""
317,4789,1,2,""
318,4755,1,2,""
319,4754,1,2,""
320,4757,1,2,""
321,4703,1,9,""
322,4786,1,2,""
323,4696,1,3,""
324,4697,1,2,""
325,4702,1,4,""
326,4704,1,2,""
327,4700,1,2,""
328,4787,1,2,""
329,4705,1,2,""
330,4708,1,1,""
331,4706,1,2,""
332,4788,1,2,""
333,4767,1,0,""
334,5050,1,2,""
335,121,1,2,""
336,4707,1,2,""
337,4693,1,2,""
338,42,1,2,""
339,149,1,2,""
