"rownum","Id","bool_8","bool_9","bool_10","Mainhand_AnimationKey","Offhand_AnimationKey","bool_27","Stat","row_44","bool_52","row_53","[string]_61"
106,"DoubleStrikeOffhand","","","",15,"","","","","","",[]
107,"AttackChannelEnd","","","","","","","","","","",[]
108,"ChangeToStance4","","","","","","","","","","",[]
109,"ChainStrikeThrow","","","","","","","","","","",[]
110,"SliceAndDice","","","","","","","","","","",[]
111,"ChargeStart","","","","","","","","","","",[]
112,"CoilingAssault","","","","","","","","","","",[]
113,"AttackProjectileUpward","","","","","","","","","","",[]
114,"MetamorphosisSkill1","","","","","","","","","","",[]
115,"MetamorphosisSkill2","","","","","","","","","","",[]
116,"MetamorphosisSkill3","","","","","","","","","","",[]
117,"ChannelBowUpwards","",1,"","","","","","","","",[]
118,"ChannelBowUpwardsEnd","","","","","","","","","","",[]
119,"DeathFromDegen",1,"","",6,"","","","","","",[]
120,"DeathWhileMoving",1,"","",6,"","","","","","",[]
121,"DeathForward",1,"","",6,"","","","","","",[]
122,"DeathBackward",1,"","",6,"","","","","","",[]
123,"DeathLeft",1,"","",6,"","","","","","",[]
124,"DeathRight",1,"","",6,"","","","","","",[]
125,"TakeHitForward",1,"","",5,"","","","","","",[]
126,"TakeHitBackward",1,"","",5,"","","","","","",[]
127,"TakeHitLeft",1,"","",5,"","","","","","",[]
128,"TakeHitRight",1,"","",5,"","","","","","",[]
129,"Warcry","","","","","","","","","","",[]
130,"RunBackwards",1,"",1,4,"","","","","","",[]
131,"ChangeToStance5","","","","","","","","","","",[]
132,"RunLeft",1,"",1,4,"","","","","","",[]
133,"RunRight",1,"",1,4,"","","","","","",[]
134,"ShieldBash","","","",99,"","","","","","",[]
135,"ReviveFromDegen","","","",66,"","","","","","",[]
136,"ReviveWhileMoving","","","",66,"","","","","","",[]
137,"ReviveForward","","","",66,"","","","","","",[]
138,"ReviveBackward","","","",66,"","","","","","",[]
139,"ReviveLeft","","","",66,"","","","","","",[]
140,"ReviveRight","","","",66,"","","","","","",[]
141,"Fling","","","",40,"","","","","","",[]
142,"ChargeEndLeft","","","",11,"","","","","","",[]
143,"ChargeEndRight","","","",11,"","","","","","",[]
144,"ChargeEnd180","","","",11,"","","","","","",[]
145,"RingOfIce","","","","","","","","","","",[]
146,"RingOfIceStatueWindup","","","","","","","","","","",[]
147,"RingOfIceStatueAttack","","","","","","","","","","",[]
148,"CrucibleChannel",1,"","",71,151,"","","","","",[]
149,"CrucibleChannelEnd","","","",92,152,"","","","","",[]
150,"CrucibleChannelStart","","","",82,153,"","","","","",[]
151,"CrucibleChannelOff",1,"","",148,"","","","","","",[]
152,"CrucibleChannelEndOff","","","",149,"","","","","","",[]
153,"CrucibleChannelStartOff","","","",150,"","","","","","",[]
154,"CrucibleChannelShield",1,"","",151,"","","","","","",[]
155,"CrucibleChannelEndShield","","","",152,"","","","","","",[]
156,"CrucibleChannelStartShield","","","",153,"","","","","","",[]
157,"FixedRun",1,"",1,"","","","","","","",[]
158,"LookLeft","","","","","",1,"","","","",[]
159,"LookRight","","","","","",1,"","","","",[]
160,"ThroneIdle",1,"","","","","","","","","",[]
161,"BoatIdle",1,"","","","","","","","","",[]
162,"ChainStrikeThrowNonLooped","","","","","","","","","","",[]
163,"CommandMinionPoint","","","","","",1,"","","","",[]
164,"ConsumePet","","","","","","","","","","",[]
165,"KineticRain","","","",1,166,"","","","","",[]
166,"KineticRainOff","","","",3,"","","","","","",[]
167,"AnimatedMove",1,"","","","","","",168,"",169,[]
168,"AnimatedMoveStart","","","","","","","","","","",[]
169,"AnimatedMoveEnd","","","","","","","","","","",[]
170,"InteractSit",1,"","","","","","","","","",[]
171,"HolySlam","","","",13,"","","","","","",[]
172,"HolySlamOff","","","",104,"","","","","","",[]
173,"HolySweep","","","",19,"","","","","","",[]
174,"HolyShield","","","",99,"","","","","","",[]
175,"Discus","","","",99,"","","","","","",[]
176,"AbyssDive","","","","","","","","","","",[]
177,"RemidusDive","","","","","","","","","","",[]
178,"InteractMapToss","","","","","","","","","","",[]
