"rownum","MapsKey","MapWorldsTier","BetrayalTier","SynthesisTier","LegionTier","BlightTier","MetamorphosisTier","DeliriumTier","HarvestTier","HeistTier","RitualTier","ExpeditionTier","ScourgeTier","ArchnemesisTier","SentinelTier","KalandraTier","SanctumTier","CrucibleTier","AncestorTier","AzmeriTier","NecropolisTier","SettlersTier","SecretsTier","KeepersTier","i32_108"
25,351,4,11,10,8,7,5,5,5,5,5,5,3,0,0,4,0,7,8,3,0,7,2,13,9
26,352,4,3,5,4,5,15,15,4,3,2,8,4,8,9,15,15,2,0,4,10,11,10,8,2
27,353,4,4,4,2,5,2,2,1,2,3,14,5,10,9,0,0,0,13,1,9,13,7,9,0
28,354,4,6,8,10,8,3,3,4,1,2,5,0,9,3,0,6,16,5,11,3,0,0,2,1
29,355,4,4,8,9,6,10,10,7,7,5,4,3,0,0,0,0,4,0,0,0,16,16,13,15
30,356,4,6,9,12,15,5,5,7,12,3,3,2,7,10,8,14,7,0,13,4,0,16,3,15
31,357,0,0,0,0,0,0,0,0,0,2,3,0,13,2,1,7,11,7,7,8,0,5,10,10
32,358,0,0,0,0,0,0,0,0,0,11,9,5,10,11,16,10,0,2,8,13,0,11,7,6
33,359,0,0,0,0,0,0,0,0,0,12,6,10,6,6,5,8,11,0,2,1,11,16,12,14
34,360,0,0,0,0,0,0,0,0,0,3,11,11,2,0,15,2,0,3,2,11,0,0,16,10
35,361,0,0,0,0,0,0,0,0,0,11,15,0,2,1,10,12,9,3,0,15,8,14,0,6
36,362,0,0,0,0,0,0,0,0,0,10,10,3,10,0,0,10,7,0,0,14,7,3,0,0
37,363,5,7,8,7,7,4,4,2,2,11,14,8,4,0,0,0,12,0,3,11,0,6,0,0
38,364,5,6,5,1,2,2,2,2,14,3,14,15,0,0,13,6,7,12,0,11,10,0,15,3
39,365,5,6,2,1,5,2,2,2,2,5,2,1,14,0,0,6,0,9,0,0,9,0,0,11
40,366,5,5,3,6,6,9,9,9,13,13,3,5,14,5,8,14,14,14,14,14,14,14,14,5
41,367,5,1,3,4,4,13,13,4,4,4,1,0,6,0,0,13,0,16,9,3,7,2,8,0
42,368,5,7,8,8,10,3,3,3,4,3,4,9,3,5,0,16,6,0,0,3,9,12,2,0
43,369,5,9,5,6,7,3,3,3,8,3,3,3,9,0,8,16,0,0,3,0,5,6,0,0
44,370,5,12,14,1,3,14,14,2,4,11,3,0,15,7,0,5,0,16,15,0,0,5,16,12
45,371,5,4,3,5,3,14,14,14,14,9,4,3,0,0,0,4,0,0,9,0,9,0,0,10
46,372,5,4,3,2,4,4,4,11,11,14,3,7,0,15,8,0,14,1,0,12,0,0,0,0
47,373,6,5,4,3,3,2,2,2,1,9,13,4,4,10,7,1,0,12,0,3,4,2,9,13
48,374,6,6,7,4,4,2,2,2,2,2,2,16,9,14,0,0,3,0,2,4,5,0,0,8
49,375,6,5,3,5,1,1,1,2,4,1,4,0,6,10,6,0,12,0,14,8,8,11,4,5
50,376,6,6,8,6,8,4,4,14,2,10,12,0,8,0,4,3,6,15,0,5,0,9,15,0
51,377,6,6,7,10,10,4,4,4,4,4,3,0,0,0,0,8,0,6,5,9,15,0,1,0
52,378,6,2,5,2,5,4,4,14,3,14,8,14,4,7,2,4,13,6,6,16,0,0,1,0
53,379,6,6,10,3,1,1,1,5,5,2,3,4,0,11,5,0,12,14,10,2,0,8,0,8
54,380,6,6,3,3,3,2,2,2,15,3,4,12,16,4,14,15,0,0,5,8,13,15,11,12
55,381,6,1,3,6,8,5,5,5,5,5,5,3,6,6,4,4,5,5,5,5,5,5,5,3
56,382,6,9,8,12,12,3,3,3,3,3,2,4,4,4,12,12,4,4,4,4,4,4,4,10
57,383,6,5,4,9,7,2,2,2,2,2,16,13,1,1,14,14,10,10,10,10,10,10,10,6
58,384,7,4,5,4,4,11,11,11,3,2,14,0,0,0,5,7,13,0,10,0,11,0,10,15
59,385,7,10,9,10,9,15,15,2,2,12,11,0,15,13,5,4,7,0,0,0,9,9,0,7
60,386,7,7,8,10,10,4,4,4,2,3,14,0,3,9,6,0,0,7,12,16,0,0,5,3
61,387,7,5,6,7,6,10,10,14,2,14,14,0,0,16,9,4,5,3,16,11,14,0,2,9
62,388,7,1,2,5,3,2,2,3,4,4,3,0,0,3,16,0,9,0,3,0,8,1,11,0
63,389,7,7,8,8,10,3,3,3,4,4,4,2,10,10,15,15,2,2,2,2,2,2,2,5
64,390,7,3,7,8,6,4,4,4,4,4,4,3,7,7,3,3,1,1,1,1,1,1,1,0
65,391,7,7,9,9,8,13,13,13,2,2,9,2,12,12,10,10,15,15,15,15,15,15,15,0
66,392,7,5,13,11,11,9,9,3,3,2,15,2,13,8,10,10,0,0,5,5,1,0,0,13
67,393,7,8,10,9,8,12,12,12,12,16,5,16,2,0,7,4,10,9,8,10,0,0,8,0
68,394,7,7,7,10,7,3,3,3,3,15,4,0,5,4,0,9,0,5,16,0,0,5,8,0
69,395,8,8,9,7,9,2,2,14,5,3,12,2,7,13,4,5,4,0,2,0,0,3,0,0
70,396,8,8,11,11,13,14,14,3,5,2,3,0,7,3,0,11,3,16,2,0,12,0,7,0
71,397,8,8,10,6,10,3,3,15,15,3,15,4,5,9,1,15,9,0,8,0,0,0,0,0
72,398,8,5,9,12,11,3,3,3,3,3,2,4,12,12,4,4,4,4,4,4,4,4,4,15
73,399,8,7,6,10,6,4,4,13,9,3,2,0,0,0,0,0,11,11,0,0,12,2,0,0
74,400,8,2,4,2,2,2,2,12,11,5,2,11,9,4,14,0,8,0,0,0,3,13,0,0
75,401,8,4,5,6,9,4,4,4,3,3,13,3,5,7,0,5,5,5,5,5,5,5,5,7
76,402,8,8,7,6,9,3,3,3,3,3,5,3,0,5,5,0,0,15,13,0,0,0,12,10
77,403,8,8,7,9,8,4,4,4,3,3,13,14,5,5,4,4,6,6,6,6,6,6,6,0
78,404,8,9,9,5,3,5,5,1,4,2,2,3,0,5,0,0,15,5,5,9,2,8,2,5
79,405,8,8,7,9,9,14,14,10,10,9,14,4,3,12,0,7,5,2,11,13,0,7,10,4
80,406,9,9,10,9,10,3,3,3,2,2,3,6,3,3,2,2,4,4,4,4,4,4,4,13
81,407,9,8,6,10,8,11,11,6,6,14,3,12,0,7,0,3,0,0,9,0,16,2,6,8
82,408,9,15,13,13,11,5,5,15,1,2,14,3,4,2,0,0,4,10,0,6,0,16,7,9
83,409,9,9,15,6,7,4,4,3,9,5,14,3,2,10,16,0,6,0,6,7,0,15,6,0
84,410,9,10,10,10,10,13,13,3,3,13,9,15,0,0,6,3,5,1,7,16,5,4,15,0
85,411,9,10,7,8,6,4,4,14,3,15,2,1,3,0,0,8,0,2,3,14,6,10,7,0
86,412,9,9,6,7,6,3,3,3,15,15,9,4,1,0,15,0,0,10,15,15,4,8,0,0
87,413,9,6,9,10,8,3,3,3,3,3,3,11,4,4,5,5,14,14,14,14,14,14,14,0
88,414,9,9,11,7,9,3,3,4,3,2,2,0,0,5,11,0,0,1,10,15,0,0,15,8
89,415,9,9,9,11,13,3,3,3,4,4,3,3,2,2,3,3,12,12,12,12,12,12,12,0
90,416,9,9,10,8,9,5,5,5,6,10,10,0,0,0,0,0,1,0,0,0,1,8,0,0
91,417,10,11,13,11,15,8,8,13,4,12,8,5,0,0,0,0,9,15,5,5,1,4,0,11
92,418,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,11,10,11,11,11,11,11,11
93,419,10,3,13,12,12,9,9,9,3,12,3,0,8,0,0,12,8,0,0,1,0,8,1,15
94,420,10,10,14,13,12,3,3,5,14,3,4,0,8,0,11,0,2,0,0,2,6,11,11,3
95,421,10,11,8,3,4,4,4,4,16,15,3,0,0,0,6,2,8,6,0,0,8,3,14,4
96,422,10,8,11,14,13,3,3,2,2,4,4,3,12,13,8,11,9,2,8,10,0,15,16,14
97,423,10,6,12,11,13,7,7,10,4,4,9,0,9,11,11,7,2,7,4,0,0,7,4,0
98,424,10,11,11,10,10,3,3,3,3,15,3,13,0,2,8,5,0,3,7,12,3,5,0,6
99,425,10,10,7,3,1,1,1,2,2,3,14,0,0,0,9,5,9,7,1,2,11,13,0,0
100,426,10,3,1,4,4,2,2,2,13,13,3,3,15,15,12,12,7,7,7,7,7,7,7,13
101,427,10,8,8,14,13,2,2,3,3,3,3,4,10,6,13,13,4,10,12,8,16,11,14,4
102,428,11,8,6,6,9,16,16,16,15,2,4,5,5,9,12,6,6,6,6,6,6,6,6,1
103,429,11,11,6,11,11,8,8,4,13,2,2,4,11,6,7,13,3,0,0,2,2,0,0,10
104,430,11,12,13,11,15,4,4,2,2,15,11,0,0,8,7,12,1,11,4,0,5,8,0,0
105,431,11,7,6,6,10,3,3,3,14,4,11,0,14,6,4,9,3,4,0,4,0,0,10,8
106,432,11,10,7,7,7,14,14,12,12,2,5,4,11,1,6,2,0,15,8,7,7,4,6,0
107,433,11,10,11,13,15,3,3,2,2,1,13,0,5,0,0,3,16,11,10,0,14,0,3,5
108,434,11,9,8,7,9,3,3,2,14,7,5,2,0,0,3,0,0,8,0,6,0,7,2,2
109,435,11,11,10,8,7,9,9,9,9,3,15,0,0,13,3,7,10,8,0,0,0,0,4,14
110,436,11,11,10,5,2,3,3,3,3,14,1,0,1,8,14,11,0,3,15,0,4,10,4,7
111,437,11,10,6,8,8,4,4,9,15,16,4,2,0,12,0,0,6,7,0,10,15,0,8,13
112,438,0,0,0,0,0,0,0,0,0,8,2,2,15,5,6,11,2,0,5,6,3,0,0,11
113,439,12,12,15,13,14,4,4,4,4,2,3,14,8,0,3,10,13,0,0,14,6,3,13,5
114,440,12,15,13,15,14,16,16,2,16,15,3,16,15,6,7,0,0,9,8,0,5,0,3,4
115,441,12,12,6,7,6,13,13,13,9,9,2,9,4,4,6,6,3,3,3,3,3,3,3,7
116,442,12,12,9,9,9,5,5,5,5,15,9,0,0,0,11,2,6,8,3,16,6,12,3,1
117,443,12,11,12,14,12,4,4,3,12,4,16,0,0,9,0,0,8,0,6,3,16,13,0,0
118,444,12,12,9,9,7,2,2,2,3,15,10,0,0,11,9,11,0,0,0,0,0,2,9,0
119,445,12,15,14,14,14,12,12,8,3,3,14,15,0,0,0,8,3,2,0,0,0,7,7,12
120,446,12,12,6,8,7,15,15,15,16,16,3,5,3,3,7,7,12,12,12,12,12,12,12,3
121,447,12,13,14,7,6,3,3,3,3,8,3,3,0,0,10,0,15,9,11,0,7,5,14,6
122,448,13,13,14,15,11,5,5,4,2,14,2,3,11,16,3,3,8,13,7,0,13,0,0,0
123,449,13,7,7,8,6,12,12,3,3,10,15,3,4,0,8,16,0,0,11,0,0,5,5,14
124,450,13,11,13,12,11,4,4,4,1,13,1,15,0,15,3,0,0,0,9,9,0,9,12,9
125,451,13,12,12,11,12,14,14,8,8,6,5,9,7,0,0,0,11,4,0,0,10,13,0,0
126,452,13,14,12,13,14,15,15,3,4,15,3,14,0,8,1,1,14,8,0,13,15,1,0,4
127,453,13,13,14,13,11,14,14,9,9,5,3,0,2,0,5,13,3,0,0,13,0,0,0,1
128,454,13,12,11,9,6,3,3,3,3,4,2,14,8,4,13,8,16,0,0,2,0,8,6,11
129,455,13,15,11,15,12,15,15,4,2,5,7,0,11,8,0,0,12,0,0,1,13,9,13,0
130,456,13,13,15,12,14,11,11,11,11,14,3,3,0,8,0,0,15,0,2,0,0,3,2,2
131,457,14,13,13,12,14,12,12,14,4,14,14,3,3,0,2,9,15,13,12,0,6,2,5,0
132,458,14,13,12,15,13,15,15,15,9,14,3,13,10,2,5,5,0,6,4,11,0,3,11,15
133,459,14,14,15,14,15,14,14,4,10,7,11,11,6,11,2,9,0,6,6,0,2,4,9,2
134,460,14,13,13,11,13,14,14,11,11,4,5,14,16,4,2,2,8,10,13,12,0,0,5,11
135,461,14,10,14,13,12,4,4,6,5,3,2,2,13,2,14,13,10,0,14,11,0,0,0,9
136,462,14,13,11,11,12,11,11,5,3,12,10,6,12,0,9,0,16,0,7,0,10,9,0,14
137,463,14,14,11,15,11,15,15,15,15,5,4,12,1,15,0,0,0,12,6,12,9,15,3,16
138,464,15,15,15,12,14,15,15,15,15,15,14,14,0,16,13,1,0,13,0,8,2,6,9,9
139,465,15,14,11,14,13,5,5,5,5,3,3,13,2,3,0,0,0,10,12,6,9,6,0,0
140,466,15,14,12,13,11,14,14,3,14,2,4,12,0,13,0,14,0,13,0,8,0,12,0,0
141,467,15,13,12,13,11,5,5,16,4,3,15,2,0,3,0,0,0,14,14,8,0,0,0,11
142,468,15,14,12,12,13,16,16,14,14,5,6,3,13,3,2,14,0,9,10,0,2,0,0,3
143,469,0,0,0,0,0,0,0,0,0,9,15,1,12,0,10,0,2,2,16,9,0,0,0,0
144,470,0,0,0,0,0,0,0,0,0,14,11,0,8,6,2,0,0,0,15,7,7,9,5,8
145,471,0,0,0,0,0,0,0,0,0,6,12,4,7,0,12,5,2,16,0,7,8,11,4,16
146,472,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16
147,473,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16
148,474,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16
149,475,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16
150,476,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,0
151,477,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16
152,478,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0
153,479,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0
154,480,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,0
155,481,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,0
156,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,0,16,0
157,483,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,16
158,484,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,16
159,485,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,16
160,486,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,16
161,487,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,16
