"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","PackLeader1","PackLeader1 (French)","PackLeader1 (German)","PackLeader1 (Japanese)","PackLeader1 (Korean)","PackLeader1 (Portuguese)","PackLeader1 (Russian)","PackLeader1 (Spanish)","PackLeader1 (Thai)","PackLeader1 (Traditional Chinese)","PackLeader2","PackLeader2 (French)","PackLeader2 (German)","PackLeader2 (Japanese)","PackLeader2 (Korean)","PackLeader2 (Portuguese)","PackLeader2 (Russian)","PackLeader2 (Spanish)","PackLeader2 (Thai)","PackLeader2 (Traditional Chinese)","Mod"
10,"Rhoa","Rhoas","Rhoas","Rhoas","ロア","로아","Rhoas","Роа","Rhoas","Rhoa","恐喙鳥","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoa","Flightless bird <white>{Beasts}\r\nCharges aggressively towards enemies\r\nEnrages when nearby nests are broken","Oiseaux aptères (<white>{Bêtes})\r\nCharge aggressivement en direction des ennemis\r\nDevient enragé lorsque les nids proches sont détruits","Flugunfähige Vogel-<white>{Bestien}\r\nStürmt aggressiv auf Gegner zu\r\nWird wütend, wenn Nester im Umkreis zerstört werden","飛べない鳥の<white>{獣}\r\n積極的に敵に向かって突進する\r\n近くの巣が破壊された時に怒る","날지 못하는 새 <white>{야수}.\r\n적을 향해 공격적으로 돌진합니다.\r\n주변의 둥지가 망가지면 격앙합니다.","Pássaros <white>{Bestiais} que não voam.\r\nAvança agressivamente contra os inimigos\r\nFica enfurecida quando ninhos próximos são quebrados","Нелетающие птицы (<white>{звери})\r\nАгрессивно атакуют врагов\r\nПриходят в ярость, когда близлежащие гнезда ломаются","<white>{Bestias} ave no voladoras \r\nCargan de forma agresiva hacia los enemigos\r\nSe enfurecen cuando alguien rompe sus nidos","<white>{สัตว์ร้าย}นกไร้ปีก\r\nพุ่งชนศัตรูอย่างเกรี้ยวกราด\r\nเดือดดาล เมื่อรังที่อยู่ใกล้ถูกทำลาย","不會飛的鳥<white>{野獸}\r\n朝敵人猛烈衝鋒\r\n附近的巢穴被破壞時陷入暴怒","","","","","","","","","","","","","","","","","","","","",""
11,"RhoaLarge","Large Rhoas","Grands Rhoas","Große Rhoas","ラージロア","대형 로아","Rhoas Grandes","Большие роа","Rhoas grandes","Large Rhoa","大型恐喙鳥","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoa","Large flightless bird <white>{Beasts}\r\nCharges aggressively towards enemies \r\nEnrages when nearby nests are broken","Grands oiseaux aptères (<white>{Bêtes})\r\nCharge aggressivement en direction des ennemis\r\nDevient enragé lorsque les nids proches sont détruits","Große flugunfähige Vogel-<white>{Bestien}\r\nStürmt aggressiv auf Gegner zu \r\nWird wütend, wenn Nester im Umkreis zerstört werden","大型の飛べない鳥の<white>{獣}\r\n積極的に敵に向かって突進する\r\n近くの巣が破壊された時に怒る","날지 못하는 커다란 새 <white>{야수}.\r\n적을 향해 공격적으로 돌진합니다.\r\n주변의 둥지가 망가지면 격앙합니다.","Pássaros <white>{Bestiais} grandes que não voam.\r\nAvança agressivamente contra os inimigos\r\nFica enfurecida quando ninhos próximos são quebrados","Большие нелетающие птицы (<white>{звери})\r\nАгрессивно атакуют врагов\r\nПриходят в ярость, когда близлежащие гнезда ломаются","<white>{Bestias} ave no voladoras grandes\r\nCargan de forma agresiva hacia los enemigos\r\nSe enfurecen cuando alguien rompe sus nidos","<white>{สัตว์ร้าย}นกไร้ปีกขนาดใหญ่\r\nพุ่งชนศัตรูอย่างเกรี้ยวกราด\r\nเดือดดาล เมื่อรังที่อยู่ใกล้ถูกทำลาย","大型不會飛的鳥<white>{野獸}\r\n會朝敵人猛烈衝鋒\r\n附近的巢穴被破壞時陷入暴怒","","","","","","","","","","","","","","","","","","","","",""
12,"ZombiesMired2","Rotting Damned","Damnés pourrissants","Verwesende Verfluchte","腐った亡者","썩어가는 망자","Malditos Apodrecidos","Гниющие проклятые","Condenados podridos","Rotting Damned","咒怨腐屍","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconZombie","Slow moving <white>{Undead} Zombies\r\nSometimes emerges from underground","Zombies <white>{morts-vivants} lents","Langsame <white>{untote} Zombies\r\nTaucht manchmal aus dem Untergrund auf","ゆっくりと移動する<white>{不死者}のゾンビ\r\n地面から出現することがある","느리게 움직이는 <white>{언데드} 좀비.\r\n때때로 땅밑에서 튀어나옵니다.","<white>{Mortos-vivos} Zumbis de movimento lento\r\nÀs vezes emerge do subsolo.","Медленно двигающася <white>{нежить}\r\nИногда появляются из-под земли","Zombis <white>{no muertos} que avanzan despacio\r\nA veces emergen del suelo","ซอมบี้<white>{อันเดด} เคลื่อนที่เชื่องช้า\r\nบางครั้งผุดขึ้นมาจากใต้ดิน","緩速移動的<white>{不死}殭屍\r\n有時會從地下出現","","","","","","","","","","","","","","","","","","","","",""
13,"ZombiesMired","Zombies","Zombies","Zombies","ゾンビ","좀비","Zumbis","Зомби","Zombis","Zombie","殭屍","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconZombie","Slow moving <white>{Undead} Zombies\r\nSometimes emerges from underground","Zombies <white>{morts-vivants} lents","Langsame <white>{untote} Zombies\r\nTaucht manchmal aus dem Untergrund auf","ゆっくり移動する<white>{不死者}のゾンビ\r\n地面から出現することがある","느리게 움직이는 <white>{언데드} 좀비.\r\n때때로 땅밑에서 튀어나옵니다.","<white>{Mortos-vivos} Zumbis de movimento lento\r\nÀs vezes emerge do subsolo.","Медленно двигающася <white>{нежить}\r\nИногда появляются из-под земли","Zombis <white>{no muertos} que avanzan despacio\r\nA veces emergen del suelo","ซอมบี้<white>{อันเดด} เคลื่อนที่เชื่องช้า\r\nบางครั้งผุดขึ้นมาจากใต้ดิน","緩速移動<white>{不死}怪物\r\n有時會從地下出現","","","","","","","","","","","","","","","","","","","","",""
14,"necropolis-frogs","Frogs","Grenouilles","Frösche","蛙","개구리","Sapos","Лягушки","Ranas","Frog","青蛙","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherFrog","Harmless <white>{Beasts} that hop around","<white>{Bêtes} inoffensives qui sautillent","Harmlose <white>{Bestien}, die herumhüpfen","跳ね回る無害な<white>{獣}","폴짝폴짝 뛰어다니는 무해한 <white>{야수}.","<white>{Bestas} inofensivas que pulam por aí.","Прыгающие вокруг безобидные <white>{звери}","<white>{Bestias} inofensivas que van dando saltos","<white>{สัตว์ร้าย}ไร้พิษสง ที่กระโดดไปมา","無害的<white>{野獸}會四處蹦跳","<white>{Pack Leader:}\r\n<white>{Strange Frog}","<white>{Chef de groupe :}\r\n<white>{Grenouille étrange}","<white>{Gruppenanführer:}\r\n<white>{Merkwürdiger Frosch}","<white>{パックリーダー：}\r\n<white>{変なカエル}","<white>{무리 우두머리:}\r\n<white>{이상한 개구리}","<white>{Líder do Grupo:}\r\n<white>{Sapo Estranho}","<white>{Лидер группы:}\r\n<white>{Странная лягушка}","<white>{Líder del grupo:}\r\n<white>{Rana extraña}","<white>{หัวหน้ากอง:}\r\n<white>{กบประหลาด}","<white>{怪物群首領：}<white>{畸異青蛙}","<white>{Pack Leader:}\r\n<white>{Strange Frog}","<white>{Chef de groupe :}\r\n<white>{Grenouille étrange}","<white>{Gruppenanführer:}\r\n<white>{Merkwürdiger Frosch}","<white>{パックリーダー：}\r\n<white>{変なカエル}","<white>{무리 우두머리:}\r\n<white>{이상한 개구리}","<white>{Líder do Grupo:}\r\n<white>{Sapo Estranho}","<white>{Лидер группы:}\r\n<white>{Странная лягушка}","<white>{Líder del grupo:}\r\n<white>{Rana extraña}","<white>{หัวหน้ากอง:}\r\n<white>{กบประหลาด}","<white>{怪物群首領：}<white>{畸異青蛙}",37405
15,"Ratsss","Rats","Rats","Ratten","鼠","쥐","Ratos","Крысы","Ratas","Rat","鼠輩","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherRat","Small <white>{Beasts} ","Petites <white>{Bêtes}","Kleine <white>{Bestien} ","小さな<white>{獣}","작은 <white>{야수}.","<white>{Bestas} pequenas","Небольшие <white>{звери}","<white>{Bestias} pequeñas","<white>{สัตว์ร้าย}ขนาดเล็ก","小型<white>{野獸}","","","","","","","","","","","","","","","","","","","","",""
16,"necropolis-rats","Rats","Rats","Ratten","鼠","쥐","Ratos","Крысы","Ratas","Rat","鼠輩","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherRat","Small <white>{Beasts} ","Petites <white>{bêtes}","Kleine <white>{Bestien} ","小さな<white>{獣}","작은 <white>{야수}.","<white>{Bestas} pequenas","Небольшие <white>{звери}","<white>{Bestias} pequeñas","<white>{สัตว์ร้าย}ขนาดเล็ก","<white>{巨獸}怪物會造成<craftingphysical>{物理}傷害","<white>{Pack Leader:}\r\n<white>{Overgrown Rat}","<white>{Chef de groupe :}\r\n<white>{Rat énorme}","<white>{Gruppenanführer:}\r\n<white>{Übergröße Ratte}","<white>{パックリーダー：}\r\n<white>{過剰発育のネズミ}","<white>{무리 우두머리:}\r\n<white>{과대한 쥐}","<white>{Líder do Grupo:}\r\n<white>{Rato Crescido}","<white>{Лидер группы:}\r\n<white>{Крыса-переросток}","<white>{Líder del grupo:}\r\n<white>{Rata desmesurada}","<white>{หัวหน้ากอง:}\r\n<white>{หนูโตเกินวัย}","<white>{怪物群首領：}<white>{超然之鼠}","<white>{Pack Leader:}\r\n<white>{Overgrown Rat}","<white>{Chef de groupe :}\r\n<white>{Rat énorme}","<white>{Gruppenanführer:}\r\n<white>{Übergröße Ratte}","<white>{パックリーダー：}\r\n<white>{過剰発育のネズミ}","<white>{무리 우두머리:}\r\n<white>{과대한 쥐}","<white>{Líder do Grupo:}\r\n<white>{Rato Crescido}","<white>{Лидер группы:}\r\n<white>{Крыса-переросток}","<white>{Líder del grupo:}\r\n<white>{Rata desmesurada}","<white>{หัวหน้ากอง:}\r\n<white>{หนูโตเกินวัย}","<white>{怪物群首領：}<white>{超然之鼠}",37405
17,"AllflameBetrayal","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherRat","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","[DNT] Traitors","<white> {Pack Leader:}\r\n<white>{Random Syndicate Member}","<white> {Chef de groupe :}\r\n<white>{Membre du Syndicat aléatoire}","<white>{Gruppenanführer:}\r\n<white>{Zufälliges Syndikatsmitglied}","<white>{パックリーダー：}\r\n<white>{ランダムなシンジケートメンバー}","<white> {무리 우두머리:}\r\n<white>{무작위 연합 단원}","<white>{Líder do Grupo:}\r\n<white>{Membro Aleatório do Sindicato}","<white>{Лидер группы:}\r\n<white>{Случайный член Синдикта}","<white> {Líder del grupo:}\r\n<white>{Miembro del Sindicato aleatorio}","<white>{หัวหน้ากอง:}\r\n<white>{สมาชิกองค์กรทรยศแบบสุ่ม}","<white>{怪物群領袖：}\r\n<white>{隨機密教成員}","<white> {Pack Leader:}\r\n<white>{Random Syndicate Member}\r\nPotentially Equipped with Random Syndicate Gear","<white> {Chef de groupe :}\r\n<white>{Membre du Syndicat aléatoire}\r\nEst potentiellement équipé de pièces d'équipement aléatoires du Syndicat","<white> {Gruppenanführer:}\r\n<white>{Zufälliges Syndikatsmitglied}\r\nPotenziell ausgestattet mit zufälliger Syndikatsausrüstung","<white>{パックリーダー：}\r\n<white>{ランダムなシンジケートメンバー}\r\nランダムなシンジケートギアを装備している可能性がある","<white> {무리 우두머리:}\r\n<white>{무작위 연합 단원}\r\n무작위 연합 장비를 장착하고 있을 가능성 있음","<white>{Líder do Grupo:}\r\n<white>{Membro Aleatório do Sindicato} \r\nPode ter equipamento aleatório do Sindicato","<white>{Лидер группы:}\r\n<white>{Случайный член Синдикта}\r\nМожет носить случайное снаряжение Синдиката","<white> {Líder del grupo:}\r\n<white>{Miembro del Sindicato aleatorio}\r\nPotencialmente equipado con equipo del Sindicato aleatorio","<white>{หัวหน้ากอง:}\r\n<white>{สมาชิกองค์กรทรยศแบบสุ่ม}\r\nอาจสวมใส่ อุปกรณ์องค์กรทรยศแบบสุ่ม","<white>{怪物群領袖：}\r\n<white>{隨機密教成員}\r\n可能帶有隨機密教裝備",""
18,"Crustaceans2","Invading Crustaceans","Crustacés invasifs","Eindringende Kruster","侵攻する甲殻類","침략하는 갑각류","Crustáceos Invasores","Нападающие крабы","Crustáceos invasores","Invading Crustacean","侵略甲蟹","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrustaceans","Shelled <white>{Beasts}\r\nSheds their shell on death","<white>{Bêtes} à carapace\r\nPerd sa carapace en mourant","Schalentragende <white>{Bestien}\r\nEntledigen sich ihrer Schale bei Tod","殻を持つ<white>{獣}\r\n死亡時に殻を脱ぐ","껍데기로 뒤덮인 <white>{야수}.\r\n사망하면 탈피합니다.","<white>{Bestas} crustáceas\r\nPerde sua casca ao morrer","<white>{Звери} с панцирем\r\nСбрасывают панцири, когда их убивают в первый раз","<white>{Bestias} con caparazón\r\nSu caparazón se desprende al morir","<white>{สัตว์ร้าย}มีกระดอง\r\nสลัดกระดองออกเมื่อตาย","巨蟹<white>{野獸}\r\n死亡時會脫殼","","","","","","","","","","","","","","","","","","","","",""
19,"Crustaceans3","Shield Crabs","Crabes-boucliers","Schildkrabben","シールドクラブ","방패게","Caranguejos Escudo","Крепкие крабы","Cangrejos escudo","Shield Crab","甲殼動物","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrustaceanBleached","Shelled <white>{Beasts}\r\nSheds their shell on death","<white>{Bêtes} à carapace\r\nPerd sa carapace en mourant","Schalentragende <white>{Bestien}\r\nEntledigen sich ihrer Schale bei Tod","殻を持つ<white>{獣}\r\n死亡時に殻を脱ぐ","껍데기로 뒤덮인 <white>{야수}.\r\n사망하면 탈피합니다.","<white>{Bestas} crustáceas\r\nPerde sua casca ao morrer","<white>{Звери} с панцирем\r\nСбрасывают панцири, когда их убивают в первый раз","<white>{Bestias} con caparazón\r\nSu caparazón se desprende al morir","<white>{สัตว์ร้าย}มีกระดอง\r\nสลัดกระดองออกเมื่อตาย","巨蟹<white>{野獸}\r\n死亡時會脫殼","","","","","","","","","","","","","","","","","","","","",""
20,"Crustaceans","Shield Crabs","Crabes-boucliers","Schildkrabben","シールドクラブ","방패게","Caranguejos Escudo","Крепкие крабы","Cangrejos escudo","Shield Crab","重盾巨蟹","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrustaceans","Shelled <white>{Beasts}\r\nSheds their shell on death","<white>{Bêtes} à carapace\r\nPerd sa carapace en mourant","Schalentragende <white>{Bestien}\r\nEntledigen sich ihrer Schale bei Tod","殻を持つ<white>{獣}\r\n死亡時に殻を脱ぐ","껍데기로 뒤덮인 <white>{야수}.\r\n사망하면 탈피합니다.","<white>{Bestas} crustáceas\r\nPerde sua casca ao morrer","<white>{Звери} с панцирем\r\nСбрасывают панцири, когда их убивают в первый раз","<white>{Bestias} con caparazón\r\nSu caparazón se desprende al morir","<white>{สัตว์ร้าย}มีกระดอง\r\nสลัดกระดองออกเมื่อตาย","繁族巨蟹<white>{巨獸}會造成<craftingphysical>{物理}傷害\r\n並且第一次被殺死時會脫殼","","","","","","","","","","","","","","","","","","","","",""
21,"RhoaSkeleton","Skeleton Rhoas ","Rhoas squelettes","Skelett-Rhoas","スケルトンロア","해골 로아","Esqueletos Rhoa","Роа-скелеты","Rhoas esqueleto","Skeleton Rhoa","骷髏恐喙鳥 ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoaSkeleton","<white>{Undead} flightless bird skeletons\r\nCharges aggressively towards enemies","Oiseaux squelettes aptères <white>{morts-vivants}\r\nCharge aggressivement en direction des ennemis","<white>{Untote} flugunfähige Vogelskelette\r\nStürmt aggressiv auf Gegner zu","<white>{不死者}の飛べない鳥のスケルトン\r\n積極的に敵に向かって突進する","날지 못하는 <white>{언데드} 새의 해골.\r\n적을 향해 공격적으로 돌진합니다.","Aves <white>{mortas-vivas} que não voam.\r\nAvança agressivamente contra os inimigos","Нелетающие птицы (<white>{нежить})\r\nАгрессивно атакуют врагов","Esqueletos ave no voladores <white>{no muertos} \r\nCargan de forma agresiva hacia los enemigos","โครงกระดูกนกไร้ปีก<white>{อันเดด}\r\nพุ่งชนศัตรูอย่างเกรี้ยวกราด","<white>{不死}不會飛的鳥骷髏\r\n會朝敵人猛烈衝鋒","","","","","","","","","","","","","","","","","","","","",""
22,"MeleeSkeleton3","Sandworn Watchmen","Veilleurs usés par le sable","Sandgeschundene Wachmänner","砂塗れの警備","모래에 닳은 감시원","Vigia Arenoso","Заражённые сторожи","Centinelas erosionados","Sandworn Watchman","沙瀑守望者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons\r\nUses <craftingcold>{Frost} Blades","Squelettes <white>{morts-vivants}\r\nUtilise Lames de <craftingcold>{givre}","<white>{Untote} Skelette\r\nBenutzt <craftingcold>{Frostklingen}","<white>{不死者}のスケルトン\r\n<craftingcold>{フロスト}ブレードを使用する","<white>{언데드} 해골.\r\n<craftingcold>{서리} 칼날을 사용합니다.","Esqueletos <white>{Mortos-vivos}\r\nUsa Lâminas <craftingcold>{Gélidas}","Скелеты (<white>{нежить})\r\n Используют <craftingcold>{Ледяные} клинки","Esqueletos <white>{no muertos}\r\nUsan Filos de <craftingcold>{escarcha}","โครงกระดูก<white>{อันเดด}\r\nใช้ มีด<craftingcold>{น้ำแข็ง} (Frost Blades)","<white>{不死}骷髏\r\n使用<craftingcold>{冰霜}之刃","","","","","","","","","","","","","","","","","","","","",""
23,"MeleeSkeleton2","Timeless Wanderers","Errants intemporels","Zeitlose Wanderer","永遠の放浪者","무궁한 방랑자","Andarilhos Atemporais","Вечные странники","Vagabundos eternos","Timeless Wanderer","永恆浪者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}骷髏","","","","","","","","","","","","","","","","","","","","",""
