"rownum","Id","Title","Title (French)","Title (German)","Title (Japanese)","Title (Korean)","Title (Portuguese)","Title (Russian)","Title (Spanish)","Title (Thai)","Title (Traditional Chinese)","Art"
24,25,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
25,26,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
26,27,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
27,28,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
28,29,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
29,30,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
30,31,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
31,32,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
32,33,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
33,34,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
34,35,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
35,36,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
36,37,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
37,38,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
38,39,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
39,40,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
40,41,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
41,42,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
42,43,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
43,44,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
44,45,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
45,46,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
46,47,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
47,48,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
48,49,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
49,50,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
50,52,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
51,53,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
52,54,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
53,56,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
54,57,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
55,58,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
56,55,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
57,59,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
58,60,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
59,61,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
60,62,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
61,63,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
62,64,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
63,66,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","掘獄物品",""
64,67,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
65,68,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
66,69,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
67,71,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
68,72,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
69,75,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
70,76,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
71,79,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
72,80,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/AchievementRuthless"
