"rownum","Id","i32_8","[rid]_12","Icon","rid_36","[rid]_52","rid_68","i32_84","i32_88","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid_100","i32_116","[rid]_120","i32_136"
10,"MapModWishMoreScarabs",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreScarabs","",[],"",0,2,"Wish for Scarabs","Vœu de scarabées","Wunsch nach Skarabäen","スカラベを願う","갑충석을 소원으로 빌기","Pedir Escaravelhos","Пожелать скарабеев","Deseo de escarabajos","ขอสคารับ","甲蟲之願","",1770,[],3
11,"MapModWishMoreMapDrops",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreMapDrops","",[],"",0,2,"Wish for Horizons","Vœu d'horizons","Wunsch nach Horizonten","地平を願う","지평선을 소원으로 빌기","Pedir Horizontes","Пожелать горизонтов","Deseo de horizontes","ขอขอบฟ้า","地平之願","",1770,[],2
12,"MapModWishMoreRarity",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreRarity","",[],"",0,2,"Wish for Treasures","Vœu de trésors","Wunsch nach Schätzen","財宝を願う","보물을 소원으로 빌기","Pedir Tesouros","Пожелать сокровищ","Deseo de tesoros","ขอสมบัติ","寶藏之願","",1770,[],1
13,"MapModWishMoreRarityLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreRarity","",[],"",0,2,"Wish for Treasures","Vœu de trésors","Wunsch nach Schätzen","財宝を願う","보물을 소원으로 빌기","Pedir Tesouros","Пожелать сокровищ","Deseo de tesoros","ขอสมบัติ","寶藏之願","",1770,[],0
14,"MapModWishPackSize",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Hordes","Vœu de hordes","Wunsch nach Horden","群れを願う","떼를 소원으로 빌기","Pedir Hordas","Пожелать орд","Deseo de hordas","ขอฝูง","族群之願","",1770,[],2
15,"MapModWishGoldFind",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldFind","",[],"",0,2,"Wish for Gold","Vœu d'or","Wunsch nach Gold","ゴールドを願う","골드를 소원으로 빌기","Pedir Ouro","Пожелать золота","Deseo de oro","ขอทอง","黃金之願","",1770,[],3
16,"MapModWishGoldFindLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldFind","",[],"",0,2,"Wish for Gold","Vœu d'or","Wunsch nach Gold","ゴールドを願う","골드를 소원으로 빌기","Pedir Ouro","Пожелать золота","Deseo de oro","ขอทอง","黃金之願","",1770,[],0
17,"MapModWishStandaloneBosses",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishStandaloneBosses","",[],"",0,2,"Wish for Titans","Vœu de titans","Wunsch nach Titanen","タイタンを願う","거신을 소원으로 빌기","Pedir Titãs","Пожелать титанов","Deseo de titanes","ขอไททัน","泰坦之願","",1770,[],2
18,"MapModWishStandaloneBossesHigh",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishStandaloneBosses","",[],"",0,2,"Wish for Titans","Vœu de titans","Wunsch nach Titanen","タイタンを願う","거신을 소원으로 빌기","Pedir Titãs","Пожелать титанов","Deseo de titanes","ขอไททัน","泰坦之願","",1770,[],2
19,"MapModWishDjinnsChestBronze",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestBronze","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],1
20,"MapModWishDjinnsChestBronzeLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestBronze","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],0
21,"MapModWishDjinnsChestSilver",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestSilver","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],1
22,"MapModWishDjinnsChestSilverLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestSilver","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],0
23,"MapModWishDjinnsChestGold",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestGold","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],1
24,"MapModWishZarokhPacks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishZarokhPacks","",[],"",0,2,"Wish for Meddling","Vœu d'intrusion","Wunsch nach Einmischung","干渉を願う","간섭을 소원으로 빌기","Pedir Interferência","Пожелать вмешательства","Deseo de intromisión","ขอให้ถูกก้าวก่าย","干涉之願","",1770,[],2
25,"MapModWishZarokhPacksLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishZarokhPacks","",[],"",0,2,"Wish for Meddling","Vœu d'intrusion","Wunsch nach Einmischung","干渉を願う","간섭을 소원으로 빌기","Pedir Interferência","Пожелать вмешательства","Deseo de intromisión","ขอให้ถูกก้าวก่าย","干涉之願","",1770,[],0
26,"MapModWishAtlasPacks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishAtlasPacks","",[],"",0,2,"Wish for Risk","Vœu de risque","Wunsch nach Risiko","リスクを願う","위험을 소원으로 빌기","Pedir Perigo","Пожелать риска","Deseo de riesgo","ขอให้ได้เสี่ยง","風險之願","",1770,[],3
27,"MapModWishGoldFountain",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldFountain","",[],"",0,2,"Wish for Prosperity","Vœu de prospérité","Wunsch nach Wohlstand","財産を願う","번영을 소원으로 빌기","Pedir Prosperidade","Пожелать процветания","Deseo de prosperidad","ขอให้มั่งมี","繁榮之願","",1770,[],2
28,"MapModWishRandomScarabModifiers",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishRandomScarabModifiers","",[],"",0,2,"Wish for Uncertainty","Vœu d'incertitude","Wunsch nach Ungewissheit","不確実性を願う","불확실성을 소원으로 빌기","Pedir Incerteza","Пожелать неизвестности","Deseo de incertidumbre","ขอให้ไม่แน่นอน","未測之願","",1770,[],3
29,"MapModWishMonstersChilledHindered",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMonstersChilledHindered","",[],"",0,2,"Wish for Hindrance","Vœu d'entrave","Wunsch nach Hindernis","阻害を願う","방해를 소원으로 빌기","Pedir Tolhimento","Пожелать препятствий","Deseo de entumecimiento","ขอให้ถูกขัดขวาง","阻礙之願","",1770,[],2
30,"MapModWishMonstersChilledHinderedLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMonstersChilledHindered","",[],"",0,2,"Wish for Hindrance","Vœu d'entrave","Wunsch nach Hindernis","阻害を願う","방해를 소원으로 빌기","Pedir Tolhimento","Пожелать препятствий","Deseo de entumecimiento","ขอให้ถูกขัดขวาง","阻礙之願","",1770,[],0
31,"MapModWishGoldenVolatiles",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldenVolatiles","",[],"",0,2,"Wish for Pursuit","Vœu de poursuite","Wunsch nach Verfolgung","追跡を願う","추격을 소원으로 빌기","Pedir Busca","Пожелать погони","Deseo de persecución","ขอให้ถูกไล่ล่า","追擊之願","",1770,[],3
32,"MapModWishGoldenVolatilesLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldenVolatiles","",[],"",0,2,"Wish for Pursuit","Vœu de poursuite","Wunsch nach Verfolgung","追跡を願う","추격을 소원으로 빌기","Pedir Busca","Пожелать погони","Deseo de persecución","ขอให้ถูกไล่ล่า","追擊之願","",1770,[],0
33,"MapModWishOasisGround",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishOasisGround","",[],"",0,2,"Wish for Oases","Vœu d'oasis","Wunsch nach Oasen","オアシスを願う","오아시스를 소원으로 빌기","Pedir Oásis","Пожелать оазисов","Deseo de oasis","ขอโอเอซิส","綠洲之願","",1770,[],2
34,"MapModWishOasisGroundLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishOasisGround","",[],"",0,2,"Wish for Oases","Vœu d'oasis","Wunsch nach Oasen","オアシスを願う","오아시스를 소원으로 빌기","Pedir Oásis","Пожелать оазисов","Deseo de oasis","ขอโอเอซิส","綠洲之願","",1770,[],0
35,"MapModWishFaridunMiniboss",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFaridunMiniboss","",[],"",0,2,"Wish for Rust","Vœu de rouille","Wunsch nach Rost","サビを願う","녹을 소원으로 빌기","Pedir Ferrugem","Пожелать ржавчины","Deseo de óxido","ขอสนิม","鏽蝕之願","",1770,[],1
36,"MapModWishNamelessSeer",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishNamelessSeer","",[],"",0,2,"Wish for Providence","Vœu de providence","Wunsch nach Vorsehung","摂理を願う","섭리를 소원으로 빌기","Pedir Providência","Пожелать провидения","Deseo de providencia","ขอพรหมลิขิต","天命之願","",1770,[],2
37,"MapModWishReflectingMist",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishReflectingMist","",[],"",0,2,"Wish for Reflection","Vœu de réflexion","Wunsch nach Spiegelung","反射を願う","투영을 소원으로 빌기","Pedir Reflexão","Пожелать отражения","Deseo de reflejos","ขอภาพสะท้อน","倒映之願","",1770,[],2
38,"MapModWishPlayersCannotDie",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersCannotDie","",[],"",0,2,"Wish for Godhood","Vœu de divinité","Wunsch nach Göttlichkeit","死の超越を願う","신성을 소원으로 빌기","Pedir Divindade","Пожелать богоподобия","Deseo de divinidad","ขอให้เป็นเทพ","神格之願","",1770,[],2
39,"MapModWishPlayersCannotDieLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersCannotDie","",[],"",0,2,"Wish for Godhood","Vœu de divinité","Wunsch nach Göttlichkeit","死の超越を願う","신성을 소원으로 빌기","Pedir Divindade","Пожелать богоподобия","Deseo de divinidad","ขอให้เป็นเทพ","神格之願","",1770,[],0
40,"MapModWishExperienceGain",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishExperienceGain","",[],"",0,2,"Wish for Knowledge","Vœu de savoir","Wunsch nach Wissen","知識を願う","지식을 소원으로 빌기","Pedir Conhecimento","Пожелать знаний","Deseo de conocimiento","ขอปัญญา","知識之願","",1770,[],1
41,"MapModWishExperienceGainLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishExperienceGain","",[],"",0,2,"Wish for Knowledge","Vœu de savoir","Wunsch nach Wissen","知識を願う","지식을 소원으로 빌기","Pedir Conhecimento","Пожелать знаний","Deseo de conocimiento","ขอปัญญา","知識之願","",1770,[],0
42,"MapModWishPlayersExplodeOnKill",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersExplodeOnKill","",[],"",0,2,"Wish for Power","Vœu de puissance","Wunsch nach Macht","力を願う","힘을 소원으로 빌기","Pedir Poder","Пожелать могущества","Deseo de poder","ขอพลัง","力量之願","",1770,[],3
43,"MapModWishPlayersExplodeOnKillLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersExplodeOnKill","",[],"",0,2,"Wish for Power","Vœu de puissance","Wunsch nach Macht","力を願う","힘을 소원으로 빌기","Pedir Poder","Пожелать могущества","Deseo de poder","ขอพลัง","力量之願","",1770,[],0
44,"MapModWishPlayersAdrenalineOnslaught",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersAdrenalineOnslaught","",[],"",0,2,"Wish for Momentum","Vœu de célérité","Wunsch nach Momentum","速度を願う","기세를 소원으로 빌기","Pedir Dinamismo","Пожелать натиска","Deseo de impulso","ขอโมเมนตัม","動能之願","",1770,[],3
45,"MapModWishPlayersAdrenalineOnslaughtLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersAdrenalineOnslaught","",[],"",0,2,"Wish for Momentum","Vœu de célérité","Wunsch nach Momentum","速度を願う","기세를 소원으로 빌기","Pedir Dinamismo","Пожелать натиска","Deseo de impulso","ขอโมเมนตัม","動能之願","",1770,[],0
46,"MapModWishPlayersSoulEater",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersSoulEater","",[],"",0,2,"Wish for Souls","Vœu d'âmes","Wunsch nach Seelen","魂を願う","영혼을 소원으로 빌기","Pedir Almas","Пожелать душ","Deseo de almas","ขอวิญญาณ","靈魂之願","",1770,[],3
47,"MapModWishPlayersSoulEaterLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersSoulEater","",[],"",0,2,"Wish for Souls","Vœu d'âmes","Wunsch nach Seelen","魂を願う","영혼을 소원으로 빌기","Pedir Almas","Пожелать душ","Deseo de almas","ขอวิญญาณ","靈魂之願","",1770,[],0
48,"MapModWishProliferationBuff",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Elements","Vœu des éléments","Wunsch nach Elementen","元素を願う","원소를 소원으로 빌기","Pedir Elementos","Пожелать стихий","Deseo de elementos","ขอธาตุ","元素之願","",1770,[],1
49,"MapModWishProliferationBuffLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Elements","Vœu des éléments","Wunsch nach Elementen","元素を願う","원소를 소원으로 빌기","Pedir Elementos","Пожелать стихий","Deseo de elementos","ขอธาตุ","元素之願","",1770,[],0
50,"MapModWishWisps",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Wisps","Vœu de flammeroles","Wunsch nach Irrlichtern","ウィスプを願う","도깨비불을 소원으로 빌기","Pedir Lúmens","Пожелать огоньков","Deseo de fuegos fatuos","ขอวิสป์","妖精之願","",1770,[],2
51,"MapModWishWispsLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Wisps","Vœu de flammeroles","Wunsch nach Irrlichtern","ウィスプを願う","도깨비불을 소원으로 빌기","Pedir Lúmens","Пожелать огоньков","Deseo de fuegos fatuos","ขอวิสป์","妖精之願","",1770,[],0
52,"MapModWishFrogPacks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFrogPacks","",[],"",0,2,"Wish for Croaks","Vœu de coassements","Wunsch nach Quaken","カエルの鳴き声を願う","개굴 소리를 소원으로 빌기","Pedir Coaxadas","Пожелать кваканья","Deseo de croar","ขอกบ","呱呱之願","",1770,[],3
53,"MapModWishFrogPacksLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFrogPacks","",[],"",0,2,"Wish for Croaks","Vœu de coassements","Wunsch nach Quaken","カエルの鳴き声を願う","개굴 소리를 소원으로 빌기","Pedir Coaxadas","Пожелать кваканья","Deseo de croar","ขอกบ","呱呱之願","",1770,[],0
54,"MapModWishScrollConversion",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishScrollConversion","",[],"",0,2,"Wish for Glyphs","Vœu de glyphes","Wunsch nach Glyphen","記号を願う","상형 문자를 소원으로 빌기","Pedir Glifos","Пожелать глифов","Deseo de glifos","ขอรูปสลัก","雕紋之願","",1770,[],3
55,"MapModWishScrollConversionLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishScrollConversion","",[],"",0,2,"Wish for Glyphs","Vœu de glyphes","Wunsch nach Glyphen","記号を願う","상형 문자를 소원으로 빌기","Pedir Glifos","Пожелать глифов","Deseo de glifos","ขอรูปสลัก","雕紋之願","",1770,[],0
56,"MapModWishJewelleryConversion",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishJewelleryConversio","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","宝石を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1770,[],3
57,"MapModWishJewelleryConversionLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishJewelleryConversio","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","宝石を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1770,[],0
58,"MapModBossAddition",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModBossAddition","",[],"",0,2,"Wish for Terror","Vœu de terreur","Wunsch nach Schrecken","恐怖を願う","공포를 소원으로 빌기","Pedir Terror","Пожелать ужаса","Deseo de terror","ขอให้สยอง","恐懼之願","",1770,[],1
59,"CacheWishUniqueJewel",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModBossUniqueJewel","",[],"",0,2,"Wish for Eminence","Vœu d'éminence","Wunsch nach Ansehen","卓越を願う","명성을 소원으로 빌기","Pedir Eminência","Пожелать высот","Deseo de eminencia","ขอชื่อเสียง","顯赫之願","",1770,[],3
60,"MapModReplacePacksGilded",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Avarice","Vœu d'avarice","Wunsch nach Gier","強欲を願う","탐욕을 소원으로 빌기","Pedir Avareza","Пожелать алчности","Deseo de avaricia","ขอให้ละโมบ","貪婪之願","",1770,[],3
61,"MapModReplacePacksBetrayal",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Betrayal","Vœu de trahison","Wunsch nach Verrat","裏切りを願う","배신을 소원으로 빌기","Pedir Traição","Пожелать предательства","Deseo de traición","ขอให้ถูกทรยศ","背叛之願","",1770,[],1
62,"MapModReplacePacksEthereal",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Phantoms","Vœu de fantômes","Wunsch nach Phantomen","幻影を願う","혼령을 소원으로 빌기","Pedir Assombrações","Пожелать фантомов","Deseo de fantasmas","ขอผีสาง","幻影之願","",1770,[],2
63,"CacheWishCurrency",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Fortune","Vœu de fortune","Wunsch nach Vermögen","幸運を願う","부를 소원으로 빌기","Pedir Fortuna","Пожелать удачи","Deseo de fortuna","ขอลาภลอย","財運之願","",1770,[],3
64,"CacheWishScarabs",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Skittering","Vœu de grouillement","Wunsch nach Huschen","虫を願う","끼적거리는 소리를 소원으로 빌기","Pedir Pezinhos","Пожелать шуршания","Deseo de insectos","ขอแมลง","蟲群之願","",1770,[],1
65,"CacheWishStackedDecks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Augury","Vœu d'augure","Wunsch nach Omen","占いを願う","점술을 소원으로 빌기","Pedir Augúrio","Пожелать гадания","Deseo de augurios","ขอคำทำนาย","預兆之願","",1770,[],2
66,"CacheWishMaps",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Distant Horizons","Vœu d'horizons lointains","Wunsch nach fernen Horizonten","遠くの地平を願う","아득한 지평선을 소원으로 빌기","Pedir Horizontes Distantes","Пожелать дальних горизонтов","Deseo de horizontes lejanos","ขอขอบฟ้าห่างไกล","彼端之願","",1770,[],3
67,"CacheWishUniqueMap",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Strange Horizons","Vœu d'horizons étranges","Wunsch nach seltsamen Horizonten","奇妙な地平を願う","이상한 지평선을 소원으로 빌기","Pedir Horizontes Estranhos","Пожелать странных горизонтов","Deseo de horizontes extraños","ขอขอบฟ้าพิกล","奇境之願","",1770,[],1
68,"CampaignWishBindingOrb",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Binding","Vœu de liaison","Wunsch nach Bindung","連結を願う","속박을 소원으로 빌기","Pedir Vinculação","Пожелать сплетения","Deseo de unión","ขอให้ถูกล่าม","束縛之願","",1770,[],0
69,"CampaignWishRegal",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Regency","Vœu de régence","Wunsch nach Regentschaft","王者を願う","제왕의 힘 소원으로 빌기","Pedir Regência","Пожелать регентства","Deseo de regencia","ขอให้สูงศักดิ์","攝政之願","",1770,[],0
70,"CampaignWishLinkCurrency",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Connections","Vœu de connexions","Wunsch nach Verbindungen","接続を願う","연을 소원으로 빌기","Pedir Conexões","Пожелать связей","Deseo de conexiones","ขอการเชื่อมโยง","連結之願","",1770,[],0
71,"CampaignWishUniqueArmour",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Ancient Protection","Vœu de protection antique","Wunsch nach Uraltem Schutz","古代の防護を願う","고대 보호를 소원으로 빌기","Pedir Proteção Antiga","Пожелать защиты древних","Deseo de protección ancestral","ขอเครื่องป้องกันโบราณ","遠古守護之願","",1770,[],0
72,"CampaignWishUniqueWeapon",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Ancient Armaments","Vœu d'armement antique","Wunsch nach Uralten Waffen","古代の武装を願う","고대 병기를 소원으로 빌기","Pedir Armamento Antigo","Пожелать оружия древних","Deseo de armamentos ancestrales","ขอยุทโธปกรณ์โบราณ","遠古軍備之願","",1770,[],0
73,"CampaignWishUniqueJewellery",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Ancient Curios","Vœu de curiosité antique","Wunsch nach Uralten Kuriositäten","古代の骨董品を願う","고대 예술품을 소원으로 빌기","Pedir Peças Antigas","Пожелать древних диковин","Deseo de curiosidades antiguas","ขอของเก่าแต่โบราณ","遠古珍品之願","",1770,[],0
74,"CampaignWishFiveLinkArmour",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Craftsmanship","Vœu de savoir-faire","Wunsch nach Handwerkskunst","職人技を願う","장인의 솜씨를 소원으로 빌기","Pedir Técnica Artesanal","Пожелать ремесла","Deseo de artesanía","ขอหัตถศิลป์","匠心之願","",1770,[],2
