"rownum","Id","MiscAnimated","i32_24","i32_28","i32_32","i32_36","i32_40","bool_44","i32_45","i32_49","i32_53","bool_57","[rid]_58","bool_74","i32_75","i32_79","i32_83","i32_87","i32_91","bool_95","Script","bool_104","i32_105","bool_109","i32_110","i32_114","bool_118","i32_119","MetadataIDs","ScriptCommand","string_147","string_155","string_163","string_171","i32_179","bool_183","bool_184","[rid]_185","i32_201","bool_205","i32_206","bool_210","i32_211","i32_215","i32_219"
10,"11",[],0,2,2,100,0,1,6,2,10,1,[],"",3,0,4,0,0,"","","",2,"",5,3,"",1,[],"triggerer.AddBuff( grasping_vines_buff, infinity, -5, 10, 0, 0 );","","","","",0,1,1,[],0,"",120,"",0,0,0
11,"12",[],2000,2,2,100,0,1,6,2,10,1,[],"",1,0,4,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Projectiles/BetrayalRinDeceleratingProjectileIdle""]","triggerer.Transition();","","","","",0,1,1,[],0,"",200,"",0,0,0
12,"13",[2723],790,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee2"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee3"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee4"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster2"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster3"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster4"",""Metadata/Monsters/LeagueBetrayal/CatarinaArenaObjects/FireToGhostflameBrazier""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
13,"14",[],790,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee2"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee3"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberMelee4"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster2"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster3"",""Metadata/Monsters/LeagueBetrayal/BetrayalDjinnMemberCaster4""]","triggerer.SetStateTo( being_revived, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
14,"15",[2723],790,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Projectiles/BetrayalCatarinaVolatileObject""]","triggerer.SetStateTo( activated, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
15,"16",[],0,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,3,1,1,[],"triggerer.AddBuff( catarina_blackflame_ignite, infinity, 1000 );","","","","",0,1,1,[],0,"",0,"",0,0,0
16,"17",[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,3,"",1,[],"triggerer.AddBuff( grasping_vines_buff, infinity, -5, 5, 0, 0 );","","","","",0,1,1,[],0,"",0,"",0,0,0
17,"18",[2459],0,1,4,10,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",1,2,"",3,[],"triggerer.IfAlive({},{Delete();});","","","","",0,1,1,[],0,"",0,"",0,0,0
18,"19",[2885],1250,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Projectiles/SynthesisGuardianProjectile1Object"",""Metadata/Projectiles/SynthesisGuardianProjectile1Object2"",""Metadata/Projectiles/SynthesisGuardianProjectile1Object3""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
19,"20",[],0,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Projectiles/SynthesisGuardianMortar1Object""]","triggerer.SetStateTo( multiple_projectile, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
20,"21",[],0,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Projectiles/SynthesisGuardianMortar1Object""]","triggerer.SetStateTo( single_projectile, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
21,"22",[],0,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Projectiles/SynthesisGuardianMortar1Object""]","triggerer.SetStateTo( volley, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
22,"23",[2872],600,1,2,150,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",1,4,1,4,"[""Metadata/Monsters/LeagueSynthesis/SynthesisDroneSummoned""]","triggerer.SetStateTo( dive_bomb, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
23,"24",[2871],5000,2,2,180,0,1,6,2,10,1,[],"",1,0,4,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Projectiles/SynthesisPhysicalMortarMine""]","triggerer.Transition();","","","","",0,1,1,[],0,"",130,"",0,0,0
24,"25",[],1000,1,2,160,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Monsters/LeagueSynthesis/SynthesisDroneBossTurret2""]","triggerer.SetStateTo(active, 1);","","","","",2,1,1,[],0,"",0,"",0,0,0
25,"26",[],1000,1,2,160,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Monsters/LeagueSynthesis/SynthesisDroneBossTurret2""]","triggerer.SetStateTo(active, 1);","","","","",3,1,1,[],0,"",0,"",0,0,0
26,"27",[],1000,1,2,160,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Monsters/LeagueSynthesis/SynthesisDroneBossTurret2""]","triggerer.SetStateTo(active, 1);","","","","",4,1,1,[],0,"",0,"",0,0,0
27,"28",[],1000,1,2,160,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Monsters/LeagueSynthesis/SynthesisDroneBossTurret2""]","triggerer.SetStateTo(active, 1);","","","","",5,1,1,[],0,"",0,"",0,0,0
28,"29",[],1000,1,2,160,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Monsters/LeagueSynthesis/SynthesisDroneBossTurret2""]","triggerer.SetStateTo(active, 1);","","","","",6,1,1,[],0,"",0,"",0,0,0
29,"30",[],0,1,2,5,0,1,13,13,0,1,[],"",1,0,7,0,0,"","SetStateTo(active, 0);",1,2,"",5,4,"",4,[],"","","","","",0,1,1,[],0,"",0,"",0,0,0
30,"31",[],0,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,3,1,4,[],"triggerer.RemoveBuff(synthesis_turret_charge_projectile_target);","","","","",0,1,1,[],0,"",0,"",0,0,0
31,"32",[3136],670,2,2,80,0,1,6,2,10,1,[],"",1,0,4,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/LegionLeague/Templar/LegionTemplarGroundMarker""]","triggerer.Transition();","","","","",0,1,1,[],0,"",165,"",0,0,0
32,"33",[],250,1,4,30,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/LegionLeague/Karui/MoltenRockArrow""]","triggerer.SetStateTo(status, 1);","","","","",0,1,1,[],0,"",0,"",0,0,0
33,"34",[],750,3,3,111,24,1,6,2,100,1,[],"",3,0,4,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/LegionLeague/LegionVaalGeneralMoveDaemonQuad"",""Metadata/Monsters/LegionLeague/LegionVaalGeneralMoveDaemonQuad2"",""Metadata/Monsters/LegionLeague/LegionVaalGeneralMoveDaemonQuad3"",""Metadata/Monsters/LegionLeague/LegionVaalGeneralMoveDaemonQuad4""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
34,"35",[2413],200,1,4,50,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,"",3,[],"TriggerSkill(RaiseZombie);","","","","",10,"","",[],0,"",0,"",0,0,0
35,"36",[],0,1,5,0,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/DemonModular/DemonModular"",""Metadata/Monsters/DemonModular/DemonModularCold"",""Metadata/Monsters/DemonModular/DemonModularFire"",""Metadata/Monsters/DemonModular/DemonModularLightning""]","triggerer.SetStateTo(generic1, 1);","","","","",1,1,1,[],0,"",0,"",0,0,0
36,"37",[3320],1000,2,3,110,0,1,3,2,0,1,[],"",3,0,4,0,0,"","","",2,"",1,4,"",4,"[""Metadata/Monsters/LegionLeague/LegionMarakethTornado""]","triggerer.Transition();","","","","",0,1,1,[],0,"",45,"",0,0,0
37,"38",[3493],250,1,2,45,0,1,13,13,0,1,[],"",3,15,7,0,0,"","","",2,"",1,2,"",1,"[""Metadata/Monsters/LeagueBlight/Cold/BlightColdAlphaWolf"",""Metadata/Monsters/LeagueBlight/Cold/BlightColdAlphaWolfBoss""]","triggerer.AddBuff( blight_wolf_ice_armour, 5, -25 );","","","","",0,1,1,[],0,"",0,"",0,0,0
38,"39",[1059],500,1,2,25,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",1,2,"",1,"[""Metadata/Monsters/LeagueBlight/Lightning/BlightLightningChargedSkeleton1"",""Metadata/Monsters/LeagueBlight/Lightning/BlightLightningChargedSkeleton2"",""Metadata/Monsters/LeagueBlight/Lightning/BlightLightningChargedSkeleton3""]","triggerer.AddBuff( blight_charged_skeleton_speed, 1, 80 );","","","","",0,1,1,[],0,"",0,"",0,0,0
39,"40",[],0,1,2,8,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/LeagueBlight/Cold/BlightWaterElemental"",""Metadata/Monsters/LeagueBlight/Cold/BlightWaterElementalSponge""]","triggerer.AddBuff( blight_water_elemental_geyser_buff, infinity, 2, 2, 2 );","","","","",0,1,1,[],0,"",0,"",0,0,0
40,"41",[],0,1,2,50,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/LeagueBlight/Generic/Monkey"",""Metadata/Monsters/LeagueBlight/Generic/Monkey2""]","triggerer.SetStateTo( go_ballistic, 1 );","","","","",0,"","",[],0,"",0,"",0,0,0
41,"42",[2623],0,1,2,8,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",1,4,"",1,"[""Metadata/Monsters/LeagueBlight/BlightTowerChillingRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerChillingRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerChillingRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerFreezingRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerIcePrisonRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerShockingRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerShockingRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerShockingRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerLightningStormRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerArcingRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowersRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowersRank2_"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowersRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffPlayersRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerWeakenEnemiesRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerStunningRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerStunningRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerStunningRank3_"",""Metadata/Monsters/LeagueBlight/BlightTowerTemporalRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerPetrificationRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsFlyingRank4_"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsTankyRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerFlameRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerFlameRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerFlameRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerFlamethrowerRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerMeteorRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedMinionRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedMinionRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedMinionRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedAirSupportRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedTankRank4""]","triggerer.AddBuff( blight_ice_elemental_tower_freeze, 2, 100 );","","","","",0,1,1,[],0,"",0,"",0,0,0
42,"43",[],790,1,2,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",1,4,1,4,"[""Metadata/Monsters/LeagueBlight/Generic/NessaCrab""]","triggerer.TriggerSkill( MonsterQuickGuard );","","","","",0,1,1,[],0,"",0,"",0,0,0
43,"44",[],0,1,3,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",1,"[""Metadata/Monsters/LeagueBlight/BlightTowerChillingRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerChillingRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerChillingRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerFreezingRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerIcePrisonRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerShockingRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerShockingRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerShockingRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerLightningStormRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerArcingRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowersRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowersRank2_"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowersRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffPlayersRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerWeakenEnemiesRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerStunningRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerStunningRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerStunningRank3_"",""Metadata/Monsters/LeagueBlight/BlightTowerTemporalRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerPetrificationRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsFlyingRank4_"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsTankyRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerFlameRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerFlameRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerFlameRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerFlamethrowerRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerMeteorRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedMinionRank1"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedMinionRank2"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedMinionRank3"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedAirSupportRank4"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonedTankRank4""]","triggerer.SetStateTo( stunned, 1 ); triggerer.StartStateTimer( stun_time, 2 );","","","","",0,1,1,[],0,"",0,"",0,0,0
44,"45",[],0,1,3,25,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/LeagueBlight/Generic/MonkeySlow"",""Metadata/Monsters/LeagueBlight/Generic/MonkeySlow2"",""Metadata/Monsters/LeagueBlight/Generic/Monkey"",""Metadata/Monsters/LeagueBlight/Generic/Monkey2"",""Metadata/Monsters/LeagueBlight/Generic/MonkeyChieftain"",""Metadata/Monsters/LeagueBlight/Generic/MonkeyChieftainFighter"",""Metadata/Monsters/LeagueBlight/Generic/MonkeyChieftainBoss""]","triggerer.AddBuff( blight_chieftain_rage_buff, 8, 5, 20 );","","","","",0,1,1,[],0,"",0,"",0,0,0
45,"46",[],0,1,4,18,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
46,"47",[],0,1,4,9,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","","","","",0,1,1,[],0,"",0,"",0,0,0
47,"48",[3693],950,2,2,130,0,1,6,2,10,"",[],"",2,15,4,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionVolatileObject""]","triggerer.TransitionFully();","","","","",0,"","",[],0,"",130,"",0,0,0
48,"49",[3684],600,1,2,110,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionGeyserObject""]","triggerer.Transition();","","","","",0,"","",[],0,"",0,"",0,0,0
49,"50",[],600,1,2,110,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","","","","",0,"","",[],0,"",0,"",0,0,0
50,"51",[3684],600,1,4,70,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionGeyserObject""]","triggerer.Transition();","","","","",0,"","",[],0,"",0,"",0,0,0
51,"52",[],600,1,4,50,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","","","","",0,"","",[],0,"",0,"",0,0,0
52,"53",[],0,1,3,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,[],"triggerer.AddBuff( atlas_warlord_enrage, 3, 40, 40, -40, 40, 40 );","","","","",0,1,1,[],0,"",0,"",0,0,0
53,"54",[],0,3,3,230,10,1,6,3,100,"",[],"",1,0,4,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", the_orion ); triggerer.SetStateTo( obliterate, 1 );","","","","",0,"","",[],0,"",0,"",0,0,0
54,"55",[],300,1,2,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
55,"56",[],4000,1,2,435,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,2,1,2,[],"triggerer.Delay( 1.2, { Delete(); } ); triggerer.AddBuff( visual_display_buff, infinity, affliction_death );","","","","",0,"","",[],0,"",0,"",0,0,0
56,"57",[],2000,1,2,435,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,[],"triggerer.IfExistsInGroup( triggerer, doodads, { SetStateTo( dissolve, 1 ); } );","","","","",0,"","",[],0,"",0,"",0,0,0
57,"58",[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",3,[],"TriggerSkill(AfflictionDaemonDestroyCorpseSummonMonster, triggerer );","","","","",3,1,1,[],0,"",0,"",0,0,0
58,"59",[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",3,[],"TriggerSkill(AfflictionDaemonDestroyCorpseProjectileCascade, triggerer);","","","","",1,1,1,[],0,"",0,"",0,0,0
59,"60",[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",3,[],"TriggerSkill(AfflictionDaemonDestroyCorpseDegenZone, triggerer);","","","","",3,1,1,[],0,"",0,"",0,0,0
60,"61",[],750,1,2,48,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
61,"62",[],1000,1,2,57,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
62,"63",[],1250,1,2,66,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
63,"64",[],1500,1,2,75,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
64,"65",[],1750,1,2,84,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
65,"66",[],2000,1,2,94,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
66,"67",[],2250,1,2,103,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
67,"68",[],2500,1,2,112,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
68,"69",[4197],600,1,3,45,0,1,13,13,0,1,[],"",3,0,7,0,0,"","","",2,"",1,1,"",1,[],"triggerer.AddBuff( harvest_crab_screech_debuff, 6, 20 );","","","","",0,1,1,[],0,"",0,"",0,0,0
69,"70",[],0,1,2,0,0,1,13,13,0,1,[],"",3,0,7,0,0,"","this.my_next_flank_marker.Delete(); this.my_next_flank_marker = this.flank_markers[1];","",2,"",5,4,1,4,[],"","","","","",0,1,1,[],0,"",0,"",0,0,0
