"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","NotificationIcon","HideoutName","HideoutName (French)","HideoutName (German)","HideoutName (Japanese)","HideoutName (Korean)","HideoutName (Portuguese)","HideoutName (Russian)","HideoutName (Spanish)","HideoutName (Thai)","HideoutName (Traditional Chinese)","Id"
24,14,24,[437],0,"","","","","","","","","","","","","","","","","","","","","","ProphecyWeapon"
25,14,36,[4775],0,"","","","","","","","","","","","","","","","","","","","","","NavaliMonkey"
26,14,19,[5609],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole5"
27,15,12,[504],0,"","","","","","","","","","","","","","","","","","","","","","EssenceFootprints"
28,15,24,[502],0,"","","","","","","","","","","","","","","","","","","","","","EssenceWings"
29,15,36,[503],0,"","","","","","","","","","","","","","","","","","","","","","EssencePortal"
30,15,19,[5611],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole6"
31,16,12,[561],0,"","","","","","","","","","","","","","","","","","","","","","BreachFootprints"
32,16,24,[542],0,"","","","","","","","","","","","","","","","","","","","","","BreachPortal"
33,16,36,[532],0,"","","","","","","","","","","","","","","","","","","","","","DemonicWings"
34,16,19,[5613],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole7"
35,17,12,[619],0,"","","","","","","","","","","","","","","","","","","","","","LegacyFootprintsEffect"
36,17,24,[625],0,"","","","","","","","","","","","","","","","","","","","","","LegacyWeaponEffect"
37,17,36,[574],0,"","","","","","","","","","","","","","","","","","","","","","LegacyPortalEffect"
38,17,19,[5615],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole8"
39,18,12,[725],0,"","","","","","","","","","","","","","","","","","","","","","HarbingerEyes"
40,18,24,"[726,727]",0,"","","","","","","","","","","","","","","","","","","","","","HarbingerCrownBundle"
41,18,36,[728],0,"","","","","","","","","","","","","","","","","","","","","","HarbingerCharacterEffect"
42,18,19,[5617],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole9"
43,19,12,[925],0,"","","","","","","","","","","","","","","","","","","","","","AbyssHelmet"
44,19,24,[801],0,"","","","","","","","","","","","","","","","","","","","","","AbyssWings"
45,19,36,[928],0,"","","","","","","","","","","","","","","","","","","","","","AbyssPortalEffect"
46,19,19,[5619],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole10"
47,20,12,[1313],0,"","","","","","","","","","","","","","","","","","","","","","BestiaryHelmet"
48,20,24,[1293],0,"","","","","","","","","","","","","","","","","","","","","","BestiaryWings"
49,20,36,[1314],0,"","","","","","","","","","","","","","","","","","","","","","BestiaryPortalEffect"
50,20,19,[5621],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère Péché & Innocence !","Glückwunsch!\nDu hast eine Sin und Innocence Überraschungskiste freigespielt!","Congratulations!\nYou earned a Sin and Innocence Mystery Box!","축하합니다!\n씬과 이노센스 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa do Pecado e Inocência!","Поздравляем!\nВы получили Загадочную коробку Греха и Невинности!","¡Felicitaciones!\n¡Has obtenido una Caja misteriosa de Inocencia y Pecado!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา Sin and Innocence แล้ว!","恭喜！你獲得 1 個善與惡神秘寶箱！","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","Boîte mystère Péché & Innocence","Sin und Innocence Überraschungskiste","Sin and Innocence Mystery Box","씬과 이노센스 미스터리 박스","Caixa Misteriosa do Pecado e Inocência","Загадочная коробка Греха и Невинности","Caja misteriosa de Inocencia y Pecado","กล่องปริศนา Sin and Innocence","善與惡神秘寶箱","MysteryPackSinAndInnocenceBox"
52,22,12,[1350],0,"","","","","","","","","","","","","","","","","","","","","","IncursionBandana"
53,22,24,[1352],0,"","","","","","","","","","","","","","","","","","","","","","IncursionCloak"
54,22,36,[1353],0,"","","","","","","","","","","","","","","","","","","","","","IncursionPortalEffect"
55,22,19,[5623],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère Apocalypse !","Glückwunsch!\nDu hast eine Apokalypse-Überraschungskiste freigespielt!","Congratulations!\nYou earned an Apocalypse Mystery Box!","축하합니다!\n종말의 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa do Apocalipse!","Поздравляем!\nВы получили Загадочную коробку Апокалипсиса!","¡Felicitaciones!\n¡Has obtenido una Caja misteriosa del Apocalipsis!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา Apocalypse แล้ว!","恭喜！你獲得 1 個天啟神秘寶箱！","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","Boîte mystère Apocalypse","Apokalypse-Überraschungskiste","Apocalypse Mystery Box","종말의 미스터리 박스","Caixa Misteriosa do Apocalipse","Загадочная коробка Апокалипсиса","Caja misteriosa del Apocalipsis","กล่องปริศนา Apocalypse","天啟神秘寶箱","MysteryPackApocalypseBox"
57,24,12,[4839],0,"","","","","","","","","","","","","","","","","","","","","","DelvePet"
58,24,24,[1528],0,"","","","","","","","","","","","","","","","","","","","","","DelveBackAttachment"
59,24,36,[1518],0,"","","","","","","","","","","","","","","","","","","","","","DelvePortalEffect"
60,24,19,[5625],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole13"
61,25,12,[1584],0,"","","","","","","","","","","","","","","","","","","","","","BetrayalHelmetAttachment"
62,25,24,[1585],0,"","","","","","","","","","","","","","","","","","","","","","BetrayalAuraEffect"
63,25,36,[1586],0,"","","","","","","","","","","","","","","","","","","","","","BetrayalCloak"
64,25,19,[5627],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole14"
65,26,12,"[1767,1768]",0,"","","","","","","","","","","","","","","","","","","","","","SynthesisHelmetBundle"
66,26,24,[4853],0,"","","","","","","","","","","","","","","","","","","","","","SynthesisPet"
67,26,36,[1769],0,"","","","","","","","","","","","","","","","","","","","","","SynthesisWings"
68,26,19,[5629],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole15"
69,27,1,[],0,"Congratulations!\nYou earned a Glimmerwood Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère de Boiscintillant !","Glückwunsch!\nDu hast eine Düsterwald-Überraschungskiste freigespielt!","Congratulations!\nYou earned a Glimmerwood Mystery Box!","축하합니다!\n미광의 숲 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa da Madeira Cintilante!","Поздравляем!\nВы получили Загадочную коробку Мерцающего леса!","¡Felicitaciones!\n¡Has obtenido una Caja misteriosa de Bosque Encantado!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา Glimmerwood แล้ว!","恭喜！你獲得 1 個微熠之森神秘寶箱！","Art/2DItems/Effects/MysteryChest/DarkwoodMysteryBox.dds","Glimmerwood Mystery Box","Boîte mystère de Boiscintillant","Düsterwald-Überraschungskiste","Glimmerwood Mystery Box","미광의 숲 미스터리 박스","Caixa Misteriosa da Madeira Cintilante","Загадочная коробка Мерцающего леса","Caja misteriosa de Bosque encantado","กล่องปริศนา Glimmerwood","微熠之森神秘寶箱","MysteryPackGlimmerwoodBox"
70,28,12,[1953],0,"Earned Monolith Crown Microtransaction!","Vous avez remporté la microtransaction Couronne du Monolithe !","Du hast die Mikrotransaktion 'Monolith-Krone' freigespielt!","Earned Monolith Crown Microtransaction!","기둥 왕관 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Coroa do Monólito!","Получена микротранзакция: корона Монолита!","¡Has obtenido la Microtransacción \""Corona de Monolito\""!","ได้รับของแฟชั่น Monolith Crown แล้ว!","獲得頭部外觀：石陣之冠！","","","","","","","","","","","","LegionHelmet"
71,28,24,[1954],0,"Earned Monolith Aura Effect Microtransaction!","Vous avez remporté la microtransaction Effet d'aura du Monolithe !","Du hast die Mikrotransaktion 'Monolith-Auraeffekt' freigespielt!","Earned Monolith Aura Effect Microtransaction!","기둥 오라 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito: Aura do Monólito!","Получена микротранзакция: эффект ауры Монолита!","¡Has obtenido la Microtransacción \""Efecto de Aura de Monolito\""!","ได้รับของแฟชั่น Monolith Aura Effect แล้ว!","獲得光環效果．永恆石陣！","","","","","","","","","","","","LegionAuraEffect"
72,28,36,[1955],0,"Earned Monolith Wings Microtransaction!","Vous avez remporté la microtransaction Ailes du Monolithe !","Du hast die Mikrotransaktion 'Monolith-Flügel' freigespielt!","Earned Monolith Wings Microtransaction!","기둥 날개 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Asas do Monólito!","Получена микротранзакция: крылья Монолита!","¡Has obtenido la Microtransacción \""Alas de Monolito\""!","ได้รับของแฟชั่น Monolith Wings แล้ว!","獲得背飾：石陣之翼！","","","","","","","","","","","","LegionWings"
73,28,19,[5631],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Legion !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Legion-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere davon zu erhalten!","Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","군단 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상이 기다립니다!","Ganhou o Totem Legion!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Легиона!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Legion!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนโทเทม Legion แล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ โทเทมก็จะยิ่งสูงขึ้นเท่านั้น!","獲得戰亂圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole16"
74,29,12,[2042],0,"Earned Blight Helmet Microtransaction!","Vous avez remporté la microtransaction Casque Blight !","Du hast die Mikrotransaktion 'Blight-Helm' freigespielt!","Earned Blight Helmet Microtransaction!","메마름의 시대 투구 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Elmo Infestado!","Получена микротранзакция: шлем Скверны!","¡Has obtenido la Microtransacción \""Casco de Blight\""!","ได้รับของแฟชั่น หมวกไบล์ท แล้ว!","獲得頭部外觀：凋落禁地！","","","","","","","","","","","","BlightHelmet"
75,29,24,[2043],0,"Earned Blight Portal Effect Microtransaction!","Vous avez remporté la microtransaction Portail Blight !","Du hast die Mikrotransaktion 'Blight-Portaleffekt' freigespielt!","Earned Blight Portal Effect Microtransaction!","메마름의 시대 포탈 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Portal Infestado!","Получена микротранзакция: портал Скверны!","¡Has obtenido la Microtransacción \""Efecto de portal de Blight\""!","ได้รับของแฟชั่น เอฟเฟควาร์ปไบล์ท แล้ว!","獲得時空之門．凋落禁地","","","","","","","","","","","","BlightPortalEffect"
76,29,36,[2044],0,"Earned Blight Wings Microtransaction!","Vous avez remporté la microtransaction Ailes Blight !","Du hast die Mikrotransaktion 'Blight-Flügel' freigespielt!","Earned Blight Wings Microtransaction!","메마름의 시대 날개 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Asas Infestadas!","Получена микротранзакция: крылья Скверны!","¡Has obtenido la Microtransacción \""Alas de Blight\""!","ได้รับของแฟชั่น ปีกไบล์ท แล้ว!","獲得背飾：凋落禁地！","","","","","","","","","","","","BlightWings"
77,29,19,[5633],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Blight !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Blight-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere davon zu erhalten!","Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","메마름의 시대 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상을 얻을 수 있습니다!","Ganhou o Totem Infestado!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Скверны!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Blight!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนโทเทมไบล์ทแล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ โทเทมก็จะยิ่งสูงขึ้นเท่านั้น!","獲得凋落圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole17"
78,30,12,[2171],0,"Earned Metamorph Footprints Effect Microtransaction!","Vous avez remporté la microtransaction Empreintes Metamorph !","Du hast die Mikrotransaktion 'Metamorph-Fußspuren' freigespielt!","Earned Metamorph Footprints Effect Microtransaction!","변형 발자국 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Pegadas Metamorfas","Получена микротранзакция: следы метаморфа!","¡Has obtenido la microtransacción \""Efecto de huellas de Metamorph\""!","ได้รับของแฟชั่น Metamorph Footprints Effect แล้ว!","獲得行走特效：鍊獄幻魔！","","","","","","","","","","","","MetamorphFootprintsEffect"
79,30,24,[2172],0,"Earned Metamorph Weapon Effect Microtransaction!","Vous avez remporté la microtransaction Effet d'arme Metamorph !","Du hast die Mikrotransaktion 'Metamorph-Waffeneffekt' freigespielt!","Earned Metamorph Weapon Effect Microtransaction!","변형 무기 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Arma Metamorfa","Получена микротранзакция: эффект оружия метаморфа!","¡Has obtenido la microtransacción \""Efecto de arma de Metamorph\""!","ได้รับของแฟชั่น Metamorph Weapon Effect แล้ว!","獲得武器特效：鍊獄幻魔！","","","","","","","","","","","","MetamorphWeaponEffect"
80,30,36,[2173],0,"Earned Metamorph Portal Effect Microtransaction!","Vous avez remporté la microtransaction Portail Metamorph !","Du hast die Mikrotransaktion 'Metamorph-Portaleffekt' freigespielt!","Earned Metamorph Portal Effect Microtransaction!","변형 포탈 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Portal Metamorfo!","Получена микротранзакция: портал метаморфа!","¡Has obtenido la microtransacción \""Efecto de portal de Metamorph\""!","ได้รับของแฟชั่น Metamorph Portal Effect แล้ว!","獲得時空之門．鍊獄幻魔！","","","","","","","","","","","","MetamorphPortalEffect"
81,30,19,[5635],3,"Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Metamorph !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Metamorph-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere Stufen zu erhalten!","Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","변형 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상을 얻을 수 있습니다!","Ganhou o Totem Metamorfo!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Метаморфа!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Metamorph!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนโทเทม Metamorph แล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ โทเทมก็จะยิ่งสูงขึ้นเท่านั้น!","獲得鍊魔圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole18"
82,31,12,[2284],0,"Earned Delirium Horn Microtransaction!","Vous avez remporté la microtransaction Cornes Delirium !","Du hast die Mikrotransaktion 'Delirium-Hörner' freigespielt!","Earned Delirium Horn Microtransaction!","환영 뿔 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Chifres do Delírio!","Получена микротранзакция: рога Делириума!","¡Has obtenido la microtransacción \""Cuernos de Delirium\""!","ได้รับของแฟชั่น Delirium Horn แล้ว!","獲得頭部外觀：譫妄犄角！","","","","","","","","","","","","DeliriumHorns"
83,31,24,[2285],0,"Earned Delirium Cloak Microtransaction!","Vous avez remporté la microtransaction Cape Delirium !","Du hast die Mikrotransaktion 'Delirium-Umhang' freigespielt!","Earned Delirium Cloak Microtransaction!","환영 망토 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Capa do Delírio!","Получена микротранзакция: плащ Делириума!","¡Has obtenido la microtransacción \""Capa de Delirium\""!","ได้รับของแฟชั่น Delirium Cloak แล้ว!","獲得背飾：譫妄披風！","","","","","","","","","","","","DeliriumCloak"
84,31,36,[2286],0,"Earned Delirium Wings Microtransaction!","Vous avez remporté la microtransaction Ailes Delirium !","Du hast die Mikrotransaktion 'Delirium-Flügel' freigespielt!","Earned Delirium Wings Microtransaction!","환영 날개 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Asas do Delírio!","Получена микротранзакция: крылья Делириума!","¡Has obtenido la microtransacción \""Alas de Delirium\""!","ได้รับของแฟชั่น Delirium Wings แล้ว!","獲得背飾：譫妄之翼！","","","","","","","","","","","","DeliriumWings"
85,31,19,[5637],3,"Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Delirium !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Delirium-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere Stufen zu erhalten!","Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","환영 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상을 얻을 수 있습니다!","Ganhou o Totem do Delírio!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Делириума!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Delirium!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนเสาอนุสรณ์แห่งการท้าทาย Delirium แล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ เสาอนุสรณ์ก็จะยิ่งสูงขึ้นเท่านั้น!","獲得譫妄圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole19"
86,32,12,[2446],0,"Earned Harvest Footprints Effect Microtransaction!","Vous avez remporté la microtransaction Empreintes Harvest !","Du hast die Mikrotransaktion 'Harvest-Fußspuren' freigespielt!","Earned Harvest Footprints Effect Microtransaction!","수확 발자국 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Pegadas da Colheita!","Получена микротранзакция: следы Жатвы!","¡Has obtenido la microtransacción \""Efecto de huellas de Harvest\""!","ได้รับของแฟชั่น Harvest Footprints แล้ว!","獲得行走特效：豐收忌劫！","","","","","","","","","","","","HarvestFootprintsEffect"
87,32,24,[2447],0,"Earned Harvest Cloak Microtransaction!","Vous avez remporté la microtransaction Cape Harvest !","Du hast die Mikrotransaktion 'Harvest-Umhang' freigespielt!","Earned Harvest Cloak Microtransaction!","수확 망토 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Capa da Colheita!","Получена микротранзакция: плащ Жатвы!","¡Has obtenido la microtransacción \""Capa de Harvest\""!","ได้รับของแฟชั่น Harvest Cloak แล้ว!","獲得背飾：豐收忌劫披風！","","","","","","","","","","","","HarvestCloak"
88,32,36,[2448],0,"Earned Harvest Portal Effect Microtransaction!","Vous avez remporté la microtransaction Portail Harvest !","Du hast die Mikrotransaktion 'Harvest-Portaleffekt' freigespielt!","Earned Harvest Portal Effect Microtransaction!","수확 포탈 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Portal da Colheita!","Получена микротранзакция: портал Жатвы!","¡Has obtenido la microtransacción \""Efecto de portal de Harvest\""!","ได้รับของแฟชั่น Harvest Portal Effect แล้ว!","獲得時空之門．豐收忌劫！","","","","","","","","","","","","HarvestPortalEffect"
89,32,19,[5639],3,"Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Harvest !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast ein Harvest-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere Stufen zu erhalten!","Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","수확 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상이 기다립니다!","Ganhou o Totem da Colheita!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Жатвы!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Harvest!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนเสาอนุสรณ์แห่งการท้าทาย Harvest แล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ เสาอนุสรณ์ก็จะยิ่งสูงขึ้นเท่านั้น!","獲得豐收圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole20"
90,33,12,"[2564,2565,2566]",0,"Earned Heist Helmet Pack!","Vous avez remporté le Pack de casques Heist !","Du hast die Mikrotransaktion 'Heist-Helmpaket' freigespielt!","Earned Heist Helmet Pack!","강탈 투구 팩을 획득했습니다!","Ganhou o Pacote de Elmos Heist!","Получен набор головных уборов Кражи!","¡Has obtenido el paquete de cascos de Heist!","ได้รับของแฟชั่น Heist Helmet Pack แล้ว!","獲得劫盜同盟頭部外觀包！","Art/2DItems/Effects/Hats/HeistHelmetPack.dds","","","","","","","","","","","HeistHelmetPack"
91,33,24,[4937],0,"Earned Heist Cat Pet Microtransaction!","Vous avez remporté la microtransaction Chat-sse du siècle !","Du hast die Mikrotransaktion 'Heist-Katze' freigespielt!","Earned Heist Cat Pet Microtransaction!","강탈 고양이 애완동물 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Mascote Gato Heist!","Получена микротранзакция: кошка Кражи!","¡Has obtenido la microtransacción \""Mascota Gato de Heist\""!","ได้รับของแฟชั่น Heist Cat Pet แล้ว!","獲得寵物：劫盜萌貓！","","","","","","","","","","","","HeistPet"
92,33,36,[2567],0,"Earned Heist Portal Effect Microtransaction!","Vous avez remporté la microtransaction Portail Heist !","Du hast die Mikrotransaktion 'Heist-Portaleffekt' freigespielt!","Earned Heist Portal Effect Microtransaction!","강탈 포탈 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Portal Heist!","Получена микротранзакция: портал Кражи!","¡Has obtenido la microtransacción \""Efecto de Heist para portal\""!","ได้รับของแฟชั่น Heist Portal Effect แล้ว!","獲得時空之門．劫盜同盟！","","","","","","","","","","","","HeistPortalEffect"
93,33,19,[5641],3,"Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Heist !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Heist-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere Stufen zu erhalten!","Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","강탈 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상이 기다립니다!","Ganhou o Totem Heist!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Кражи!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Heist!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนเสาอนุสรณ์แห่งการท้าทาย Harvest แล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ เสาอนุสรณ์ก็จะยิ่งสูงขึ้นเท่านั้น!","獲得劫盜圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole21"
94,34,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère du Crépuscule !","Herzlichen Glückwunsch!\nDu hast eine Zwielicht-Überraschungskiste gewonnen!","Congratulations!\nYou earned a Twilight Mystery Box!","축하합니다!\n황혼 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa do Crepúsculo!","Поздравляем!\nВы получили Загадочную коробку Сумрака!","¡Felicidades!\n¡Has obtenido una Caja misteriosa del Crepúsculo!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา แดนสนธยา แล้ว!","恭喜！你獲得 1 個傾城暮光神秘寶箱！","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","Boîte mystère du Crépuscule","Zwielicht-Überraschungskiste","Twilight Mystery Box","황혼 미스터리 박스","Caixa Misteriosa do Crepúsculo","Загадочная коробка Сумрака","Caja misteriosa del Crepúsculo","กล่องปริศนา แดนสนธยา","傾城暮光神秘寶箱","MysteryPackTwilightBox"
