"rownum","Id","MasteryEffects","InactiveIcon","ActiveIcon","ActiveEffectImage","bool_48","SoundEffect","MasteryCountStat"
10,"Block","[55,56,57,58]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBlockInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBlockActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryBlockPattern","",306,16550
11,"Bow","[59,60,61,62,63,64]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBowInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBowActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryBowPattern","",301,16551
12,"Brand","[65,66,67,68,69,70]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBrandInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBrandActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryBrandPattern","",327,16552
13,"Caster","[71,72,73,74,75,76]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryCasterInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryCasterActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryCasterPattern","",326,16553
14,"Chaos","[77,78,79,80,81,82]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryChaosInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryChaosActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryChaosPattern","",303,16554
15,"Charges","[83,84,85,86,87,88]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryChargesInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryChargesActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryChargesPattern","",327,16555
16,"Claw","[89,90,91,92,93,94]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryClawsInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryClawsActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryClawsPattern","",310,16556
17,"Cold","[95,96,97,98,99,100]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryColdInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryColdActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryColdPattern","",297,16557
18,"Criticals","[101,102,103,104,105,106]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryCriticalInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryCriticalActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryCriticalsPattern","",328,16558
19,"Curse","[107,108,109,110,111,112]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryCurseInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryCurseActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryCursePattern","",303,16559
20,"Dagger","[113,114,115,116,117,118]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDaggerInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDaggerActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryDaggersPattern","",310,16560
21,"DamageOverTime","[119,120,121,122]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDamageOverTimeInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDamageOverTimeActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryDamageOverTimePattern","",319,16561
22,"DualWield","[123,124,125,126,127,128]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDualWieldInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDualWieldActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryDualWieldPattern","",318,16562
23,"Duration","[129,130,131,132]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDurationInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryDurationActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryDurationPattern","",336,16563
24,"Elemental","[133,134,135,136,137,138]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryElementalInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryElementalActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryElementalPattern",1,311,16564
25,"EnergyShield","[139,140,141,142,143,144]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryEnergyInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryEnergyActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryEnergyPattern",1,312,16565
26,"Evasion","[145,146,147,148,149,150]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryEvasionInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryEvasionActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryEvasionPattern",1,313,16566
27,"EvasionEnergyShield","[151,152,153,154,155,156]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryEvasionAndEnergyShieldInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryEvasionAndEnergyShieldActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryEvasionAndEnergyShieldPattern",1,314,16567
28,"Fire","[157,158,159,160,161,162]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryFireInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryFireActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryFirePattern","",296,16568
29,"Flask","[163,164,165,166,167,168]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryFlaskInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryFlaskActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryFlaskPattern","",315,16569
30,"Fortify","[169,170,171,172,173,174]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryFortifyInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryFortifyActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryFortifyPattern","",304,16570
31,"Impale","[175,176,177,178,179,180]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryImpaleInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryImpaleActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryImpalePattern",1,304,16571
32,"Leech","[181,182,183,184,185,186]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLeechInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLeechActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryLeechPattern","",309,16572
33,"Life","[187,188,189,190,191,192]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLifeInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLifeActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryLifePattern","",299,16573
34,"Link","[193,194,195,196,197,198]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLinkInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLinkActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryLinkPattern","",326,16574
35,"Lightning","[199,200,201,202,203,204]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLightningInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryLightningActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryLightningPattern","",298,16575
36,"Mace","[205,206,207,208,209,210]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMaceInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMaceActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryMacePattern","",316,16576
37,"Mana","[211,212,213,214,215,216]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryManaInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryManaActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryManaPattern","",300,16577
38,"Mark","[217,218,219,220,221,222]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMarkInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMarkActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryMarkPattern","",324,16578
39,"Mine","[223,224,225,226,227,228]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMineInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMineActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryMinePattern","",322,16579
40,"MinionDefence","[229,230,231,232,233,234]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMinionDefenseInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMinionDefenseActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryMinionDefencePattern","",317,16580
41,"MinionOffence","[235,236,237,238,239,240]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMinionOffenseInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryMinionOffenseActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryMinionOffencePattern","",317,16581
42,"Physical","[241,242,243,244,245,246]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryPhysicalInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryPhysicalActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryPhysicalPattern","",318,16582
43,"Poison","[247,248,249,250,251,252]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryPoisonInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryPoisonActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryPoisonPattern","",319,16583
44,"Projectile","[253,254,255,256,257,258]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryProjectileInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryProjectileActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryProjectilePattern","",302,16584
45,"Recovery","[259,260,261,262,263,264]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryRecoveryInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryRecoveryActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryRecoveryPattern","",329,16585
46,"Reservation","[265,266,267,268,269,270]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryReservationInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryReservationActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryReservationPattern","",325,16586
47,"Resistance","[271,272,273,274,275,276]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryResistancesAndAilmentProtectionInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryResistancesAndAilmentProtectionActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryResistancesAndAilmentProtectionPattern","",323,16587
48,"Shield","[277,278,279,280,281,282]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryShieldInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryShieldActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryShieldPattern","",306,16588
49,"Staff","[283,284,285,286,287,288]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryStaffInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryStaffActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryStaffPattern","",316,16589
50,"Stun","[289,290,291,292,293,294]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryStunInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryStunActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryStunPattern","",330,16590
51,"Suppression","[295,296,297,298,299,300]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasterySpellSuppressionInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasterySpellSuppressionActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasterySpellSuppressionPattern","",323,16591
52,"Sword","[301,302,303,304,305,306]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasterySwordInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasterySwordActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasterySwordPattern","",320,16592
53,"Totem","[307,308,309,310,311,312]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTotemInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTotemActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryTotemPattern","",321,16593
54,"Trap","[313,314,315,316,317,318]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTrapInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTrapActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryTrapsPattern","",322,16594
55,"TwoHand","[319,320,321,322,323,324]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTwoHandInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTwoHandActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryTwoHandsPattern","",318,16595
56,"Wand","[325,326,327,328,329,330]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryWandInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryWandActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryWandPattern","",326,16596
57,"Warcry","[331,332,333,334,335,336]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryWarcryInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryWarcryActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryWarcryPattern","",305,16597
58,"Retaliation","[338,339,340,341,342]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryRetaliationInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveRetaliationActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryRetaliationPattern","",305,20511
59,"Rage","[343,344,345,346,347,348]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryRageInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveBannerRageActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryRagePattern","",305,20524
60,"Tincture","[349,350,351,352,353]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryTinctureInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveBannerTinctureActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryTincturePattern","",315,20534
