"rownum","Id","CurrencyItem","CurrencyCount","ItemClass","bool_56","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_65","rid_69"
14,"HardModeAmuletCraft",[],[],[4],"","<whiteitem>{Normal} Amulet","Amulette <whiteitem>{Normale}","<whiteitem>{normales} Amulett","<whiteitem>{ノーマル}アミュレット","<whiteitem>{일반} 목걸이","<whiteitem>{Normal} Amuleto","<whiteitem>{Обычный} амулет","Amuleto <whiteitem>{normal}","สร้อย<whiteitem>{ธรรมดา}","<whiteitem>{普通} 項鍊",1,""
15,"HardModeJewelCraft",[],[],"[41,50]","","<magicitem>{Magic} Jewel","Joyau <magicitem>{Magique}","<magicitem>{magisches} Juwel","<magicitem>{マジック}ジュエル","<magicitem>{마법} 주얼","<magicitem>{Magic} Acessório","<magicitem>{Волшебный} самоцвет","Joya <magicitem>{mágica}","จิวเวล<magicitem>{เมจิก}","<magicitem>{魔法} 珠寶",2,""
16,"Test",[],[],[],"","","","","","","","","","","",0,""
17,"ReflectingMist1",[],[],[],"","","","","","","","","","","",0,""
18,"ReflectingMist2",[],[],[],"","","","","","","","","","","",0,""
19,"ReflectingMist3",[],[],[],"","","","","","","","","","","",0,""
20,"DivineBlessed1",[],[],[],"","<rareitem>{Rare} item","Objet <rareitem>{Rare}","<rareitem>{seltenen} Gegenstand","<rareitem>{レア}アイテム","<rareitem>{희귀} 아이템","Item <rareitem>{Raro}","<rareitem>{редкий} предмет","Objeto <rareitem>{raro}","ไอเทม<rareitem>{แรร์}","<rareitem>{稀有}物品",4,""
21,"DivineBlessed2",[],[],[],"","<rareitem>{Rare} item","Objet <rareitem>{Rare}","<rareitem>{seltenen} Gegenstand","<rareitem>{レア}アイテム","<rareitem>{희귀} 아이템","Item <rareitem>{Raro}","<rareitem>{редкий} предмет","Objeto <rareitem>{raro}","ไอเทม<rareitem>{แรร์}","<rareitem>{稀有}物品",4,""
22,"DivineBlessed3",[],[],[],"","<rareitem>{Rare} item","Objet <rareitem>{Rare}","<rareitem>{seltenen} Gegenstand","<rareitem>{レア}アイテム","<rareitem>{희귀} 아이템","Item <rareitem>{Raro}","<rareitem>{редкий} предмет","Objeto <rareitem>{raro}","ไอเทม<rareitem>{แรร์}","<rareitem>{稀有}物品",4,""
23,"ChanceScour1",[],[],[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","Item <whiteitem>{Normal}","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通}物品",1,""
24,"ChanceScour2",[],[],[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","Item <whiteitem>{Normal}","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通}物品",1,""
25,"ChanceScour3",[],[],[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","Item <whiteitem>{Normal}","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通}物品",1,""
26,"SuperVaal1",[],[],[],"","","","","","","","","","","",0,""
27,"SuperVaal2",[],[],[],"","","","","","","","","","","",0,""
28,"SuperVaal3",[],[],[],"","","","","","","","","","","",0,""
29,"VeiledChaos1",[],[],[],"","","","","","","","","","","",0,""
30,"VeiledChaos2",[],[],[],"","","","","","","","","","","",0,""
31,"VeiledChaos3",[],[],[],"","","","","","","","","","","",0,""
32,"VeiledExalt1",[],[],[],"","","","","","","","","","","",0,""
33,"VeiledExalt2",[],[],[],"","","","","","","","","","","",0,""
34,"VeiledExalt3",[],[],[],"","","","","","","","","","","",0,""
35,"TaintedCurrency1",[],[],[],"","","","","","","","","","","",0,""
36,"TaintedCurrency2",[],[],[],"","","","","","","","","","","",0,""
37,"TaintedCurrency3",[],[],[],"","","","","","","","","","","",0,""
38,"EldritchImplicits1",[],[],[],"","","","","","","","","","","",0,""
39,"EldritchImplicits2",[],[],[],"","","","","","","","","","","",0,""
40,"EldritchImplicits3",[],[],[],"","","","","","","","","","","",0,""
41,"TaintedLinks1",[],[],[],"","","","","","","","","","","",0,""
42,"TaintedLinks2",[],[],[],"","","","","","","","","","","",0,""
43,"TaintedLinks3",[],[],[],"","","","","","","","","","","",0,""
44,"FoulbornCurrency1",[],[],[],"","","","","","","","","","","",0,""
45,"FoulbornCurrency2",[],[],[],"","","","","","","","","","","",0,""
46,"FoulbornCurrency3",[],[],[],"","","","","","","","","","","",0,""
47,"TalismanCraft1",[],[],[],"","","","","","","","","","","",0,""
48,"TalismanCraft2",[],[],[],"","","","","","","","","","","",0,""
49,"TalismanCraft3",[],[],[],"","","","","","","","","","","",0,""
50,"Ancient1",[],[],[],"","","","","","","","","","","",0,""
51,"Ancient2",[],[],[],"","","","","","","","","","","",0,""
52,"Ancient3",[],[],[],"","","","","","","","","","","",0,""
53,"Fracture1",[],[],[],"","","","","","","","","","","",0,""
54,"Fracture2",[],[],[],"","","","","","","","","","","",0,""
55,"Fracture3",[],[],[],"","","","","","","","","","","",0,""
56,"Map1",[],[],[],"","","","","","","","","","","",0,""
57,"Map2",[],[],[],"","","","","","","","","","","",0,""
58,"Map3",[],[],[],"","","","","","","","","","","",0,""
59,"Hinekora1",[],[],[],"","","","","","","","","","","",0,""
60,"Hinekora2",[],[],[],"","","","","","","","","","","",0,""
61,"Hinekora3",[],[],[],"","","","","","","","","","","",0,""
62,"InfluenceExalts1",[],[],[],"","","","","","","","","","","",0,""
63,"InfluenceExalts2",[],[],[],"","","","","","","","","","","",0,""
64,"InfluenceExalts3",[],[],[],"","","","","","","","","","","",0,""
65,"AbyssJewel",[],[],[],"","","","","","","","","","","",0,""
66,"DeliriumJewel",[],[],[],"","","","","","","","","","","",0,""
67,"Jewel",[],[],[],"","","","","","","","","","","",0,""
68,"AbyssJewel2",[],[],[],"","","","","","","","","","","",0,""
69,"DeliriumJewel2",[],[],[],"","","","","","","","","","","",0,""
70,"Jewel2",[],[],[],"","","","","","","","","","","",0,""
71,"AbyssJewel3",[],[],[],"","","","","","","","","","","",0,""
72,"DeliriumJewel3",[],[],[],"","","","","","","","","","","",0,""
73,"Jewel3",[],[],[],"","","","","","","","","","","",0,""
74,"GemReroll1Support",[],[],[],"","","","","","","","","","","",0,""
75,"GemReroll1Skill",[],[],[],"","","","","","","","","","","",0,""
76,"GemReroll2Support",[],[],[],"","","","","","","","","","","",0,""
77,"GemReroll2Skill",[],[],[],"","","","","","","","","","","",0,""
78,"GemReroll3Support",[],[],[],"","","","","","","","","","","",0,""
79,"GemReroll3Skill",[],[],[],"","","","","","","","","","","",0,""
80,"GemReroll3SupportRare",[],[],[],"","","","","","","","","","","",0,""
81,"GemReroll3SkillRare",[],[],[],"","","","","","","","","","","",0,""
