"rownum","Id","GrantedEffectsKey","Stat","string_40","bool_48","bool_49","bool_50","MiscAnimated","bool_67","bool_68","bool_69","bool_70","bool_71","bool_72","bool_73","bool_74","[rid]_75","i32_91"
114,"CorruptingFever",11821,"","<lock>",1,1,1,68,"",1,"","",1,"","","",[],0
115,"SummonRagingSpirit",3189,"","<lock>",1,1,1,73,"",1,"","","","","","",[],0
116,"SummonRagingSpiritAltX",3190,"","<lock>",1,1,1,73,"",1,"","","","","","",[],0
117,"SummonRagingSpiritAltY",3191,"","<lock>",1,1,1,73,"",1,"","","","","","",[],0
118,"PetrifiedBlood",11888,"","<lock>",1,1,1,74,"",1,"","",1,"","","",[],0
119,"Reap",11847,"","<lock>",1,1,1,76,"",1,"","","","","","",[],0
120,"ReapAltX",11848,"","<lock>",1,1,1,76,"",1,"","","","","","",[],0
121,"ReapAltY",11849,"","<lock>",1,1,1,76,"",1,"","","","","","",[],0
122,"Absolution",11991,"","<lock>",1,1,1,77,"",1,"","","","","","",[],0
123,"AbsolutionAltX",11992,"","<lock>",1,1,1,77,"",1,"","","","","","",[],0
124,"AbsolutionAltY",11993,"","<lock>",1,1,1,77,"",1,"","","","","","",[],0
125,"Manabond",12007,"","<lock>",1,1,"",80,"",1,"","","","","","",[],0
126,"ManabondAltX",12008,"","<lock>",1,1,"",80,"",1,"","","","","","",[],0
127,"ManabondAltY",12009,"","<lock>",1,1,"",80,"",1,"","","","","","",[],0
128,"TempestShield",1573,"","<lock>",1,1,1,41,"",1,"","",1,"","","",[],0
129,"GalvanicField",12208,"","<lock>",1,1,1,101,"",1,"","","","","","",[],0
130,"VaalVenomGyre",12333,"","<lock>",1,1,1,110,"",1,"","","","","","",[],0
131,"VaalReap",12339,"","<lock>",1,1,1,76,"",1,"","","","","","",[],0
132,"VaalDomination",12348,"","<lock>",1,1,1,5,"",1,"","","","","","",[],0
133,"VaalIceShot",12350,"","R_Weapon",1,"","",25,1,"","",1,"","",1,"",[],0
134,"VaalLightningArrow",12346,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
135,"VaalSplitArrow",12362,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
136,"Hexblast",11490,"","<lock>",1,1,"",4,"",1,"","","","","","",[],0
137,"HexblastAltX",11491,"","<lock>",1,1,"",4,"",1,"","","","","","",[],0
138,"HexblastAltY",11492,"","<lock>",1,1,"",4,"",1,"","","","","","",[],0
139,"DivineRetribution",12479,"","<lock>",1,1,"",138,"","","","","","","","",[],0
140,"CrushingFist",12477,"","<lock>",1,1,"",139,"","","","","","","","",[],0
141,"CallMercenary",12680,"","<lock>",1,1,1,140,"",1,"","",1,"","","",[],0
142,"DarkPactAltX",5956,"","<lock>",1,1,1,141,"",1,"","","","","","",[],0
143,"mtx_arbiter_of_divinity_effect","",22960,"<lock>",1,1,1,149,"",1,"","","","","",1,[],0
144,"ManaInfusedStaff",1577,"","<lock>",1,1,1,151,"",1,"","",1,"","","",[],0
