"rownum","Id","MiscObject","i32_24","string_28","string_36","[i32]_44","bool_60","i32_61","bool_65","i32_66","i32_70","i32_74","[i32]_78","HideoutDoodan"
55,"MetkulMapDevice",1622,36,"Metadata/MapDevices/MektulMapDevice/MektulMapDevice","aux_podium_base","[-46,0]",1,0,1,11,0,0,[],1567
56,"ChampionsPodiumMapDeviceSmall",1637,18,"Metadata/MapDevices/MonarchOfTrarthusMapDevice/MonarchOfTrarthusMapDevice","aux_podium","[0,-17]",1,0,"",11,1,0,[],1584
57,"ChampionsPodiumMapDeviceLarge",1637,36,"Metadata/MapDevices/MonarchOfTrarthusMapDevice/MonarchOfTrarthusMapDevice","aux_podium","[0,-27]",1,0,1,11,1,0,[],1584
58,"PrecursorMapDeviceSmall",1665,18,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-9,-22]",1,0,"",4,1,3300,[],1587
59,"PrecursorMapDeviceSmall2",1665,18,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-9,-22]",1,0,"",4,1,3300,[],1587
60,"PrecursorMapDeviceLarge",1665,36,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-12,-46]",1,0,1,4,1,3300,[],1587
61,"PrecursorMapDeviceLarge2",1665,36,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-12,-46]",1,0,1,4,1,3300,[],1587
62,"PrisonHallwayMapDeviceTiny",1667,18,"Metadata/MapDevices/PrisonHallwayMapDevice/PrisonHallwayMapDevice","plinth_aux_1","[0,0]",1,0,"",2,0,0,[],1588
63,"PrisonHallwayMapDeviceSmall",1667,18,"Metadata/MapDevices/PrisonHallwayMapDevice/PrisonHallwayMapDevice","plinth_aux_1","[0,-67]",1,18,"",2,0,0,[],1588
64,"PrisonHallwayMapDeviceLarge",1667,18,"Metadata/MapDevices/PrisonHallwayMapDevice/PrisonHallwayMapDevice","plinth_aux_1","[0,-92]",1,18,1,2,0,0,[],1588
65,"SanctumHourglassMapDevice",1673,36,"Metadata/MapDevices/HourglassMapDevice/HourglassMapDevice","aux_poduim_jntBnd","[0,-32]",1,0,1,6,0,0,[],1589
66,"PinkSanctumHourglassMapDevice",1675,36,"Metadata/MapDevices/HourglassMapDevice/PinkHourglassMapDevice","aux_poduim_jntBnd","[0,-32]",1,0,1,6,0,0,[],1590
67,"BlackSanctumHourglassMapDevice",1674,36,"Metadata/MapDevices/HourglassMapDevice/BlackHourglassMapDevice","aux_poduim_jntBnd","[0,-32]",1,0,1,6,0,0,[],1591
68,"PrisonAltarMapDeviceSmall",1704,36,"Metadata/MapDevices/PrisonerAltarMapDevice/PrisonAltarMapDevice","aux_pedestal","[0,-24]",1,0,1,7,1,2000,[],1672
69,"PrisonAltarMapDeviceLarge",1704,18,"Metadata/MapDevices/PrisonerAltarMapDevice/PrisonAltarMapDevice","aux_pedestal","[0,-24]",1,0,"",7,1,1000,[],1672
70,"DeliriumMapDevice",1714,18,"Metadata/MapDevices/DeliriumMapDevice/DeliriumMapDevice","aux_bowl_attachment","[0,0]",1,0,"",8,0,0,[],1705
71,"ArbiterOfDivinityMapDevice1",1725,18,"Metadata/MapDevices/DivinityMapDevice/DivinityMapDevice","controlPanelRight_jntBnd","[-20,-42]",1,18,"",11,1,0,[0],1708
72,"ArbiterOfDivinityMapDevice2",1725,18,"Metadata/MapDevices/DivinityMapDevice/DivinityMapDevice","controlPanelRight_jntBnd","[-16,-44]",1,18,"",11,0,0,[0],1708
73,"RitualMapDevice",1753,36,"Metadata/MapDevices/RitualMapDevice/RitualMapDevice","aux_plinth_attachment","[0,-26]",1,0,1,9,0,750,[],1709
74,"ExpeditionMapDeviceLarge",1762,36,"Metadata/MapDevices/ExpeditionMapDevice/ExpeditionMapDevice","detonator_jntBnd","[-20,-42]",1,0,1,10,0,2600,"[0,0,0,0,0,0]",1710
75,"ExpeditionMapDeviceSmall",1763,18,"Metadata/MapDevices/ExpeditionMapDevice/ExpeditionMapDevice","detonator_jntBnd","[-14,-28]",1,0,"",10,1,3500,[],1710
76,"DiseaseVectorMapDeviceLarge","",18,"Metadata/MapDevices/DiseaseVectorMapDevice/DiseaseVectorMapDevice","",[],1,0,"",2,1,1000,[],1717
77,"DiseaseVectorMapDeviceSmall","",18,"Metadata/MapDevices/DiseaseVectorMapDevice/DiseaseVectorMapDevice","",[],1,0,"",2,1,1000,[],1717
78,"SchemersMapDevice",1808,18,"Metadata/MapDevices/SchemersHandMapDevice/SchemersHandMapDevice","Console_jntBnd","[0,-41]",1,0,1,4,0,2800,"[0,0,0,0,0,0]",1734
