"rownum","GroundEffectTypesKey","i32_16","i32_20","rid_24","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","rid_101","rid_117","rid_133","rid_149","rid_165","bool_181","bool_182","bool_183","rid_184","rid_200","bool_216","bool_217","bool_218"
10,0,7,2,1075,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_01.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_02.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_03.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_04.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
11,0,8,1,1197,105,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/polaris_black/burn1.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
12,0,9,1,"",120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/scientist/burn1.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/scientist/burn2.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
13,0,10,1,1331,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn2.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
14,0,11,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/burning_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
15,0,12,1,1379,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/nightfall/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
16,0,13,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Hellion/flame_breath/lava_pool/rig.ao""]","[""loop""]","fadeout","","",477,"","","",1,"","","","","",""
17,0,14,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ritual/fire_ritual/ritual_fire_meteor_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
18,0,15,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/VilAintHer/lava_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
19,0,16,2,"",200,[],1,"[""Metadata/Effects/Spells/prismatic_rain/object_effect/burning_grd_Fire.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
20,0,17,1,1670,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/siren/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
21,0,18,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd1.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd2.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
22,0,19,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_flames.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
23,0,20,1,1712,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/auspicious/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
24,0,21,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/Phantasm/burning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
25,0,22,2,1822,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/trap/Oblivion/burning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
26,0,23,2,1883,250,[],1,"[""Metadata/Effects/Microtransactions/Spells/alchemists_mark/sunprism/fire_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
27,0,24,2,1768,175,[],1,"[""Metadata/Effects/Microtransactions/Spells/firestorm/Vaal/ao/bruningGround.ao""]","[""loop""]","close","","","","","","","","","","","","",""
28,0,25,2,2056,220,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/Cockroach/ground_burn.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
29,0,26,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Anger/burning_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
30,0,27,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Cardinal_Sanctus_Vox/burning_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
31,0,28,2,"",80,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasMemories/SynthesisHound/ground_fissure_dot.ao""]","[""idle""]","fadeout","","","","","","","","","","","","",""
32,1,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/ice/ice.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
33,1,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/chilled/chilled_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
34,1,1,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/hellion/ice/icepatchremain_new.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
35,1,2,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
36,1,2,2,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
37,1,3,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/merc_pool.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
38,1,4,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/chilling_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
39,1,5,2,"",130,[],1,"[""Metadata/Effects/Microtransactions/Spells/ice_dash/frontier_wrangler/ICE_decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
40,1,6,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/chilled/chilled_grd_arctic_armour.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
41,1,7,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/chilled/chilled_grd_rect.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
42,1,8,2,"",175,[],1,"[""Metadata/Effects/Microtransactions/Spells/frozen_barrier/KaruiJade/chilled_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
43,1,9,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Benevolence/chilled_grd.ao""]","[""loop""]","end","","","","","","",1,"","","",1,1,""
44,1,10,2,2274,130,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Neglect/eyelaser_degen.ao""]","[""loop""]","end","","","","","","",1,"","","","","",""
45,1,11,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/TulAndAshBoss/iceRain_chilledGround.ao""]","[""idle""]","fade_out","","","","","","",1,"","","","","",""
46,7,0,1,"",40,[],1,"[""Metadata/Effects/Spells/ground_effects/lightning/lightning_ground_01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
47,7,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/shocking/shocking_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
48,7,1,2,"",100,[],"","[""Metadata/Effects/Microtransactions/Spells/lighting_trap/celestial/groundEffects/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
49,7,2,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/static_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
50,7,3,2,224,200,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/boss_pale_king/doublethrow_shocked_grd.ao""]","[""loop""]","fadeout","","",592,"","","",1,"","","","","",""
51,7,4,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_storms.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
52,7,5,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheTangle/ao/orb_grd_effect.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
53,7,6,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_storms_walker.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
54,7,7,2,"",205,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Cardinal_Sanctus_Vox/GroundShocked.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
55,5,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
56,5,0,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
57,5,1,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil_red/evil_01.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_02.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
58,5,1,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
59,5,2,1,"",0,[],"","[""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_01.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_02.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
60,5,2,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
61,5,3,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/desecrate_stygian/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
62,5,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/void_desecrate/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
63,6,0,1,"",150,"[24,10,3]","","[""Metadata/Effects/Spells/ground_effects/holy/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
64,6,0,2,"",130,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
65,6,1,2,"",110,[],"","[""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_01.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_02.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_03.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_04.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_05.ao""]","[""loop""]","fadeout",1249,"","","","","","","","","","","",""
66,6,2,2,996,110,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","",996,"","","",""
67,6,3,2,1611,150,[],"","[""Metadata/Effects/Microtransactions/Spells/holy_path/celestial/consecrated_01.ao""]","[""loop""]","fadeout","","","","","","","","",1611,"","","",""
68,6,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/ground_effects/archnemesis/archunholy_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
69,3,0,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
70,3,0,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar/targround_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
71,3,1,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/goldtar_rig.ao""]","[""loop""]","fadeout",801,"","","","","",1,"","","","","",""
72,3,1,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_05.ao""]","[""loop""]","fadeout",801,"","","","","",1,"","","","","",""
73,3,2,1,"",83.5,[],"","[""Metadata/Effects/Spells/monsters_effects/act5/slave_catcher/net_throw/net.ao""]","[""loop""]","fadeout",845,"","","","","",1,"","","","","",""
74,3,3,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/yellow_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
75,3,4,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_ground_travel.ao""]","[""idle""]","end","","","","","","",1,"","","","","",""
76,3,5,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_emerge.ao""]","[""idle""]","end","","","","","","",1,"","","","","",""
77,3,6,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/PictFemaleStaff/swamp_pool.ao""]","[""loop""]","end",2322,"",1356,"","","",1,"","","","","",""
78,3,7,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/PictFemaleStaff/swamp_pool.ao""]","[""loop""]","end",2322,"",1373,"","","",1,"","","","","",""
79,12,0,1,"",120,[],"","[""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao""]","[""loop"",""loop01"",""loop02"",""loop03""]","fadeout","","","","","","",1,"","","","","",""
80,12,1,1,"",85,[],"","[""Metadata/Effects/Spells/ground_effects/elderfied/slimes1.ao"",""Metadata/Effects/Spells/ground_effects/elderfied/slimes2.ao"",""Metadata/Effects/Spells/ground_effects/elderfied/slimes3.ao""]","[""loop""]","fadeout",1016,"","","","","",1,"","","","","",""
81,2,0,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects_v3/caustic/acidic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
82,2,1,2,1937,150,[],1,"[""Metadata/Effects/Microtransactions/Spells/poison_arrow/rig.ao""]","[""cloudstuff""]","cloudbegone","","","","","","",1,"","","","","",""
83,2,2,1,"",120,"[4,2,1]",1,"[""Metadata/Effects/Spells/ground_effects/caustic/caustic_01_fast.ao"",""Metadata/Effects/Spells/ground_effects/caustic/caustic_02_fast.ao"",""Metadata/Effects/Spells/ground_effects/caustic/caustic_03_fast.ao""]",[],"fadeout","","","","","","",1,"","","","","",""
84,2,2,2,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
85,2,3,2,1937,185,[],1,"[""Metadata/Effects/Spells/ground_effects/caustic/poison_ground.ao""]","[""cloudstuff""]","cloudbegone","","","","","","",1,"","","","","",""
86,2,4,1,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/act7/Ryslatha/poison_flamethrower/impact/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
87,2,5,1,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects/caustic/poison_ground_bright_green.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
88,2,6,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_03.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_04.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
89,2,7,2,"",185,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_01.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_02.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_04.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_04.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
90,2,8,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/caustic_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
91,2,9,2,1417,250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/caustic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
92,2,10,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_plagues.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
93,2,11,2,"",115,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Doom_Minions/ao/fodder2_death_grd.ao""]","[""idle""]","end","","","","","","",1,"","","","","",""
94,2,12,2,1888,250,[],1,"[""Metadata/Effects/Microtransactions/Spells/alchemists_mark/sunprism/acid_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
95,2,13,2,1890,100,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/oblivion/decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
96,2,14,2,"",200,[],1,"[""Metadata/Effects/Spells/caustic_arrow_02/VaalCausticArrow/acidic_groundtrl.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
97,2,15,2,1937,200,[],1,"[""Metadata/Effects/Microtransactions/Spells/poison_arrow/acidic_groundtrl.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
98,2,16,2,"",200,[],1,"[""Metadata/Effects/Spells/vaal_skills/caustic_arrow/celestial/acidic_groundtrl.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
99,2,17,2,1890,200,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/oblivion/vaal_decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
100,2,18,2,1937,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Crucible/Monsters/Chaos/poison_arrow_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
101,2,19,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/FungusZombie/ao/death_explosion_grd_01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
