"rownum","Id","UIFile","ClientString","IsEnabled","i32_33","[i32]_37","QuestFlag","i32_69","[i32]_73","bool_89","bool_90","i32_91"
25,"SupportGemRequirements","Metadata/UI/InGameState/TutorialPanel/SupportGems.ui",2933,1,2,[124],1719,3,[],"","",0
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",2966,1,2,[124],1720,4,[],"","",0
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",2926,1,2,[128],1721,4,[],"","",0
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",2927,1,2,[128],1722,6,[],"","",0
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",2928,1,2,[1722],1723,10,[],"","",0
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3035,1,2,[42],1725,10,[],"",1,0
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",2930,1,3,[124],1724,7,[],"","",0
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",2931,1,3,[1770],1726,7,[],"",1,0
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",2929,1,3,[1771],1727,10,[],"","",0
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3032,1,2,[1784],1755,25,[],"",1,0
35,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",2934,1,3,"[1773,0]",1730,10,[],"","",0
36,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",2937,1,10,"[150,0]",1732,20,[],"",1,0
37,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",2938,1,5,"[1775,0,0]",1733,90,[],"",1,0
38,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3644,1,2,[1937],1938,90,[],"",1,0
39,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",2939,"",3,[150],1734,25,[],"",1,0
40,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",2940,"",13,[150],1735,43,[200],"",1,0
41,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",2999,1,7,[937],1737,28,[],"",1,0
42,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",2942,1,20,[897],1738,45,[],"",1,0
43,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4162,1,25,[],2023,90,[9],"",1,0
44,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",3993,1,45,[1962],"",90,[],"",1,0
45,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",3875,"",2,[],1939,90,[112],"",1,0
46,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",2947,1,40,[1175],1743,90,[],"",1,1
47,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3577,"",60,[1785],1750,90,[],"",1,0
48,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3695,1,30,[479],1878,90,[],"",1,0
49,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4674,1,50,[],2145,70,[93],"",1,1
50,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",2987,1,4,[377],1736,90,[],"",1,1
51,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",2943,1,15,[],1739,30,[],"","",0
52,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",2944,1,15,[],1740,35,[],"","",0
53,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",2936,1,12,[],1731,20,[],"","",0
54,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",2903,1,7,[],1728,25,[],1,"",0
55,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",2945,1,15,"[1776,0]",1741,50,[],"",1,1
56,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",2946,1,10,"[1040,0]",1742,90,[],"","",0
57,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",2948,"",55,[1782],1744,75,[1035],"",1,0
58,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4673,"",60,[],2146,72,[295],"","",0
59,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",2949,"",8,[150],"",8,[],"",1,0
60,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",2950,"",8,[150],"",8,[],"",1,0
61,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",2951,"",20,[],1745,27,[],1,1,1
62,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",2952,"",60,[150],"",75,[],"",1,0
63,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",2953,"",10,[1772],1746,25,[],"",1,0
64,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",2954,"",20,[1777],1747,40,[],"",1,0
65,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",2955,"",4,[1778],1748,40,[],"",1,0
66,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",2956,1,2,[],1758,2,[],"","",0
67,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",2941,1,2,[],1759,2,[],"","",0
68,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3027,"",2,[1779],"",10,[],"",1,0
69,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3028,"",2,[],"",10,[],"",1,0
70,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3029,"",2,[],"",10,[],"",1,0
71,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3030,"",2,[],"",10,[],"",1,0
72,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3031,"",2,[1781],"",10,[],"",1,0
73,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3033,"",2,[],"",10,[],"",1,0
74,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3034,"",2,[],"",10,[],"",1,0
75,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3645,"",2,[],"",10,[],"",1,0
76,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3036,"",0,[],"",100,[],"",1,0
77,"HidePopups","",60,"",0,[],713,100,[],"","",0
