"rownum","Id","QuestStates","[i32]_24","AchievementItems","NPCs","bool_72"
52,"QuestCompleteAbberath",[1200],[],"[1028,9340,10632,11507]",[196],""
53,"QuestCompleteArakaali",[1294],[],"[1028,4215,10914,9334,11185,11518]","[220,412,410,315]",""
54,"QuestCompleteRalakesh",[1273],[],"[1028,9338,10633,11509]",[220],""
55,"QuestCompleteSilverLocket",[1310],[],[7211],[225],""
56,"QuestCompleteKisharasStar",[1316],[],[],[225],""
57,"QuestCompleteInMemoryOfGreust",[1379],[],[7704],[229],""
58,"QuestCompleteGruthkul",[1386],[],"[1028,9344,10634,11510]",[220],""
59,"QuestCompleteSolarisLunaris",[1426],[],"[1028,4216,10915,9333,9335,11186,11519]",[237],""
60,"QuestCompleteYugul",[1438],[],"[1028,7945,9337,10635,11511]",[237],""
61,"QuestCompleteTolmanZombie",[1452],[],[],[234],""
62,"QuestCompleteGemlingLegion",[1461],[],[10386],[233],""
63,"QuestWingsOfVastiri",[1443],[],[7454],[232],""
64,"QuestCompleteGarukhan",[1566],[],"[1028,9343,10636,11513]",[288],""
65,"QuestCompleteStormBlade",[1572],[],[],[285],""
66,"QuestCompleteCalendarOfFortune",[1622],[],"[10135,10908]",[285],""
67,"QuestCompleteShakari",[1629],[],"[1028,7212,9339,10637,11512]",[288],""
68,"QuestCompleteUnholyTrio",[1549],[],"[4217,10916,11187,11520]",[288],""
69,"QuestCompleteLovePotion",[1671],[],[10909],[299],""
70,"QuestCompleteTeardrop",[1677],[],[7946],[298],""
71,"QuestCompleteKitavaA10",[59],[],"[4218,10917,11188,11521]",[315],""
72,"PantheonUpgradeAbberath",[],[1336],[],[315],""
73,"PantheonUpgradeGruthkul",[],[1337],[],[315],""
74,"PantheonUpgradeYugul",[],[1338],[],[315],""
75,"PantheonUpgradeTukohama",[],[1340],[],[315],""
76,"PantheonUpgradeRalakesh",[],[1341],[],[315],""
77,"PantheonUpgradeGarukhan",[],[1342],[],[315],""
78,"PantheonUpgradeRyslatha",[],[1343],[],[315],""
79,"PantheonUpgradeShakari",[],[1339],[],[315],""
80,"PantheonUpgradeBrineKingFull",[],"[1324,1325,1326]",[10966],[315],""
81,"PantheonUpgradeArakaaliFull",[],"[1327,1328,1329]",[10966],[315],""
82,"PantheonUpgradeSolarisFull",[],"[1330,1331,1332]",[10966],[315],""
83,"PantheonUpgradeLunarisFull",[],"[1333,1334,1335]",[10966],[315],""
84,"DefeatAllGods","[1164,0,0,0,1175,0,0,0,1193,0,0]",[],[4229],[315],""
85,"FullyUpgradePantheon",[],"[1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343]",[4230],[315],""
86,"CompleteAllOptionalQuests","[227,0,0,0,115,0,0,0,47,0,0,0,87,0,0,0,246,0,0,0,458,0,0,0,490,0,0,0,532,0]",[],[1020],[],""
87,"CaptureAnyBeast",[],[112],[],"[174,172,176]",""
88,"QuestCompleteDelveTutorial",[],[18],[],"[332,333,334,335]",""
89,"QuestCompleteSynthesisTutorial1",[2077],[],[],"[375,376,377,378]",""
90,"QuestCompleteSynthesisTutorial2",[2081],[],[],"[375,376,377,378]",""
91,"QuestCompleteSynthesisTutorial3",[2083],[],[],"[375,376,377,378]",""
92,"QuestCompleteSynthesisChangeover",[2088],[],[],"[375,376,377,378]",""
93,"DefeatCatarina",[],[536],[],"[338,340]",""
94,"CraftingUnlockMovementSpeed1",[],[146],[],[394],""
95,"CraftingUnlockSpellDamage1",[],[161],[],[394],""
96,"CraftingUnlockAttackCastSpeed1",[],[168],[],[394],""
97,"CraftingUnlockSocketNumbers1",[],[245],[],[394],""
98,"CraftingUnlockAccuracy1",[],[183],[],[394],""
99,"CraftingUnlockSpellDamage3",[],[163],[],[394],""
100,"CraftingUnlockPhysicalDamage3",[],[160],[],[394],""
101,"CraftingUnlockDefences2",[],[188],[],[394],""
102,"CraftingUnlockEnergyShieldRecharge1",[],[198],[],[394],""
103,"CraftingUnlockMinions2",[],[229],[],[394],""
104,"UnlockedMapDevice",[],[350],[8450],"[412,410]",""
105,"KillAtziri",[184],[],[1585],[],""
106,"KillUberAtziri",[977],[],[],[],""
107,"DefeatSirusTheAwakener",[],[347],[],"[412,410]",""
108,"DefeatOshabi",[2182],[1097],[7186],"[412,410]",""
109,"ContractStolenLockpicks",[],[800],[7399],"[457,455,474]",""
110,"ContractKarstsRevenge",[],[801],[7400],"[457,455,474]",""
111,"ContractCreditWhereCreditsDue",[],[802],[7401],"[457,455,474]",""
112,"ContractFindingOpal",[],[803],[7402],"[457,455,474]",""
113,"ContractOpalsJewels",[],[804],[7403],"[457,455,474]",""
114,"ContractEnochsWhereabouts",[],[805],[7404],"[457,455,474]",""
115,"ContractEnochsRemains",[],[806],[7405],"[457,455,474]",""
116,"ContractGroceryList",[],[807],[7406],"[457,455,474]",""
117,"ContractTheVinderiBomb",[],[808],[7407],"[457,455,474]",""
118,"ContractTheNamelessPlay",[],[809],[7408],"[457,455,474]",""
119,"ContractTheFinestCostumes",[],[810],[7409],"[457,455,474]",""
120,"ContractTheWeddingDress",[],[811],[7410],"[457,455,474]",""
121,"ContractDisengagement",[],[812],[7411],"[457,455,474]",""
122,"ContractRationalTools",[],[813],[7412],"[457,455,474]",""
123,"ContractAMundaneSample",[],[814],[7413],"[457,455,474]",""
124,"ContractTheTwins",[],[832],[7417],"[457,455,474]",""
125,"ContractBreakingTheUnbreakable",[],[819],[7414],"[457,455,474]",""
126,"ContractHeartOfGlory",[],[822],[7415],"[457,455,474]",""
127,"ContractDeathToNarnaw",[],[828],[7416],"[457,455,474]",""
128,"TheMaven",[],[885],"[7676,7907]","[412,410]",""
129,"ExpeditionTutorial1",[],[1096],[7940],"[511,512,513,514,519,520,521,522]",""
130,"ExpeditionTutorial2",[],[1154],[7941],"[511,512,513,514,519,520,521,522]",""
131,"ScourgeTutorial",[],[1159],[8241],"[531,532,533]",""
132,"Unlock5SlotMapDevice",[],[6],[9584],"[412,410]",""
133,"LakeQuestReroll",[],"[1216,1217,1218]",[8931],"[412,410]",""
134,"LakeQuestSkip",[],"[1219,1220,1221]",[8932],"[412,410]",""
135,"LakeQuestBanish",[],"[1222,1223,1274]",[8933],"[412,410]",""
136,"SanctumUnlockRelics",[],[1011],[9121],[561],""
137,"SanctumUnlockAllRelics",[],"[1011,1013,1023,1024,1025,1014,1015,1016,1017,1018,1020,1021,1022]",[9230],[561],""
138,"AzmeriEncounterDenizen",[],[],[10043],"[621,622,623,624]",""
139,"AtlasPassiveTrees",[],"[291,329,331]","[10178,10950]","[412,410]",1
140,"Unlock6SlotMapDevice",[],[7],[10508],"[412,410]",""
141,"SettlersUnlockModules",[],"[1364,1375,1386,1397,1408,1419,1427,613]",[10365],[667],1
142,"SettlersFullyUpgradeModules",[],"[1353,1363,1374,1385,1396,1407,1418,1442,1432]",[10532],[667],""
143,"MapCraftingRecipes",[],"[172,191,175,154,179,199,153,157,229,167,195,189,165,252,261,151,197,262,193,142,109,190,198,196,253,249,250,251,247,248,237,238,242,243,155,182,186,226,227,231,254,255,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535]",[10662],"[412,410]",1
144,"GenesisTreeFullyUnlockedBodyParts",[],[1610],"[11137,10978]",[774],""
145,"GenesisTreeFullyUnlockedJuice",[],[1593],"[11155,11156]",[774],""
146,"MinorPantheonAchievementCount",[],"[1336,1337,1338,1340,1341,1342,1343,1339]",[10967],[315],1
147,"FullyUpgradeSovereignChallenge",[],"[1829,1830,1831,1832,1833]",[11616],[789],1
