"rownum","Id","Projectile","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","bool_56","i32_57","bool_61","bool_62","GeometryChannel","bool_79","rid_80","i32_96"
28,30,846,"",10,"",4,2,"",0,0,0,"",180,220,"",0,"","","","","",0
29,31,848,"",7,1,4,7,"",0,0,0,"",0,0,"",0,"","","","","",0
30,32,809,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
31,33,810,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
32,34,811,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
33,35,812,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
34,36,813,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
35,37,814,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
36,38,815,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
37,39,816,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
38,40,817,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
39,41,818,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
40,42,819,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
41,43,820,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
42,44,821,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
43,45,822,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
44,46,823,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
45,47,114,1,40,"",4,7,"",8000,10,40,1,0,0,"",0,"","","","","",0
46,48,854,1,0,"",4,6,1,0,95,100,1,0,0,"",0,"","","","","",0
47,49,885,"",0,"",4,9,1,0,0,0,"",0,0,1,0,"","","","","",0
48,50,888,1,19,1,3,7,1,100,10,30,1,0,0,"",0,"",1,"","","",0
49,51,889,1,4,"",3,7,1,500,20,60,1,0,20,"",0,"","","","","",0
50,52,947,"",15,1,2,7,"",0,0,0,"",0,0,"",0,"","","","","",0
51,53,952,"",0,"",3,6,1,0,0,0,"",0,0,"",0,"","",4,"","",0
52,54,985,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","",7,"","",0
53,55,987,"",7,1,4,7,"",0,19,20,"",0,0,"",0,"","","","","",0
54,56,1016,1,0,"",2,4,1,0,10,0,"",0,0,1,0,"","","","","",0
55,57,1040,1,0,"",4,5,"",0,25,0,"",0,0,1,1200,"","","","","",0
56,58,1044,1,0,"",5,4,1,0,0,0,"",0,0,1,0,"","","","","",0
57,59,1052,"",0,"",4,2,1,0,0,0,"",90,5,1,2000,"","","","","",0
58,60,187,"",0,"",3,7,1,0,0,0,"",0,45,"",0,"","","","","",0
59,61,1063,"",0,"",3,4,1,0,0,0,"",0,0,"",0,"","","","","",0
60,62,1064,"",0,"",3,6,"",0,0,0,"",0,0,1,0,1,"","","","",0
61,63,1062,"",0,"",3,7,"",0,120,160,1,0,90,"",0,"","","",1,"",0
62,64,1098,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
63,65,1114,1,2,"",2,4,1,0,40,80,1,0,0,"",0,"","","","","",0
64,66,1117,1,0,"",2,4,1,0,10,0,"",0,0,1,0,"","","","","",0
65,67,1122,"",0,"",4,2,1,0,0,0,"",0,0,"",0,"","","","","",0
66,68,1131,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
67,69,1131,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
68,70,1131,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
69,71,1132,"",0,"",3,6,"",0,0,0,"",0,0,"",0,"","","","","",0
70,72,1134,"",6,"",3,4,"",1000,0,0,"",0,35,"",0,"","","","","",0
71,73,1140,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
72,74,1143,1,0,"",2,2,1,0,0,0,"",0,0,1,0,"","","","","",0
73,75,1163,1,0,"",3,4,1,0,0,0,"",0,0,1,0,1,1,"","","",25
74,76,570,1,0,"",3,4,"",333,15,100,1,-80,33,"",0,"","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,"",0,"","","",1,196,0
76,78,1189,"",0,"",2,6,"",0,0,0,"",0,0,1,0,"","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,"",0,"","","","",199,0
78,80,1202,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
79,81,1202,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
80,82,1202,"",0,"",3,4,"",0,0,0,"",20,0,"",0,"","","","","",0
81,83,1202,"",0,"",3,4,"",0,0,0,"",-20,0,"",0,"","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,"",0,"","","","",201,0
83,85,1052,"",0,"",12,4,1,0,0,0,"",0,10,1,1300,"","","","","",0
84,86,1052,"",0,"",12,4,1,0,0,0,"",0,10,1,1300,"","","","","",0
85,87,1040,1,0,"",4,6,"",0,20,60,"",0,0,1,1200,"","","","","",0
86,88,1141,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
87,89,1142,"",0,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
88,90,1245,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
89,91,1245,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
90,92,1245,"",0,"",3,4,"",0,0,0,"",20,0,"",0,"","","","","",0
91,93,1245,"",0,"",3,4,"",0,0,0,"",-20,0,"",0,"","","","","",0
92,94,1142,"",0,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
93,95,1270,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
94,96,1271,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
95,97,1044,1,0,"",5,4,1,0,0,0,"",0,0,1,0,"","","","","",0
96,98,1300,1,0,"",4,5,"",0,25,0,"",0,0,1,1200,"","","","","",0
97,99,1312,1,0,"",2,4,1,0,10,0,"",0,0,1,0,1,"","","","",0
98,100,1314,1,0,"",4,6,1,0,95,100,1,0,0,"",0,"","","","","",0
99,101,154,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
100,102,154,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
101,103,154,"",0,"",3,4,"",0,0,0,"",20,0,"",0,"","","","","",0
102,104,154,"",0,"",3,4,"",0,0,0,"",-20,0,"",0,"","","","","",0
103,105,1327,"",0,"",2,3,"",0,0,0,"",0,0,1,0,"","","","","",0
104,106,1330,1,0,"",2,3,"",0,0,0,"",0,0,1,0,"","","","","",0
105,107,1349,"",0,"",2,3,"",0,0,0,"",0,0,1,0,"","","","","",0
106,108,1354,"",0,"",4,7,"",0,0,0,"",0,220,"",0,"","","","","",0
107,109,1361,"",0,"",3,4,"",0,0,0,"",0,0,1,0,"","","","","",0
108,110,1367,"",0,"",3,6,"",0,0,0,"",0,0,1,0,"","","","","",0
109,111,1384,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
110,112,1385,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
111,113,1375,1,0,"",3,4,"",0,5,25,"",0,0,"",0,"","","",1,"",0
