"rownum","i32_0","i32_4","i32_8","i32_12","i32_16","i32_20","MonsterVarietiesKeys","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","bool_76","bool_77","bool_78","i32_79","i32_83","i32_87","i32_91","i32_95","i32_99","bool_103","string_104","i32_112","bool_116","bool_117","i32_118","bool_122","f32_123","i32_127","bool_131"
37,39,3,35,70,0,30,7395,30,0,0,0,-60,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,"",0,0,""
38,40,1,60,100,0,0,7380,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,"",0,0,""
39,41,1,36,52,-15,15,7819,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
40,42,1,36,52,15,-15,7820,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
41,43,1,30,20,20,-90,7821,0,-30,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,"",0,0,""
42,44,1,30,20,-20,90,7822,0,-45,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,"",0,0,""
43,45,1,30,20,20,-90,7823,0,-60,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,"",0,0,""
44,46,1,30,20,-20,90,7824,0,-75,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,"",0,0,""
45,47,1,100,30,0,0,7827,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,"",0,0,""
46,48,4,30,100,0,0,8152,25,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",2,1,"",0,"",0,0,""
47,49,8,100,60,0,-45,7953,45,0,0,0,0,0,0,0,0,"",1,"",0,0,0,0,0,0,"","",2,1,"",0,"",0,0,""
48,50,5,50,100,0,0,4876,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,"",0,0,""
49,51,5,50,100,0,0,4876,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,"",0,0,""
50,52,5,50,100,0,0,4879,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,"",0,0,""
51,53,1,20,50,0,90,8387,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,1,"",3,1,"",0,"",0,0,""
52,54,1,20,50,0,-90,8388,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,1,"",3,1,"",0,"",0,0,""
53,55,1,30,100,0,0,4879,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,"",0,0,""
54,56,5,40,25,0,0,4877,72,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,"",0,0,""
55,57,6,40,25,0,0,4878,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,"",0,0,""
56,58,5,69,75,0,0,8638,72,-25,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",2,1,"",0,"",0,0,""
57,59,1,42,50,0,0,8638,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,"",0,0,""
58,60,1,50,50,0,-90,4880,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,"",0,0,""
59,61,1,50,50,0,90,4880,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,"",0,0,""
60,62,1,15,120,0,0,8705,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,1,0,"",0,0,""
61,63,1,20,200,0,0,4846,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,"",0,0,""
62,64,1,40,70,0,0,4847,0,0,0,0,0,0,0,10,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,"",0,0,""
63,65,4,15,60,0,-90,8782,0,-30,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
64,66,4,15,60,0,90,8783,0,-40,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
65,67,1,30,150,0,0,8792,0,35,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
66,68,1,20,70,0,0,8706,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,"",0,0,""
67,69,2,20,70,0,0,8706,180,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,"",0,0,""
68,70,1,200,20,30,-90,8725,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
69,71,1,200,20,-30,90,8726,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
70,72,1,200,17,27,-90,8725,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,1,"",0,0,""
71,73,1,200,17,-27,90,8726,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,1,"",0,0,""
72,74,1,200,20,30,-90,8725,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,2,"",0,0,""
73,75,1,200,20,-30,90,8726,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,2,"",0,0,""
74,76,1,200,22,32,-90,8725,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,3,"",0,0,""
75,77,1,200,22,-32,90,8726,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,3,"",0,0,""
76,78,1,200,20,30,-90,8725,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,4,"",0,0,""
77,79,1,200,20,-30,90,8726,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,4,"",0,0,""
78,80,1,40,100,30,180,9030,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
79,81,1,40,100,20,180,9031,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
80,82,1,40,100,10,180,9032,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
81,83,1,40,100,-10,0,9033,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
82,84,1,40,100,-20,0,9034,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
83,85,1,40,100,-30,0,9035,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
84,86,2,48,99,45,-90,4881,0,0,-90,0,0,1000,0,0,0,"","","",180,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
85,87,3,48,99,-45,60,4881,0,20,45,0,0,1000,0,0,0,"","","",-60,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
86,88,4,48,99,45,-90,4881,-90,0,0,0,0,1000,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
87,89,1,40,200,0,0,9441,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,"","",0,"",0,0,""
88,90,1,40,400,0,0,4883,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
89,91,4,48,99,45,-90,4882,-90,0,0,0,0,1000,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
90,92,1,15,120,0,0,10115,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,1,0,"",0,0,""
91,93,3,20,70,0,0,8706,120,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,"",0,0,""
92,94,4,20,70,0,0,8706,90,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,"",0,0,""
93,95,1,30,150,0,0,10273,0,35,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,"",0,0,""
94,96,3,20,99,30,-120,4885,-120,0,0,0,0,800,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,"",0,0,""
95,97,1,40,300,0,0,10376,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",12,1,"",0,"",0,0,""
96,98,1,40,300,0,0,10377,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",12,1,"",0,"",0,0,""
97,99,3,50,63,-10,-40,3290,0,0,10,0,0,350,0,0,0,1,"","",40,0,0,0,0,1,1,"",3,1,"",0,1,0.06,0,1
98,100,5,50,63,-16,-50,3290,0,0,8,0,0,350,0,0,0,1,"","",25,0,0,0,0,1,1,"",3,1,"",0,1,0.04,0,1
99,101,7,50,63,-18,-60,3290,0,0,6,0,0,350,0,0,0,1,"","",20,0,0,0,0,1,1,"",3,1,"",0,1,0.02,0,1
100,102,1,60,120,0,0,3291,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,"",3,1,"",0,1,0.1,150,""
101,103,1,40,45,0,0,10452,0,20,0,0,0,150,0,0,0,"","","",0,0,0,0,0,0,1,"",4,1,"",0,1,0.05,0,""
102,104,1,60,240,0,0,3291,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,"",3,1,"",0,1,0.1,150,""
