"rownum","Id","Description","Invisible","Removable","Name","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool","i32","BuffVisual","bool","bool","BuffCategory","bool","bool","bool","bool","BuffLimit","bool","Implementation","IsRecovery","bool","MinStat","bool","UIStackMode","bool","IsSkillBuff","i32","[i32]","bool","bool","[rid]","bool","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool","bool","bool","bool","rid","[i32]","string","[rid]","[i32]","i32","[rid]"
43,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[111],1,3,"","","","",29,0,1,"",4,"",1,"",1,0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[111],[],"","","","","",[],"",[],[],1,[]
44,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[114],1,3,"","","","",29,54,1,"",4,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[114],[],"","","","","",[],"",[],[],1,[]
45,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[128],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[128],[],"","","","","",[],"",[],[],1,[]
46,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[171],1,3,"","","","",29,52,1,"",4,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[171],[],"","","","","",[],"",[],[],1,[]
47,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[215],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[215],[],"","","","","",[],"",[],[],1,[]
48,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[135],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[135],[],"","","","","",[],"",[],[],1,[]
49,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3018],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[3018],[],"","","","","",[],"",[],[],1,[]
50,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3019],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[3019],[],"","","","","",[],"",[],[],1,[]
51,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[740],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[740],[],"","","","","",[],"",[],[],1,[]
52,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[104],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[104],[],"","","","","",[],"",[],[],1,[]
53,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[388],1,3,"","","","",29,0,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[388],[],"","","","","",[],"",[],[],1,[]
54,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",29,407,1,"",4,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4758],[],[],"","","","","",[],"",[],[],1,[]
55,"utility_charm_freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Thawing Charm",[],1,3,"","","","",29,405,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4756],[],[],"","","","","",[],"",[],[],1,[]
56,"utility_charm_chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Thawing Charm",[],1,3,"","","","",29,409,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4757],[],[],"","","","","",[],"",[],[],1,[]
57,"utility_charm_shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Grounding Charm",[],1,3,"","","","",29,408,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4759],[],[],"","","","","",[],"",[],[],1,[]
58,"utility_charm_poison_immunity","All Poison has been removed from you, and you cannot be Poisoned.","","","Antidote Charm",[],1,3,"","","","",29,1700,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[3814],[],[],"","","","","",[],"",[],[],1,[]
59,"utility_charm_burning_immunity","All Burning has been removed from you, and Burning cannot be inflicted on you.","","","Dousing Charm",[],1,3,"","","","",29,407,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[16419],[],[],"","","","","",[],"",[],[],1,[]
60,"utility_charm_bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Staunching Charm",[],1,3,"","","","",29,406,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[2588],[],[],"","","","","",[],"",[],[],1,[]
61,"utility_charm_ignite_immunity","All Ignite has been removed from you, and Ignite cannot be inflicted on you.","","","Dousing Charm",[],1,3,"","","","",29,407,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4758],[],[],"","","","","",[],"",[],[],1,[]
62,"utility_charm_stun_immunity","You cannot be Stunned.","","","Stone Charm",[],1,3,"","","","",29,138,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[712],[],[],"","","","","",[],"",[],[],1,[]
63,"utility_charm_slow_immunity","Your speed is unaffected by Slows.","","","Silver Charm",[],1,3,"","","","",29,133,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[19741],[],[],"","","","","",[],"",[],[],1,[]
64,"utility_charm_fire_resistance","You have additional Fire Resistance.","","","Ruby Charm",[138],1,3,"","","","",29,119,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[138],[],"","","","","",[],"",[],[],1,[]
65,"utility_charm_cold_resistance","You have additional Cold Resistance.","","","Sapphire Charm",[140],1,3,"","","","",29,120,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[140],[],"","","","","",[],"",[],[],1,[]
66,"utility_charm_lightning_resistance","You have additional Lightning Resistance.","","","Topaz Charm",[142],1,3,"","","","",29,121,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[142],[],"","","","","",[],"",[],[],1,[]
67,"utility_charm_chaos_resistance","You have additional Chaos Resistance.","","","Amethyst Charm",[144],1,3,"","","","",29,124,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[144],[],"","","","","",[],"",[],[],1,[]
68,"utility_charm_item_rarity","You find items of increased Rarity.","","","Golden Charm",[147],1,3,"","","","",29,135,1,"",17,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[147],[],"","","","","",[],"",[],[],1,[]
69,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",29,409,1,"",18,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4757],[],[],"","","","","",[],"",[],[],1,[]
70,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",29,405,1,"",18,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4756],[],[],"","","","","",[],"",[],[],1,[]
71,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",29,407,1,"",18,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4758],[],[],"","","","","",[],"",[],[],1,[]
72,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",29,408,1,"",18,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[4759],[],[],"","","","","",[],"",[],[],1,[]
73,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",29,406,1,"",18,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[2588],[],[],"","","","","",[],"",[],[],1,[]
74,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",29,410,1,"",18,"",1,"","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[13411],[],[],"","","","","",[],"",[],[],1,[]
75,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",29,53,1,"",4,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[764],[],[],"","","","","",[],"",[],[],1,[]
76,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",29,55,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],"[18957,22143]",[],[],"","","","","",[],"",[],[],1,[]
77,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[1988],"",3,"","","",1,29,0,1,"",18,"","","","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[1988],[],"","","","","",[],"",[],[],1,[]
78,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[442],1,1,"","","",1,29,56,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[442],[],"","","","","",[],"",[],[],1,[]
79,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[171,306,622,5628]",1,2,"","","","",29,57,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[171,306,622,5628]",[],"","","","","",[],"",[],[],1,[]
80,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,29,59,1,"",18,1,1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
81,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,29,60,1,"",18,1,1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
82,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,518,517,1,29,64,1,"",3,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
83,"curse_temporal_chains","Curse [Slow|Slows] you and makes other effects on you expire more slowly.","","","Temporal Chains","[3141,523]","",6,"","","",1,29,65,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],"[3141,523]","[738,11775]","","",1,"","",[],"",[],[3],3,[]
84,"curse_elemental_weakness","Curse inflicts lowered [Resistances|Elemental Resistances].","","","Elemental Weakness",[17093],"",6,"","","",1,29,67,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],[17093],[738],"","",1,"","",[],"",[],[],3,[]
85,"curse_fire_weakness","Curse inflicts lowered [Resistances|Fire Resistance].","","","Flammability",[17091],"",6,"","","",1,29,69,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],[17091],[738],"","",1,"","",[],"",[],[],3,[]
86,"curse_cold_weakness","Curse inflicts lowered [Resistances|Cold Resistance].","","","Hypothermia",[17090],"",6,"","","",1,29,70,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],[17090],[738],"","",1,"","",[],"",[],[],3,[]
87,"curse_lightning_weakness","Curse inflicts lowered [Resistances|Lightning Resistance].","","","Conductivity",[17092],"",6,"","","",1,29,72,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],[17092],[738],"","",1,"","",[],"",[],[],3,[]
88,"curse_warlords_mark","[DNT-UNUSED] You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[11716,11718,533,11910,466]","",6,"","","",1,29,74,"","",14,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],"[11716,11718,533,11910,466]",[738],"","",1,"","",[],"",[],[],3,[]
89,"curse_punishment","","","","",[529],"",6,"","","",1,29,75,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],[529],[738],"","",1,"","",[],"",[],[],3,[]
90,"curse_enfeeble","Curse inflicts less damage dealt.","","","Enfeeble","[637,8655]","",6,"","","",1,29,77,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],"[637,8655]",[738],"","",1,"","",[],"",[],[],3,[]
91,"curse_assassins_mark","","","","Assassin's Mark","[11723,8572,2392,2393,528,11909,466]","",6,"","","",1,29,79,"","",14,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],"[11723,8572,2392,2393,528,11909,466]",[738],"","",1,"","",[],"",[],[],3,[]
92,"curse_snipers_mark","","","","Sniper's Mark","[12257,749,12275,12276,530]","",6,"","","",1,29,80,"","",14,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],"[12257,749,12275,12276,530]",[738],"","",1,"","",[],"",[],[],3,[]
93,"curse_vulnerability","Curse removes some of your [Total] [Armour].","","","Vulnerability",[18416],"",6,"","","",1,29,81,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],[18416],"[738,7413]","","",1,"","",[],"",[],[],3,[]
94,"curse_poachers_mark","","","","Poacher's Mark","[11719,11720,1039,2390,2391,2389,11911,466]","",6,"","","",1,29,83,"","",14,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[],[],"[11719,11720,1039,2390,2391,2389,11911,466]",[738],"","",1,"","",[],"",[],[],3,[]
95,"curse_newpunishment","","","","Punishment","[11725,11726,11727]","",6,"","","",1,29,75,"","",5,"",1,1,"",0,"","CurseDebuff",1,"","","",7,"",1,0,[],"","",[],"",[11886],[],"[11725,11726,11727,11886]",[738],"","",1,"","",[],"",[],[],3,[]
96,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[117,127,110,113,30,31,83,557]",1,2,"","","","",29,88,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[117,127,110,113,30,31,83,557]",[],"","","","","",[],"",[],[],1,[]
97,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[553],1,3,"","","","",29,90,"","",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[553],[],"","","","","",[],"",[],[],1,[]
98,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[554],1,3,"","","","",29,91,"","",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[554],[],"","","","","",[],"",[],[],1,[]
99,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[553],1,3,"","","","",29,90,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[553],[],"","","","","",[],"",[],[],1,[]
100,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[554],1,3,"","","","",29,91,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[554],[],"","","","","",[],"",[],[],1,[]
101,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",29,92,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[26],[],"","","","","",[],"",[],[],1,[]
102,"monster_aura_large_physical_damage","Allies Deal Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",29,93,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[26],[],"","","","","",[],"",[],[],1,[]
