"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","Armour","Difficulty","MinionDamage","AltLife1","AltDamage1","AltDamage2","AltLife2","EvasiveEvasion","AilmentThreshold","StunThreshold","i32"
58,"59",175.34,373,806,4540,15267,5128,1412,2,603.14,747,0,0,52,8887,17,0,7218
59,"60",181.12,384,834,4834,16300,5308,1500,2,636.37,769,0,0,53,8935,17,0,7336
60,"61",187.05,395,863,5147,17402,5493,1594,2,671.26,790,0,0,54,8981,17,0,7453
61,"62",193.14,406,892,5478,18576,5682,1692,2,707.87,812,0,0,55,9026,17,0,7565
62,"63",199.38,417,923,5829,19825,5877,1796,2,746.3,835,0,0,56,9070,17,0,7674
63,"64",205.79,429,955,6203,21161,6077,1906,2,786.63,858,0,0,57,9112,17,0,7781
64,"65",212.36,440,987,6513,21507,6282,2023,2,828.94,881,0,0,58,9153,17,0,7884
65,"66",219.11,452,1020,6904,23667,6492,2146,2,873.34,905,0,0,62,9201,20,7,8003
66,"67",226.03,464,1055,7318,26020,6708,2276,2,919.91,929,0,0,66,9247,40,14,8119
67,"68",233.12,477,1090,7757,28634,6930,2413,3,968.76,954,0,0,70,9291,60,20,8227
68,"69",240.4,489,1126,8222,31491,7157,2558,3,1019.99,979,0,0,74,9333,80,27,8332
69,"70",247.86,502,1164,8716,34639,7391,2712,3,1073.72,1004,0,0,78,9373,100,34,8432
70,"71",255.52,515,1202,9239,38100,7630,2874,3,1130.0601,1030,0,0,82,9411,120,40,8528
71,"72",263.37,528,1242,9793,41931,7876,3044,3,1189.13,1057,0,0,86,9448,140,47,8619
72,"73",271.42,542,1283,10381,46103,8128,3225,3,1251.0601,1084,0,0,90,9483,160,54,8706
73,"74",279.68,556,1324,11003,50688,8387,3416,3,1315.98,1112,0,0,94,9516,180,61,8789
74,"75",288.14,570,1368,11664,55765,8652,3617,3,1384.03,1140,0,0,98,9547,200,67,8867
75,"76",296.82,584,1412,12363,61373,8924,3829,3,1455.34,1168,0,0,102,9577,220,74,8942
76,"77",305.72,598,1457,13105,67522,9203,4053,3,1530.08,1197,0,0,106,9605,240,81,9013
77,"78",314.84,613,1504,13892,74226,9489,4290,3,1608.4,1227,0,0,110,9632,260,87,9080
78,"79",324.19,628,1552,14725,81664,9783,4540,3,1690.46,1257,0,0,114,9657,280,94,9144
79,"80",333.78,644,1602,15609,100000,10084,4803,3,1776.4301,1288,0,0,118,9681,300,100,9204
80,"81",343.6,659,1653,16545,100000,10393,5081,3,1866.5,1319,0,0,118,9705,300,100,9262
81,"82",353.67,675,1705,17538,100000,10710,5375,3,1960.84,1351,0,0,118,9726,300,100,9316
82,"83",364,691,1759,18590,100000,11034,5684,3,2059.6599,1383,0,0,118,9747,300,100,9367
83,"84",374.58,708,1814,19705,100000,11367,6011,3,2163.1599,1416,0,0,118,9766,300,100,9415
84,"85",385.42,724,1871,20888,100000,11708,6355,3,2271.5601,1449,0,0,118,9784,300,100,9460
85,"86",396.53,742,1930,22141,100000,12058,6718,3,2385.0601,1484,0,0,118,9801,300,100,9502
86,"87",407.92,759,1990,23469,100000,12417,7101,3,2503.9099,1518,0,0,118,9817,300,100,9542
87,"88",419.58,777,2052,24878,100000,12785,7505,3,2628.3601,1554,0,0,118,9831,300,100,9579
88,"89",431.54,795,2115,26370,100000,13161,7930,3,2758.6399,1590,0,0,118,9845,300,100,9613
89,"90",443.79,813,2180,27953,100000,13548,8379,3,2895.03,1626,0,0,118,9858,300,100,9645
90,"91",456.34,832,2247,29630,100000,13944,8852,3,3037.8,1664,0,0,118,9870,300,100,9675
91,"92",469.2,850,2316,31407,100000,14350,9351,3,3187.24,1701,0,0,118,9881,300,100,9703
92,"93",482.38,870,2387,33292,100000,14766,9877,3,3343.6599,1740,0,0,118,9891,300,100,9729
93,"94",495.87,889,2460,35289,100000,15192,10431,3,3507.3501,1779,0,0,118,9901,300,100,9752
94,"95",509.7,909,2535,37407,100000,15629,11015,3,3678.6599,1819,0,0,118,9910,300,100,9775
95,"96",523.86,930,2612,39651,100000,16076,11630,3,3857.9299,1860,0,0,118,9918,300,100,9795
96,"97",538.37,951,2690,42030,100000,16535,12279,3,4045.51,1902,0,0,118,9925,300,100,9814
97,"98",553.23,972,2772,44552,100000,17005,12962,3,4241.77,1944,0,0,118,9932,300,100,9831
98,"99",568.46,993,2855,47225,100000,17486,13682,3,4447.1099,1987,0,0,118,9939,300,100,9847
99,"100",584.05,1015,2941,50059,0,17980,14441,3,4661.9302,2030,0,0,118,9945,300,100,9861
