"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type (English)","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DaemonSpawningDataKey","bool"
10,"ChaosPurple1",4959,50,46,67,1646,"[8,25]",[1],[],[],"[0,0,0,0]",4974,1204,5,[7472],"Dreaded","Effrayant","Gefürchtet","恐怖の","가공할","Temido","<if:MS>{Жуткий}<elif:MP>{Жуткие}<else>{Жуткий}","Temible","Dreaded","恐懼","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent appliquer Flétrissure \nInvoque des Anomalies qui envoient des Projectiles de chaos","Monster verursachen zusätzlichen Chaosschaden und können verkümmern\nAnomalien feuern Chaosprojektile","モンスターは追加の混沌ダメージを与え、衰弱を付与できる \nアノマリーが混沌の投射物を放つ","몬스터가 추가 카오스 피해를 주고 위축 유발 \n이형이 카오스 투사체 발사","Monstros causam Dano de Caos extra e podem Definhar \nAnomalias disparam projéteis de Caos","Монстры наносят дополнительный урон хаосом и могут Истощить \nАномалии испускают снаряды хаоса","Los monstruos infligen daño de caos extra y pueden marchitar \nLas anomalías disparan proyectiles de caos","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ เหี่ยวเฉา ได้\nสิ่งประหลาด ยิงกระสุนเคออส","怪物造成額外混沌傷害並且可以造成凋零\n異類發射混沌投射物",4,""
11,"ChaosPurple2",4959,50,68,77,1646,"[10,35]",[1],[],[],"[0,0,0,0]",4974,1204,6,[7472],"Dreaded","Effrayant","Gefürchtet","恐怖の","가공할","Temido","<if:MS>{Жуткий}<elif:MP>{Жуткие}<else>{Жуткий}","Temible","Dreaded","恐懼","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent appliquer Flétrissure \nInvoque des Anomalies qui envoient des Projectiles de chaos","Monster verursachen zusätzlichen Chaosschaden und können verkümmern\nAnomalien feuern Chaosprojektile","モンスターは追加の混沌ダメージを与え、衰弱を付与できる \nアノマリーが混沌の投射物を放つ","몬스터가 추가 카오스 피해를 주고 위축 유발 \n이형이 카오스 투사체 발사","Monstros causam Dano de Caos extra e podem Definhar \nAnomalias disparam projéteis de Caos","Монстры наносят дополнительный урон хаосом и могут Истощить \nАномалии испускают снаряды хаоса","Los monstruos infligen daño de caos extra y pueden marchitar \nLas anomalías disparan proyectiles de caos","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ เหี่ยวเฉา ได้\nสิ่งประหลาด ยิงกระสุนเคออส","怪物造成額外混沌傷害並且可以造成凋零\n異類發射混沌投射物",4,""
12,"ChaosPurple3",4959,50,78,100,1646,"[12,45]",[1],[],[],"[0,0,0,0]",4974,1204,6,[7472],"Dreaded","Effrayant","Gefürchtet","恐怖の","가공할","Temido","<if:MS>{Жуткий}<elif:MP>{Жуткие}<else>{Жуткий}","Temible","Dreaded","恐懼","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent appliquer Flétrissure \nInvoque des Anomalies qui envoient des Projectiles de chaos","Monster verursachen zusätzlichen Chaosschaden und können verkümmern\nAnomalien feuern Chaosprojektile","モンスターは追加の混沌ダメージを与え、衰弱を付与できる \nアノマリーが混沌の投射物を放つ","몬스터가 추가 카오스 피해를 주고 위축 유발 \n이형이 카오스 투사체 발사","Monstros causam Dano de Caos extra e podem Definhar \nAnomalias disparam projéteis de Caos","Монстры наносят дополнительный урон хаосом и могут Истощить \nАномалии испускают снаряды хаоса","Los monstruos infligen daño de caos extra y pueden marchitar \nLas anomalías disparan proyectiles de caos","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ เหี่ยวเฉา ได้\nสิ่งประหลาด ยิงกระสุนเคออส","怪物造成額外混沌傷害並且可以造成凋零\n異類發射混沌投射物",4,""
13,"Lightning1",5032,100,0,24,1683,"[25,20]",[1],[],[],"[0,0,0,0]",5046,1211,4,[7470],"Fluctuant","Fluctuant","Leitfähig","波動の","변동하는","Flutuante","<if:MS>{Кипучий}<elif:MP>{Кипучие}<else>{Кипучий}","Fluctuante","Fluctuant","波動","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",6,""
14,"Lightning2",5032,100,25,45,1683,"[30,25]",[1],[],[],"[0,0,0,0]",5046,1211,5,[7470],"Fluctuant","Fluctuant","Leitfähig","波動の","변동하는","Flutuante","<if:MS>{Кипучий}<elif:MP>{Кипучие}<else>{Кипучий}","Fluctuante","Fluctuant","波動","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",6,""
15,"Lightning3",5032,100,46,67,1683,"[35,30]",[1],[],[],"[0,0,0,0]",5046,1211,5,[7470],"Fluctuant","Fluctuant","Leitfähig","波動の","변동하는","Flutuante","<if:MS>{Кипучий}<elif:MP>{Кипучие}<else>{Кипучий}","Fluctuante","Fluctuant","波動","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",6,""
16,"Lightning4",5032,100,68,77,1683,"[40,35]",[1],[],[],"[0,0,0,0]",5046,1211,6,[7470],"Fluctuant","Fluctuant","Leitfähig","波動の","변동하는","Flutuante","<if:MS>{Кипучий}<elif:MP>{Кипучие}<else>{Кипучий}","Fluctuante","Fluctuant","波動","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",6,""
17,"Lightning5",5032,100,78,100,1683,"[50,40]",[1],[],[],"[0,0,0,0]",5046,1211,6,[7470],"Fluctuant","Fluctuant","Leitfähig","波動の","변동하는","Flutuante","<if:MS>{Кипучий}<elif:MP>{Кипучие}<else>{Кипучий}","Fluctuante","Fluctuant","波動","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",6,""
18,"PhysicalBlood1",5034,100,0,24,1684,"[25,20]",[2],[],[],"[0,0,0,0]",5048,1214,4,[7471],"Violent","Violent","Brutal","暴力の","난폭한","Violento","<if:MS>{Жестокий}<elif:MP>{Жестокие}<else>{Жестокий}","Violento","Violent","暴力","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",14,""
19,"PhysicalBlood2",5034,100,25,45,1684,"[30,25]",[2],[],[],"[0,0,0,0]",5048,1214,5,[7471],"Violent","Violent","Brutal","暴力の","난폭한","Violento","<if:MS>{Жестокий}<elif:MP>{Жестокие}<else>{Жестокий}","Violento","Violent","暴力","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",14,""
20,"PhysicalBlood3",5034,100,46,67,1684,"[35,30]",[2],[],[],"[0,0,0,0]",5048,1214,5,[7471],"Violent","Violent","Brutal","暴力の","난폭한","Violento","<if:MS>{Жестокий}<elif:MP>{Жестокие}<else>{Жестокий}","Violento","Violent","暴力","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",14,""
