"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Server","IsEnabled","Server2","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","[row]","row","i32","IsGammaRealm","SpeedtestUrl"
18,"Paris","Paris (EU)","Paris (UE)","Paris (EU)","パリ (EU)","파리 (EU)","Paris (UE)","Париж","París (EU)","ปารีส (EU)","歐洲－巴黎","[""par01.login.pathofexile.com""]",1,[],"PAR","PAR","PAR","PAR","PAR","PAR","PAR","PAR","PAR","巴黎","[10,1,9]",1,18,"","[""par.speedtest.pathofexile.com""]"
19,"Miami","Miami (US)","Miami (USA)","Miami (US)","マイアミ (US)","마이애미 (미국)","Miami (EUA)","Майами","Miami (EE.UU.)","ไมอามี่ (US)","美國 - 邁阿密","[""mia.login.pathofexile.com""]","",[],"","","","","","","","","","",[0],0,19,"","[""mia.speedtest.pathofexile.com""]"
20,"Russia","Moscow (RU)","Moscou (RU)","Moskau (RU)","モスクワ (RU)","모스크바 (러시아)","Moscou (RU)","Москва","Moscú (RU)","มอสโคว์ (RU)","俄羅斯 - 莫斯哥","[""mos01.login.pathofexile.com""]",1,[],"RU","RU","RU","RU","RU","RU","RU","RU","RU","俄","[10,1,9]",1,20,"","[""mo.speedtest.pathofexile.com""]"
21,"Aotearoa","Auckland (NZ)","Auckland (NZ)","Auckland (NZ)","オークランド (NZ)","오클랜드 (뉴질랜드)","Auckland (NZ)","Окленд","Auckland (NZ)","ออกแลนด์ (NZ)","紐西蘭 - 奧克蘭","[""akl01.login.pathofexile.com""]","",[],"NZ","NZ","NZ","NZ","NZ","NZ","NZ","NZ","NZ","紐西蘭",[3],0,21,"","[""nz.speedtest.pathofexile.com""]"
22,"SingaporeGamma","Singapore","Singapour","Singapur","シンガポール","싱가포르","Singapura","Сингапур","Singapur","สิงคโปร์","新加坡","[""sg.gamma.pathofexile.com""]",1,[],"SGG","SGG","SGG","SGG","SGG","SGG","SGG","SGG","SGG","新加坡",[23],0,100,1,[]
23,"SanJoseGamma","California","Californie","Kalifornien","カリフォルニア","캘리포니아","Califórnia","Калифорния","California","แคลิฟอร์เนีย","美國-加州","[""sjc.gamma.pathofexile.com""]",1,[],"SJCG","SJCG","SJC","SJCG","SJCG","SJCG","SJCG","SJCG","SJCG","加州",[22],0,101,1,[]
24,"LondonGamma","London","Londres","London","ロンドン","런던","Londres","Лондон","Londres","ลอนดอน","歐洲-倫敦","[""lon.gamma.pathofexile.com""]",1,[],"LONG","LONG","LONG","LONG","LONG","LONG","LONG","LONG","LONG","倫敦",[23],0,102,1,[]
25,"AustraliaGamma","Australia","Australie","Australien","オーストラリア","오스트레일리아","Austrália","Австралия","Australia","ออสเตรเลีย","澳洲","[""au.gamma.pathofexile.com""]",1,[],"AUG","AUG","AUG","AUG","AUG","AUG","AUG","AUG","AUG","澳",[23],0,103,1,[]
26,"Japan","Japan","Japon","Japan","日本","일본","Japão","Япония","Japón","ญี่ปุ่น","日本","[""tok01.login.pathofexile.com""]",1,[],"JPN","JPN","JPN","JPN","JPN","JP","JPN","JPN","JPN","日","[2,3,12,0]",0,22,"","[""jp.speedtest.pathofexile.com""]"
27,"Korea","Seoul (KR)","Séoul (KR)","Seoul (KR)","ソウル (KR)","서울 (한국)","Seoul (KR)","Сеул","Seúl (KR)","กรุงโซล (KR)","南韓","[""seo01.login.pathofexile.com""]",1,[],"KR","KR","KR","KR","KR","KR","KR","KR","KR","南韓","[26,0]",27,23,"","[""kr.speedtest.pathofexile.com""]"
28,"Canada","Canada (East)","Canada (Est)","Kanada (Ost)","カナダ (東)","캐나다 (동부)","Canadá (Leste)","Восточная Канада","Canadá (este)","แคนาดา (East)","加拿大（東部）","[""tor01.login.pathofexile.com""]",1,[],"TOR","TOR","TOR","TOR","TOR","TOR","TOR","TOR","TOR","多倫多","[11,0,12]",0,24,"","[""tor.speedtest.pathofexile.com""]"
29,"SouthAfrica","South Africa","Afrique du Sud","Südafrika","南アフリカ","남아프리카 공화국","África do Sul","Южная Африка","Sudáfrica","แอฟริกาใต้","南非","[""zaf01.login.pathofexile.com""]",1,[],"ZA","ZA","ZA","ZA","ZA","ZA","ZA","ZA","ZA","南非","[10,9]",1,25,"","[""zaf-m.speedtest.pathofexile.com""]"
