"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Tier","Command","Parameters","[rid]","HASH16","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","IsEnchant","LifeforceType","LifeforceCost","SacredCost","bool","Achievements","i32"
20,"RerollScarabs","<white>{Change} a stack of <white>{Scarabs} to a different type of the same rarity. Cost is proportional to stack size.","<white>{Convertit} un ensemble de <white>{Scarabées} en un autre type de Scarabées de même rareté. Le coût est proportionnel à la taille de l'ensemble","<white>{Verwandelt} einen Stapel <white>{Skarabäen} in einen anderen desselben Seltenheitsgrads. Die Kosten sind proportional zur Stapelgröße.","<white>{スカラベ}のスタックを同じレアリティの別のスカラベに<white>{変換}する。コストはスタックサイズに比例する","중첩된 <white>{갑충석}을 희귀도가 같은 다른 유형의 갑충석으로 <white>{변경}. 비용은 중첩 개수에 비례함","<white>{Muda} uma pilha de <white>{Escaravelhos} para um tipo diferente da mesma raridade. O custo é proporcional ao tamanho da pilha.","<white>{Обменять} стопку <white>{скарабеев} на другую стопку скарабеев той же редкости. Стоимость зависит от размера стопки.","<white>{Transforma} una pila de <white>{escarabajos} en escarabajos de un tipo diferente de la misma rareza. El costo es proporcional al tamaño de la pila.","<white>{เปลี่ยน} <white>{สคารับ} 1 กอง ให้​เป็น สคารับ ชนิด​อื่น​ใน​ระดับ​เดียวกัน ค่าคราฟท์​​ขึ้น​อยู่​กับ​ขนาด​กอง","<white>{改變} 1 個 <white>{聖甲蟲} 至其他同稀有度不同的聖甲蟲。成本和堆疊大小成比例。",0,"change_scarab_into_other_of_same_tier","",[],42412,"Change a stack of Scarabs to a different type of the same rarity. Cost is proportional to stack size.","Convertit un ensemble de Scarabées en un autre type de Scarabées de même rareté. Le coût est proportionnel à la taille de l'ensemble","Verwandelt einen Stapel Skarabäen in einen anderen desselben Seltenheitsgrads. Die Kosten sind proportional zur Stapelgröße.","スカラベのスタックを同じレアリティの別のスカラベに変換する","중첩된 갑충석을 희귀도가 같은 다른 유형의 갑충석으로 변경. 비용은 중첩 개수에 비례함","Muda uma pilha de Escaravelhos para um tipo diferente da mesma raridade. O custo é proporcional ao tamanho da pilha.","Обменять стопку скарабеев на стопку других скарабеев той же редкости. Стоимость зависит от размера стопки.","Transforma una pila de escarabajos en escarabajos de un tipo diferente de la misma rareza. El costo es proporcional al tamaño de la pila.","เปลี่ยน สคารับ 1 กอง ให้เป็น สคารับ ชนิดอื่นในระดับเดียวกัน ค่าคราฟท์ขึ้นอยู่กับขนาดกอง","改變 1 個 聖甲蟲至其他同稀有度的聖甲蟲。成本和堆疊大小成比例。","",1,30,0,1,[9370],0
21,"RerollDeliriumOrbs","<white>{Change} a stack of <white>{Delirium Orbs} into a different type of Delirium Orb. Cost is proportional to stack size.","<white>{Convertit} un ensemble d'<white>{Orbes de Délire} en un autre type d'Orbes de Délire. Le coût est proportionnel à la taille de l'ensemble","<white>{Verwandelt} einen Stapel <white>{Delirium-Sphären} in einen anderen zufälligen Stapel Delirium-Sphären. Die Kosten sind proportional zur Stapelgröße.","<white>{デリリウムオーブ}のスタックを、別のタイプのデリリウムオーブに<white>{変換}する。コストはスタックサイズに比例する","중첩된 <white>{환영의 오브}를 다른 유형의 환영의 오브로 <white>{변경}. 비용은 중첩 개수에 비례함","<white>{Muda} uma pilha de <white>{Orbes do Delírio} para um tipo diferente de Orbe do Delírio. O custo é proporcional ao tamanho da pilha.","<white>{Обменять} стопку <white>{сфер Делириума} на стопку сфер Делириума другого типа. Стоимость зависит от размера стопки.","<white>{Transforma} una pila de <white>{Orbes de delirio} en un tipo diferente de Orbes de delirio. El costo es proporcional al tamaño de la pila.","<white>{เปลี่ยน} <white>{ลูกแก้วเดลิเรียม} 1 ​กอง​ให้​เป็น ลูกแก้วเดลิเรียม ชนิด​อื่น ค่าคราฟท์​​ขึ้น​อยู่​กับ​ขนาด​กอง","<white>{改變} 1 疊<white>{譫妄玉} 至不同類型的譫妄玉。成本和堆疊大小成比例。",0,"exchange_item_in_set_for_other_item_in_set","afflictionorbs",[],32501,"Change a stack of Delirium Orbs into a different type of Delirium Orb. Cost is proportional to stack size.","Convertit un ensemble d'Orbes de Délire en un autre type d'Orbes de Délire. Le coût est proportionnel à la taille de l'ensemble","Verwandelt einen Stapel Delirium-Sphären in einen anderen zufälligen Stapel Delirium-Sphären. Die Kosten sind proportional zur Stapelgröße.","デリリウムオーブのスタックを、別のタイプのデリリウムオーブに変換する","중첩된 환영의 오브를 다른 유형의 환영의 오브로 변경. 비용은 중첩 개수에 비례함","Muda uma pilha de Orbes do Delírio para um tipo diferente de Orbe do Delírio. O custo é proporcional ao tamanho da pilha.","Обменять стопку сфер Делириума на стопку сфер Делириума другого типа. Стоимость зависит от размера стопки.","Transforma una pila de Orbes de delirio en un tipo diferente de Orbes de delirio. El costo es proporcional al tamaño de la pila.","เปลี่ยน ลูกแก้วเดลิเรียม 1 กองให้เป็น ลูกแก้วเดลิเรียม ชนิดอื่น ค่าคราฟท์ขึ้นอยู่กับขนาดกอง","改變 1 疊譫妄玉至不同類型的譫妄玉。成本和堆疊大小成比例。","",3,30,0,1,[9370],1
22,"RerollDivinationCards","<white>{Change} a <white>{Divination Card} into another random Divination Card","<white>{Convertit} une <white>{Carte divinatoire} en une autre tirée au hasard","<white>{Verwandelt} eine <white>{Weissagungskarte} in eine zufällige andere Weissagungskarte","<white>{占いカード}1枚を、別のランダムな占いカードに<white>{変換}する","<white>{점술 카드 1장}을 다른 무작위 점술 카드로 <white>{변경}","<white>{Muda} uma <white>{Carta de Adivinhação} para outra Carta de Adivinhação aleatória.","<white>{Обменять гадальную карту} на другую случайную гадальную карту","<white>{Transforma} una <white>{carta de adivinación} en otra carta de adivinación aleatoria","<white>{เปลี่ยน} <white>{ไพ่​พยากรณ์} ให้​เป็น ไพ่พยากรณ์ ใบอื่น​แบบ​สุ่ม","<white>{改變} 1 張 <white>{命運卡} 至其他隨機的命運卡",0,"reroll_into_new_div_card","",[],33858,"Change a Divination Card into another random Divination Card","Convertit une Carte divinatoire en une autre tirée au hasard","Verwandelt eine Weissagungskarte in eine zufällige andere Weissagungskarte","占いカード1枚を、別のランダムな占いカードに変換する","점술 카드 1장을 다른 무작위 점술 카드로 변경","Muda uma Carta de Adivinhação para outra Carta de Adivinhação aleatória.","Обменять гадальную карту на другую случайную гадальную карту","Transforma una carta de adivinación en otra carta de adivinación aleatoria","เปลี่ยน ไพ่พยากรณ์ ให้เป็น ไพ่พยากรณ์ ใบอื่นแบบสุ่ม","改變 1 張命運卡至其他隨機的命運卡","",2,75,0,"",[9370],1
23,"ChangeColdToFireResist","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance","<white>{Transforme} un modificateur de <craftingcold>{Résistance au froid} en un modificateur de palier similaire qui donne de la <craftingfire>{Résistance au feu}","<white>{Verändert} einen <craftingcold>{Kälte}widerstand-Modifikator in einen ähnlich hohen Modifikator, der <craftingfire>{Feuer}widerstand gewährt","<craftingcold>{冷気}耐性を得るモッド1個を、類似のティアの<craftingfire>{火}耐性を得るモッド1個に<white>{変化}させる","<craftingcold>{냉기} 저항을 부여하는 속성 1개를 <craftingfire>{화염} 저항을 부여하는 비슷한 등급의 속성으로 <white>{변경}","<white>{Muda} um modificador que concede Resistência a <craftingcold>{Gelo} para um modificador de tier similar que concede Resistência a <craftingfire>{Fogo}","<white>{Заменить} свойство, дарующее сопротивление <craftingcold>{холоду}, на свойство того же уровня, дарующее сопротивление <craftingfire>{огню}","<white>{Transforma} un mod. que otorga resistencia al <craftingcold>{hielo} en un mod. de grado similar que otorga resistencia al <craftingfire>{fuego}","<white>{เปลี่ยนม็อด} ค่าต้านทาน​ <craftingcold>{น้ำแข็ง} 1 อย่าง ​ให้​กลาย​เป็น​ม็อด ค่าต้านทาน <craftingfire>{ไฟ} ที่​มี​ระดับ​ทัดเทียม​กัน","<white>{改變} 1 個給予 <craftingcold>{冰冷} 抗性的詞綴至給予相似階級的<craftingfire>{火焰} 抗性詞綴",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes CONVERT cold fire",[],37601,"Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Fire Resistance","Transforme un modificateur de Résistance au froid en un moificateur de palier similaire qui donne de la Résistance au feu","Verändert einen Kältewiderstand-Modifikator in einen ähnlich hohen Modifikator, der Feuerwiderstand gewährt","冷気耐性を得るモッド1個を、類似のティアの火耐性を得るモッド1個に変化させる","냉기 저항을 부여하는 속성 1개를 화염 저항을 부여하는 비슷한 등급의 속성으로 변경","Muda um modificador que concede Resistência a Gelo para um modificador de tier similar que concede Resistência a Fogo","Заменить свойство, дарующее сопротивление холоду, на свойство того же уровня, дарующее сопротивление огню","Transforma un mod. que otorga resistencia al hielo en un mod. de grado similar que otorga resistencia al fuego","เปลี่ยนม็อด ค่าต้านทาน น้ำแข็ง 1 อย่าง ให้กลายเป็นม็อด ค่าต้านทาน ไฟ ที่มีระดับทัดเทียมกัน","改變 1 個給予冰冷抗性的詞綴至給予相似階級的火焰抗性詞綴","",1,500,0,"",[9370],1
24,"ChangeLightningToFireResist","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance","<white>{Transforme} un modificateur de <craftinglightning>{Résistance à la foudre} en un modificateur de palier similaire qui donne de la <craftingfire>{Résistance au feu}","<white>{Verändert} einen <craftinglightning>{Blitz}widerstand-Modifikator in einen ähnlich hohen Modifikator, der <craftingfire>{Feuer}widerstand gewährt","<craftinglightning>{雷}耐性を得るモッド1個を、類似のティアの<craftingfire>{火}耐性を得るモッド1個に<white>{変化}させる","<craftinglightning>{번개} 저항을 부여하는 속성 1개를 <craftingfire>{화염} 저항을 부여하는 비슷한 등급의 속성으로 <white>{변경}","<white>{Muda} um modificador que concede Resistência a <craftinglightning>{Raio} para um modificador de tier similar que concede Resistência a <craftingfire>{Fogo}","<white>{Заменить} свойство, дарующее сопротивление <craftinglightning>{молнии}, на свойство того же уровня, дарующее сопротивление <craftingfire>{огню}","<white>{Transforma} un mod. que otorga resistencia al <craftinglightning>{rayo} en un mod. de grado similar que otorga resistencia al <craftingfire>{fuego}","<white>{เปลี่ยนม็อด} ค่าต้านทาน <craftinglightning>{สายฟ้า} 1 อย่าง ​ให้​กลาย​เป็น​ม็อด ค่าต้านทาน <craftingfire>{ไฟ} ที่​มี​ระดับ​ทัดเทียม​กัน","<white>{改變} 1 個給予<craftinglightning>{閃電} 抗性的詞綴至給予相似階級的 <craftingfire>{火焰} 抗性詞綴",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes CONVERT lightning fire",[],54654,"Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Fire Resistance","Transforme un modificateur de Résistance à la foudre en un modificateur de palier similaire qui donne de la Résistance au feu","Verändert einen Blitzwiderstand-Modifikator in einen ähnlich hohen Modifikator, der Feuerwiderstand gewährt","雷耐性を得るモッド1個を、類似のティアの火耐性を得るモッド1個に変化させる","번개 저항을 부여하는 속성 1개를 화염 저항을 부여하는 비슷한 등급의 속성으로 변경","Muda um modificador que concede Resistência a Raio para um modificador de tier similar que concede Resistência a Fogo","Заменить свойство, дарующее сопротивление молнии, на свойство того же уровня, дарующее сопротивление огню","Transforma un mod. que otorga resistencia al rayo en un mod. de grado similar que otorga resistencia al fuego","เปลี่ยนม็อด ค่าต้านทาน สายฟ้า 1 อย่าง ให้กลายเป็นม็อด ค่าต้านทาน ไฟ ที่มีระดับทัดเทียมกัน","改變 1 個給予閃電抗性的詞綴至給予相似階級的火焰抗性詞綴","",1,500,0,"",[9370],1
25,"ChangeFireToColdResist","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance","<white>{Transforme} un modificateur de <craftingfire>{Résistance au feu} en un modificateur de palier similaire qui donne de la <craftingcold>{Résistance au froid}","<white>{Verändert} einen <craftingfire>{Feuer}widerstand-Modifikator in einen ähnlich hohen Modifikator, der <craftingcold>{Kälte}widerstand gewährt","<craftingfire>{火}耐性を得るモッド1個を、類似のティアの<craftingcold>{冷気}耐性を得るモッド1個に<white>{変化}させる","<craftingfire>{화염} 저항을 부여하는 속성 1개를 <craftingcold>{냉기} 저항을 부여하는 비슷한 등급의 속성으로 <white>{변경}","<white>{Muda} um modificador que concede Resistência a <craftingfire>{Fogo}  para um modificador de tier similar que concede Resistência a <craftingcold>{Gelo}","<white>{Заменить} свойство, дарующее сопротивление <craftingfire>{огню}, на свойство того же уровня, дарующее сопротивление <craftingcold>{холоду}","<white>{Transforma} un mod. que otorga resistencia al <craftingfire>{fuego} en un mod. de grado similar que otorga resistencia al <craftingcold>{hielo}","<white>{เปลี่ยนม็อด} ค่าต้านทาน <craftingfire>{ไฟ} 1 อย่าง ให้​กลาย​เป็น​ม็อด ค่าต้านทาน <craftingcold>{น้ำแข็ง} ที่​มี​ระดับ​ทัดเทียม​กัน","<white>{改變} 1 個給予<craftingfire>{火焰} 抗性的詞綴至給予相似階級的 <craftingcold>{冰冷} 抗性詞綴",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes CONVERT fire cold",[],15550,"Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Cold Resistance","Transforme un modificateur de Résistance au feu en un modificateur de palier similaire qui donne de la Résistance au froid","Verändert einen Feuerwiderstand-Modifikator in einen ähnlich hohen Modifikator, der Kältewiderstand gewährt","火耐性を得るモッド1個を、類似のティアの冷気耐性を得るモッド1個に変化させる","화염 저항을 부여하는 속성 1개를 냉기 저항을 부여하는 비슷한 등급의 속성으로 변경","Muda um modificador que concede Resistência a Fogo  para um modificador de tier similar que concede Resistência a Gelo","Заменить свойство, дарующее сопротивление огню, на свойство того же уровня, дарующее сопротивление холоду","Transforma un mod. que otorga resistencia al fuego en un mod. de grado similar que otorga resistencia al hielo","เปลี่ยนม็อด ค่าต้านทาน ไฟ 1 อย่าง ให้กลายเป็นม็อด ค่าต้านทาน น้ำแข็ง ที่มีระดับทัดเทียมกัน","改變 1 個給予火焰抗性的詞綴至給予相似階級的冰冷抗性詞綴","",2,500,0,"",[9370],1
26,"ChangeLightningToColdResist","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance","<white>{Transforme} un modificateur de <craftinglightning>{Résistance à la foudre} en un modificateur de palier similaire qui donne de la <craftingcold>{Résistance au froid}","<white>{Verändert} einen <craftinglightning>{Blitz}widerstand-Modifikator in einen ähnlich hohen Modifikator, der <craftingcold>{Kälte}widerstand gewährt","<craftinglightning>{雷}耐性を得るモッド1個を、類似のティアの<craftingcold>{冷気}耐性を得るモッド1個に<white>{変化}させる","<craftinglightning>{번개} 저항을 부여하는 속성 1개를 <craftingcold>{냉기} 저항을 부여하는 비슷한 등급의 속성으로 <white>{변경}","<white>{Muda} um modificador que concede Resistência a <craftinglightning>{Raio} para um modificador de tier similar que concede Resistência a <craftingcold>{Gelo}","<white>{Заменить} свойство, дарующее сопротивление <craftinglightning>{молнии}, на свойство того же уровня, дарующее сопротивление <craftingcold>{холоду}","<white>{Transforma} un mod. que otorga resistencia al <craftinglightning>{rayo} en un mod. de grado similar que otorga resistencia al <craftingcold>{hielo}","<white>{เปลี่ยนม็อด} ค่าต้านทาน <craftinglightning>{สายฟ้า} 1 อย่าง ให้​กลาย​เป็น​ม็อด ค่าต้านทาน <craftingcold>{น้ำแข็ง} ที่​มี​ระดับ​ทัดเทียม​กัน","<white>{改變} 1 個給予 <craftinglightning>{閃電} 抗性的詞綴至給予相似階級的 <craftingcold>{冰冷} 抗性詞綴",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes CONVERT lightning cold",[],27983,"Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Cold Resistance","Transforme un modificateur de Résistance à la foudre en un modificateur de palier similaire qui donne de la Résistance au froid","Verändert einen Blitzwiderstand-Modifikator in einen ähnlich hohen Modifikator, der Kältewiderstand gewährt","雷耐性を得るモッド1個を、類似のティアの冷気耐性を得るモッド1個に変化させる","번개 저항을 부여하는 속성 1개를 냉기 저항을 부여하는 비슷한 등급의 속성으로 변경","Muda um modificador que concede Resistência a Raio para um modificador de tier similar que concede Resistência a Gelo","Заменить свойство, дарующее сопротивление молнии, на свойство того же уровня, дарующее сопротивление холоду","Transforma un mod. que otorga resistencia al rayo en un mod. de grado similar que otorga resistencia al hielo","เปลี่ยนม็อด ค่าต้านทาน สายฟ้า 1 อย่าง ให้กลายเป็นม็อด ค่าต้านทาน น้ำแข็ง ที่มีระดับทัดเทียมกัน","改變 1 個給予閃電抗性的詞綴至給予相似階級的冰冷抗性詞綴","",2,500,0,"",[9370],1
27,"ChangeFireToLightningResist","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance","<white>{Transforme} un modificateur de <craftingfire>{Résistance au feu} en un modificateur de palier similaire qui donne de la <craftinglightning>{Résistance à la foudre}","<white>{Verändert} einen <craftingfire>{Feuer}widerstand-Modifikator in einen ähnlich hohen Modifikator, der <craftinglightning>{Blitz}widerstand gewährt","<craftingfire>{火}耐性を得るモッド1個を、類似のティアの<craftinglightning>{雷}耐性を得るモッド1個に<white>{変化}させる","<craftingfire>{화염} 저항을 부여하는 속성 1개를 <craftinglightning>{번개} 저항을 부여하는 비슷한 등급의 속성으로 <white>{변경}","<white>{Muda} um modificador que concede Resistência a <craftingfire>{Fogo} para um modificador de tier similar que concede Resistência a <craftinglightning>{Raio}","<white>{Заменить} свойство, дарующее сопротивление <craftingfire>{огню}, на свойство того же уровня, дарующее сопротивление <craftinglightning>{молнии}","<white>{Transforma} un mod. que otorga resistencia al <craftingfire>{fuego} en un mod. de grado similar que otorga resistencia al <craftinglightning>{rayo}","<white>{เปลี่ยนม็อด} ค่าต้านทาน <craftingfire>{ไฟ} 1 อย่าง ​ให้​กลาย​เป็น​ม็อด ค่าต้านทาน <craftinglightning>{สายฟ้า} ที่​มี​ระดับ​ทัดเทียม​กัน","<white>{改變} 1 個給予 <craftingfire>{火焰} 抗性的詞綴至給予相似階級的<craftinglightning>{閃電} 抗性詞綴",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes CONVERT fire lightning",[],5400,"Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Lightning Resistance","Transforme un modificateur de Résistance au feu en un modificateur de palier similaire qui donne de la Résistance à la foudre","Verändert einen Feuerwiderstand-Modifikator in einen ähnlich hohen Modifikator, der Blitzwiderstand gewährt","火耐性を得るモッド1個を、類似のティアの雷耐性を得るモッド1個に変化させる","화염 저항을 부여하는 속성 1개를 번개 저항을 부여하는 비슷한 등급의 속성으로 변경","Muda um modificador que concede Resistência a Fogo para um modificador de tier similar que concede Resistência a Raio","Заменить свойство, дарующее сопротивление огню, на свойство того же уровня, дарующее сопротивление молнии","Transforma un mod. que otorga resistencia al fuego en un mod. de grado similar que otorga resistencia al rayo","เปลี่ยนม็อด ค่าต้านทาน ไฟ 1 อย่าง ให้กลายเป็นม็อด ค่าต้านทาน สายฟ้า ที่มีระดับทัดเทียมกัน","改變 1 個給予火焰抗性的詞綴至給予相似階級的閃電抗性詞綴","",3,500,0,"",[9370],1
28,"ChangeColdToLightningResist","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance","<white>{Transforme} un modificateur de <craftingcold>{Résistance au froid} en un modificateur de palier similaire qui donne de la <craftinglightning>{Résistance à la foudre}","<white>{Verändert} einen <craftingcold>{Kälte}widerstand-Modifikator in einen ähnlich hohen Modifikator, der <craftinglightning>{Blitz}widerstand gewährt","<craftingcold>{冷気}耐性を得るモッド1個を、類似のティアの<craftinglightning>{雷}耐性を得るモッド1個に<white>{変化}させる","<craftingcold>{냉기} 저항을 부여하는 속성 1개를 <craftinglightning>{번개} 저항을 부여하는 비슷한 등급의 속성으로 <white>{변경}","<white>{Muda} um modificador que concede Resistência a <craftingcold>{Gelo} para um modificador de tier similar que concede Resistência a <craftinglightning>{Raio}","<white>{Заменить} свойство, дарующее сопротивление <craftingcold>{холоду}, на свойство того же уровня, дарующее сопротивление <craftinglightning>{молнии}","<white>{Transforma} un mod. que otorga resistencia al <craftingcold>{hielo} en un mod. de grado similar que otorga resistencia al <craftinglightning>{rayo}","<white>{เปลี่ยนม็อด} ค่าต้านทาน​ <craftingcold>{น้ำแข็ง} 1 อย่าง ให้​กลาย​เป็น​ม็อด ค่าต้านทาน <craftinglightning>{สายฟ้า} ที่​มี​ระดับ​ทัดเทียม​กัน","<white>{改變} 1 個給予 <craftingcold>{冰冷} 抗性的詞綴至給予相似階級的 <craftinglightning>{閃電} 抗性詞綴",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes CONVERT cold lightning",[],25638,"Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Lightning Resistance","Transforme un modificateur de Résistance au froid en un modificateur de palier similaire qui donne de la Résistance à la foudre","Verändert einen Kältewiderstand-Modifikator in einen ähnlich hohen Modifikator, der Blitzwiderstand gewährt","冷気耐性を得るモッド1個を、類似のティアの雷耐性を得るモッド1個に変化させる","냉기 저항을 부여하는 속성 1개를 번개 저항을 부여하는 비슷한 등급의 속성으로 변경","Muda um modificador que concede Resistência a Gelo para um modificador de tier similar que concede Resistência a Raio","Заменить свойство, дарующее сопротивление холоду, на свойство того же уровня, дарующее сопротивление молнии","Transforma un mod. que otorga resistencia al hielo en un mod. de grado similar que otorga resistencia al rayo","เปลี่ยนม็อด ค่าต้านทาน น้ำแข็ง 1 อย่าง ให้กลายเป็นม็อด ค่าต้านทาน สายฟ้า ที่มีระดับทัดเทียมกัน","改變 1 個給予冰冷抗性的詞綴至給予相似階級的閃電抗性詞綴","",3,500,0,"",[9370],1
29,"FlaskDurationEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Duration}. The magnitude of this effect decreases with each use","<white>{Enchante} un <white>{Flacon} avec un modificateur qui <enchanted>{augmente sa Durée}. Ce bonus diminue à chaque gorgée","<white>{Verzaubert} ein <white>{Fläschchen} mit einem Modifikator, der seine <enchanted>{Dauer verlängert}. Dieser Effekt verringert sich mit jeder Nutzung","<white>{フラスコ}を<white>{エンチャント}し、<enchanted>{持続時間を増加}させる。エンチャントの効果は使用するたびに減少する","<enchanted>{지속시간 증가} 속성을 부여하여 <white>{플라스크} 1개 <white>{인챈트}. 이 효과의 강도는 사용할 때마다 감소","<white>{Encanta} um <white>{Frasco} com um modificador que concede <enchanted>{aumento de Duração}. A magnitude deste efeito é reduzida com cada uso","<white>{Зачаровать флакон} свойством, дарующим <enchanted>{увеличение длительности}. Сила эффекта уменьшается с каждым использованием","<white>{Encanta} un <white>{frasco} con un modificador que otorga <enchanted>{duración aumentada}. La magnitud de este efecto disminuye con cada uso","<white>{ใส่​เอนแชนท์} ให้​กับ <white>{ขวดยา}: <enchanted>{เพิ่ม​ระยะ​เวลา​ส่ง​ผล} แต่​ค่าตัวเลข​ของ​ม็อด​นี้​จะ​ลด​ลง​ทุก​ครั้ง​ที่​ใช้​งาน","<white>{附魔} 1 瓶 <white>{藥劑} 有著 <enchanted>{增加持續時間} 的詞綴。此效果的幅度隨著每次使用而降低",2,"add_enchant_to_flask","HarvestFlaskEnchantmentDurationLoweredOnUse1_",[],65284,"Enchant a Flask with a modifier that grants increased Duration. The magnitude of this effect decreases with each use","Enchante un Flacon avec un modificateur qui augmente sa Durée. Ce bonus diminue à chaque gorgée","Verzaubert ein Fläschchen mit einem Modifikator, der seine Dauer verlängert. Dieser Effekt verringert sich mit jeder Nutzung","フラスコをエンチャントし、持続時間を増加させる。エンチャントの効果は使用するたびに減少する","지속시간을 증가시키는 속성을 부여하여 플라스크 1개 인챈트. 이 효과의 강도는 사용할 때마다 감소","Encanta um Frasco com um modificador que concede aumento de Duração. A magnitude deste efeito é reduzida com cada uso","Зачаровать флакон свойством, дарующим увеличение длительности. Сила эффекта уменьшается с каждым использованием","Encanta un frasco con un modificador que otorga duración aumentada. La magnitud de este efecto disminuye con cada uso","ใส่เอนแชนท์ ให้กับ ขวดยา: เพิ่มระยะเวลาส่งผล แต่ค่าตัวเลขของม็อดนี้จะลดลงทุกครั้งที่ใช้งาน","附魔 1 瓶 藥劑有著增加持續時間 的詞綴。此效果的幅度隨著每次使用而降低",1,1,800,0,"",[9370],1
