"rownum","Id","Event","i32","i32","Goddess_CharacterTextAudioKeys","JackTheAxe_CharacterTextAudioKeys","bool","bool"
38,"EnterSolarisTemple",157,4000,0,[],[],"",""
39,"EnterDocks",158,4000,0,[],[],"",""
40,"EnterBarracks",162,4000,0,[],[516],"",""
41,"EnterLunarisTemple",163,4000,0,[],[],"",""
42,"EnterLunaris2",660,4000,0,[563],[523],"",""
43,"EnterGardens",164,4000,0,[],[],"",""
44,"EnterLibrary",166,4000,0,[],[],"",""
45,"EnterSceptreOfGod",167,4000,0,[],[528],"",""
46,"EnterAqueduct",673,4000,0,[566],[],"",""
47,"EnterDriedLake",674,4000,0,[],[518],"",""
48,"EnterMines1",804,8000,0,[],[525],"",""
49,"EnterMines2",805,10000,0,[],[],"",""
50,"EnterCrystalVeins",806,12000,0,[],[],"",""
51,"EnterKaomDream",678,4000,0,[],[],"",""
52,"EnterDaressoDream",681,4000,0,[],[],"",""
53,"EnterBellyOfTheBeast",683,4000,0,[571],[517],"",""
54,"EnterHarvest",685,4000,0,[573],[],"",""
55,"EnterSlavePens",317,6000,0,[579],[],"",""
56,"EnterOriathSquare",1042,4000,0,[],[],"",""
57,"EnterTemplarCourts",1044,4000,0,[581],[],"",""
58,"EnterChamberOfInnocence",1046,4000,0,[],[],"",""
59,"EnterTorchedCourts",1045,4000,0,[583],[],"",""
60,"EnterRuinedSquare",1043,4000,0,[],[],"",""
61,"EnterCathedralRooftop",1049,4000,0,[],[],"",""
62,"ApproachLilly",2389,0,0,[],[],"",""
63,"EnterOssuary",1047,4000,0,[],[],"",""
64,"EnterTwilightStrandA6",1139,4000,0,[586],[],"",""
65,"EnterCoastA6",1140,4000,0,[],[],"",""
66,"EnterMudFlatsA6",1142,4000,0,[],[],"",""
67,"EnterTheRidgeA6",1144,4000,0,[],[],"",""
68,"EnterThePrisonA6",1145,4000,0,[],[],"",""
69,"EnterWesternForestA6",1148,4000,0,[],[],"",""
70,"EnterTheBeaconA6",1153,4000,0,[],[],"",""
71,"EnterTheReefA6",1154,4000,0,[],[],"",""
72,"ApproachEramir",2393,0,0,[],[],"",""
73,"EnterTheCryptA7",1258,4000,0,[],[],"",""
74,"EnterMaligaroSanctum",1261,4000,0,[594],[],"",""
75,"EnterAshenFields",1263,4000,0,[],[],"",""
76,"EnterVaalCityA7",1267,4000,0,[],[],"",""
77,"EnterTempleOfDecay2",2397,4000,0,[],[],"",""
78,"EnterA8Town",1374,4000,0,[],[],"",""
79,"EnterToxicConduits",1330,4000,0,[],[],"",""
80,"EnterBathHours",1412,4000,0,[602],[],"",""
81,"EnterLunarisTempleA8",1414,4000,0,[604],[],"",""
82,"EnterBloodAqueduct",1500,4000,0,[606],[],"",""
83,"EnterBellyOfTheBeastA9",1536,4000,0,[612],[],"",""
84,"EnterRavagedSquareA10",1540,4000,0,[],[],"",""
85,"EnterCanals",1543,4000,0,[],[],"",""
86,"EnterFeedingTrough",1544,4000,0,[616],[],"",""
87,"EnterEpilogue",1548,4000,0,[617],[],"",""
88,"EnteredMaps",988,4000,0,[],[],"",""
89,"EnterApexOfSacrifice",826,4000,0,[],[515],"",""
90,"EnterAlluringAbyss",827,4000,0,[],[514],"",""
91,"EnterLabyrinthMap",832,4000,0,[],[522],"",""
92,"EnterMaelstromOfChaos",830,4000,0,[],[524],"",""
93,"EnterVaalTempleMap",836,4000,0,[],[530],"",""
94,"EnterVaultsOfAtziri",835,4000,0,[],[531],"",""
95,"EnterGrottoMap",829,4000,0,[],[520],"",""
96,"EnterDungeonMap",828,4000,0,[],[519],"",""
97,"EnterMudGeyserMap",831,4000,0,[],[526],"",""
98,"EnterSpiderForestMap",833,4000,0,[],[529],"",""
99,"EnterJungleMap",834,4000,0,[],[521],"",""
100,"KillBiteZombie",558,1500,0,[],[],"",""
101,"KillHillock",559,1500,0,[],[],"",""
102,"KillFireFury",550,3000,0,[],[],"",""
103,"KillKadavrus",560,2500,0,[],[],"",""
104,"KillDwellerDeep",557,1500,0,[],[],"",""
105,"KillKuduku",551,1500,0,[547],[],"",""
106,"KillBrutus",561,2000,0,[549],[],"",""
107,"KillFairgraves",564,2500,0,[551],[],"",""
108,"KillMerveilDaughter",552,1500,0,[],[],"",""
109,"KillMerveil",562,2000,0,[552],[],"",""
110,"KillWhiteBeast",563,1500,0,[],[],"",""
111,"KillArchbishopGeofri",553,1500,0,[],[],"",""
112,"KillFidelitas",566,1500,0,[],[],"",""
113,"KillWeaver",554,1500,0,[],[],"",""
114,"KillOak",18,2000,0,[557],[],"",""
115,"KillKraityn",16,1500,0,[556],[],"",""
116,"KillAlira",17,1500,0,[555],[],"",""
117,"KillVaalOversoul",565,8000,0,[559],[],"",""
118,"KillMarceustheDefaced",555,1500,0,[],[],"",""
119,"KillGravicius",567,9000,0,[561],[],"",""
120,"KillKole",556,1500,0,[562],[],"",""
121,"KillPiety",569,6500,0,[564],[],"",""
122,"KillDominus",570,2000,0,[565],[],"",""
123,"KillVoll",686,2000,0,[568],[],"",""
124,"KillDaresso",809,2000,0,[569],[],"",""
125,"KillKaom",693,2000,0,[570],[],"",""
126,"KillPietyCorrupted",703,4000,0,[],[],"",""
127,"KillMaligaro",879,4000,0,[575],[],"",""
128,"KillShavronne",880,4000,0,[576],[],"",""
129,"KillDoedre",881,4000,0,[574],[],"",""
130,"KillMalachai",664,15100,0,[578],[],"",""
131,"KillKrow",1051,2000,0,[],[],"",""
132,"KillCasticus",1057,2000,0,[580],[],"",""
133,"KillMatriarch",2386,0,0,[],[],"",""
134,"SeenAvarius",1070,3000,0,[],[],"",""
135,"SeenInnocence",2387,8500,0,[],[],"",""
136,"KillAvariusA5",1071,2000,0,[582],[],"",""
137,"KillCato",2388,2000,0,[],[],"",""
138,"KillUtula",1077,2000,0,[584],[],"",""
139,"FaceKitavaA5",1083,1000,0,[],[],"",""
140,"KillKitavaA5",1085,5000,0,[585],[],"",""
141,"KillTukohama",1175,2000,0,[587],[],"",""
142,"KillAbberath",1200,13000,0,[588],[],"",""
143,"KillShavronneA6",1168,2000,0,[589],[],"",""
144,"KillRyslatha",1193,2000,0,[590],[],"",""
145,"KillBrineKing",1164,2000,0,[592],[],"",""
146,"KillMaligaroA7",1280,2000,0,[595],[],"",""
147,"KillRalakesh",1273,2000,0,[596],[],"",""
148,"KillGruthkul",1386,2000,0,[597],[],"",""
149,"KillArakaali",1294,2000,0,[599],[],"",""
150,"KillDoedreA8",1423,2000,0,[600],[],"",""
151,"KillYugul",1438,2000,0,[603],[],"",""
152,"KillGemlingLegion",1461,2000,0,[],[],"",""
153,"KillLunarisSolaris",1426,2000,0,[605],[],"",""
154,"KillShakari",1629,2000,0,[608],[],"",""
155,"KillKira",1905,2000,0,[609],[],"",""
156,"KillGarukhan",1566,2000,0,[610],[],"",""
157,"KillAdus",1906,2000,0,[611],[],"",""
158,"KillUnholyTrio",1549,0,0,[],[],"",""
159,"KillAvariusA10",1657,2000,0,[614],[],"",""
160,"KillVilenta",1682,2000,0,[615],[],"",""
161,"KillIzaro",976,5000,0,[618],[],"",""
162,"KillBaran","",2000,0,[],[],"",""
163,"KillVeritania","",2000,0,[],[],"",""
164,"KillDrox","",2000,0,[],[],"",""
165,"KillAlHezmin","",2000,0,[],[],"",""
166,"KillSirus",1897,22000,0,[],[],"",""
167,"GlyphKarui1",535,2000,0,[],[],"",""
168,"GlyphKarui2",536,2000,0,[],[],"",""
169,"GlyphKarui3",537,2000,0,[],[],"",""
170,"GlyphKarui4",538,2000,0,[],[],"",""
171,"GlyphKarui5",539,2000,0,[],[],"",""
172,"GlyphShavronnesTome",542,2000,0,[],[],"",""
173,"GlyphKarui6",540,2000,0,[],[],"",""
174,"GlyphKarui7",541,2000,0,[],[],"",""
175,"GlyphPietysLetter",1903,2000,0,[554],[],"",""
176,"GlyphVictario1",543,2000,0,[],[],"",""
177,"GlyphVictario2",544,2000,0,[],[],"",""
178,"GlyphVictario3",545,2000,0,[],[],"",""
179,"GlyphVictariosDiary",549,2000,0,[],[],"",""
180,"GlyphVictario4",546,2000,0,[],[],"",""
181,"GlyphVictario5",547,2000,0,[],[],"",""
182,"GlyphVictario6",548,2000,0,[],[],"",""
183,"GlyphKaom1",845,2000,0,[],[],"",""
184,"GlyphKaom2",846,2000,0,[],[],"",""
185,"GlyphKaom3",847,2000,0,[],[],"",""
186,"GlyphKaom4",848,2000,0,[],[],"",""
187,"GlyphAqueductLetter",1904,2000,0,[567],[],"",""
188,"MetMaramoa",843,4000,0,[],[],"",""
189,"MetSiosa",844,4000,0,[],[],"",""
190,"MetPietyBelly",914,1000,0,[572],[],"",""
191,"MetSinA6",2390,2000,0,[],[],"",""
192,"MetSinTukohama",2395,2000,0,[],[],"",""
193,"MetSinAbberath",2537,2000,0,[],[],"",""
194,"MetSinRyslatha",2538,2000,0,[],[],"",""
195,"MetSinBrineKing",2392,2000,0,[],[],"",""
196,"MetSinRalakesh",2394,2000,0,[],[],"",""
197,"MetSinGruthkul",2396,2000,0,[],[],"",""
198,"MetSinArakaali",2398,2000,0,[],[],"",""
199,"MetSinYugul",2399,2000,0,[],[],"",""
200,"MetSinSolarisLunaris",2400,2000,0,[],[],"",""
201,"MetSinGarukhan",2402,2000,0,[],[],"",""
202,"MetSinShakari",2401,2000,0,[],[],"",""
203,"MetEpilogueSinInnocence",2403,2000,0,[],[],"",""
204,"ReadIslandLogbook",2391,2000,0,[],[],"",""
205,"PickUpTolmansBracelet",175,2000,20000,[560],[],"",""
206,"PickUpMiasmeter",1064,2000,20000,[],[],"",""
207,"PickUpSignOfPurity",1082,1000,20000,[],[],"",""
208,"PickUpBestelPapers",1250,1000,20000,[],[],"",""
209,"PickUpMaligaroMap",1283,2000,20000,[593],[],"",""
210,"PickUpSunOrb",1432,2000,20000,[],[],"",""
211,"PickUpMoonOrb",1428,2000,20000,[],[],"",""
212,"PickUpBasiliskAcid",1559,2000,20000,[],[],"",""
213,"PickUpTrarthanPowder",1558,2000,20000,[],[],"",""
214,"PickUpStormBlade",1573,2000,20000,[607],[],"",""
215,"EventWashedUp",533,2000,0,[],[],"",""
216,"EventDropOniGoroshi",362,2000,0,[],[],"",""
217,"EventDrainPool",24,4000,0,[],[],"",""
218,"EventPietyMonologue1",587,9000,0,[548],[],"",""
219,"EventPietyRetreatPrisonGate",589,4500,0,[550],[],"",""
220,"EventPietyMonologue2",261,11000,0,[553],[],"",""
221,"EventPoisonLorrata",99,4000,0,[],[],"",""
222,"EventUnleashDarkness",88,5750,0,[558],[],"",""
223,"EventOversoulAppears",256,21000,0,[],[],"",""
224,"EventPietyRetreatCrematorium",568,4000,0,[],[],"",""
225,"EventApproachSphincter",194,4000,0,[],[],"",""
226,"EventSphincterDestroyed",434,4000,0,[],[],"",""
227,"EventFairgravesDisappear",588,4000,0,[],[],"",""
228,"EventPietyMonologue3",215,6000,0,[],[513],"",""
229,"EventFreedDeshret",752,2000,0,[],[],"",""
230,"EventAccessCore",698,2000,0,[],[],"",""
231,"EventPietySacrifice",842,2000,0,[577],[],"",""
232,"EventLightBeacon",1160,3000,0,[591],[],"",""
233,"EventGreustHonoured",1379,2000,0,[],[],"",""
234,"EventYeenaTransform",1908,10000,0,[598],[],"",""
235,"EventAfterTolman",1909,2000,0,[601],[],"",""
236,"EventBlackHeartOpen",1907,2000,0,[613],[],"",""
237,"EventJackIdle","",1000,4000,[],"[540,541,542,543]","",""
238,"EventJackKillMonster","",1000,5000,[],"[532,533,534,535,536,537,538,539]","",""
239,"EventJackKillPlayer","",1000,5000,[],"[544,545]","",""
240,"Cooldown","",0,180000,[],[],1,""
241,"NoMana","",0,180000,[],[],1,""
242,"InvFull","",0,30000,[],[],1,""
243,"FlaskLowLifeToHighLife","",0,600000,[],[],1,""
244,"FlaskEmpty","",0,600000,[],[],"",""
245,"KillRare","",500,2700000,"[625,626,627,628]",[],1,""
246,"KillRogueExile","",500,20000,"[625,626,627,628]",[],1,""
247,"LowSTR","",0,15000,[],[],1,""
248,"LowINT","",0,15000,[],[],1,""
249,"LowDEX","",0,15000,[],[],1,""
250,"QuestItem","",0,10000,[],[],1,""
251,"SkillTown","",0,30000,[],[],1,""
252,"LevelUp2","",1000,0,[],[],"",""
253,"LevelUp3","",1000,0,[],[],"",""
254,"LevelUp5","",1000,0,[],[],"",""
255,"LevelUp10","",1000,0,[619],[],"",""
256,"LevelUp15","",1000,0,[],[],"",""
257,"LevelUp20","",1000,0,[620],[],"",""
258,"LevelUp30","",1000,0,[621],[],"",""
259,"LevelUp50","",1000,0,[622],[],"",""
260,"LevelUp70","",1000,0,[623],[],"",""
261,"LevelUp90","",1000,0,[624],[],"",""
