"rownum","Id","BuffDefinitionsKey1","rid","StatValues","i32","[i32]","i32","i32","i32","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32","i32","i32","BuffDefinitionsKey2","IsOnlySpawningNearPlayer"
35,"environment_uber_coldskills_storm","","",[],0,[],-55,-25,45000,"",80,613,448,4444,0,0,45000,"",1
36,"environment_lightningskills_storm","","",[],0,[],-35,-25,45000,"",82,615,450,4445,0,0,45000,"",1
37,"environment_uber_lightningskills_storm","","",[],0,[],-55,-25,45000,"",82,615,450,4446,0,0,45000,"",1
38,"environment_necromancyskills_storm","","",[],0,[],-15,-25,45000,"",78,611,445,4447,0,0,45000,"",1
39,"environment_uber_necromancyskills_storm","","",[],0,[],-35,-25,45000,"",78,611,445,4448,0,0,45000,"",1
40,"environment_physicalskills_storm","","",[],0,[],-35,-25,45000,"",79,612,446,4449,0,0,45000,"",1
41,"environment_uber_physicalskills_storm","","",[],0,[],-55,-25,45000,"",79,612,446,4450,0,0,45000,"",1
42,"environment_curses_storm","","",[],0,[],-55,-25,45000,"",77,610,444,4451,0,0,45000,"",1
43,"corrupted_drops_storm",441,"","[1,1]",0,[],0,0,5000,"",73,606,440,"",0,0,5000,"",""
44,"drop_as_sell_price_storm",442,"","[1,1,100]",0,[],0,0,8000,"",75,608,442,"",0,0,5000,"",""
45,"quality_drops_storm",443,"","[1,1]",0,[],0,0,8000,"",79,612,446,"",0,0,8000,"",""
46,"quality_drops_storm_normal",443,"","[1,1]",0,[],0,0,10000,"",79,612,446,"",0,0,10000,"",""
47,"gain_charges_storm","","",[],0,[],-55,0,45000,4437,79,612,446,"",0,0,45000,"",""
48,"identify_items_storm",444,"","[1,1]",0,[],0,0,8000,"",73,606,440,"",0,0,8000,"",""
49,"poison_clouds_storm","","",[],0,[],-35,-25,45000,"",72,607,439,4453,0,0,45000,"",1
50,"arcane_storm",445,"","[30,20,10]",36,"[1,2,10]",0,0,5000,"",77,610,444,"",0,0,15000,"",""
51,"status_immunity_storm",446,"","[100,100,100,100,20,3]",0,[],0,0,8000,"",79,612,446,"",0,0,20000,"",""
