"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","rid","CharacterStartQuestStateKeys","bool","InfoText","rid"
32,"IntBLAMTRace","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],7,5,[],"","",""
33,"DexIntBLAMTRace","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],7,5,[],"","",""
34,"StrDexBLAMTRace","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],7,5,[],"","",""
35,"StrIntBLAMTRace","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,1,[],7,5,[],"","",""
36,"StrDexIntBLAMTRace","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],7,5,[],"","",""
37,"StrIntConsoleDemo","Command (40)","Croisé (40)","Kommando (40)","コマンド（40）","명령 (40)","Soldado (40)","Святой воин (40)","Comando (40)","Command (40)","Command (40)",6,40,"[1798,839,1824,1797,731,766,544,31,1837,79,767,699,83,26,27,525,1820,650,471,1810,557,1811,1255,438,1179,25,712,724,1818,398,722,748,32,1812,754,424,1821,435,649,1163,1180,768,454,837,443,1177,552]",8,74,[9],"","Claim the powers of your enemies and lead an army to victory.",""
38,"StrInt2ConsoleDemo","Stormcaller (40)","Mande-foudre (40)","Sturmbeschwörer (40)","ストームコーラー（40）","폭풍 소환사 (40)","Convocador de Tempestades (40)","Призыватель бури (40)","Llamador de Tormentas (40)","Stormcaller (40)","Stormcaller (40)",6,40,[],8,73,[9],"","Strike down your enemies with a wide range of lightning skills.",""
39,"StrInt2ConsoleDemoKitava","Stormcaller (45)","Mande-foudre (45)","Sturmbeschwörer (45)","ストームコーラー（45）","폭풍 소환사 (45)","Convocador de Tempestades (45)","Призыватель бури (45)","Llamador de Tormentas (45)","Stormcaller (45)","Stormcaller (45)",6,45,[],8,80,[14],"","Strike down your enemies with a wide range of lightning skills.",""
40,"DexIntConsoleDemo","Blademaster (40)","Maître-lame (40)","Schwertmeister (40)","ブレードマスター（40）","검귀 (40)","Mestre das Lâminas (40)","Мастер клинков (40)","Maestro de Armas (40)","Blademaster (40)","Blademaster (40)",5,40,[],8,73,[9],"","Cut your foes to ribbons with physical spells and attacks.",""
41,"DexInt2ConsoleDemo","Chaos Weaver (40)","Tisserand du Chaos (40)","Chaos-Weber (40)","カオスウィーバー（40）","카오스 직공 (40)","Criador do Caos (40)","Ткач хаоса (40)","Tejedor de Caos (40)","Chaos Weaver (40)","Chaos Weaver (40)",5,40,[],8,73,[9],"","Call forth the powers of the void with a wide range of chaos skills.",""
42,"DexInt2ConsoleDemoKitava","Chaos Weaver (45)","Tisserand du Chaos (45)","Chaos-Weber (45)","カオスウィーバー（45）","카오스 직공 (45)","Criador do Caos (45)","Ткач хаоса (45)","Tejedor de Caos (45)","Chaos Weaver (45)","Chaos Weaver (45)",5,45,[],8,80,[14],"","Call forth the powers of the void with a wide range of chaos skills.",""
43,"StrConsoleDemo","Sunderer (40)","Ravageur (40)","Spalter (40)","サンダラー（40）","작렬가 (40)","Destrutor (40)","Раскалыватель (40)","Fisurador (40)","Sunderer (40)","Sunderer (40)",0,40,"[84,82,34,81,92,91,329,472,328,50,1169,330,351,2,1173,470,1178,1180,1179,454,650,25,26,32,441,436,1182,1183,1181,430,445,735,73,773,755,468,433,465,631,629,1243,756,673,769,1155,356,355]",8,73,[9],"","Make your foes tremble before your might with a wide range of physical attacks.",""
44,"StrConsoleDemoAct8","Earth Churner (60)","Trembleterre (60)","Erdenspalter (60)","アースチャーナー（60）","대지 균열가 (60)","Agitador da Terra (60)","Earth Churner (60)","Agrieta Suelos (60)","Earth Churner (60)","Earth Churner (60)",0,60,[],8,124,[13],"","Break the earth beneath the feet of your foes with a range of physical attacks.",""
45,"IntConsoleDemo","Winter Witch (40)","Sorcière de l'Hiver (40)","Winterhexe (40)","ウィンターウィッチ（40）","겨울 마녀 (40)","Bruxa Invernal (40)","Морозная ведьма (40)","Bruja de Invierno (40)","Winter Witch (40)","Winter Witch (40)",1,40,[],8,73,[9],"","Shatter your adversaries with a range of cold skills.",""
46,"IntConsoleDemoBrineKing","Winter Witch (51)","Sorcière de l'Hiver (50)","Winterhexe (51)","ウィンターウィッチ（51）","겨울 마녀 (51)","Bruxa Invernal (51)","Морозная ведьма (51)","Bruja de Invierno (51)","Winter Witch (51)","Winter Witch (51)",1,51,"[542,192,1028,389,585,1002,535,556,596,219,181,994,182,545,216,390,541,218,840,578,730,1092,996,569,550,595,434,1708,772,732,180,777,337,1050,998,481,540,410,771,653,183,570,527,1027,176,1709,1710,572,191,175,999,1000,1089,997,991,397,780,992,1049,1091,1026,652,1090]",8,101,[15],"","Shatter your adversaries with a range of cold skills.",""
47,"IntConsoleDemoAct8","Cryomancer (60)","Cryomancienne (60)","Kryomant (60)","クライオマンサー（60）","동결술사 (60)","Criomante (60)","Криомансер (60)","Criomante (60)","Cryomancer (60)","Cryomancer (60)",1,60,[],8,124,[13],"","Lock your enemies in place with a range of cold skills.",""
48,"Int2ConsoleDemo","Necromancer (40)","Nécromancienne (40)","Nekromantin (40)","ネクロマンサー（40）","네크로맨서 (40)","Necromante (40)","Некромант (40)","Nigromante (40)","Necromancer (40)","Necromancer (40)",1,40,[],8,73,[9],"","Master death with a range of necromancy skills.",""
49,"StrDexConsoleDemo","Combatant (40)","Combattant (40)","Krieger (40)","コンバッタント（40）","전투원 (40)","Combatente (40)","Поборник (40)","Combatiente (40)","Combatant (40)","Combatant (40)",4,40,"[645,673,1153,484,597,1141,646,480,485,711,1129,343,613,857,55,1284,729,858,342,341,647,643,56,728,1300,756,488,500,769,1130,467,695,1144,1293,1302,804,1140,1147,478,856,381,1146,54,1287,1281,1243,734,1145]",8,73,[9],"","Go toe-to-toe with your enemies using a range of attacks.",""
50,"StrDexConsoleDemoBrineKing","Gladiator (51)","Gladiateur (50)","Gladiator (51)","グラディエーター（51）","글래디에이터 (51)","Gladiador (51)","Гладиатор (51)","Gladiador (51)","Gladiator (51)","Gladiator (51)",4,51,"[645,468,673,1132,1153,484,755,597,1141,646,73,480,465,485,711,1129,433,343,613,857,55,1284,729,858,342,341,631,647,643,56,728,1300,756,488,500,769,1130,467,629,695,664,1144,1293,1302,804,1140,735,1147,478,856,381,1146,54,1287,1281,1243,1131,1203,734,1145,1201,1202,773]",8,101,[15],"","Conquer your foes with this master of melee attacks.",""
51,"DexConsoleDemo","Marksman (40)","Chasseresse (40)","Meisterschütze (40)","マークスマン（40）","지정사수 (40)","Atiradora (40)","Снайпер (40)","Tiradora (40)","Marksman (40)","Marksman (40)",3,40,"[310,506,987,268,273,274,340,841,503,729,288,505,513,269,867,843,728,990,500,1694,502,695,770,507,1697,272,271,842,871,321,511,266,307,508,296,1298,501,320,1297,376,710,868,734,322,598,1299,302,350]",8,73,[9],"","Dispose of your enemies from afar with a range of bow skills.",""
52,"DexConsoleDemoAct8","Toxic Archer (61)","Archère toxique (61)","Toxischer Bogenschütze (61)","トキシックアーチャー（61）","맹독 궁수 (61)","Arqueiro Tóxico (60)","Токсичный лучник (61)","Arquera Tóxica (61)","Toxic Archer (61)","Toxic Archer (61)",3,61,"[310,673,506,987,268,484,615,273,274,340,497,1301,841,875,752,503,691,270,746,613,729,751,509,288,515,505,513,517,269,1038,693,867,843,728,990,1300,756,500,694,769,1694,264,502,695,770,507,1293,675,1697,272,873,1302,271,842,261,266,307,690,508,296,1298,501,320,1297,376,692,710,267,1243,753,868,734,498,1039,874,1299,302,350]",8,124,[13],"","Outmaneuver your enemies and slay them from a safe distance with a range of bow skills.",""
53,"StrDexIntMapDemo","High-level Scion (80)","Héritière de haut niveau (80)","Hochrangige Adelstochter (80)","ハイレベルサイオン（80）","고위 사이온 (80)","Herdeira Nível Alto (80)","Высокоуровневая Дворянка (80)","Heredera de Nivel Alto (80)","High-level Scion (80)","High-level Scion (80)",2,80,[],8,166,[12],"","Explore the endgame with this high-level Scion",""
54,"DexIntMapDemo","High-level Shadow (83)","Ombre de haut niveau (83)","Hochrangiger Schatten (83)","ハイレベルシャドウ（83）","고위 쉐도우 (83)","Sombra Nível Alto (83)","Высокоуровневый Бандит (80)","Sombra de Nivel Alto (80)","High-level Shadow (83)","High-level Shadow (83)",5,83,[],8,158,[18],"","Explore the endgame with this high-level Shadow",16
55,"StrIntSkillDemo","Totem Caller (50)","Mande-totem (50)","Totem-Beschwörer (50)","トーテムコーラー（50）","토템 소환사 (50)","Convocador de Totens (50)","Призыватель тотемов (50)","Llamador de Tótems (50)","Totem Caller (50)","Totem Caller (50)",6,50,[],8,61,[9],"","Let your totems do the work for you!",""
56,"PCStrInt2ConsoleDemo","Stormcaller (41)","Mande-foudre (40)","Sturmbeschwörer (41)","ストームコーラー（41）","폭풍 소환사 (41)","Convocador de Tempestades (41)","Призыватель бури (41)","Llamador de Tormentas (41)","Stormcaller (41)","Stormcaller (41)",6,41,[],8,68,[17],"","Strike down your enemies with a wide range of lightning skills.",""
57,"PCStrInt2ConsoleDemoKitava","Stormcaller (45)","Mande-foudre (45)","Sturmbeschwörer (45)","ストームコーラー（45）","폭풍 소환사 (45)","Convocador de Tempestades (45)","Призыватель бури (45)","Llamador de Tormentas (45)","Stormcaller (45)","Stormcaller (45)",6,45,[],8,80,[14],"","Strike down your enemies with a wide range of lightning skills.",""
58,"PCDexInt2ConsoleDemo","Abberath Assassin (85)","Assassin d'Abberath (85)","Abberath-Assassine (85)","アベラスアサシン（85）","아버라스의 암살자 (85)","Assassino de Abberath (40)","Ткач хаоса (40)","Asesino de Abberath (85)","Abberath Assassin (85)","Abberath Assassin (85)",5,85,[],8,158,[18],"","Explore the endgame with this high-level Shadow",15
59,"PCDexInt2ConsoleDemoKitava","Chaos Weaver (45)","Tisserand du Chaos (45)","Chaos-Weber (45)","カオスウィーバー（45）","카오스 직공 (45)","Criador do Caos (45)","Ткач хаоса (45)","Tejedor de Caos (45)","Chaos Weaver (45)","Chaos Weaver (45)",5,45,[],8,80,[14],"","Call forth the powers of the void with a wide range of chaos skills.",""
60,"PCStrConsoleDemo","Sunderer (40)","Ravageur (40)","Spalter (40)","サンダラー（40）","작렬가 (40)","Destrutor (40)","Раскалыватель (40)","Fisurador (40)","Sunderer (40)","Sunderer (40)",0,40,[],8,73,[9],"","Make your foes tremble before your might with a wide range of physical attacks.",""
61,"PCStrConsoleDemoAct8","Earth Churner (61)","Trembleterre (60)","Erdenspalter (61)","アースチャーナー（61）","대지 균열가 (61)","Agitador da Terra (61)","Earth Churner (61)","Revolvedor de Tierra (61)","Earth Churner (61)","Earth Churner (61)",0,61,[],8,124,[13],"","Break the earth beneath the feet of your foes with a range of physical attacks.",""
62,"PCIntConsoleDemo","Winter Witch (40)","Sorcière de l'Hiver (40)","Winterhexe (40)","ウィンターウィッチ（40）","겨울 마녀 (40)","Bruxa Invernal (40)","Морозная ведьма (40)","Bruja de Invierno (40)","Winter Witch (40)","Winter Witch (40)",1,40,[],8,73,[9],"","Shatter your adversaries with a range of cold skills.",""
63,"PCIntConsoleDemoBrineKing","Winter Witch (50)","Sorcière de l'Hiver (50)","Winterhexe (50)","ウィンターウィッチ（50）","겨울 마녀 (50)","Bruxa Invernal (50)","Морозная ведьма (50)","Bruja de Invierno (50)","Winter Witch (50)","Winter Witch (50)",1,50,"[542,192,1028,389,585,1002,535,556,596,219,181,994,182,545,216,390,541,218,840,578,730,1092,996,569,550,595,434,1708,772,732,180,777,337,1050,998,481,540,410,771,653,183,570,527,1027,176,1709,1710,572,191,175,999,1000,1089,997,991,397,780,992,1049,1091,1026,652,1090]",8,101,[15],"","Shatter your adversaries with a range of cold skills.",""
64,"PCIntConsoleDemoAct8","Cryomancer (60)","Cryomancienne (60)","Kryomant (60)","クライオマンサー（60）","동결술사 (60)","Criomante (60)","Криомансер (60)","Criomante (60)","Cryomancer (60)","Cryomancer (60)",1,60,[],8,134,[13],"","Lock your enemies in place with a range of cold skills.",""
65,"PCInt2ConsoleDemo","Necromancer (40)","Nécromancienne (40)","Nekromantin (40)","ネクロマンサー（40）","네크로맨서 (40)","Necromante (40)","Некромант (40)","Nigromante (40)","Necromancer (40)","Necromancer (40)",1,40,[],8,73,[9],"","Master death with a range of necromancy skills.",""
66,"PCStrDexConsoleDemo","Combatant (40)","Combattant (40)","Krieger (40)","コンバッタント（40）","전투원 (40)","Combatente (40)","Поборник (40)","Combatiente (40)","Combatant (40)","Combatant (40)",4,40,"[645,673,1153,484,597,1141,646,480,485,711,1129,343,613,857,55,1284,729,858,342,341,647,643,56,728,1300,756,488,500,769,1130,467,695,1144,1293,1302,804,1140,1147,478,856,381,1146,54,1287,1281,1243,734,1145]",8,73,[9],"","Go toe-to-toe with your enemies using a range of attacks.",""
67,"PCStrDexConsoleDemoBrineKing","Gladiator (50)","Gladiateur (50)","Gladiator (50)","グラディエーター（50）","글래디에이터 (50)","Gladiador (50)","Гладиатор (50)","Gladiador (50)","Gladiator (50)","Gladiator (50)",4,50,"[645,468,673,1132,1153,484,755,597,1141,646,73,480,465,485,711,1129,433,343,613,857,55,1284,729,858,342,341,631,647,643,56,728,1300,756,488,500,769,1130,467,629,695,664,1144,1293,1302,804,1140,735,1147,478,856,381,1146,54,1287,1281,1243,1131,1203,734,1145,1201,1202,773]",8,101,[15],"","Conquer your foes with this master of melee attacks.",""
68,"PCDexConsoleDemo","Marksman (40)","Chasseresse (40)","Meisterschütze (40)","マークスマン（40）","지정사수 (40)","Atiradora (40)","Снайпер (40)","Tirador (40)","Marksman (40)","Marksman (40)",3,40,"[310,506,987,268,273,274,340,841,503,729,288,505,513,269,867,843,728,990,500,1694,502,695,770,507,1697,272,271,842,871,321,511,266,307,508,296,1298,501,320,1297,376,710,868,734,322,598,1299,302,350]",8,73,[9],"","Dispose of your enemies from afar with a range of bow skills.",""
69,"PCDexConsoleDemoAct8","Sharpshooter (60)","Archère d'élite (60)","Scharfschütze (60)","シャープシューター（60）","저격수 (60)","Atiradora de Elite (60)","Меткий стрелок (60)","Buen Tirador (60)","Sharpshooter (60)","Sharpshooter (60)",3,60,"[310,673,506,987,268,484,615,273,274,340,497,1301,841,875,752,503,691,270,746,613,729,751,509,288,515,505,513,517,269,1038,693,867,843,728,990,1300,756,500,694,769,1694,264,502,695,770,507,1293,675,1697,272,873,1302,271,842,261,266,307,690,508,296,1298,501,320,1297,376,692,710,267,1243,753,868,734,498,1039,874,1299,302,350]",8,134,[13],"","Outmaneuver your enemies and slay them from a safe distance with a range of bow skills.",""
70,"PCStrIntSkillDemo","Totem Caller (50)","Mande-totem (50)","Totem-Beschwörer (50)","トーテムコーラー（50）","토템 소환사 (50)","Convocador de Totens (50)","Призыватель тотемов (50)","Llamador de Tótems (50)","Totem Caller (50)","Totem Caller (50)",6,50,[],8,61,[9],"","Let your totems do the work for you!",""
71,"DexIntDemoArakaali","Cremator (54)","Incendiaire (54)","Einäscherer (54)","クリメーター（54）","화장사 (54)","Cremador (54)","Крематор (54)","Incinerador (54)","Cremator (54)","Cremator (54)",5,54,"[839,389,558,531,545,390,519,541,510,733,85,448,401,525,208,1092,838,595,434,1065,1708,772,399,777,337,998,481,540,475,410,524,1799,398,653,400,527,1788,741,202,1709,754,86,1710,1803,1063,779,623,523,1061,999,1163,1165,1089,1041,1062,397,780,1800,522,1801,1091,77,1789,1090,1177,920,778,78,80]",8,116,[16],"","Burn your enemies to the bone with a mix of fire and lightning spells.",""
72,"AscendancyTest","Hello","Coucou","Hallo","ハロー","안녕하십니까","Olá","Hello","Hola","Hello","Hello",1,80,"[1478,1473,1472,410,1479,1471,1477,991,397,992]",8,61,[12],"","",8
73,"PCStrAtlasWarDemo","Juggernaut (85)","Colosse (85)","Koloss (85)","ジャガーノート（85）","저거넛 (85)","Destruidor (85)","Juggernaut (85)","Coloso (85)","Juggernaut (85)","Juggernaut (85)",0,85,[],8,158,[18],"","Explore the Atlas of Worlds!",0
74,"PCDexAtlasWarDemo","Deadeye (85)","Tireuse d'élite (85)","Scharfschützin (85)","デッドアイ（85）","데드아이 (85)","Atiradora (85)","Deadeye (85)","Tiradora (85)","Deadeye (85)","Deadeye (85)",3,85,"[872,673,506,987,379,484,585,215,556,1402,596,405,340,617,262,497,1301,841,344,390,640,782,752,503,374,691,270,499,372,746,421,613,55,729,751,509,288,515,505,1035,772,517,777,337,693,843,56,1403,728,990,1300,785,1404,756,1154,375,1033,694,1694,295,264,502,532,263,695,639,653,770,706,507,1293,1697,272,1302,404,842,373,369,555,511,261,266,1407,1405,690,508,420,296,1147,478,285,501,320,705,692,619,710,267,1408,1243,753,370,593,734,345,498,707,406,611,598,514,302,350,346]",8,158,[18],"","Explore the Atlas of Worlds!",4
75,"PCIntAtlasWarDemo","Necromancer (85)","Nécromancienne (85)","Nekromantin (85)","ネクロマンサー（85）","네크로맨서 (85)","Necromante (85)","Necromancer (85)","Nigromante (85)","Necromancer (85)","Necromancer (85)",1,85,[],8,158,[18],"","Explore the Atlas of Worlds!",8
76,"StrExileRoyale","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Guerrero","Marauder","野蠻人",0,1,[],9,1370,[],"","",""
77,"DexExileRoyale","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Cazadora","Ranger","遊俠",3,1,[],9,1370,[],"","",""
78,"IntExileRoyale","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],9,1370,[],"","",""
79,"DexIntExileRoyale","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],9,1370,[],"","",""
80,"StrDexExileRoyale","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],9,1370,[],"","",""
81,"StrIntExileRoyale","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,1,[],9,1370,[],"","",""
82,"StrDexIntExileRoyale","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],9,1370,[],"","",""
83,"StrEndlessDelve","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Guerrero","Marauder","野蠻人",0,1,[],10,316,[],"","",""
84,"DexEndlessDelve","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Cazadora","Ranger","遊俠",3,1,[],10,316,[],"","",""
85,"IntEndlessDelve","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],10,316,[],"","",""
86,"DexIntEndlessDelve","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],10,316,[],"","",""
87,"StrDexEndlessDelve","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],10,316,[],"","",""
88,"StrIntEndlessDelve","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,1,[],10,316,[],"","",""
89,"StrDexIntEndlessDelve","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],10,316,[],"","",""
90,"StrEndlessHeist","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Guerrero","Marauder","野蠻人",0,1,[],11,1647,[],"","",""
91,"DexEndlessHeist","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Cazadora","Ranger","遊俠",3,1,[],11,1647,[],"","",""
92,"IntEndlessHeist","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,1,[],11,1647,[],"","",""
93,"DexIntEndlessHeist","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,1,[],11,1647,[],"","",""
94,"StrDexEndlessHeist","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,1,[],11,1647,[],"","",""
95,"StrIntEndlessHeist","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,1,[],11,1647,[],"","",""
96,"StrDexIntEndlessHeist","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,1,[],11,1647,[],"","",""
